sequence,v115@LhA8EeA8BeB8EeA8AeG8KeT/IvhFlgBumB3iB5oB8p?ByxB,v115@LhA8EeA8BeB8EeA8AeG8KeT/IvhFlgBCiBeoB5oB8p?BXsB,v115@LhA8EeA8BeB8EeA8AeG8Ke3AJvhFumBaoB5oB0kBTn?BlpB
IJTSLOZ,O,O,X
IJTSZLO,O,O,X
IJTSZOL,O,O,O
IJTSOLZ,X,O,O
IJTSOZL,X,O,O
IJTZLSO,O,O,X
IJTZLOS,O,O,X
IJTZSLO,O,O,X
IJTZSOL,O,O,O
IJTZOLS,O,O,O
IJTZOSL,O,O,O
IJTOLSZ,O,X,O
IJTOLZS,O,X,O
IJTOSLZ,X,O,O
IJTOSZL,X,O,O
IJTOZLS,O,O,O
IJTOZSL,O,O,O
IJLTSZO,O,O,X
IJLTSOZ,O,O,X
IJLTZSO,O,O,X
IJLTZOS,O,O,X
IJLTOSZ,O,X,X
IJLTOZS,O,X,X
IJLSTZO,O,O,X
IJLSTOZ,O,O,X
IJLSZTO,O,O,X
IJLSZOT,O,O,O
IJLSOTZ,O,O,O
IJLSOZT,O,O,O
IJLZTSO,O,O,X
IJLZTOS,O,O,X
IJLZSTO,O,O,X
IJLZSOT,O,O,O
IJLZOTS,O,O,O
IJLZOST,O,O,O
IJLOTSZ,O,X,O
IJLOTZS,O,X,O
IJLOSTZ,O,X,O
IJLOSZT,O,X,O
IJLOZTS,O,X,O
IJLOZST,O,X,O
IJSTLZO,O,O,X
IJSTLOZ,O,O,X
IJSTZLO,O,O,X
IJSTZOL,O,O,O
IJSTOLZ,X,O,O
IJSTOZL,X,O,O
IJSLTZO,O,O,X
IJSLTOZ,O,O,X
IJSLZTO,O,O,X
IJSLZOT,O,O,O
IJSLOTZ,O,O,O
IJSLOZT,O,O,O
IJSZTLO,O,O,X
IJSZTOL,O,O,O
IJSZLTO,O,O,X
IJSZLOT,O,O,O
IJSZOTL,O,O,O
IJSZOLT,O,O,O
IJSOTLZ,X,O,O
IJSOTZL,X,O,O
IJSOLTZ,X,O,O
IJSOLZT,X,O,O
IJSOZTL,X,O,O
IJSOZLT,X,O,O
IJZTLSO,O,O,X
IJZTLOS,O,O,X
IJZTSLO,O,O,X
IJZTSOL,O,O,O
IJZTOLS,O,O,O
IJZTOSL,O,O,O
IJZLTSO,O,O,X
IJZLTOS,O,O,X
IJZLSTO,O,O,X
IJZLSOT,O,O,O
IJZLOTS,O,O,O
IJZLOST,O,O,O
IJZSTLO,O,O,X
IJZSTOL,O,O,O
IJZSLTO,O,O,X
IJZSLOT,O,O,O
IJZSOTL,O,O,O
IJZSOLT,O,O,O
IJZOTLS,O,O,O
IJZOTSL,O,O,O
IJZOLTS,O,O,O
IJZOLST,O,O,O
IJZOSTL,O,O,O
IJZOSLT,O,O,O
IJOTLSZ,O,X,O
IJOTLZS,O,X,O
IJOTSLZ,X,O,O
IJOTSZL,X,O,O
IJOTZLS,O,O,O
IJOTZSL,O,O,O
IJOLTSZ,O,X,O
IJOLTZS,O,X,O
IJOLSTZ,O,X,O
IJOLSZT,O,X,O
IJOLZTS,O,X,O
IJOLZST,O,X,O
IJOSTLZ,X,O,O
IJOSTZL,X,O,O
IJOSLTZ,X,O,O
IJOSLZT,X,O,O
IJOSZTL,X,O,O
IJOSZLT,X,O,O
IJOZTLS,O,O,O
IJOZTSL,O,O,O
IJOZLTS,O,O,O
IJOZLST,O,O,O
IJOZSTL,O,O,O
IJOZSLT,O,O,O
ISTLJZO,O,O,X
ISTLJOZ,O,O,X
ISTLZJO,O,O,X
ISTLZOJ,O,O,O
ISTLOJZ,O,X,O
ISTLOZJ,O,X,O
ISTJLZO,O,O,X
ISTJLOZ,O,O,X
ISTJZLO,O,O,X
ISTJZOL,O,O,O
ISTJOLZ,X,O,O
ISTJOZL,X,O,O
ISTZLJO,O,O,X
ISTZLOJ,O,O,O
ISTZJLO,O,O,X
ISTZJOL,O,O,O
ISTZOLJ,O,O,O
ISTZOJL,O,O,O
ISTOLJZ,X,X,O
ISTOLZJ,X,X,O
ISTOJLZ,X,X,O
ISTOJZL,X,X,O
ISTOZLJ,X,X,O
ISTOZJL,X,X,O
ISLTJZO,O,O,X
ISLTJOZ,O,O,X
ISLTZJO,O,O,X
ISLTZOJ,O,O,O
ISLTOJZ,O,X,O
ISLTOZJ,O,X,O
ISLJTZO,O,O,X
ISLJTOZ,O,O,X
ISLJZTO,O,O,X
ISLJZOT,O,O,O
ISLJOTZ,O,O,O
ISLJOZT,O,O,O
ISLZTJO,O,O,X
ISLZTOJ,O,O,O
ISLZJTO,O,O,X
ISLZJOT,O,O,O
ISLZOTJ,O,O,O
ISLZOJT,O,O,O
ISLOTJZ,O,X,O
ISLOTZJ,O,X,O
ISLOJTZ,O,X,O
ISLOJZT,O,X,O
ISLOZTJ,O,X,O
ISLOZJT,O,X,O
ISJTLZO,O,O,X
ISJTLOZ,O,O,X
ISJTZLO,O,O,X
ISJTZOL,O,O,O
ISJTOLZ,X,O,O
ISJTOZL,X,O,O
ISJLTZO,O,O,X
ISJLTOZ,O,O,X
ISJLZTO,O,O,X
ISJLZOT,O,O,O
ISJLOTZ,O,O,O
ISJLOZT,O,O,O
ISJZTLO,O,O,X
ISJZTOL,O,O,O
ISJZLTO,O,O,X
ISJZLOT,O,O,O
ISJZOTL,O,O,O
ISJZOLT,O,O,O
ISJOTLZ,X,O,O
ISJOTZL,X,O,O
ISJOLTZ,X,O,O
ISJOLZT,X,O,O
ISJOZTL,X,O,O
ISJOZLT,X,O,O
ISZTLJO,O,O,X
ISZTLOJ,O,O,O
ISZTJLO,O,O,X
ISZTJOL,O,O,O
ISZTOLJ,O,O,O
ISZTOJL,O,O,O
ISZLTJO,O,O,X
ISZLTOJ,O,O,O
ISZLJTO,O,O,X
ISZLJOT,O,O,O
ISZLOTJ,O,O,O
ISZLOJT,O,O,O
ISZJTLO,O,O,X
ISZJTOL,O,O,O
ISZJLTO,O,O,X
ISZJLOT,O,O,O
ISZJOTL,O,O,O
ISZJOLT,O,O,O
ISZOTLJ,O,O,O
ISZOTJL,O,O,O
ISZOLTJ,O,O,O
ISZOLJT,O,O,O
ISZOJTL,O,O,O
ISZOJLT,O,O,O
ISOTLJZ,X,X,O
ISOTLZJ,X,X,O
ISOTJLZ,X,X,O
ISOTJZL,X,X,O
ISOTZLJ,X,X,O
ISOTZJL,X,X,O
ISOLTJZ,X,X,O
ISOLTZJ,X,X,O
ISOLJTZ,X,X,O
ISOLJZT,X,X,O
ISOLZTJ,X,X,O
ISOLZJT,X,X,O
ISOJTLZ,X,X,O
ISOJTZL,X,X,O
ISOJLTZ,X,X,O
ISOJLZT,X,X,O
ISOJZTL,X,X,O
ISOJZLT,X,X,O
ISOZTLJ,X,X,O
ISOZTJL,X,X,O
ISOZLTJ,X,X,O
ISOZLJT,X,X,O
ISOZJTL,X,X,O
ISOZJLT,X,X,O
IZTLJSO,O,O,X
IZTLJOS,O,O,X
IZTLSJO,O,X,X
IZTLSOJ,O,X,O
IZTLOJS,O,O,O
IZTLOSJ,O,X,O
IZTJLSO,O,O,X
IZTJLOS,O,O,X
IZTJSLO,O,O,X
IZTJSOL,O,O,O
IZTJOLS,O,O,O
IZTJOSL,O,O,O
IZTSLJO,O,O,X
IZTSLOJ,O,O,O
IZTSJLO,O,O,X
IZTSJOL,O,O,O
IZTSOLJ,O,O,O
IZTSOJL,O,O,O
IZTOLJS,O,O,O
IZTOLSJ,O,X,O
IZTOJLS,O,O,O
IZTOJSL,O,O,O
IZTOSLJ,O,O,O
IZTOSJL,O,O,O
IZLTJSO,O,O,X
IZLTJOS,O,O,X
IZLTSJO,O,X,X
IZLTSOJ,O,X,O
IZLTOJS,O,O,O
IZLTOSJ,O,X,O
IZLJTSO,O,O,X
IZLJTOS,O,O,X
IZLJSTO,O,O,X
IZLJSOT,O,O,O
IZLJOTS,O,O,O
IZLJOST,O,O,O
IZLSTJO,O,X,X
IZLSTOJ,O,X,O
IZLSJTO,O,X,X
IZLSJOT,O,X,O
IZLSOTJ,O,X,O
IZLSOJT,O,X,O
IZLOTJS,O,O,O
IZLOTSJ,O,X,O
IZLOJTS,O,O,O
IZLOJST,O,O,O
IZLOSTJ,O,X,O
IZLOSJT,O,X,O
IZJTLSO,O,O,X
IZJTLOS,O,O,X
IZJTSLO,O,O,X
IZJTSOL,O,O,O
IZJTOLS,O,O,O
IZJTOSL,O,O,O
IZJLTSO,O,O,X
IZJLTOS,O,O,X
IZJLSTO,O,O,X
IZJLSOT,O,O,O
IZJLOTS,O,O,O
IZJLOST,O,O,O
IZJSTLO,O,O,X
IZJSTOL,O,O,O
IZJSLTO,O,O,X
IZJSLOT,O,O,O
IZJSOTL,O,O,O
IZJSOLT,O,O,O
IZJOTLS,O,O,O
IZJOTSL,O,O,O
IZJOLTS,O,O,O
IZJOLST,O,O,O
IZJOSTL,O,O,O
IZJOSLT,O,O,O
IZSTLJO,O,O,X
IZSTLOJ,O,O,O
IZSTJLO,O,O,X
IZSTJOL,O,O,O
IZSTOLJ,O,O,O
IZSTOJL,O,O,O
IZSLTJO,O,O,X
IZSLTOJ,O,O,O
IZSLJTO,O,O,X
IZSLJOT,O,O,O
IZSLOTJ,O,O,O
IZSLOJT,O,O,O
IZSJTLO,O,O,X
IZSJTOL,O,O,O
IZSJLTO,O,O,X
IZSJLOT,O,O,O
IZSJOTL,O,O,O
IZSJOLT,O,O,O
IZSOTLJ,O,O,O
IZSOTJL,O,O,O
IZSOLTJ,O,O,O
IZSOLJT,O,O,O
IZSOJTL,O,O,O
IZSOJLT,O,O,O
IZOTLJS,O,O,O
IZOTLSJ,O,X,O
IZOTJLS,O,O,O
IZOTJSL,O,O,O
IZOTSLJ,O,O,O
IZOTSJL,O,O,O
IZOLTJS,O,O,O
IZOLTSJ,O,X,O
IZOLJTS,O,O,O
IZOLJST,O,O,O
IZOLSTJ,O,X,O
IZOLSJT,O,X,O
IZOJTLS,O,O,O
IZOJTSL,O,O,O
IZOJLTS,O,O,O
IZOJLST,O,O,O
IZOJSTL,O,O,O
IZOJSLT,O,O,O
IZOSTLJ,O,O,O
IZOSTJL,O,O,O
IZOSLTJ,O,O,O
IZOSLJT,O,O,O
IZOSJTL,O,O,O
IZOSJLT,O,O,O
IOTLJSZ,O,X,O
IOTLJZS,O,X,O
IOTLSJZ,O,X,O
IOTLSZJ,O,X,O
IOTLZJS,O,X,O
IOTLZSJ,O,X,O
IOTJLSZ,O,X,O
IOTJLZS,O,X,O
IOTJSLZ,X,O,O
IOTJSZL,X,O,O
IOTJZLS,O,O,O
IOTJZSL,O,O,O
IOTSLJZ,X,X,O
IOTSLZJ,X,X,O
IOTSJLZ,X,X,O
IOTSJZL,X,X,O
IOTSZLJ,X,X,O
IOTSZJL,X,X,O
IOTZLJS,O,O,O
IOTZLSJ,O,X,O
IOTZJLS,O,O,O
IOTZJSL,O,O,O
IOTZSLJ,O,X,O
IOTZSJL,O,O,O
IOLTJSZ,O,X,O
IOLTJZS,O,X,O
IOLTSJZ,O,X,O
IOLTSZJ,O,X,O
IOLTZJS,O,X,O
IOLTZSJ,O,X,O
IOLJTSZ,O,X,O
IOLJTZS,O,X,O
IOLJSTZ,O,X,O
IOLJSZT,O,X,O
IOLJZTS,O,X,O
IOLJZST,O,X,O
IOLSTJZ,O,X,O
IOLSTZJ,O,X,O
IOLSJTZ,O,X,O
IOLSJZT,O,X,O
IOLSZTJ,O,X,O
IOLSZJT,O,X,O
IOLZTJS,O,X,O
IOLZTSJ,O,X,O
IOLZJTS,O,X,O
IOLZJST,O,X,O
IOLZSTJ,O,X,O
IOLZSJT,O,X,O
IOJTLSZ,O,X,O
IOJTLZS,O,X,O
IOJTSLZ,X,O,O
IOJTSZL,X,O,O
IOJTZLS,O,O,O
IOJTZSL,O,O,O
IOJLTSZ,O,X,O
IOJLTZS,O,X,O
IOJLSTZ,O,X,O
IOJLSZT,O,X,O
IOJLZTS,O,X,O
IOJLZST,O,X,O
IOJSTLZ,X,O,O
IOJSTZL,X,O,O
IOJSLTZ,X,O,O
IOJSLZT,X,O,O
IOJSZTL,X,O,O
IOJSZLT,X,O,O
IOJZTLS,O,O,O
IOJZTSL,O,O,O
IOJZLTS,O,O,O
IOJZLST,O,O,O
IOJZSTL,O,O,O
IOJZSLT,O,O,O
IOSTLJZ,X,X,O
IOSTLZJ,X,X,O
IOSTJLZ,X,X,O
IOSTJZL,X,X,O
IOSTZLJ,X,X,O
IOSTZJL,X,X,O
IOSLTJZ,X,X,O
IOSLTZJ,X,X,O
IOSLJTZ,X,X,O
IOSLJZT,X,X,O
IOSLZTJ,X,X,O
IOSLZJT,X,X,O
IOSJTLZ,X,X,O
IOSJTZL,X,X,O
IOSJLTZ,X,X,O
IOSJLZT,X,X,O
IOSJZTL,X,X,O
IOSJZLT,X,X,O
IOSZTLJ,X,X,O
IOSZTJL,X,X,O
IOSZLTJ,X,X,O
IOSZLJT,X,X,O
IOSZJTL,X,X,O
IOSZJLT,X,X,O
IOZTLJS,O,O,O
IOZTLSJ,O,X,O
IOZTJLS,O,O,O
IOZTJSL,O,O,O
IOZTSLJ,O,X,O
IOZTSJL,O,O,O
IOZLTJS,O,O,O
IOZLTSJ,O,X,O
IOZLJTS,O,O,O
IOZLJST,O,O,O
IOZLSTJ,O,X,O
IOZLSJT,O,X,O
IOZJTLS,O,O,O
IOZJTSL,O,O,O
IOZJLTS,O,O,O
IOZJLST,O,O,O
IOZJSTL,O,O,O
IOZJSLT,O,O,O
IOZSTLJ,O,X,O
IOZSTJL,O,O,O
IOZSLTJ,O,X,O
IOZSLJT,O,X,O
IOZSJTL,O,O,O
IOZSJLT,O,O,O
LTIJSZO,O,O,X
LTIJSOZ,O,O,X
LTIJZSO,O,O,X
LTIJZOS,O,O,X
LTIJOSZ,O,X,X
LTIJOZS,O,X,X
LTISJZO,O,X,X
LTISJOZ,O,X,X
LTISZJO,O,X,X
LTISZOJ,O,X,O
LTISOJZ,O,X,O
LTISOZJ,O,X,O
LTIZJSO,O,O,X
LTIZJOS,O,O,X
LTIZSJO,O,X,X
LTIZSOJ,O,X,O
LTIZOJS,O,O,O
LTIZOSJ,O,X,O
LTIOJSZ,O,X,O
LTIOJZS,O,X,O
LTIOSJZ,O,X,O
LTIOSZJ,O,X,O
LTIOZJS,O,X,O
LTIOZSJ,O,X,O
LTJISZO,O,O,X
LTJISOZ,O,O,X
LTJIZSO,O,O,X
LTJIZOS,O,O,X
LTJIOSZ,O,X,X
LTJIOZS,O,X,X
LTJSIZO,O,O,X
LTJSIOZ,O,O,X
LTJSZIO,O,O,X
LTJSZOI,O,O,X
LTJSOIZ,O,O,X
LTJSOZI,O,O,X
LTJZISO,O,O,X
LTJZIOS,O,O,X
LTJZSIO,O,O,X
LTJZSOI,O,O,X
LTJZOIS,O,O,X
LTJZOSI,O,O,X
LTJOISZ,O,X,X
LTJOIZS,O,X,X
LTJOSIZ,O,X,X
LTJOSZI,O,X,X
LTJOZIS,O,X,X
LTJOZSI,O,X,X
LTSIJZO,O,O,X
LTSIJOZ,O,O,X
LTSIZJO,O,O,X
LTSIZOJ,O,O,O
LTSIOJZ,O,X,O
LTSIOZJ,O,X,O
LTSJIZO,O,O,X
LTSJIOZ,O,O,X
LTSJZIO,O,O,X
LTSJZOI,O,O,X
LTSJOIZ,O,O,X
LTSJOZI,O,O,X
LTSZIJO,O,O,X
LTSZIOJ,O,O,O
LTSZJIO,O,O,X
LTSZJOI,O,O,X
LTSZOIJ,O,O,O
LTSZOJI,O,O,O
LTSOIJZ,O,X,O
LTSOIZJ,O,X,O
LTSOJIZ,O,O,O
LTSOJZI,O,O,O
LTSOZIJ,O,O,O
LTSOZJI,O,O,O
LTZIJSO,O,O,X
LTZIJOS,O,O,X
LTZISJO,O,X,X
LTZISOJ,O,X,O
LTZIOJS,O,O,O
LTZIOSJ,O,X,O
LTZJISO,O,O,X
LTZJIOS,O,O,X
LTZJSIO,O,O,X
LTZJSOI,O,O,X
LTZJOIS,O,O,X
LTZJOSI,O,O,X
LTZSIJO,O,O,X
LTZSIOJ,O,O,O
LTZSJIO,O,O,X
LTZSJOI,O,O,X
LTZSOIJ,O,O,O
LTZSOJI,O,O,O
LTZOIJS,O,O,O
LTZOISJ,O,X,O
LTZOJIS,O,O,O
LTZOJSI,O,O,O
LTZOSIJ,O,O,O
LTZOSJI,O,O,O
LTOIJSZ,O,X,O
LTOIJZS,O,X,O
LTOISJZ,O,X,O
LTOISZJ,O,X,O
LTOIZJS,O,X,O
LTOIZSJ,O,X,O
LTOJISZ,O,X,O
LTOJIZS,O,X,O
LTOJSIZ,O,X,O
LTOJSZI,O,X,O
LTOJZIS,O,X,O
LTOJZSI,O,X,O
LTOSIJZ,O,X,O
LTOSIZJ,O,X,O
LTOSJIZ,O,X,O
LTOSJZI,O,X,O
LTOSZIJ,O,X,O
LTOSZJI,O,X,O
LTOZIJS,O,X,O
LTOZISJ,O,X,O
LTOZJIS,O,X,O
LTOZJSI,O,X,O
LTOZSIJ,O,X,O
LTOZSJI,O,X,O
LITJSZO,O,O,X
LITJSOZ,O,O,X
LITJZSO,O,O,X
LITJZOS,O,O,X
LITJOSZ,O,X,X
LITJOZS,O,X,X
LITSJZO,O,X,X
LITSJOZ,O,X,X
LITSZJO,O,X,X
LITSZOJ,O,X,O
LITSOJZ,O,X,O
LITSOZJ,O,X,O
LITZJSO,O,O,X
LITZJOS,O,O,X
LITZSJO,O,X,X
LITZSOJ,O,X,O
LITZOJS,O,O,O
LITZOSJ,O,X,O
LITOJSZ,O,X,O
LITOJZS,O,X,O
LITOSJZ,O,X,O
LITOSZJ,O,X,O
LITOZJS,O,X,O
LITOZSJ,O,X,O
LIJTSZO,O,O,X
LIJTSOZ,O,O,X
LIJTZSO,O,O,X
LIJTZOS,O,O,X
LIJTOSZ,O,X,X
LIJTOZS,O,X,X
LIJSTZO,O,O,X
LIJSTOZ,O,O,X
LIJSZTO,O,O,X
LIJSZOT,O,O,O
LIJSOTZ,O,O,O
LIJSOZT,O,O,O
LIJZTSO,O,O,X
LIJZTOS,O,O,X
LIJZSTO,O,O,X
LIJZSOT,O,O,O
LIJZOTS,O,O,O
LIJZOST,O,O,O
LIJOTSZ,O,X,O
LIJOTZS,O,X,O
LIJOSTZ,O,X,O
LIJOSZT,O,X,O
LIJOZTS,O,X,O
LIJOZST,O,X,O
LISTJZO,O,X,X
LISTJOZ,O,X,X
LISTZJO,O,X,X
LISTZOJ,O,X,O
LISTOJZ,O,X,O
LISTOZJ,O,X,O
LISJTZO,O,X,X
LISJTOZ,O,X,X
LISJZTO,O,X,X
LISJZOT,O,X,O
LISJOTZ,O,X,O
LISJOZT,O,X,O
LISZTJO,O,X,X
LISZTOJ,O,X,O
LISZJTO,O,X,X
LISZJOT,O,X,O
LISZOTJ,O,X,O
LISZOJT,O,X,O
LISOTJZ,O,X,O
LISOTZJ,O,X,O
LISOJTZ,O,X,O
LISOJZT,O,X,O
LISOZTJ,O,X,O
LISOZJT,O,X,O
LIZTJSO,O,O,X
LIZTJOS,O,O,X
LIZTSJO,O,X,X
LIZTSOJ,O,X,O
LIZTOJS,O,O,O
LIZTOSJ,O,X,O
LIZJTSO,O,O,X
LIZJTOS,O,O,X
LIZJSTO,O,O,X
LIZJSOT,O,O,O
LIZJOTS,O,O,O
LIZJOST,O,O,O
LIZSTJO,O,X,X
LIZSTOJ,O,X,O
LIZSJTO,O,X,X
LIZSJOT,O,X,O
LIZSOTJ,O,X,O
LIZSOJT,O,X,O
LIZOTJS,O,O,O
LIZOTSJ,O,X,O
LIZOJTS,O,O,O
LIZOJST,O,O,O
LIZOSTJ,O,X,O
LIZOSJT,O,X,O
LIOTJSZ,O,X,O
LIOTJZS,O,X,O
LIOTSJZ,O,X,O
LIOTSZJ,O,X,O
LIOTZJS,O,X,O
LIOTZSJ,O,X,O
LIOJTSZ,O,X,O
LIOJTZS,O,X,O
LIOJSTZ,O,X,O
LIOJSZT,O,X,O
LIOJZTS,O,X,O
LIOJZST,O,X,O
LIOSTJZ,O,X,O
LIOSTZJ,O,X,O
LIOSJTZ,O,X,O
LIOSJZT,O,X,O
LIOSZTJ,O,X,O
LIOSZJT,O,X,O
LIOZTJS,O,X,O
LIOZTSJ,O,X,O
LIOZJTS,O,X,O
LIOZJST,O,X,O
LIOZSTJ,O,X,O
LIOZSJT,O,X,O
LJTISZO,O,O,X
LJTISOZ,O,O,X
LJTIZSO,O,O,X
LJTIZOS,O,O,X
LJTIOSZ,O,X,X
LJTIOZS,O,X,X
LJTSIZO,O,O,X
LJTSIOZ,O,O,X
LJTSZIO,O,O,X
LJTSZOI,O,O,X
LJTSOIZ,O,O,X
LJTSOZI,O,O,X
LJTZISO,O,O,X
LJTZIOS,O,O,X
LJTZSIO,O,O,X
LJTZSOI,O,O,X
LJTZOIS,O,O,X
LJTZOSI,O,O,X
LJTOISZ,O,X,X
LJTOIZS,O,X,X
LJTOSIZ,O,X,X
LJTOSZI,O,X,X
LJTOZIS,O,X,X
LJTOZSI,O,X,X
LJITSZO,O,O,X
LJITSOZ,O,O,X
LJITZSO,O,O,X
LJITZOS,O,O,X
LJITOSZ,O,X,X
LJITOZS,O,X,X
LJISTZO,O,O,X
LJISTOZ,O,O,X
LJISZTO,O,O,X
LJISZOT,O,O,O
LJISOTZ,O,O,O
LJISOZT,O,O,O
LJIZTSO,O,O,X
LJIZTOS,O,O,X
LJIZSTO,O,O,X
LJIZSOT,O,O,O
LJIZOTS,O,O,O
LJIZOST,O,O,O
LJIOTSZ,O,X,O
LJIOTZS,O,X,O
LJIOSTZ,O,X,O
LJIOSZT,O,X,O
LJIOZTS,O,X,O
LJIOZST,O,X,O
LJSTIZO,O,O,X
LJSTIOZ,O,O,X
LJSTZIO,O,O,X
LJSTZOI,O,O,X
LJSTOIZ,O,O,X
LJSTOZI,O,O,X
LJSITZO,O,O,X
LJSITOZ,O,O,X
LJSIZTO,O,O,X
LJSIZOT,O,O,O
LJSIOTZ,O,O,O
LJSIOZT,O,O,O
LJSZTIO,O,O,X
LJSZTOI,O,O,X
LJSZITO,O,O,X
LJSZIOT,O,O,O
LJSZOTI,O,O,O
LJSZOIT,O,O,O
LJSOTIZ,O,O,O
LJSOTZI,O,O,O
LJSOITZ,O,O,O
LJSOIZT,O,O,O
LJSOZTI,O,O,O
LJSOZIT,O,O,O
LJZTISO,O,O,X
LJZTIOS,O,O,X
LJZTSIO,O,O,X
LJZTSOI,O,O,X
LJZTOIS,O,O,X
LJZTOSI,O,O,X
LJZITSO,O,O,X
LJZITOS,O,O,X
LJZISTO,O,O,X
LJZISOT,O,O,O
LJZIOTS,O,O,O
LJZIOST,O,O,O
LJZSTIO,O,O,X
LJZSTOI,O,O,X
LJZSITO,O,O,X
LJZSIOT,O,O,O
LJZSOTI,O,O,O
LJZSOIT,O,O,O
LJZOTIS,O,O,O
LJZOTSI,O,O,O
LJZOITS,O,O,O
LJZOIST,O,O,O
LJZOSTI,O,O,O
LJZOSIT,O,O,O
LJOTISZ,O,X,O
LJOTIZS,O,X,O
LJOTSIZ,O,X,O
LJOTSZI,O,X,O
LJOTZIS,O,X,O
LJOTZSI,O,X,O
LJOITSZ,O,X,O
LJOITZS,O,X,O
LJOISTZ,O,X,O
LJOISZT,O,X,O
LJOIZTS,O,X,O
LJOIZST,O,X,O
LJOSTIZ,O,X,O
LJOSTZI,O,X,O
LJOSITZ,O,X,O
LJOSIZT,O,X,O
LJOSZTI,O,X,O
LJOSZIT,O,X,O
LJOZTIS,O,X,O
LJOZTSI,O,X,O
LJOZITS,O,X,O
LJOZIST,O,X,O
LJOZSTI,O,X,O
LJOZSIT,O,X,O
LSTIJZO,O,O,X
LSTIJOZ,O,O,X
LSTIZJO,O,O,X
LSTIZOJ,O,O,O
LSTIOJZ,O,X,O
LSTIOZJ,O,X,O
LSTJIZO,O,O,X
LSTJIOZ,O,O,X
LSTJZIO,O,O,X
LSTJZOI,O,O,X
LSTJOIZ,O,O,X
LSTJOZI,O,O,X
LSTZIJO,O,O,X
LSTZIOJ,O,O,O
LSTZJIO,O,O,X
LSTZJOI,O,O,X
LSTZOIJ,O,O,O
LSTZOJI,O,O,O
LSTOIJZ,O,X,O
LSTOIZJ,O,X,O
LSTOJIZ,O,O,O
LSTOJZI,O,O,O
LSTOZIJ,O,O,O
LSTOZJI,O,O,O
LSITJZO,O,O,X
LSITJOZ,O,O,X
LSITZJO,O,O,X
LSITZOJ,O,O,O
LSITOJZ,O,X,O
LSITOZJ,O,X,O
LSIJTZO,O,O,X
LSIJTOZ,O,O,X
LSIJZTO,O,O,X
LSIJZOT,O,O,O
LSIJOTZ,O,O,O
LSIJOZT,O,O,O
LSIZTJO,O,O,X
LSIZTOJ,O,O,O
LSIZJTO,O,O,X
LSIZJOT,O,O,O
LSIZOTJ,O,O,O
LSIZOJT,O,O,O
LSIOTJZ,O,X,O
LSIOTZJ,O,X,O
LSIOJTZ,O,X,O
LSIOJZT,O,X,O
LSIOZTJ,O,X,O
LSIOZJT,O,X,O
LSJTIZO,O,O,X
LSJTIOZ,O,O,X
LSJTZIO,O,O,X
LSJTZOI,O,O,X
LSJTOIZ,O,O,X
LSJTOZI,O,O,X
LSJITZO,O,O,X
LSJITOZ,O,O,X
LSJIZTO,O,O,X
LSJIZOT,O,O,O
LSJIOTZ,O,O,O
LSJIOZT,O,O,O
LSJZTIO,O,O,X
LSJZTOI,O,O,X
LSJZITO,O,O,X
LSJZIOT,O,O,O
LSJZOTI,O,O,O
LSJZOIT,O,O,O
LSJOTIZ,O,O,O
LSJOTZI,O,O,O
LSJOITZ,O,O,O
LSJOIZT,O,O,O
LSJOZTI,O,O,O
LSJOZIT,O,O,O
LSZTIJO,O,O,X
LSZTIOJ,O,O,O
LSZTJIO,O,O,X
LSZTJOI,O,O,X
LSZTOIJ,O,O,O
LSZTOJI,O,O,O
LSZITJO,O,O,X
LSZITOJ,O,O,O
LSZIJTO,O,O,X
LSZIJOT,O,O,O
LSZIOTJ,O,O,O
LSZIOJT,O,O,O
LSZJTIO,O,O,X
LSZJTOI,O,O,X
LSZJITO,O,O,X
LSZJIOT,O,O,O
LSZJOTI,O,O,O
LSZJOIT,O,O,O
LSZOTIJ,O,O,O
LSZOTJI,O,O,O
LSZOITJ,O,O,O
LSZOIJT,O,O,O
LSZOJTI,O,O,O
LSZOJIT,O,O,O
LSOTIJZ,O,X,O
LSOTIZJ,O,X,O
LSOTJIZ,O,O,O
LSOTJZI,O,O,O
LSOTZIJ,O,O,O
LSOTZJI,O,O,O
LSOITJZ,O,X,O
LSOITZJ,O,X,O
LSOIJTZ,O,X,O
LSOIJZT,O,X,O
LSOIZTJ,O,X,O
LSOIZJT,O,X,O
LSOJTIZ,O,O,O
LSOJTZI,O,O,O
LSOJITZ,O,O,O
LSOJIZT,O,O,O
LSOJZTI,O,O,O
LSOJZIT,O,O,O
LSOZTIJ,O,O,O
LSOZTJI,O,O,O
LSOZITJ,O,O,O
LSOZIJT,O,O,O
LSOZJTI,O,O,O
LSOZJIT,O,O,O
LZTIJSO,O,O,X
LZTIJOS,O,O,X
LZTISJO,O,X,X
LZTISOJ,O,X,O
LZTIOJS,O,O,O
LZTIOSJ,O,X,O
LZTJISO,O,O,X
LZTJIOS,O,O,X
LZTJSIO,O,O,X
LZTJSOI,O,O,X
LZTJOIS,O,O,X
LZTJOSI,O,O,X
LZTSIJO,O,O,X
LZTSIOJ,O,O,O
LZTSJIO,O,O,X
LZTSJOI,O,O,X
LZTSOIJ,O,O,O
LZTSOJI,O,O,O
LZTOIJS,O,O,O
LZTOISJ,O,X,O
LZTOJIS,O,O,O
LZTOJSI,O,O,O
LZTOSIJ,O,O,O
LZTOSJI,O,O,O
