sequence,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFXgBxhBzlBCnBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBfmBxhBCnBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF0gBxhBzkBCnB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhFTgBxhBfqB8qBCn?BlsB,v115@FhB8HeB8IeC8BeC8AeB8JexAJvhFTiBikBGmB0kB3q?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFTiBikBGmBXmBUq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhF8lBGiBTkBKqB3m?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je0/IvhFxgBTiB2pBSrBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Jex/IvhFXhBTiB2pBSrBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8JeOEJvhF8kBSmBTiBxqBls?B3qB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFfmB6mBTiBxpBls?BUqB,v115@FhB8HeB8IeC8BeC8AeB8Jei/IvhFGiB3kBRmBUmBTq?BlsB,v115@FhB8HeB8IeC8BeC8AeB8Je2EJvhFRhBSnBUmB3kBTq?BlsB
TILJSZO,O,O,O,O,X,X,O,O,O,X,O,O,X
TILJSOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TILJZSO,O,O,O,O,X,O,O,O,O,O,X,X,X
TILJZOS,O,X,O,O,O,O,O,O,O,O,X,X,X
TILJOSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
TILJOZS,O,X,O,O,O,O,O,O,O,O,X,X,X
TILSJZO,O,O,O,O,O,X,O,O,O,X,O,O,X
TILSJOZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TILSZJO,O,O,O,O,X,O,O,X,X,O,O,O,X
TILSZOJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TILSOJZ,O,X,O,O,O,O,O,O,O,X,O,O,X
TILSOZJ,O,O,O,O,X,O,O,X,O,O,O,X,X
TILZJSO,O,O,O,O,X,O,O,O,X,O,X,X,X
TILZJOS,O,X,O,O,X,O,O,O,X,O,X,X,X
TILZSJO,O,O,O,O,X,O,O,X,X,O,X,X,X
TILZSOJ,O,O,O,O,X,O,X,X,X,O,X,X,X
TILZOJS,O,X,O,O,X,O,O,O,X,O,X,X,X
TILZOSJ,O,X,O,O,X,O,O,X,X,O,X,X,X
TILOJSZ,O,X,O,O,O,O,O,O,O,X,O,X,X
