sequence,v115@vhG/DJZkBClBOrBXqBUsBTtB,v115@vhGfDJ5oB/pBaqBuqB0rBzsB,v115@vhGz7IZkBXmB0nB6tBWvB3rB,v115@vhHKAJziBcpB3mB+tBXqBlsBRwB,v115@vhGz8IylBcpB3mB+tBXqBRwB,v115@vhGZEJXiBupBUmBTqBXsBSyB,v115@vhGfCJ5oB/pBaqBznBWwBUsB
comments,S-01/TSD,S-02/Quad,S-03/Lime,S-04/Alt TKI,S-05/Alt TKI,S-06/Stacked S,S-07/Boat
TILJSZO,X,X,O,O,O,X,X
TILJSOZ,X,X,O,X,O,O,X
TILJZSO,X,X,O,O,O,X,O
TILJZOS,O,O,X,X,X,X,O
TILJOSZ,O,O,X,X,X,O,X
TILJOZS,O,O,X,X,X,O,X
TILSJZO,X,X,O,O,O,X,X
TILSJOZ,X,X,O,X,O,O,X
TILSZJO,X,X,O,O,O,X,X
TILSZOJ,X,X,O,X,O,O,X
TILSOJZ,X,X,O,X,O,O,X
TILSOZJ,X,X,O,X,O,O,X
TILZJSO,X,X,O,O,O,X,O
TILZJOS,O,O,X,X,X,X,O
TILZSJO,X,X,O,O,O,X,O
TILZSOJ,X,X,O,X,O,O,O
TILZOJS,O,O,X,X,X,O,O
TILZOSJ,O,O,X,X,X,O,O
TILOJSZ,O,O,X,X,X,O,X
TILOJZS,O,O,X,X,X,O,X
TILOSJZ,O,O,X,X,X,O,X
TILOSZJ,O,O,X,X,X,O,X
TILOZJS,O,O,X,X,X,O,X
TILOZSJ,O,O,X,X,X,O,X
TIJLSZO,X,X,O,O,O,X,X
TIJLSOZ,X,X,O,X,O,O,X
TIJLZSO,X,X,O,O,O,X,O
TIJLZOS,O,O,X,X,X,X,O
TIJLOSZ,O,O,X,X,X,O,X
TIJLOZS,O,O,X,X,X,O,X
TIJSLZO,X,X,O,O,O,X,X
TIJSLOZ,X,X,O,X,O,O,X
TIJSZLO,X,X,O,O,O,X,X
TIJSZOL,X,X,O,X,O,X,X
TIJSOLZ,X,X,O,X,O,O,X
TIJSOZL,X,X,O,X,O,O,X
TIJZLSO,X,X,O,O,O,X,O
TIJZLOS,O,O,X,X,X,X,O
TIJZSLO,X,X,O,O,O,X,O
TIJZSOL,X,X,O,X,O,X,O
TIJZOLS,O,O,X,X,X,X,O
TIJZOSL,O,O,X,X,X,X,O
TIJOLSZ,O,O,X,X,X,O,X
TIJOLZS,O,O,X,X,X,O,X
TIJOSLZ,O,O,X,X,X,O,X
TIJOSZL,O,O,X,X,X,O,X
TIJOZLS,O,O,X,X,X,O,X
TIJOZSL,O,O,X,X,X,O,X
TISLJZO,X,X,O,O,O,X,X
TISLJOZ,X,X,O,X,O,O,X
TISLZJO,X,X,O,O,O,X,X
TISLZOJ,X,X,O,X,O,O,X
TISLOJZ,X,X,O,X,O,O,X
TISLOZJ,X,X,O,X,O,O,X
TISJLZO,X,X,O,O,O,X,X
TISJLOZ,X,X,O,X,O,O,X
TISJZLO,X,X,O,O,O,X,X
TISJZOL,X,X,O,X,O,X,X
TISJOLZ,X,X,O,X,O,O,X
TISJOZL,X,X,O,X,O,O,X
TISZLJO,X,X,O,O,O,X,X
TISZLOJ,X,X,O,X,O,O,X
TISZJLO,X,X,O,O,O,X,X
TISZJOL,X,X,O,X,O,X,X
TISZOLJ,X,X,O,X,O,O,X
TISZOJL,X,X,O,X,O,O,X
TISOLJZ,X,X,O,X,O,O,X
TISOLZJ,X,X,O,X,O,O,X
TISOJLZ,X,X,O,X,O,O,X
TISOJZL,X,X,O,X,O,O,X
TISOZLJ,X,X,O,X,O,O,X
TISOZJL,X,X,O,X,O,O,X
TIZLJSO,X,X,O,O,O,X,O
TIZLJOS,O,O,X,X,X,X,O
TIZLSJO,X,X,O,O,O,X,O
TIZLSOJ,X,X,O,X,O,O,O
TIZLOJS,O,O,X,X,X,O,O
TIZLOSJ,O,O,X,X,X,O,O
TIZJLSO,X,X,O,O,O,X,O
TIZJLOS,O,O,X,X,X,X,O
TIZJSLO,X,X,O,O,O,X,O
TIZJSOL,X,X,O,X,O,X,O
TIZJOLS,O,O,X,X,X,X,O
TIZJOSL,O,O,X,X,X,X,O
TIZSLJO,X,X,O,O,O,X,O
TIZSLOJ,X,X,O,X,O,O,O
TIZSJLO,X,X,O,O,O,X,O
TIZSJOL,X,X,O,X,O,X,O
TIZSOLJ,X,X,O,X,O,O,O
TIZSOJL,X,X,O,X,O,O,O
TIZOLJS,O,O,X,X,X,O,O
TIZOLSJ,O,O,X,X,X,O,O
TIZOJLS,O,O,X,X,X,O,O
TIZOJSL,O,O,X,X,X,O,O
TIZOSLJ,O,O,X,X,X,O,O
TIZOSJL,O,O,X,X,X,O,O
TIOLJSZ,O,O,X,X,X,O,X
TIOLJZS,O,O,X,X,X,O,X
TIOLSJZ,O,O,X,X,X,O,X
TIOLSZJ,O,O,X,X,X,O,X
TIOLZJS,O,O,X,X,X,O,X
TIOLZSJ,O,O,X,X,X,O,X
TIOJLSZ,O,O,X,X,X,O,X
TIOJLZS,O,O,X,X,X,O,X
TIOJSLZ,O,O,X,X,X,O,X
TIOJSZL,O,O,X,X,X,O,X
TIOJZLS,O,O,X,X,X,O,X
TIOJZSL,O,O,X,X,X,O,X
TIOSLJZ,O,O,X,X,X,O,X
TIOSLZJ,O,O,X,X,X,O,X
TIOSJLZ,O,O,X,X,X,O,X
TIOSJZL,O,O,X,X,X,O,X
TIOSZLJ,O,O,X,X,X,O,X
TIOSZJL,O,O,X,X,X,O,X
TIOZLJS,O,O,X,X,X,O,X
TIOZLSJ,O,O,X,X,X,O,X
TIOZJLS,O,O,X,X,X,O,X
TIOZJSL,O,O,X,X,X,O,X
TIOZSLJ,O,O,X,X,X,O,X
TIOZSJL,O,O,X,X,X,O,X
TLIJSZO,X,X,O,O,O,X,X
TLIJSOZ,X,X,O,X,O,O,X
TLIJZSO,X,X,O,O,O,X,O
TLIJZOS,O,O,X,X,X,X,O
TLIJOSZ,O,O,X,X,X,O,X
TLIJOZS,O,O,X,X,X,O,X
TLISJZO,X,X,O,O,O,X,X
TLISJOZ,X,X,O,X,O,O,X
TLISZJO,X,X,O,O,O,X,X
TLISZOJ,X,X,O,X,O,O,X
TLISOJZ,X,X,O,X,O,O,X
TLISOZJ,X,X,O,X,O,O,X
TLIZJSO,X,X,O,O,O,X,O
TLIZJOS,O,O,X,X,X,X,O
TLIZSJO,X,X,O,O,O,X,O
TLIZSOJ,X,X,O,X,O,O,O
TLIZOJS,O,O,X,X,X,O,O
TLIZOSJ,O,O,X,X,X,O,O
TLIOJSZ,O,O,X,X,X,O,X
TLIOJZS,O,O,X,X,X,O,X
TLIOSJZ,O,O,X,X,X,O,X
TLIOSZJ,O,O,X,X,X,O,X
TLIOZJS,O,O,X,X,X,O,X
TLIOZSJ,O,O,X,X,X,O,X
TLJISZO,X,X,O,O,O,X,X
TLJISOZ,X,X,O,X,O,O,X
TLJIZSO,X,X,O,O,O,X,O
TLJIZOS,O,O,X,X,X,X,O
TLJIOSZ,O,O,X,X,X,O,X
TLJIOZS,O,O,X,X,X,O,X
TLJSIZO,X,X,O,X,X,X,X
TLJSIOZ,X,X,O,X,X,O,X
TLJSZIO,X,X,O,X,X,X,X
TLJSZOI,X,X,O,X,X,X,X
TLJSOIZ,X,X,O,X,X,O,X
TLJSOZI,X,X,O,X,X,O,X
TLJZISO,X,X,O,O,O,X,O
TLJZIOS,O,O,X,X,X,X,O
TLJZSIO,X,X,O,X,X,X,O
TLJZSOI,X,X,O,X,X,X,O
TLJZOIS,O,O,X,X,X,X,O
TLJZOSI,O,O,X,X,X,X,O
TLJOISZ,O,O,X,X,X,O,X
TLJOIZS,O,O,X,X,X,O,X
TLJOSIZ,O,O,X,X,X,O,X
TLJOSZI,O,O,X,X,X,O,X
TLJOZIS,O,O,X,X,X,O,X
TLJOZSI,O,O,X,X,X,O,X
TLSIJZO,X,X,O,X,X,X,X
TLSIJOZ,X,X,O,X,X,O,X
TLSIZJO,X,X,O,X,X,X,X
TLSIZOJ,X,X,O,X,X,O,X
TLSIOJZ,X,X,O,X,X,O,X
TLSIOZJ,X,X,O,X,X,O,X
TLSJIZO,X,X,O,X,X,X,X
TLSJIOZ,X,X,O,X,X,O,X
TLSJZIO,X,X,O,X,X,X,X
TLSJZOI,X,X,O,X,X,X,X
TLSJOIZ,X,X,O,X,X,O,X
TLSJOZI,X,X,O,X,X,O,X
TLSZIJO,X,X,O,X,X,X,X
TLSZIOJ,X,X,O,X,X,O,X
TLSZJIO,X,X,O,X,X,X,X
TLSZJOI,X,X,O,X,X,X,X
TLSZOIJ,X,X,O,X,X,O,X
TLSZOJI,X,X,O,X,X,O,X
TLSOIJZ,X,X,O,X,X,O,X
TLSOIZJ,X,X,O,X,X,O,X
TLSOJIZ,X,X,O,X,X,O,X
TLSOJZI,X,X,O,X,X,O,X
TLSOZIJ,X,X,O,X,X,O,X
TLSOZJI,X,X,O,X,X,O,X
TLZIJSO,X,X,O,O,O,X,O
TLZIJOS,O,O,X,X,X,X,O
TLZISJO,X,X,O,O,O,X,O
TLZISOJ,X,X,O,X,O,O,O
TLZIOJS,O,O,X,X,X,O,O
TLZIOSJ,O,O,X,X,X,O,O
TLZJISO,X,X,O,O,O,X,O
TLZJIOS,O,O,X,X,X,X,O
TLZJSIO,X,X,O,X,X,X,O
TLZJSOI,X,X,O,X,X,X,O
TLZJOIS,O,O,X,X,X,X,O
TLZJOSI,O,O,X,X,X,X,O
TLZSIJO,X,X,O,X,X,X,O
TLZSIOJ,X,X,O,X,X,O,O
TLZSJIO,X,X,O,X,X,X,O
TLZSJOI,X,X,O,X,X,X,O
TLZSOIJ,X,X,O,X,X,O,O
TLZSOJI,X,X,O,X,X,O,O
TLZOIJS,O,O,X,X,X,O,O
TLZOISJ,O,O,X,X,X,O,O
TLZOJIS,O,O,X,X,X,O,O
TLZOJSI,O,O,X,X,X,O,O
TLZOSIJ,O,O,X,X,X,O,O
TLZOSJI,O,O,X,X,X,O,O
TLOIJSZ,O,O,X,X,X,O,X
TLOIJZS,O,O,X,X,X,O,X
TLOISJZ,O,O,X,X,X,O,X
TLOISZJ,O,O,X,X,X,O,X
TLOIZJS,O,O,X,X,X,O,X
TLOIZSJ,O,O,X,X,X,O,X
TLOJISZ,O,O,X,X,X,O,X
TLOJIZS,O,O,X,X,X,O,X
TLOJSIZ,O,O,X,X,X,O,X
TLOJSZI,O,O,X,X,X,O,X
TLOJZIS,O,O,X,X,X,O,X
TLOJZSI,O,O,X,X,X,O,X
TLOSIJZ,O,O,X,X,X,O,X
TLOSIZJ,O,O,X,X,X,O,X
TLOSJIZ,O,O,X,X,X,O,X
TLOSJZI,O,O,X,X,X,O,X
TLOSZIJ,O,O,X,X,X,O,X
TLOSZJI,O,O,X,X,X,O,X
TLOZIJS,O,O,X,X,X,O,X
TLOZISJ,O,O,X,X,X,O,X
TLOZJIS,O,O,X,X,X,O,X
TLOZJSI,O,O,X,X,X,O,X
TLOZSIJ,O,O,X,X,X,O,X
TLOZSJI,O,O,X,X,X,O,X
TJILSZO,X,X,O,O,O,X,X
TJILSOZ,X,X,O,X,O,O,X
TJILZSO,X,X,O,O,O,X,O
TJILZOS,O,O,X,X,X,X,O
TJILOSZ,O,O,X,X,X,O,X
TJILOZS,O,O,X,X,X,O,X
TJISLZO,X,X,O,O,O,X,X
TJISLOZ,X,X,O,X,O,O,X
TJISZLO,X,X,O,O,O,X,X
TJISZOL,X,X,O,X,O,X,X
TJISOLZ,X,X,O,X,O,O,X
TJISOZL,X,X,O,X,O,O,X
TJIZLSO,X,X,O,O,O,X,O
TJIZLOS,O,O,X,X,X,X,O
TJIZSLO,X,X,O,O,O,X,O
TJIZSOL,X,X,O,X,O,X,O
TJIZOLS,O,O,X,X,X,X,O
TJIZOSL,O,O,X,X,X,X,O
TJIOLSZ,O,O,X,X,X,O,X
TJIOLZS,O,O,X,X,X,O,X
TJIOSLZ,O,O,X,X,X,O,X
TJIOSZL,O,O,X,X,X,O,X
TJIOZLS,O,O,X,X,X,O,X
TJIOZSL,O,O,X,X,X,O,X
TJLISZO,X,X,O,O,O,X,X
TJLISOZ,X,X,O,X,O,O,X
TJLIZSO,X,X,O,O,O,X,O
TJLIZOS,O,O,X,X,X,X,O
TJLIOSZ,O,O,X,X,X,O,X
TJLIOZS,O,O,X,X,X,O,X
TJLSIZO,X,X,O,X,X,X,X
TJLSIOZ,X,X,O,X,X,O,X
TJLSZIO,X,X,O,X,X,X,X
TJLSZOI,X,X,O,X,X,X,X
TJLSOIZ,X,X,O,X,X,O,X
TJLSOZI,X,X,O,X,X,O,X
TJLZISO,X,X,O,O,O,X,O
TJLZIOS,O,O,X,X,X,X,O
TJLZSIO,X,X,O,X,X,X,O
TJLZSOI,X,X,O,X,X,X,O
TJLZOIS,O,O,X,X,X,X,O
TJLZOSI,O,O,X,X,X,X,O
TJLOISZ,O,O,X,X,X,O,X
TJLOIZS,O,O,X,X,X,O,X
TJLOSIZ,O,O,X,X,X,O,X
TJLOSZI,O,O,X,X,X,O,X
TJLOZIS,O,O,X,X,X,O,X
TJLOZSI,O,O,X,X,X,O,X
TJSILZO,X,X,O,X,X,X,X
TJSILOZ,X,X,O,X,X,O,X
TJSIZLO,X,X,O,X,X,X,X
TJSIZOL,X,X,O,X,X,X,X
TJSIOLZ,X,X,O,X,X,O,X
TJSIOZL,X,X,O,X,X,O,X
TJSLIZO,X,X,O,X,X,X,X
TJSLIOZ,X,X,O,X,X,O,X
TJSLZIO,X,X,O,X,X,X,X
TJSLZOI,X,X,O,X,X,X,X
TJSLOIZ,X,X,O,X,X,O,X
TJSLOZI,X,X,O,X,X,O,X
TJSZILO,X,X,O,X,X,X,X
