sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STILJSZO,O,X,O,O,X,O,X,O,X
STILJSOZ,O,X,O,X,X,O,X,O,O
STILJZSO,O,X,O,O,X,O,X,O,X
STILJZOS,X,X,O,O,X,X,O,O,X
STILJOSZ,X,X,O,X,X,O,O,X,X
STILJOZS,X,X,O,X,X,X,O,X,X
STILSJZO,O,X,O,O,X,O,X,O,X
STILSJOZ,O,X,O,X,X,O,X,O,O
STILSZJO,O,X,O,O,X,O,X,O,O
STILSZOJ,O,X,O,O,X,O,X,O,O
STILSOJZ,O,X,O,X,X,O,X,O,O
STILSOZJ,O,X,O,O,X,O,X,O,O
STILZJSO,O,X,O,O,X,O,X,O,O
STILZJOS,X,X,O,O,X,X,O,O,O
STILZSJO,O,X,O,O,X,O,X,O,O
STILZSOJ,O,X,O,O,X,O,X,O,O
STILZOJS,X,X,O,O,X,X,X,O,X
STILZOSJ,O,X,O,O,X,X,X,O,O
STILOJSZ,O,X,O,X,X,O,X,X,X
STILOJZS,O,X,O,X,X,X,X,X,X
STILOSJZ,O,X,O,X,X,O,X,O,O
STILOSZJ,O,X,O,O,X,O,X,O,O
STILOZJS,O,X,O,O,X,X,X,O,X
STILOZSJ,O,X,O,O,X,X,X,O,O
STIJLSZO,O,O,O,X,X,O,X,O,X
STIJLSOZ,O,O,O,X,X,O,X,O,O
STIJLZSO,O,O,O,X,X,O,X,O,X
STIJLZOS,X,X,O,X,X,X,O,O,X
STIJLOSZ,X,X,O,X,X,O,O,X,X
STIJLOZS,X,X,O,X,X,X,O,X,X
STIJSLZO,O,O,O,O,X,O,X,O,X
STIJSLOZ,O,O,O,X,X,O,X,O,O
STIJSZLO,O,O,O,O,X,X,X,O,X
STIJSZOL,O,O,X,O,X,O,X,O,X
STIJSOLZ,O,O,X,X,X,O,X,O,O
STIJSOZL,O,O,X,X,X,O,X,O,X
STIJZLSO,O,O,O,O,X,X,X,O,X
STIJZLOS,X,X,O,X,X,X,O,O,X
STIJZSLO,O,O,O,O,X,X,X,O,O
STIJZSOL,O,O,X,O,O,O,X,O,O
STIJZOLS,X,X,X,X,O,X,X,O,X
STIJZOSL,X,O,X,O,O,X,X,O,O
STIJOLSZ,O,X,X,X,X,O,X,X,X
STIJOLZS,O,X,X,X,O,X,X,X,X
STIJOSLZ,O,O,X,X,X,O,X,O,O
STIJOSZL,O,O,X,X,O,O,X,O,X
STIJOZLS,O,X,X,X,O,X,X,O,X
STIJOZSL,O,O,X,X,O,X,X,O,O
STISLJZO,O,O,O,O,X,O,X,O,X
STISLJOZ,O,O,O,X,X,O,X,O,O
STISLZJO,O,O,O,O,X,O,X,O,O
STISLZOJ,O,O,O,O,X,O,X,O,O
STISLOJZ,O,O,O,X,X,O,X,O,O
STISLOZJ,O,O,O,O,X,O,X,O,O
STISJLZO,O,O,O,O,X,O,X,O,X
STISJLOZ,O,O,O,X,X,O,X,O,O
STISJZLO,O,O,O,O,X,X,X,O,X
STISJZOL,O,O,X,O,X,O,X,O,X
STISJOLZ,O,O,X,X,X,O,X,O,O
STISJOZL,O,O,X,X,X,O,X,O,X
STISZLJO,O,O,O,O,X,O,X,O,O
STISZLOJ,O,O,O,O,X,O,X,O,O
STISZJLO,O,O,O,O,X,X,X,O,O
STISZJOL,O,O,X,O,X,O,X,O,O
STISZOLJ,O,O,X,X,X,O,X,O,O
STISZOJL,O,O,X,O,X,O,X,O,O
STISOLJZ,O,O,X,X,X,O,X,O,O
STISOLZJ,O,O,X,O,X,O,X,O,O
STISOJLZ,O,O,X,X,X,O,X,O,O
STISOJZL,O,O,X,X,X,O,X,O,X
STISOZLJ,O,O,X,X,X,O,X,O,O
STISOZJL,O,O,X,O,X,O,X,O,O
STIZLJSO,O,X,O,O,X,O,X,O,O
STIZLJOS,X,X,O,O,X,X,O,O,O
STIZLSJO,O,O,O,O,X,O,X,O,O
STIZLSOJ,O,O,O,O,X,O,X,O,O
STIZLOJS,X,X,O,O,X,X,X,O,X
STIZLOSJ,O,X,O,O,X,X,X,O,O
STIZJLSO,O,O,O,O,X,X,X,O,O
STIZJLOS,X,X,O,O,X,X,O,O,O
STIZJSLO,O,O,O,O,X,X,X,O,O
STIZJSOL,O,O,X,O,O,O,X,O,O
STIZJOLS,X,X,X,X,O,X,X,O,O
STIZJOSL,X,O,X,O,O,X,X,O,O
STIZSLJO,O,O,O,O,X,O,X,O,O
STIZSLOJ,O,O,O,O,X,O,X,O,O
STIZSJLO,O,O,O,O,X,X,X,O,O
STIZSJOL,O,O,X,O,O,O,X,O,O
STIZSOLJ,O,O,X,X,X,O,X,O,O
STIZSOJL,O,O,X,O,X,O,X,O,O
STIZOLJS,O,X,X,X,X,X,X,O,X
STIZOLSJ,O,O,X,X,X,X,X,X,O
STIZOJLS,O,O,X,X,X,X,X,O,O
STIZOJSL,O,O,X,O,X,X,X,O,O
STIZOSLJ,O,O,X,X,X,X,X,O,O
STIZOSJL,O,O,X,X,X,X,X,O,O
STIOLJSZ,O,X,X,X,X,O,X,X,X
STIOLJZS,O,X,X,X,X,X,X,X,X
STIOLSJZ,O,X,X,X,X,O,X,O,O
STIOLSZJ,O,X,X,X,X,O,X,O,O
STIOLZJS,O,X,X,X,X,X,X,O,X
STIOLZSJ,O,X,X,X,X,X,X,O,O
STIOJLSZ,O,O,X,X,X,O,X,X,X
STIOJLZS,O,O,X,X,X,X,X,X,X
STIOJSLZ,O,O,X,X,X,O,X,O,O
STIOJSZL,O,O,X,X,X,O,X,O,X
STIOJZLS,O,O,X,X,X,X,X,O,X
STIOJZSL,O,O,X,X,X,X,X,O,O
STIOSLJZ,O,O,X,X,X,O,X,O,O
STIOSLZJ,O,O,X,O,X,O,X,O,O
STIOSJLZ,O,O,X,X,X,O,X,O,O
STIOSJZL,O,O,X,X,X,O,X,O,X
STIOSZLJ,O,O,X,X,X,O,X,O,O
STIOSZJL,O,O,X,O,X,O,X,O,O
STIOZLJS,O,X,X,X,X,X,X,O,X
STIOZLSJ,O,O,X,X,X,X,X,X,O
STIOZJLS,O,O,X,X,X,X,X,O,O
STIOZJSL,O,O,X,O,X,X,X,O,O
STIOZSLJ,O,O,X,X,X,X,X,O,O
STIOZSJL,O,O,X,X,X,X,X,O,O
STLIJSZO,O,X,O,O,X,O,X,O,X
STLIJSOZ,O,X,O,X,X,O,X,O,O
STLIJZSO,O,X,O,O,X,O,X,O,X
