sequence,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBfnB?0iB6oBNrBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulBzhB?foB6oBNrB0sB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFChB8mB?+nBTjBdrBXtB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeiAJvhFRiB9oB?cqBOrBXnBzsB,v115@9gB8HeB8HeB8HeB8AeA8AeB8BeA8JeZFJvhFulB3hB?9oB0nBirBzsB
ITLOSZJ,O,X,O,X,O
ITLOZJS,O,O,O,X,O
ITLOZSJ,O,O,O,X,O
ITJLSZO,O,X,O,X,O
ITJLSOZ,O,X,O,X,O
ITJLZSO,O,O,O,O,O
ITJLZOS,O,O,O,O,O
ITJLOSZ,O,X,X,X,O
ITJLOZS,O,O,X,X,O
ITJSLZO,O,X,O,O,O
ITJSLOZ,O,X,O,X,O
ITJSZLO,O,O,O,O,X
ITJSZOL,O,O,O,O,X
ITJSOLZ,O,X,O,X,X
ITJSOZL,O,O,O,O,X
ITJZLSO,O,O,O,O,O
ITJZLOS,O,O,O,O,O
ITJZSLO,O,O,O,O,X
ITJZSOL,O,O,O,O,X
ITJZOLS,O,O,O,O,X
ITJZOSL,O,O,O,X,X
ITJOLSZ,O,X,X,X,O
ITJOLZS,O,O,X,X,O
ITJOSLZ,O,X,O,X,X
ITJOSZL,O,O,O,X,X
ITJOZLS,O,O,O,O,X
ITJOZSL,O,O,O,X,X
ITSLJZO,O,X,O,X,O
ITSLJOZ,O,X,O,X,O
ITSLZJO,O,X,O,O,O
ITSLZOJ,O,X,O,O,O
ITSLOJZ,O,X,O,X,O
ITSLOZJ,O,X,O,X,O
ITSJLZO,O,X,O,O,O
ITSJLOZ,O,X,O,X,O
ITSJZLO,O,O,O,O,X
ITSJZOL,O,O,O,O,X
ITSJOLZ,O,X,O,X,X
ITSJOZL,O,O,O,O,X
ITSZLJO,O,O,O,O,X
ITSZLOJ,O,O,O,O,X
ITSZJLO,O,O,O,O,X
ITSZJOL,O,O,O,O,X
ITSZOLJ,O,O,O,O,X
ITSZOJL,O,O,O,X,X
ITSOLJZ,O,X,O,X,X
ITSOLZJ,O,X,O,X,X
ITSOJLZ,O,X,O,X,X
ITSOJZL,O,O,O,X,X
ITSOZLJ,O,O,O,O,X
ITSOZJL,O,O,O,X,X
ITZLJSO,O,O,O,O,O
ITZLJOS,O,O,O,O,O
ITZLSJO,O,O,O,O,O
ITZLSOJ,O,O,O,O,O
ITZLOJS,O,O,O,O,O
ITZLOSJ,O,O,O,O,O
ITZJLSO,O,O,O,O,O
ITZJLOS,O,O,O,O,O
ITZJSLO,O,O,O,O,X
ITZJSOL,O,O,O,O,X
ITZJOLS,O,O,O,O,X
ITZJOSL,O,O,O,X,X
ITZSLJO,O,O,O,O,X
ITZSLOJ,O,O,O,O,X
ITZSJLO,O,O,O,O,X
ITZSJOL,O,O,O,O,X
ITZSOLJ,O,O,O,O,X
ITZSOJL,O,O,O,X,X
ITZOLJS,O,O,O,O,X
ITZOLSJ,O,O,O,O,X
ITZOJLS,O,O,O,O,X
ITZOJSL,O,O,O,X,X
ITZOSLJ,O,O,O,X,X
ITZOSJL,O,O,O,X,X
ITOLJSZ,O,X,X,X,O
ITOLJZS,O,O,X,X,O
ITOLSJZ,O,X,X,X,O
ITOLSZJ,O,X,O,X,O
ITOLZJS,O,O,O,X,O
ITOLZSJ,O,O,O,X,O
ITOJLSZ,O,X,X,X,O
ITOJLZS,O,O,X,X,O
ITOJSLZ,O,X,O,X,X
ITOJSZL,O,O,O,X,X
ITOJZLS,O,O,O,O,X
ITOJZSL,O,O,O,X,X
ITOSLJZ,O,X,O,X,X
ITOSLZJ,O,X,O,X,X
ITOSJLZ,O,X,O,X,X
ITOSJZL,O,O,O,X,X
ITOSZLJ,O,O,O,O,X
ITOSZJL,O,O,O,X,X
ITOZLJS,O,O,O,O,X
ITOZLSJ,O,O,O,O,X
ITOZJLS,O,O,O,O,X
ITOZJSL,O,O,O,X,X
ITOZSLJ,O,O,O,X,X
ITOZSJL,O,O,O,X,X
ILTJSZO,O,X,O,X,O
ILTJSOZ,O,X,O,X,O
ILTJZSO,O,O,O,X,O
ILTJZOS,O,O,O,X,O
ILTJOSZ,O,X,X,X,O
ILTJOZS,O,O,X,X,O
ILTSJZO,O,X,O,X,O
ILTSJOZ,O,X,O,X,O
ILTSZJO,O,X,O,X,O
ILTSZOJ,O,X,O,X,O
ILTSOJZ,O,X,O,X,O
ILTSOZJ,O,X,O,X,O
ILTZJSO,O,O,O,X,O
ILTZJOS,O,O,O,X,O
ILTZSJO,O,O,O,X,O
ILTZSOJ,O,O,O,X,O
ILTZOJS,O,O,O,X,O
ILTZOSJ,O,O,O,X,O
ILTOJSZ,O,X,X,X,O
ILTOJZS,O,O,X,X,O
ILTOSJZ,O,X,X,X,O
ILTOSZJ,O,X,O,X,O
ILTOZJS,O,O,O,X,O
ILTOZSJ,O,O,O,X,O
ILJTSZO,O,X,O,X,O
ILJTSOZ,O,X,O,X,O
ILJTZSO,O,O,O,X,O
ILJTZOS,O,O,O,X,O
ILJTOSZ,O,X,X,X,O
ILJTOZS,O,O,X,X,O
ILJSTZO,O,X,O,X,O
ILJSTOZ,O,X,O,X,O
ILJSZTO,O,X,O,X,O
ILJSZOT,X,X,O,X,O
ILJSOTZ,O,X,O,X,O
ILJSOZT,X,X,O,X,O
ILJZTSO,O,X,O,X,O
ILJZTOS,O,X,O,X,O
ILJZSTO,X,X,O,X,O
ILJZSOT,X,X,O,X,O
ILJZOTS,O,X,X,X,O
ILJZOST,X,X,X,X,O
ILJOTSZ,O,X,X,X,O
ILJOTZS,O,X,X,X,O
ILJOSTZ,O,X,X,X,O
ILJOSZT,O,X,X,X,O
ILJOZTS,O,X,X,X,O
ILJOZST,O,X,X,X,O
ILSTJZO,O,X,O,X,O
ILSTJOZ,O,X,O,X,O
ILSTZJO,O,X,O,X,O
ILSTZOJ,O,X,O,X,O
ILSTOJZ,O,X,O,X,O
ILSTOZJ,O,X,O,X,O
ILSJTZO,O,X,O,X,O
ILSJTOZ,O,X,O,X,O
ILSJZTO,O,X,O,X,O
ILSJZOT,X,X,O,X,O
ILSJOTZ,O,X,O,X,O
ILSJOZT,X,X,O,X,O
ILSZTJO,O,X,O,X,O
ILSZTOJ,O,X,O,X,O
ILSZJTO,O,X,O,X,O
ILSZJOT,X,X,O,X,O
ILSZOTJ,O,X,X,X,O
ILSZOJT,X,X,X,X,O
ILSOTJZ,O,X,O,X,O
ILSOTZJ,O,X,X,X,O
ILSOJTZ,O,X,O,X,O
ILSOJZT,O,X,O,X,O
ILSOZTJ,O,X,X,X,O
ILSOZJT,O,X,X,X,O
ILZTJSO,O,O,O,X,O
ILZTJOS,O,O,O,X,O
ILZTSJO,O,O,O,X,O
ILZTSOJ,O,O,O,X,O
ILZTOJS,O,O,O,X,O
ILZTOSJ,O,O,O,X,O
ILZJTSO,O,X,O,X,O
ILZJTOS,O,X,O,X,O
ILZJSTO,X,X,O,X,O
ILZJSOT,X,X,O,X,O
ILZJOTS,O,X,X,X,O
ILZJOST,X,X,X,X,O
ILZSTJO,O,O,O,X,O
ILZSTOJ,O,O,O,X,O
ILZSJTO,O,O,O,X,O
ILZSJOT,X,O,O,X,O
ILZSOTJ,O,O,X,X,O
ILZSOJT,X,O,X,X,O
ILZOTJS,O,O,X,X,O
ILZOTSJ,O,O,X,X,O
ILZOJTS,O,X,X,X,O
ILZOJST,O,X,X,X,O
ILZOSTJ,O,O,X,X,O
ILZOSJT,O,O,X,X,O
ILOTJSZ,O,X,X,X,O
ILOTJZS,O,X,X,X,O
ILOTSJZ,O,X,X,X,O
ILOTSZJ,O,X,X,X,O
ILOTZJS,O,X,X,X,O
ILOTZSJ,O,X,X,X,O
ILOJTSZ,O,X,X,X,O
ILOJTZS,O,X,X,X,O
ILOJSTZ,O,X,X,X,O
ILOJSZT,O,X,X,X,O
ILOJZTS,O,X,X,X,O
ILOJZST,O,X,X,X,O
ILOSTJZ,O,X,X,X,O
ILOSTZJ,O,X,X,X,O
ILOSJTZ,O,X,X,X,O
ILOSJZT,O,X,X,X,O
ILOSZTJ,O,X,X,X,O
ILOSZJT,O,X,X,X,O
ILOZTJS,O,X,X,X,O
ILOZTSJ,O,X,X,X,O
ILOZJTS,O,X,X,X,O
ILOZJST,O,X,X,X,O
ILOZSTJ,O,X,X,X,O
ILOZSJT,O,X,X,X,O
IJTLSZO,O,X,O,X,O
IJTLSOZ,O,X,O,X,O
IJTLZSO,O,O,O,O,O
IJTLZOS,O,O,O,O,O
IJTLOSZ,O,X,X,X,O
IJTLOZS,O,O,X,X,O
IJTSLZO,O,X,O,O,O
IJTSLOZ,O,X,O,X,O
IJTSZLO,O,O,O,O,X
IJTSZOL,O,O,O,O,X
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,O,O,O,X
IJTZLSO,O,O,O,O,O
IJTZLOS,O,O,O,O,O
IJTZSLO,O,O,O,O,X
IJTZSOL,O,O,O,O,X
IJTZOLS,O,O,O,O,X
IJTZOSL,O,O,O,X,X
IJTOLSZ,O,X,X,X,O
IJTOLZS,O,O,X,X,O
IJTOSLZ,O,X,O,X,X
IJTOSZL,O,O,O,X,X
IJTOZLS,O,O,O,O,X
IJTOZSL,O,O,O,X,X
IJLTSZO,O,X,O,X,O
IJLTSOZ,O,X,O,X,O
IJLTZSO,O,O,O,X,O
IJLTZOS,O,O,O,X,O
IJLTOSZ,O,X,X,X,O
IJLTOZS,O,O,X,X,O
IJLSTZO,O,X,O,X,O
IJLSTOZ,O,X,O,X,O
IJLSZTO,O,X,O,X,O
IJLSZOT,X,X,O,X,O
IJLSOTZ,O,X,O,X,O
IJLSOZT,X,X,O,X,O
IJLZTSO,O,X,O,X,O
IJLZTOS,O,X,O,X,O
IJLZSTO,X,X,O,X,O
IJLZSOT,X,X,O,X,O
IJLZOTS,O,X,X,X,O
IJLZOST,X,X,X,X,O
IJLOTSZ,O,X,X,X,O
IJLOTZS,O,X,X,X,O
IJLOSTZ,O,X,X,X,O
IJLOSZT,O,X,X,X,O
IJLOZTS,O,X,X,X,O
IJLOZST,O,X,X,X,O
IJSTLZO,O,X,O,O,O
IJSTLOZ,O,X,O,X,O
IJSTZLO,O,O,O,O,X
IJSTZOL,O,O,O,O,X
IJSTOLZ,O,X,O,X,X
IJSTOZL,O,O,O,O,X
IJSLTZO,O,X,O,X,O
IJSLTOZ,O,X,O,X,O
IJSLZTO,O,X,O,X,O
IJSLZOT,X,X,O,X,O
IJSLOTZ,O,X,O,X,O
IJSLOZT,X,X,O,X,O
IJSZTLO,O,X,O,O,X
IJSZTOL,O,X,O,O,X
IJSZLTO,O,X,O,O,X
IJSZLOT,X,X,O,X,X
IJSZOTL,X,X,O,X,X
IJSZOLT,X,X,O,X,X
IJSOTLZ,O,X,O,X,X
IJSOTZL,O,X,O,X,X
IJSOLTZ,O,X,O,X,X
IJSOLZT,O,X,O,X,X
IJSOZTL,O,X,O,X,X
IJSOZLT,O,X,O,X,X
IJZTLSO,O,O,O,O,O
IJZTLOS,O,O,O,O,O
IJZTSLO,O,O,O,O,X
IJZTSOL,O,O,O,O,X
IJZTOLS,O,O,O,O,X
IJZTOSL,O,O,O,X,X
IJZLTSO,O,X,O,O,O
IJZLTOS,O,X,O,O,O
IJZLSTO,X,X,O,O,O
IJZLSOT,X,X,O,X,O
IJZLOTS,O,X,X,O,O
IJZLOST,X,X,X,O,O
IJZSTLO,X,O,O,O,X
IJZSTOL,X,O,O,O,X
IJZSLTO,X,O,O,O,X
IJZSLOT,X,O,O,X,X
IJZSOTL,X,O,O,X,X
IJZSOLT,X,O,O,X,X
IJZOTLS,O,O,O,O,X
IJZOTSL,O,O,O,O,X
IJZOLTS,O,X,X,O,X
IJZOLST,X,X,X,O,X
IJZOSTL,X,O,O,O,X
IJZOSLT,X,O,O,O,X
IJOTLSZ,O,X,X,X,O
IJOTLZS,O,O,X,O,O
IJOTSLZ,O,X,O,O,X
IJOTSZL,O,O,O,O,X
IJOTZLS,O,O,O,O,X
IJOTZSL,O,O,O,O,X
IJOLTSZ,O,X,X,X,O
IJOLTZS,O,X,X,X,O
IJOLSTZ,O,X,X,X,O
IJOLSZT,O,X,X,X,O
IJOLZTS,O,X,X,X,O
IJOLZST,O,X,X,X,O
IJOSTLZ,O,X,O,O,X
IJOSTZL,O,X,O,O,X
IJOSLTZ,O,X,O,X,X
IJOSLZT,O,X,O,X,X
IJOSZTL,O,X,O,O,X
IJOSZLT,O,X,O,O,X
IJOZTLS,O,X,O,O,X
IJOZTSL,O,X,O,O,X
IJOZLTS,O,X,X,O,X
IJOZLST,O,X,X,O,X
IJOZSTL,O,X,O,O,X
IJOZSLT,O,X,O,O,X
ISTLJZO,O,X,O,X,O
ISTLJOZ,O,X,O,X,O
ISTLZJO,O,X,O,O,O
ISTLZOJ,O,X,O,O,O
ISTLOJZ,O,X,O,X,O
ISTLOZJ,O,X,O,X,O
ISTJLZO,O,X,O,O,O
ISTJLOZ,O,X,O,X,O
ISTJZLO,O,O,O,O,X
ISTJZOL,O,O,O,O,X
ISTJOLZ,O,X,O,X,X
ISTJOZL,O,O,O,O,X
ISTZLJO,O,O,O,O,X
ISTZLOJ,O,O,O,O,X
ISTZJLO,O,O,O,O,X
ISTZJOL,O,O,O,O,X
ISTZOLJ,O,O,O,O,X
ISTZOJL,O,O,O,X,X
ISTOLJZ,O,X,O,X,X
ISTOLZJ,O,X,O,X,X
ISTOJLZ,O,X,O,X,X
ISTOJZL,O,O,O,X,X
ISTOZLJ,O,O,O,O,X
ISTOZJL,O,O,O,X,X
ISLTJZO,O,X,O,X,O
ISLTJOZ,O,X,O,X,O
ISLTZJO,O,X,O,X,O
ISLTZOJ,O,X,O,X,O
ISLTOJZ,O,X,O,X,O
ISLTOZJ,O,X,O,X,O
ISLJTZO,O,X,O,X,O
ISLJTOZ,O,X,O,X,O
ISLJZTO,O,X,O,X,O
ISLJZOT,X,X,O,X,O
ISLJOTZ,O,X,O,X,O
ISLJOZT,X,X,O,X,O
ISLZTJO,O,X,O,X,O
ISLZTOJ,O,X,O,X,O
ISLZJTO,O,X,O,X,O
ISLZJOT,X,X,O,X,O
ISLZOTJ,O,X,X,X,O
ISLZOJT,X,X,X,X,O
ISLOTJZ,O,X,O,X,O
ISLOTZJ,O,X,X,X,O
ISLOJTZ,O,X,O,X,O
ISLOJZT,O,X,O,X,O
ISLOZTJ,O,X,X,X,O
ISLOZJT,O,X,X,X,O
ISJTLZO,O,X,O,O,O
ISJTLOZ,O,X,O,X,O
ISJTZLO,O,O,O,O,X
ISJTZOL,O,O,O,O,X
ISJTOLZ,O,X,O,X,X
ISJTOZL,O,O,O,O,X
ISJLTZO,O,X,O,X,O
ISJLTOZ,O,X,O,X,O
ISJLZTO,O,X,O,X,O
ISJLZOT,X,X,O,X,O
ISJLOTZ,O,X,O,X,O
ISJLOZT,X,X,O,X,O
ISJZTLO,O,X,O,O,X
ISJZTOL,O,X,O,O,X
ISJZLTO,O,X,O,O,X
ISJZLOT,X,X,O,X,X
ISJZOTL,X,X,O,X,X
ISJZOLT,X,X,O,X,X
ISJOTLZ,O,X,O,X,X
ISJOTZL,O,X,O,X,X
ISJOLTZ,O,X,O,X,X
ISJOLZT,O,X,O,X,X
ISJOZTL,O,X,O,X,X
ISJOZLT,O,X,O,X,X
ISZTLJO,O,O,O,O,X
ISZTLOJ,O,O,O,O,X
ISZTJLO,O,O,O,O,X
ISZTJOL,O,O,O,O,X
ISZTOLJ,O,O,O,O,X
ISZTOJL,O,O,O,X,X
ISZLTJO,O,O,O,O,X
ISZLTOJ,O,O,O,O,X
ISZLJTO,O,O,O,X,X
ISZLJOT,X,O,O,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,X,O,X,X,X
ISZJTLO,O,O,O,O,X
ISZJTOL,O,O,O,O,X
ISZJLTO,O,O,O,O,X
ISZJLOT,X,O,O,X,X
ISZJOTL,X,O,O,X,X
ISZJOLT,X,O,O,X,X
ISZOTLJ,O,O,O,X,X
ISZOTJL,O,O,O,X,X
ISZOLTJ,O,O,X,X,X
ISZOLJT,O,O,X,X,X
ISZOJTL,O,O,O,X,X
ISZOJLT,O,O,O,X,X
ISOTLJZ,O,X,O,X,X
ISOTLZJ,O,X,O,X,X
ISOTJLZ,O,X,O,X,X
ISOTJZL,O,X,O,X,X
ISOTZLJ,O,X,O,X,X
ISOTZJL,O,X,O,X,X
ISOLTJZ,O,X,O,X,X
ISOLTZJ,O,X,X,X,X
ISOLJTZ,O,X,O,X,X
ISOLJZT,O,X,O,X,X
ISOLZTJ,O,X,X,X,X
ISOLZJT,O,X,X,X,X
ISOJTLZ,O,X,O,X,X
ISOJTZL,O,X,O,X,X
ISOJLTZ,O,X,O,X,X
ISOJLZT,O,X,O,X,X
ISOJZTL,O,X,O,X,X
ISOJZLT,O,X,O,X,X
ISOZTLJ,O,X,O,X,X
ISOZTJL,O,X,O,X,X
ISOZLTJ,O,X,X,X,X
ISOZLJT,O,X,X,X,X
ISOZJTL,O,X,O,X,X
ISOZJLT,O,X,O,X,X
IZTLJSO,O,O,O,O,O
IZTLJOS,O,O,O,O,O
IZTLSJO,O,O,O,O,O
IZTLSOJ,O,O,O,O,O
IZTLOJS,O,O,O,O,O
IZTLOSJ,O,O,O,O,O
IZTJLSO,O,O,O,O,O
IZTJLOS,O,O,O,O,O
IZTJSLO,O,O,O,O,X
IZTJSOL,O,O,O,O,X
IZTJOLS,O,O,O,O,X
IZTJOSL,O,O,O,X,X
IZTSLJO,O,O,O,O,X
IZTSLOJ,O,O,O,O,X
IZTSJLO,O,O,O,O,X
IZTSJOL,O,O,O,O,X
IZTSOLJ,O,O,O,O,X
IZTSOJL,O,O,O,X,X
IZTOLJS,O,O,O,O,X
IZTOLSJ,O,O,O,O,X
IZTOJLS,O,O,O,O,X
IZTOJSL,O,O,O,X,X
IZTOSLJ,O,O,O,X,X
IZTOSJL,O,O,O,X,X
IZLTJSO,O,O,O,O,O
IZLTJOS,O,O,O,O,O
IZLTSJO,O,O,O,O,O
IZLTSOJ,O,O,O,O,O
IZLTOJS,O,O,O,O,O
IZLTOSJ,O,O,O,O,O
IZLJTSO,O,X,O,O,O
IZLJTOS,O,X,O,O,O
IZLJSTO,X,X,O,O,O
IZLJSOT,X,X,O,X,O
IZLJOTS,O,X,X,O,O
IZLJOST,X,X,X,O,O
IZLSTJO,O,O,O,O,O
IZLSTOJ,O,O,O,O,O
IZLSJTO,O,O,O,X,O
IZLSJOT,X,O,O,X,O
IZLSOTJ,O,O,X,X,O
IZLSOJT,X,O,X,X,O
IZLOTJS,O,O,X,O,O
IZLOTSJ,O,O,X,O,O
IZLOJTS,O,X,X,O,O
IZLOJST,O,X,X,O,O
IZLOSTJ,O,O,X,O,O
IZLOSJT,O,O,X,X,O
IZJTLSO,O,O,O,O,O
IZJTLOS,O,O,O,O,O
IZJTSLO,O,O,O,O,X
IZJTSOL,O,O,O,O,X
IZJTOLS,O,O,O,O,X
IZJTOSL,O,O,O,X,X
IZJLTSO,O,X,O,O,O
IZJLTOS,O,X,O,O,O
IZJLSTO,X,X,O,O,O
IZJLSOT,X,X,O,X,O
IZJLOTS,O,X,X,O,O
IZJLOST,X,X,X,O,O
IZJSTLO,X,O,O,O,X
IZJSTOL,X,O,O,O,X
IZJSLTO,X,O,O,O,X
IZJSLOT,X,O,O,X,X
IZJSOTL,X,O,O,X,X
IZJSOLT,X,O,O,X,X
IZJOTLS,O,O,O,O,X
IZJOTSL,O,O,O,O,X
IZJOLTS,O,X,X,O,X
IZJOLST,X,X,X,O,X
IZJOSTL,X,O,O,O,X
IZJOSLT,X,O,O,O,X
IZSTLJO,O,O,O,O,X
IZSTLOJ,O,O,O,O,X
IZSTJLO,O,O,O,O,X
IZSTJOL,O,O,O,O,X
IZSTOLJ,O,O,O,O,X
IZSTOJL,O,O,O,X,X
IZSLTJO,O,O,O,O,X
IZSLTOJ,O,O,O,O,X
IZSLJTO,O,O,O,X,X
IZSLJOT,X,O,O,X,X
IZSLOTJ,O,O,X,X,X
IZSLOJT,X,O,X,X,X
IZSJTLO,O,O,O,O,X
IZSJTOL,O,O,O,O,X
IZSJLTO,O,O,O,O,X
IZSJLOT,X,O,O,X,X
IZSJOTL,X,O,O,X,X
IZSJOLT,X,O,O,X,X
IZSOTLJ,O,O,O,X,X
IZSOTJL,O,O,O,X,X
IZSOLTJ,O,O,X,X,X
IZSOLJT,O,O,X,X,X
IZSOJTL,O,O,O,X,X
IZSOJLT,O,O,O,X,X
IZOTLJS,O,O,O,O,X
IZOTLSJ,O,O,O,O,X
IZOTJLS,O,O,O,O,X
IZOTJSL,O,O,O,O,X
IZOTSLJ,O,O,O,O,X
IZOTSJL,O,O,O,O,X
IZOLTJS,O,O,X,O,X
IZOLTSJ,O,O,X,O,X
IZOLJTS,O,X,X,O,X
IZOLJST,O,X,X,O,X
IZOLSTJ,O,O,X,O,X
IZOLSJT,O,O,X,X,X
IZOJTLS,O,O,O,O,X
IZOJTSL,O,O,O,O,X
IZOJLTS,O,X,X,O,X
IZOJLST,O,X,X,O,X
IZOJSTL,O,O,O,O,X
IZOJSLT,O,O,O,O,X
IZOSTLJ,O,O,O,O,X
IZOSTJL,O,O,O,O,X
IZOSLTJ,O,O,X,O,X
IZOSLJT,O,O,X,X,X
IZOSJTL,O,O,O,O,X
IZOSJLT,O,O,O,O,X
IOTLJSZ,O,X,X,X,O
IOTLJZS,O,O,X,O,O
IOTLSJZ,O,X,X,X,O
IOTLSZJ,O,X,O,O,O
IOTLZJS,O,O,O,O,O
IOTLZSJ,O,O,O,O,O
IOTJLSZ,O,X,X,X,O
IOTJLZS,O,O,X,O,O
IOTJSLZ,O,X,O,O,X
IOTJSZL,O,O,O,O,X
IOTJZLS,O,O,O,O,X
IOTJZSL,O,O,O,O,X
IOTSLJZ,O,X,O,X,X
IOTSLZJ,O,X,O,O,X
IOTSJLZ,O,X,O,O,X
IOTSJZL,O,O,O,O,X
IOTSZLJ,O,O,O,O,X
IOTSZJL,O,O,O,O,X
IOTZLJS,O,O,O,O,X
IOTZLSJ,O,O,O,O,X
IOTZJLS,O,O,O,O,X
IOTZJSL,O,O,O,O,X
IOTZSLJ,O,O,O,O,X
IOTZSJL,O,O,O,O,X
IOLTJSZ,O,X,X,X,O
IOLTJZS,O,X,X,X,O
IOLTSJZ,O,X,X,X,O
IOLTSZJ,O,X,X,X,O
IOLTZJS,O,X,X,X,O
IOLTZSJ,O,X,X,X,O
IOLJTSZ,O,X,X,X,O
IOLJTZS,O,X,X,X,O
IOLJSTZ,O,X,X,X,O
IOLJSZT,O,X,X,X,O
IOLJZTS,O,X,X,X,O
IOLJZST,O,X,X,X,O
IOLSTJZ,O,X,X,X,O
IOLSTZJ,O,X,X,X,O
IOLSJTZ,O,X,X,X,O
IOLSJZT,O,X,X,X,O
IOLSZTJ,O,X,X,X,O
IOLSZJT,O,X,X,X,O
IOLZTJS,O,X,X,X,O
IOLZTSJ,O,X,X,X,O
IOLZJTS,O,X,X,X,O
IOLZJST,O,X,X,X,O
IOLZSTJ,O,X,X,X,O
IOLZSJT,O,X,X,X,O
IOJTLSZ,O,X,X,X,O
IOJTLZS,O,O,X,O,O
IOJTSLZ,O,X,O,O,X
IOJTSZL,O,O,O,O,X
IOJTZLS,O,O,O,O,X
IOJTZSL,O,O,O,O,X
IOJLTSZ,O,X,X,X,O
IOJLTZS,O,X,X,X,O
IOJLSTZ,O,X,X,X,O
IOJLSZT,O,X,X,X,O
IOJLZTS,O,X,X,X,O
IOJLZST,O,X,X,X,O
IOJSTLZ,O,X,O,O,X
IOJSTZL,O,X,O,O,X
IOJSLTZ,O,X,O,X,X
IOJSLZT,O,X,O,X,X
IOJSZTL,O,X,O,O,X
IOJSZLT,O,X,O,O,X
IOJZTLS,O,X,O,O,X
IOJZTSL,O,X,O,O,X
IOJZLTS,O,X,X,O,X
IOJZLST,O,X,X,O,X
IOJZSTL,O,X,O,O,X
IOJZSLT,O,X,O,O,X
IOSTLJZ,O,X,O,X,X
IOSTLZJ,O,X,O,O,X
IOSTJLZ,O,X,O,O,X
IOSTJZL,O,X,O,O,X
IOSTZLJ,O,X,O,O,X
IOSTZJL,O,X,O,O,X
IOSLTJZ,O,X,O,X,X
IOSLTZJ,O,X,X,X,X
IOSLJTZ,O,X,O,X,X
IOSLJZT,O,X,O,X,X
IOSLZTJ,O,X,X,X,X
IOSLZJT,O,X,X,X,X
IOSJTLZ,O,X,O,O,X
IOSJTZL,O,X,O,O,X
IOSJLTZ,O,X,O,X,X
IOSJLZT,O,X,O,X,X
IOSJZTL,O,X,O,O,X
IOSJZLT,O,X,O,O,X
IOSZTLJ,O,X,O,O,X
IOSZTJL,O,X,O,O,X
IOSZLTJ,O,X,X,O,X
IOSZLJT,O,X,X,X,X
IOSZJTL,O,X,O,O,X
IOSZJLT,O,X,O,O,X
IOZTLJS,O,O,O,O,X
IOZTLSJ,O,O,O,O,X
IOZTJLS,O,O,O,O,X
IOZTJSL,O,O,O,O,X
IOZTSLJ,O,O,O,O,X
IOZTSJL,O,O,O,O,X
IOZLTJS,O,O,X,O,X
IOZLTSJ,O,O,X,O,X
IOZLJTS,O,X,X,O,X
IOZLJST,O,X,X,O,X
IOZLSTJ,O,O,X,O,X
IOZLSJT,O,O,X,X,X
IOZJTLS,O,O,O,O,X
IOZJTSL,O,O,O,O,X
IOZJLTS,O,X,X,O,X
IOZJLST,O,X,X,O,X
IOZJSTL,O,O,O,O,X
IOZJSLT,O,O,O,O,X
IOZSTLJ,O,O,O,O,X
IOZSTJL,O,O,O,O,X
IOZSLTJ,O,O,X,O,X
IOZSLJT,O,O,X,X,X
IOZSJTL,O,O,O,O,X
IOZSJLT,O,O,O,O,X
LTIJSZO,O,X,O,X,O
LTIJSOZ,O,X,O,X,O
LTIJZSO,O,O,O,O,O
LTIJZOS,O,O,O,O,O
LTIJOSZ,O,X,X,X,O
LTIJOZS,O,O,X,X,O
LTISJZO,O,X,O,X,O
LTISJOZ,O,X,O,X,O
LTISZJO,O,X,O,O,O
LTISZOJ,O,X,O,O,O
LTISOJZ,O,X,O,X,O
LTISOZJ,O,X,O,X,O
LTIZJSO,O,O,O,O,O
LTIZJOS,O,O,O,O,O
LTIZSJO,O,O,O,O,O
LTIZSOJ,O,O,O,O,O
LTIZOJS,O,O,O,O,O
LTIZOSJ,O,O,O,O,O
LTIOJSZ,O,X,X,X,O
LTIOJZS,O,O,X,X,O
LTIOSJZ,O,X,X,X,O
LTIOSZJ,O,X,O,X,O
LTIOZJS,O,O,O,X,O
LTIOZSJ,O,O,O,X,O
LTJISZO,O,X,O,X,O
LTJISOZ,O,X,O,X,O
LTJIZSO,O,O,O,O,O
LTJIZOS,O,O,O,O,O
LTJIOSZ,O,X,X,X,O
LTJIOZS,O,O,X,X,O
LTJSIZO,O,X,O,O,O
LTJSIOZ,O,X,O,X,O
LTJSZIO,O,X,O,O,O
LTJSZOI,O,X,O,O,O
LTJSOIZ,O,X,O,X,O
LTJSOZI,O,X,O,X,O
LTJZISO,O,O,O,O,O
LTJZIOS,O,O,O,O,O
LTJZSIO,O,O,O,O,O
LTJZSOI,O,O,O,O,O
LTJZOIS,O,O,O,O,O
LTJZOSI,O,O,O,O,O
LTJOISZ,O,X,X,X,O
LTJOIZS,O,O,X,X,O
LTJOSIZ,O,X,X,X,O
LTJOSZI,O,X,X,X,O
LTJOZIS,O,O,X,X,O
LTJOZSI,O,O,X,X,O
LTSIJZO,O,X,O,X,O
LTSIJOZ,O,X,O,X,O
