sequence,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBamB8nB5oBurBFsB,v115@RhC8EeA8AeE8AeC8KeT/IvhF2lBXiB8nB5oBCmBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBynB5oBGnBlrB,v115@RhC8EeA8AeE8AeC8KeT/IvhF/lBUhBxnBGnB6tBlrB
TILJSZO,X,X,O,X
TILJSOZ,X,X,O,X
TILJZSO,X,O,X,X
TILJZOS,X,O,X,X
TILJOSZ,X,X,O,X
TILJOZS,X,O,X,X
TILSJZO,X,X,O,X
TILSJOZ,X,X,O,X
TILSZJO,X,X,O,X
TILSZOJ,X,X,O,O
TILSOJZ,X,X,O,X
TILSOZJ,X,X,O,O
TILZJSO,X,O,X,X
TILZJOS,X,O,X,X
TILZSJO,X,O,O,X
TILZSOJ,X,O,O,X
TILZOJS,X,O,X,X
TILZOSJ,X,O,O,X
TILOJSZ,X,X,O,X
TILOJZS,X,O,X,X
TILOSJZ,X,X,O,X
TILOSZJ,X,X,O,O
TILOZJS,X,O,X,X
TILOZSJ,X,O,O,X
TIJLSZO,X,X,O,X
TIJLSOZ,X,X,O,X
TIJLZSO,X,O,X,X
TIJLZOS,X,O,X,X
TIJLOSZ,X,X,O,X
TIJLOZS,X,O,X,X
TIJSLZO,O,X,O,X
TIJSLOZ,O,X,O,X
TIJSZLO,O,O,O,X
TIJSZOL,O,O,O,O
TIJSOLZ,O,X,O,X
TIJSOZL,O,O,O,O
TIJZLSO,X,O,X,X
TIJZLOS,X,O,X,X
TIJZSLO,O,O,X,X
TIJZSOL,O,O,X,X
TIJZOLS,X,O,X,X
TIJZOSL,O,O,X,X
TIJOLSZ,X,X,O,X
TIJOLZS,X,O,X,X
TIJOSLZ,O,X,O,X
TIJOSZL,O,O,O,O
TIJOZLS,X,O,X,X
TIJOZSL,O,O,X,X
TISLJZO,O,X,O,X
TISLJOZ,O,X,O,X
TISLZJO,O,X,O,X
TISLZOJ,O,X,O,O
TISLOJZ,O,X,O,X
TISLOZJ,O,X,O,O
TISJLZO,O,X,O,X
TISJLOZ,O,X,O,X
TISJZLO,O,O,O,X
TISJZOL,O,O,O,O
TISJOLZ,O,X,O,X
TISJOZL,O,O,O,O
TISZLJO,O,O,O,X
TISZLOJ,O,O,O,O
TISZJLO,O,O,O,X
TISZJOL,O,O,O,O
TISZOLJ,O,O,O,O
TISZOJL,O,O,O,O
TISOLJZ,O,X,O,X
TISOLZJ,O,X,O,O
TISOJLZ,O,X,O,X
TISOJZL,O,O,O,O
TISOZLJ,O,O,O,O
TISOZJL,O,O,O,O
TIZLJSO,X,O,X,X
TIZLJOS,X,O,X,X
TIZLSJO,X,O,O,X
