sequence,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFCgBXhB8mBGjBdq?BzsB,v115@UhB8AeA8BeA8AeA8AeG8Jex/IvhFXhB8mBGjBNpBaq?BzsB,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFtkBXhB8mBqnBTj?BOqB,v115@UhB8AeA8BeA8AeA8AeG8Jex/IvhFXhBTjBOpBdqBCs?B0sB,v115@UhB8AeA8BeA8AeA8AeG8JeZEJvhFtkBXhBTjBCnBOq?B0sB
ITJLSOZ,X,X,X,O,O
ITJLZSO,O,O,O,O,X
ITJLZOS,O,O,O,O,X
ITJLOSZ,O,X,X,O,O
ITJLOZS,O,O,O,O,X
ITJSLZO,O,X,X,O,X
ITJSLOZ,X,X,X,O,O
ITJSZLO,O,O,X,O,X
ITJSZOL,O,O,X,O,X
ITJSOLZ,X,X,X,O,O
ITJSOZL,X,X,X,O,X
ITJZLSO,O,O,O,O,X
ITJZLOS,O,O,O,O,X
ITJZSLO,O,O,O,O,X
ITJZSOL,O,O,X,O,X
ITJZOLS,O,O,X,O,X
ITJZOSL,O,O,X,O,X
ITJOLSZ,O,X,X,O,O
ITJOLZS,O,O,O,O,X
ITJOSLZ,O,X,X,O,O
ITJOSZL,O,O,X,O,X
ITJOZLS,O,O,X,O,X
ITJOZSL,O,O,X,O,X
ITSLJZO,O,X,X,O,X
ITSLJOZ,X,X,X,O,O
ITSLZJO,O,X,O,X,X
ITSLZOJ,O,X,O,X,O
ITSLOJZ,O,X,X,O,O
ITSLOZJ,O,X,O,X,O
ITSJLZO,O,X,X,O,X
ITSJLOZ,X,X,X,O,O
ITSJZLO,O,O,X,O,X
ITSJZOL,O,O,X,O,X
ITSJOLZ,X,X,X,O,O
ITSJOZL,X,X,X,O,X
ITSZLJO,O,O,O,X,X
ITSZLOJ,O,O,O,X,O
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,X,X,X
ITSZOLJ,O,O,O,X,O
ITSZOJL,O,O,X,X,X
ITSOLJZ,O,X,X,O,O
ITSOLZJ,O,X,O,X,O
ITSOJLZ,O,X,X,O,O
ITSOJZL,O,O,X,O,X
ITSOZLJ,O,O,X,X,O
ITSOZJL,O,O,X,X,X
ITZLJSO,O,O,O,X,X
ITZLJOS,O,O,O,X,X
ITZLSJO,O,O,O,X,X
ITZLSOJ,O,O,O,X,O
ITZLOJS,O,O,O,X,X
ITZLOSJ,O,O,O,X,O
ITZJLSO,O,O,O,X,X
ITZJLOS,O,O,O,X,X
ITZJSLO,O,O,O,X,X
ITZJSOL,O,O,X,X,X
ITZJOLS,O,O,X,X,X
ITZJOSL,O,O,X,X,X
ITZSLJO,O,O,O,X,X
ITZSLOJ,O,O,O,X,O
ITZSJLO,O,O,O,X,X
ITZSJOL,O,O,X,X,X
ITZSOLJ,O,O,O,X,O
ITZSOJL,O,O,X,X,X
ITZOLJS,O,O,O,X,X
ITZOLSJ,O,O,O,X,O
ITZOJLS,O,O,X,X,X
ITZOJSL,O,O,X,X,X
ITZOSLJ,O,O,O,X,O
ITZOSJL,O,O,X,X,X
ITOLJSZ,O,O,X,O,O
ITOLJZS,O,O,O,O,X
ITOLSJZ,O,O,X,O,O
ITOLSZJ,O,O,O,X,O
ITOLZJS,O,O,O,X,X
ITOLZSJ,O,O,O,X,O
ITOJLSZ,O,O,X,O,O
ITOJLZS,O,O,O,O,X
ITOJSLZ,O,X,X,O,O
ITOJSZL,O,O,X,O,X
ITOJZLS,O,O,X,O,X
ITOJZSL,O,O,X,O,X
ITOSLJZ,O,X,X,O,O
ITOSLZJ,O,X,O,X,O
ITOSJLZ,O,X,X,O,O
ITOSJZL,O,O,X,O,X
ITOSZLJ,O,O,X,X,O
ITOSZJL,O,O,X,X,X
ITOZLJS,O,O,O,X,X
ITOZLSJ,O,O,O,X,O
ITOZJLS,O,O,X,X,X
ITOZJSL,O,O,X,X,X
ITOZSLJ,O,O,O,X,O
ITOZSJL,O,O,X,X,X
ILTJSZO,O,X,X,O,X
ILTJSOZ,X,X,X,O,O
ILTJZSO,O,X,O,O,X
ILTJZOS,O,X,O,O,X
ILTJOSZ,O,X,X,O,O
ILTJOZS,O,X,O,O,X
ILTSJZO,O,X,X,O,X
ILTSJOZ,X,X,X,O,O
ILTSZJO,O,X,O,X,X
ILTSZOJ,O,X,O,X,O
ILTSOJZ,O,X,X,O,O
ILTSOZJ,O,X,O,X,O
ILTZJSO,O,X,O,X,X
ILTZJOS,O,X,O,X,X
ILTZSJO,O,X,O,X,X
ILTZSOJ,O,X,O,X,O
ILTZOJS,O,X,O,X,X
ILTZOSJ,O,X,O,X,O
ILTOJSZ,O,X,X,O,O
ILTOJZS,O,X,O,O,X
ILTOSJZ,O,X,X,O,O
ILTOSZJ,O,X,O,X,O
ILTOZJS,O,X,O,X,X
ILTOZSJ,O,X,O,X,O
ILJTSZO,O,X,X,X,X
ILJTSOZ,X,X,X,X,O
ILJTZSO,O,X,O,X,X
ILJTZOS,O,X,O,X,X
ILJTOSZ,X,X,X,X,O
ILJTOZS,O,X,O,X,X
ILJSTZO,X,X,X,X,X
ILJSTOZ,X,X,X,X,O
ILJSZTO,X,X,X,X,X
ILJSZOT,X,X,X,X,X
ILJSOTZ,X,X,X,X,O
ILJSOZT,X,X,X,X,X
ILJZTSO,O,X,O,X,X
ILJZTOS,O,X,O,X,X
ILJZSTO,O,X,O,X,X
ILJZSOT,X,X,O,X,X
ILJZOTS,X,X,O,X,X
ILJZOST,X,X,O,X,X
ILJOTSZ,X,X,X,X,O
ILJOTZS,X,X,O,X,X
ILJOSTZ,X,X,X,X,O
ILJOSZT,X,X,X,X,X
ILJOZTS,X,X,O,X,X
ILJOZST,X,X,O,X,X
ILSTJZO,X,X,X,O,X
ILSTJOZ,X,X,X,O,O
ILSTZJO,X,X,O,X,X
ILSTZOJ,X,X,O,X,O
ILSTOJZ,X,X,X,O,O
ILSTOZJ,X,X,O,X,O
ILSJTZO,X,X,X,X,X
ILSJTOZ,X,X,X,X,O
ILSJZTO,X,X,X,X,X
ILSJZOT,X,X,X,X,X
ILSJOTZ,X,X,X,X,O
ILSJOZT,X,X,X,X,X
ILSZTJO,X,X,O,X,X
ILSZTOJ,X,X,O,X,O
ILSZJTO,X,X,O,X,X
ILSZJOT,X,X,O,X,X
ILSZOTJ,X,X,O,X,O
ILSZOJT,X,X,O,X,X
ILSOTJZ,X,X,X,O,O
ILSOTZJ,X,X,O,X,O
ILSOJTZ,X,X,X,X,O
ILSOJZT,X,X,X,X,X
ILSOZTJ,X,X,O,X,O
ILSOZJT,X,X,O,X,X
ILZTJSO,O,X,O,X,X
ILZTJOS,O,X,O,X,X
ILZTSJO,O,X,O,X,X
ILZTSOJ,O,X,O,X,O
ILZTOJS,O,X,O,X,X
ILZTOSJ,O,X,O,X,O
ILZJTSO,O,X,O,X,X
ILZJTOS,O,X,O,X,X
ILZJSTO,O,X,O,X,X
ILZJSOT,X,X,O,X,X
ILZJOTS,X,X,O,X,X
ILZJOST,X,X,O,X,X
ILZSTJO,O,X,O,X,X
ILZSTOJ,O,X,O,X,O
ILZSJTO,O,X,O,X,X
ILZSJOT,X,X,O,X,X
ILZSOTJ,O,X,O,X,O
ILZSOJT,O,X,O,X,X
ILZOTJS,O,X,O,X,X
ILZOTSJ,O,X,O,X,O
ILZOJTS,O,X,O,X,X
ILZOJST,O,X,O,X,X
ILZOSTJ,O,X,O,X,O
ILZOSJT,O,X,O,X,X
ILOTJSZ,O,X,X,O,O
ILOTJZS,O,X,O,O,X
ILOTSJZ,O,X,X,O,O
ILOTSZJ,O,X,O,X,O
ILOTZJS,O,X,O,X,X
ILOTZSJ,O,X,O,X,O
ILOJTSZ,O,X,X,X,O
ILOJTZS,O,X,O,X,X
ILOJSTZ,X,X,X,X,O
ILOJSZT,X,X,X,X,X
ILOJZTS,O,X,O,X,X
ILOJZST,O,X,O,X,X
ILOSTJZ,X,X,X,O,O
ILOSTZJ,X,X,O,X,O
ILOSJTZ,X,X,X,X,O
ILOSJZT,X,X,X,X,X
ILOSZTJ,X,X,O,X,O
ILOSZJT,X,X,O,X,X
ILOZTJS,O,X,O,X,X
ILOZTSJ,O,X,O,X,O
ILOZJTS,O,X,O,X,X
ILOZJST,O,X,O,X,X
ILOZSTJ,O,X,O,X,O
ILOZSJT,O,X,O,X,X
IJTLSZO,O,O,X,X,X
IJTLSOZ,X,X,X,X,O
IJTLZSO,O,O,O,X,X
IJTLZOS,O,O,O,X,X
IJTLOSZ,O,X,X,X,O
IJTLOZS,O,O,O,X,X
IJTSLZO,O,X,X,X,X
IJTSLOZ,X,X,X,X,O
IJTSZLO,O,O,X,X,X
IJTSZOL,O,O,X,X,X
IJTSOLZ,X,X,X,X,O
IJTSOZL,X,X,X,X,X
IJTZLSO,O,O,O,X,X
IJTZLOS,O,O,O,X,X
IJTZSLO,O,O,O,X,X
IJTZSOL,O,O,X,X,X
IJTZOLS,O,X,X,X,X
IJTZOSL,O,O,X,X,X
IJTOLSZ,O,X,X,X,O
IJTOLZS,O,X,O,X,X
IJTOSLZ,O,X,X,X,O
IJTOSZL,O,X,X,X,X
IJTOZLS,O,X,X,X,X
IJTOZSL,O,O,X,X,X
IJLTSZO,O,X,X,X,X
IJLTSOZ,X,X,X,X,O
IJLTZSO,O,X,O,X,X
IJLTZOS,O,X,O,X,X
IJLTOSZ,X,X,X,X,O
IJLTOZS,O,X,O,X,X
IJLSTZO,X,X,X,X,X
IJLSTOZ,X,X,X,X,O
IJLSZTO,X,X,X,X,X
IJLSZOT,X,X,X,X,X
IJLSOTZ,X,X,X,X,O
IJLSOZT,X,X,X,X,X
IJLZTSO,O,X,O,X,X
IJLZTOS,O,X,O,X,X
IJLZSTO,O,X,O,X,X
IJLZSOT,X,X,O,X,X
IJLZOTS,X,X,O,X,X
IJLZOST,X,X,O,X,X
IJLOTSZ,X,X,X,X,O
IJLOTZS,X,X,O,X,X
IJLOSTZ,X,X,X,X,O
IJLOSZT,X,X,X,X,X
IJLOZTS,X,X,O,X,X
IJLOZST,X,X,O,X,X
IJSTLZO,O,X,X,X,X
IJSTLOZ,X,X,X,X,O
IJSTZLO,O,X,X,X,X
IJSTZOL,O,X,X,X,X
IJSTOLZ,X,X,X,X,O
IJSTOZL,X,X,X,X,X
IJSLTZO,X,X,X,X,X
IJSLTOZ,X,X,X,X,O
IJSLZTO,X,X,X,X,X
IJSLZOT,X,X,X,X,X
IJSLOTZ,X,X,X,X,O
IJSLOZT,X,X,X,X,X
IJSZTLO,O,X,X,X,X
IJSZTOL,O,X,X,X,X
IJSZLTO,O,X,X,X,X
IJSZLOT,X,X,X,X,X
IJSZOTL,O,X,X,X,X
IJSZOLT,X,X,X,X,X
IJSOTLZ,X,X,X,X,O
IJSOTZL,X,X,X,X,X
IJSOLTZ,X,X,X,X,O
IJSOLZT,X,X,X,X,X
IJSOZTL,X,X,X,X,X
IJSOZLT,X,X,X,X,X
IJZTLSO,O,O,O,X,X
IJZTLOS,O,O,O,X,X
IJZTSLO,O,O,O,X,X
IJZTSOL,O,O,X,X,X
IJZTOLS,O,X,X,X,X
IJZTOSL,O,O,X,X,X
IJZLTSO,O,X,O,X,X
IJZLTOS,O,X,O,X,X
IJZLSTO,O,X,O,X,X
IJZLSOT,X,X,O,X,X
IJZLOTS,X,X,O,X,X
IJZLOST,X,X,O,X,X
IJZSTLO,O,O,O,X,X
IJZSTOL,O,O,X,X,X
IJZSLTO,O,O,O,X,X
IJZSLOT,X,O,O,X,X
IJZSOTL,O,O,X,X,X
IJZSOLT,O,O,X,X,X
IJZOTLS,O,X,X,X,X
IJZOTSL,O,X,X,X,X
IJZOLTS,O,X,X,X,X
IJZOLST,O,X,X,X,X
IJZOSTL,O,X,X,X,X
IJZOSLT,O,X,X,X,X
IJOTLSZ,O,X,X,X,O
IJOTLZS,O,X,O,X,X
IJOTSLZ,O,X,X,X,O
IJOTSZL,O,X,X,X,X
IJOTZLS,O,X,X,X,X
IJOTZSL,O,X,X,X,X
IJOLTSZ,O,X,X,X,O
IJOLTZS,O,X,O,X,X
IJOLSTZ,X,X,X,X,O
IJOLSZT,X,X,X,X,X
IJOLZTS,O,X,O,X,X
IJOLZST,O,X,O,X,X
IJOSTLZ,O,X,X,X,O
IJOSTZL,O,X,X,X,X
IJOSLTZ,X,X,X,X,O
IJOSLZT,X,X,X,X,X
IJOSZTL,O,X,X,X,X
IJOSZLT,O,X,X,X,X
IJOZTLS,O,X,X,X,X
IJOZTSL,O,X,X,X,X
IJOZLTS,O,X,X,X,X
IJOZLST,O,X,X,X,X
IJOZSTL,O,X,X,X,X
IJOZSLT,O,X,X,X,X
ISTLJZO,O,X,X,O,X
ISTLJOZ,X,X,X,O,O
ISTLZJO,O,X,O,X,X
ISTLZOJ,O,X,O,X,O
ISTLOJZ,O,X,X,O,O
ISTLOZJ,O,X,O,X,O
ISTJLZO,O,X,X,O,X
ISTJLOZ,X,X,X,O,O
ISTJZLO,O,X,X,O,X
ISTJZOL,O,X,X,O,X
ISTJOLZ,X,X,X,O,O
ISTJOZL,X,X,X,O,X
ISTZLJO,O,X,O,X,X
ISTZLOJ,O,X,O,X,O
ISTZJLO,O,X,O,X,X
ISTZJOL,O,X,X,X,X
ISTZOLJ,O,X,O,X,O
ISTZOJL,O,X,X,X,X
ISTOLJZ,O,X,X,O,O
ISTOLZJ,O,X,O,X,O
ISTOJLZ,O,X,X,O,O
ISTOJZL,O,X,X,O,X
ISTOZLJ,O,X,X,X,O
ISTOZJL,O,X,X,X,X
ISLTJZO,X,X,X,O,X
ISLTJOZ,X,X,X,O,O
ISLTZJO,X,X,O,X,X
ISLTZOJ,X,X,O,X,O
ISLTOJZ,X,X,X,O,O
ISLTOZJ,X,X,O,X,O
ISLJTZO,X,X,X,X,X
ISLJTOZ,X,X,X,X,O
ISLJZTO,X,X,X,X,X
ISLJZOT,X,X,X,X,X
ISLJOTZ,X,X,X,X,O
ISLJOZT,X,X,X,X,X
ISLZTJO,X,X,O,X,X
ISLZTOJ,X,X,O,X,O
ISLZJTO,X,X,O,X,X
ISLZJOT,X,X,O,X,X
ISLZOTJ,X,X,O,X,O
ISLZOJT,X,X,O,X,X
ISLOTJZ,X,X,X,O,O
ISLOTZJ,X,X,O,X,O
ISLOJTZ,X,X,X,X,O
ISLOJZT,X,X,X,X,X
ISLOZTJ,X,X,O,X,O
ISLOZJT,X,X,O,X,X
ISJTLZO,O,X,X,X,X
ISJTLOZ,X,X,X,X,O
ISJTZLO,O,X,X,X,X
ISJTZOL,O,X,X,X,X
ISJTOLZ,X,X,X,X,O
ISJTOZL,X,X,X,X,X
ISJLTZO,X,X,X,X,X
ISJLTOZ,X,X,X,X,O
ISJLZTO,X,X,X,X,X
ISJLZOT,X,X,X,X,X
ISJLOTZ,X,X,X,X,O
ISJLOZT,X,X,X,X,X
ISJZTLO,O,X,X,X,X
ISJZTOL,O,X,X,X,X
ISJZLTO,O,X,X,X,X
ISJZLOT,X,X,X,X,X
ISJZOTL,O,X,X,X,X
ISJZOLT,X,X,X,X,X
ISJOTLZ,X,X,X,X,O
ISJOTZL,X,X,X,X,X
ISJOLTZ,X,X,X,X,O
ISJOLZT,X,X,X,X,X
ISJOZTL,X,X,X,X,X
ISJOZLT,X,X,X,X,X
ISZTLJO,O,X,O,X,X
ISZTLOJ,O,X,O,X,O
ISZTJLO,O,X,O,X,X
ISZTJOL,O,X,X,X,X
ISZTOLJ,O,X,O,X,O
ISZTOJL,O,X,X,X,X
ISZLTJO,O,X,O,X,X
ISZLTOJ,O,X,O,X,O
ISZLJTO,O,X,O,X,X
ISZLJOT,X,X,O,X,X
ISZLOTJ,O,X,O,X,O
ISZLOJT,O,X,O,X,X
ISZJTLO,O,X,O,X,X
ISZJTOL,O,X,X,X,X
ISZJLTO,O,X,O,X,X
ISZJLOT,X,X,O,X,X
ISZJOTL,O,X,X,X,X
ISZJOLT,O,X,X,X,X
ISZOTLJ,O,X,O,X,O
ISZOTJL,O,X,X,X,X
ISZOLTJ,O,X,O,X,O
ISZOLJT,O,X,O,X,X
ISZOJTL,O,X,X,X,X
ISZOJLT,O,X,X,X,X
ISOTLJZ,O,X,X,O,O
ISOTLZJ,O,X,O,X,O
ISOTJLZ,O,X,X,O,O
ISOTJZL,O,X,X,O,X
ISOTZLJ,O,X,X,X,O
ISOTZJL,O,X,X,X,X
ISOLTJZ,X,X,X,O,O
ISOLTZJ,X,X,O,X,O
ISOLJTZ,X,X,X,X,O
ISOLJZT,X,X,X,X,X
ISOLZTJ,X,X,O,X,O
ISOLZJT,X,X,O,X,X
ISOJTLZ,O,X,X,X,O
ISOJTZL,O,X,X,X,X
ISOJLTZ,X,X,X,X,O
ISOJLZT,X,X,X,X,X
ISOJZTL,O,X,X,X,X
ISOJZLT,O,X,X,X,X
ISOZTLJ,O,X,X,X,O
ISOZTJL,O,X,X,X,X
ISOZLTJ,O,X,X,X,O
ISOZLJT,O,X,X,X,X
ISOZJTL,O,X,X,X,X
ISOZJLT,O,X,X,X,X
IZTLJSO,O,O,O,X,X
IZTLJOS,O,O,O,X,X
IZTLSJO,O,O,O,X,X
IZTLSOJ,O,O,O,X,O
IZTLOJS,O,O,O,X,X
IZTLOSJ,O,O,O,X,O
IZTJLSO,O,O,O,X,X
IZTJLOS,O,O,O,X,X
IZTJSLO,O,O,O,X,X
IZTJSOL,O,O,X,X,X
IZTJOLS,O,O,X,X,X
IZTJOSL,O,O,X,X,X
IZTSLJO,O,O,O,X,X
IZTSLOJ,O,O,O,X,O
IZTSJLO,O,O,O,X,X
IZTSJOL,O,O,X,X,X
IZTSOLJ,O,O,O,X,O
IZTSOJL,O,O,X,X,X
IZTOLJS,O,O,O,X,X
IZTOLSJ,O,O,O,X,O
IZTOJLS,O,O,X,X,X
IZTOJSL,O,O,X,X,X
IZTOSLJ,O,O,O,X,O
IZTOSJL,O,O,X,X,X
IZLTJSO,O,X,O,X,X
IZLTJOS,O,X,O,X,X
IZLTSJO,O,X,O,X,X
IZLTSOJ,O,X,O,X,O
IZLTOJS,O,X,O,X,X
IZLTOSJ,O,X,O,X,O
IZLJTSO,O,X,O,X,X
IZLJTOS,O,X,O,X,X
IZLJSTO,O,X,O,X,X
IZLJSOT,X,X,O,X,X
IZLJOTS,X,X,O,X,X
IZLJOST,X,X,O,X,X
IZLSTJO,O,X,O,X,X
IZLSTOJ,O,X,O,X,O
IZLSJTO,O,X,O,X,X
IZLSJOT,X,X,O,X,X
IZLSOTJ,O,X,O,X,O
IZLSOJT,O,X,O,X,X
IZLOTJS,O,X,O,X,X
IZLOTSJ,O,X,O,X,O
IZLOJTS,O,X,O,X,X
IZLOJST,O,X,O,X,X
IZLOSTJ,O,X,O,X,O
IZLOSJT,O,X,O,X,X
IZJTLSO,O,O,O,X,X
IZJTLOS,O,O,O,X,X
IZJTSLO,O,O,O,X,X
IZJTSOL,O,O,X,X,X
IZJTOLS,O,X,X,X,X
IZJTOSL,O,O,X,X,X
IZJLTSO,O,X,O,X,X
IZJLTOS,O,X,O,X,X
IZJLSTO,O,X,O,X,X
IZJLSOT,X,X,O,X,X
IZJLOTS,X,X,O,X,X
IZJLOST,X,X,O,X,X
IZJSTLO,O,O,O,X,X
IZJSTOL,O,O,X,X,X
IZJSLTO,O,O,O,X,X
IZJSLOT,X,O,O,X,X
IZJSOTL,O,O,X,X,X
IZJSOLT,O,O,X,X,X
IZJOTLS,O,X,X,X,X
IZJOTSL,O,X,X,X,X
IZJOLTS,O,X,X,X,X
IZJOLST,O,X,X,X,X
IZJOSTL,O,X,X,X,X
IZJOSLT,O,X,X,X,X
IZSTLJO,O,O,O,X,X
IZSTLOJ,O,O,O,X,O
IZSTJLO,O,O,O,X,X
IZSTJOL,O,O,X,X,X
IZSTOLJ,O,O,O,X,O
IZSTOJL,O,O,X,X,X
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,O,X,O
IZSLJTO,O,O,O,X,X
IZSLJOT,X,O,O,X,X
IZSLOTJ,O,X,O,X,O
IZSLOJT,O,O,O,X,X
IZSJTLO,O,O,O,X,X
IZSJTOL,O,O,X,X,X
IZSJLTO,O,O,O,X,X
IZSJLOT,X,O,O,X,X
IZSJOTL,O,O,X,X,X
IZSJOLT,O,O,X,X,X
IZSOTLJ,O,O,O,X,O
IZSOTJL,O,O,X,X,X
IZSOLTJ,O,X,O,X,O
IZSOLJT,O,O,O,X,X
IZSOJTL,O,O,X,X,X
IZSOJLT,O,O,X,X,X
IZOTLJS,O,O,O,X,X
IZOTLSJ,O,O,O,X,O
IZOTJLS,O,O,X,X,X
IZOTJSL,O,O,X,X,X
IZOTSLJ,O,O,O,X,O
IZOTSJL,O,O,X,X,X
IZOLTJS,O,X,O,X,X
IZOLTSJ,O,X,O,X,O
IZOLJTS,O,X,O,X,X
IZOLJST,O,X,O,X,X
IZOLSTJ,O,X,O,X,O
IZOLSJT,O,X,O,X,X
IZOJTLS,O,O,X,X,X
IZOJTSL,O,O,X,X,X
IZOJLTS,O,X,X,X,X
IZOJLST,O,X,X,X,X
IZOJSTL,O,O,X,X,X
IZOJSLT,O,O,X,X,X
IZOSTLJ,O,O,O,X,O
IZOSTJL,O,O,X,X,X
IZOSLTJ,O,X,O,X,O
IZOSLJT,O,O,O,X,X
IZOSJTL,O,O,X,X,X
IZOSJLT,O,O,X,X,X
IOTLJSZ,O,O,X,O,O
IOTLJZS,O,O,O,O,X
IOTLSJZ,O,O,X,O,O
IOTLSZJ,O,O,O,X,O
IOTLZJS,O,O,O,X,X
IOTLZSJ,O,O,O,X,O
IOTJLSZ,O,O,X,O,O
IOTJLZS,O,O,O,O,X
IOTJSLZ,O,X,X,O,O
IOTJSZL,O,O,X,O,X
IOTJZLS,O,O,X,O,X
IOTJZSL,O,O,X,O,X
IOTSLJZ,O,X,X,O,O
IOTSLZJ,O,X,O,X,O
IOTSJLZ,O,X,X,O,O
IOTSJZL,O,O,X,O,X
IOTSZLJ,O,O,X,X,O
IOTSZJL,O,O,X,X,X
IOTZLJS,O,O,O,X,X
IOTZLSJ,O,O,O,X,O
IOTZJLS,O,O,X,X,X
IOTZJSL,O,O,X,X,X
IOTZSLJ,O,O,O,X,O
IOTZSJL,O,O,X,X,X
IOLTJSZ,O,X,X,O,O
IOLTJZS,O,X,O,O,X
IOLTSJZ,O,X,X,O,O
IOLTSZJ,O,X,O,X,O
IOLTZJS,O,X,O,X,X
IOLTZSJ,O,X,O,X,O
IOLJTSZ,O,X,X,X,O
IOLJTZS,O,X,O,X,X
IOLJSTZ,X,X,X,X,O
IOLJSZT,X,X,X,X,X
IOLJZTS,O,X,O,X,X
IOLJZST,O,X,O,X,X
IOLSTJZ,X,X,X,O,O
IOLSTZJ,X,X,O,X,O
IOLSJTZ,X,X,X,X,O
IOLSJZT,X,X,X,X,X
IOLSZTJ,X,X,O,X,O
IOLSZJT,X,X,O,X,X
IOLZTJS,O,X,O,X,X
IOLZTSJ,O,X,O,X,O
IOLZJTS,O,X,O,X,X
IOLZJST,O,X,O,X,X
IOLZSTJ,O,X,O,X,O
IOLZSJT,O,X,O,X,X
IOJTLSZ,O,O,X,X,O
IOJTLZS,O,O,O,X,X
IOJTSLZ,O,X,X,X,O
IOJTSZL,O,O,X,X,X
IOJTZLS,O,O,X,X,X
IOJTZSL,O,O,X,X,X
IOJLTSZ,O,X,X,X,O
IOJLTZS,O,X,O,X,X
IOJLSTZ,X,X,X,X,O
IOJLSZT,X,X,X,X,X
IOJLZTS,O,X,O,X,X
IOJLZST,O,X,O,X,X
IOJSTLZ,O,X,X,X,O
IOJSTZL,O,X,X,X,X
IOJSLTZ,X,X,X,X,O
IOJSLZT,X,X,X,X,X
IOJSZTL,O,X,X,X,X
IOJSZLT,O,X,X,X,X
IOJZTLS,O,O,X,X,X
IOJZTSL,O,O,X,X,X
IOJZLTS,O,X,X,X,X
IOJZLST,O,X,X,X,X
IOJZSTL,O,O,X,X,X
IOJZSLT,O,O,X,X,X
IOSTLJZ,O,X,X,O,O
IOSTLZJ,O,X,O,X,O
IOSTJLZ,O,X,X,O,O
IOSTJZL,O,X,X,O,X
IOSTZLJ,O,X,X,X,O
IOSTZJL,O,X,X,X,X
IOSLTJZ,X,X,X,O,O
IOSLTZJ,X,X,O,X,O
IOSLJTZ,X,X,X,X,O
IOSLJZT,X,X,X,X,X
IOSLZTJ,X,X,O,X,O
IOSLZJT,X,X,O,X,X
IOSJTLZ,O,X,X,X,O
IOSJTZL,O,X,X,X,X
IOSJLTZ,X,X,X,X,O
IOSJLZT,X,X,X,X,X
IOSJZTL,O,X,X,X,X
IOSJZLT,O,X,X,X,X
IOSZTLJ,O,X,X,X,O
IOSZTJL,O,X,X,X,X
IOSZLTJ,O,X,X,X,O
IOSZLJT,O,X,X,X,X
IOSZJTL,O,X,X,X,X
IOSZJLT,O,X,X,X,X
IOZTLJS,O,O,O,X,X
IOZTLSJ,O,O,O,X,O
IOZTJLS,O,O,X,X,X
IOZTJSL,O,O,X,X,X
IOZTSLJ,O,O,O,X,O
IOZTSJL,O,O,X,X,X
IOZLTJS,O,X,O,X,X
IOZLTSJ,O,X,O,X,O
IOZLJTS,O,X,O,X,X
IOZLJST,O,X,O,X,X
IOZLSTJ,O,X,O,X,O
IOZLSJT,O,X,O,X,X
IOZJTLS,O,O,X,X,X
IOZJTSL,O,O,X,X,X
IOZJLTS,O,X,X,X,X
IOZJLST,O,X,X,X,X
IOZJSTL,O,O,X,X,X
IOZJSLT,O,O,X,X,X
IOZSTLJ,O,O,O,X,O
IOZSTJL,O,O,X,X,X
IOZSLTJ,O,X,O,X,O
IOZSLJT,O,O,O,X,X
IOZSJTL,O,O,X,X,X
IOZSJLT,O,O,X,X,X
LTIJSZO,O,O,X,O,X
LTIJSOZ,X,X,X,O,O
LTIJZSO,O,O,O,O,X
LTIJZOS,O,O,O,O,X
LTIJOSZ,O,O,X,O,O
LTIJOZS,O,O,O,O,X
LTISJZO,O,O,X,O,X
LTISJOZ,X,X,X,O,O
LTISZJO,O,O,O,X,X
LTISZOJ,O,O,O,X,O
LTISOJZ,O,O,X,O,O
LTISOZJ,O,O,O,X,O
LTIZJSO,O,O,O,X,X
LTIZJOS,O,O,O,X,X
LTIZSJO,O,O,O,X,X
LTIZSOJ,O,O,O,X,O
LTIZOJS,O,O,O,X,X
LTIZOSJ,O,O,O,X,O
LTIOJSZ,O,O,X,O,O
LTIOJZS,O,O,O,O,X
LTIOSJZ,O,O,X,O,O
LTIOSZJ,O,O,O,X,O
LTIOZJS,O,O,O,X,X
LTIOZSJ,O,O,O,X,O
LTJISZO,O,O,X,O,X
LTJISOZ,X,X,X,O,O
LTJIZSO,O,O,O,O,X
LTJIZOS,O,O,O,O,X
LTJIOSZ,O,O,X,O,O
LTJIOZS,O,O,O,O,X
LTJSIZO,O,O,X,O,X
LTJSIOZ,X,X,X,O,O
LTJSZIO,O,O,X,O,X
LTJSZOI,O,O,X,O,X
LTJSOIZ,X,X,X,O,O
LTJSOZI,X,X,X,O,X
LTJZISO,O,O,O,O,X
LTJZIOS,O,O,O,O,X
LTJZSIO,O,O,O,O,X
LTJZSOI,O,O,O,O,X
LTJZOIS,O,O,O,O,X
LTJZOSI,O,O,O,O,X
LTJOISZ,O,O,X,O,O
LTJOIZS,O,O,O,O,X
LTJOSIZ,O,O,X,O,O
LTJOSZI,O,O,X,O,X
LTJOZIS,O,O,O,O,X
LTJOZSI,O,O,O,O,X
LTSIJZO,O,O,X,O,X
LTSIJOZ,X,X,X,O,O
LTSIZJO,O,O,O,X,X
LTSIZOJ,O,O,O,X,O
LTSIOJZ,O,O,X,O,O
LTSIOZJ,O,O,O,X,O
LTSJIZO,O,O,X,O,X
LTSJIOZ,X,X,X,O,O
