sequence,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBRhBCjBlmBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jem/IvhFFhBxiB0kBfrBCsBTtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB
TZLIOJS,X,O,X,X,X,O,O,X
TZLIOSJ,X,O,X,X,X,O,O,X
TZLJISO,O,O,X,O,X,O,O,X
TZLJIOS,X,O,X,X,X,O,O,X
TZLJSIO,O,O,X,O,X,O,O,X
TZLJSOI,O,O,X,O,X,O,O,X
TZLJOIS,X,O,X,O,X,O,O,X
TZLJOSI,X,O,X,O,X,O,O,X
TZLSIJO,O,O,X,O,X,O,O,X
TZLSIOJ,O,O,X,O,X,O,O,X
TZLSJIO,O,O,X,O,X,O,O,X
TZLSJOI,O,O,X,O,X,O,O,X
TZLSOIJ,O,O,X,O,X,O,O,X
TZLSOJI,X,O,X,O,X,O,O,X
TZLOIJS,X,O,X,O,X,O,O,X
TZLOISJ,X,O,X,O,X,O,O,X
TZLOJIS,X,O,X,O,X,O,O,X
TZLOJSI,X,O,X,O,X,O,O,X
TZLOSIJ,X,O,X,O,X,O,O,X
TZLOSJI,X,O,X,O,X,O,O,X
TZJILSO,O,O,X,X,X,O,O,X
TZJILOS,X,O,X,X,X,O,O,X
TZJISLO,O,O,X,X,X,O,O,O
TZJISOL,O,O,X,X,X,O,O,O
TZJIOLS,O,O,X,X,X,O,O,X
TZJIOSL,O,O,X,X,X,X,O,O
TZJLISO,O,O,X,O,X,O,O,X
TZJLIOS,X,O,X,X,X,O,O,X
TZJLSIO,O,O,X,O,X,O,O,X
TZJLSOI,O,O,X,O,X,O,O,X
TZJLOIS,X,O,X,O,X,O,O,X
TZJLOSI,X,O,X,O,X,O,O,X
TZJSILO,O,O,X,O,X,O,O,O
TZJSIOL,O,O,X,O,X,O,O,O
TZJSLIO,O,O,X,O,X,O,O,O
TZJSLOI,O,O,X,O,X,O,O,O
TZJSOIL,O,O,X,O,X,O,O,O
TZJSOLI,O,O,X,O,X,O,O,O
TZJOILS,O,O,X,O,X,O,O,X
TZJOISL,O,O,X,O,X,X,O,O
TZJOLIS,O,O,X,O,X,O,O,X
TZJOLSI,O,O,X,O,X,O,O,X
TZJOSIL,O,O,X,O,X,O,O,O
TZJOSLI,O,O,X,O,X,O,O,O
TZSILJO,O,O,X,O,X,O,O,O
TZSILOJ,O,O,X,O,X,O,O,O
TZSIJLO,O,O,X,O,X,O,O,O
TZSIJOL,O,O,X,O,X,O,O,O
TZSIOLJ,O,O,X,O,X,O,O,O
TZSIOJL,O,O,X,O,X,O,O,O
TZSLIJO,O,O,X,O,X,O,O,O
TZSLIOJ,O,O,X,O,X,O,O,O
TZSLJIO,O,O,X,O,X,O,O,O
TZSLJOI,O,O,X,O,X,O,O,O
TZSLOIJ,O,O,X,O,X,O,O,O
TZSLOJI,O,O,X,O,X,O,O,O
TZSJILO,O,O,X,O,X,O,O,O
TZSJIOL,O,O,X,O,X,O,O,O
TZSJLIO,O,O,X,O,X,O,O,O
TZSJLOI,O,O,X,O,X,O,O,O
TZSJOIL,O,O,X,O,X,O,O,O
TZSJOLI,O,O,X,O,X,O,O,O
TZSOILJ,O,O,X,O,X,O,O,O
TZSOIJL,O,O,X,O,X,O,O,O
TZSOLIJ,O,O,X,O,X,O,O,O
TZSOLJI,O,O,X,O,X,O,O,O
TZSOJIL,O,O,X,O,X,O,O,O
TZSOJLI,O,O,X,O,X,O,O,O
TZOILJS,O,O,X,O,X,O,O,X
TZOILSJ,O,O,X,O,X,O,O,X
TZOIJLS,O,O,X,O,X,O,O,X
TZOIJSL,O,O,X,O,X,X,O,O
TZOISLJ,O,O,X,O,X,X,O,O
TZOISJL,O,O,X,O,X,X,O,O
TZOLIJS,O,O,X,O,X,O,O,X
TZOLISJ,O,O,X,O,X,O,O,X
TZOLJIS,O,O,X,O,X,O,O,X
TZOLJSI,O,O,X,O,X,O,O,X
TZOLSIJ,O,O,X,O,X,O,O,X
TZOLSJI,O,O,X,O,X,O,O,X
TZOJILS,O,O,X,O,X,O,O,X
TZOJISL,O,O,X,O,X,X,O,O
TZOJLIS,O,O,X,O,X,O,O,X
TZOJLSI,O,O,X,O,X,O,O,X
TZOJSIL,O,O,X,O,X,O,O,O
TZOJSLI,O,O,X,O,X,O,O,O
TZOSILJ,O,O,X,O,X,O,O,O
TZOSIJL,O,O,X,O,X,O,O,O
TZOSLIJ,O,O,X,O,X,O,O,O
TZOSLJI,O,O,X,O,X,O,O,O
TZOSJIL,O,O,X,O,X,O,O,O
TZOSJLI,O,O,X,O,X,O,O,O
TOILJSZ,O,X,O,X,O,X,X,O
TOILJZS,O,O,O,X,O,O,X,X
TOILSJZ,O,X,O,O,X,X,O,O
TOILSZJ,O,O,O,O,X,O,O,O
TOILZJS,O,O,O,O,X,O,O,X
TOILZSJ,O,O,O,O,X,O,O,X
TOIJLSZ,O,X,O,X,O,X,X,O
TOIJLZS,O,O,O,X,O,X,X,X
TOIJSLZ,O,X,O,X,X,X,X,O
TOIJSZL,O,X,O,X,X,X,X,O
TOIJZLS,O,O,X,X,X,X,X,X
TOIJZSL,O,O,O,X,X,X,X,O
TOISLJZ,O,X,O,O,X,X,O,O
TOISLZJ,O,O,O,O,X,X,O,O
TOISJLZ,O,X,O,X,X,X,X,O
TOISJZL,O,X,O,O,X,X,O,O
TOISZLJ,O,O,O,O,X,X,O,O
TOISZJL,O,O,O,O,X,X,O,O
TOIZLJS,O,O,X,O,X,O,O,X
TOIZLSJ,O,O,X,O,X,O,O,X
TOIZJLS,O,O,X,O,X,O,O,X
TOIZJSL,O,O,X,O,X,X,O,O
TOIZSLJ,O,O,X,O,X,X,O,O
TOIZSJL,O,O,X,O,X,X,O,O
TOLIJSZ,O,X,O,X,O,X,X,O
TOLIJZS,O,O,O,X,O,O,X,X
TOLISJZ,O,X,O,O,X,O,O,O
TOLISZJ,O,O,O,O,X,O,O,O
TOLIZJS,O,O,O,O,X,O,O,X
TOLIZSJ,O,O,O,O,X,O,O,X
TOLJISZ,O,O,O,X,O,X,X,O
TOLJIZS,O,O,O,X,O,O,X,X
TOLJSIZ,O,O,O,X,X,X,O,O
TOLJSZI,O,O,O,X,X,X,O,O
TOLJZIS,O,O,O,X,X,O,O,X
TOLJZSI,O,O,O,X,X,O,O,X
TOLSIJZ,O,X,O,O,X,O,O,O
TOLSIZJ,O,O,O,O,X,O,O,O
TOLSJIZ,O,X,O,O,X,O,O,O
TOLSJZI,O,X,O,O,X,O,O,O
TOLSZIJ,O,O,O,O,X,O,O,O
TOLSZJI,O,O,O,O,X,O,O,O
TOLZIJS,O,O,O,O,X,O,O,X
TOLZISJ,O,O,O,O,X,O,O,X
TOLZJIS,O,O,O,O,X,O,O,X
TOLZJSI,O,O,O,O,X,O,O,X
TOLZSIJ,O,O,O,O,X,O,O,X
TOLZSJI,O,O,O,O,X,O,O,X
TOJILSZ,O,O,O,X,O,X,X,O
TOJILZS,O,O,O,X,O,X,X,X
TOJISLZ,O,O,O,X,X,X,X,O
TOJISZL,O,O,O,X,X,X,X,O
TOJIZLS,O,O,X,X,X,X,X,X
TOJIZSL,O,O,O,X,X,X,X,O
TOJLISZ,O,O,O,X,O,X,X,O
TOJLIZS,O,O,O,X,O,O,X,X
TOJLSIZ,O,O,O,X,X,X,O,O
TOJLSZI,O,O,O,X,X,X,O,O
TOJLZIS,O,O,O,X,X,O,O,X
TOJLZSI,O,O,O,X,X,O,O,X
TOJSILZ,O,O,O,X,X,X,X,O
TOJSIZL,O,O,O,X,X,X,O,O
TOJSLIZ,O,O,O,X,X,X,O,O
TOJSLZI,O,O,O,X,X,X,O,O
TOJSZIL,O,O,O,X,X,X,O,O
TOJSZLI,O,O,O,X,X,X,O,O
TOJZILS,O,O,X,X,X,O,O,X
TOJZISL,O,O,O,X,X,X,O,O
TOJZLIS,O,O,X,X,X,O,O,X
TOJZLSI,O,O,X,X,X,O,O,X
TOJZSIL,O,O,O,X,X,X,O,O
TOJZSLI,O,O,O,X,X,O,O,O
TOSILJZ,O,X,O,O,X,O,O,O
TOSILZJ,O,O,O,O,X,O,O,O
TOSIJLZ,O,X,O,X,X,O,X,O
TOSIJZL,O,X,O,O,X,O,O,O
TOSIZLJ,O,O,O,O,X,O,O,O
TOSIZJL,O,O,O,O,X,O,O,O
TOSLIJZ,O,X,O,O,X,O,O,O
TOSLIZJ,O,O,O,O,X,O,O,O
TOSLJIZ,O,X,O,O,X,O,O,O
TOSLJZI,O,X,O,O,X,O,O,O
TOSLZIJ,O,O,O,O,X,O,O,O
TOSLZJI,O,O,O,O,X,O,O,O
TOSJILZ,O,X,O,X,X,O,X,O
TOSJIZL,O,X,O,O,X,O,O,O
TOSJLIZ,O,X,O,X,X,O,O,O
TOSJLZI,O,X,O,X,X,O,O,O
TOSJZIL,O,X,O,O,X,O,O,O
TOSJZLI,O,X,O,O,X,O,O,O
TOSZILJ,O,O,O,O,X,O,O,O
TOSZIJL,O,O,O,O,X,O,O,O
TOSZLIJ,O,O,O,O,X,O,O,O
TOSZLJI,O,O,O,O,X,O,O,O
TOSZJIL,O,O,O,O,X,O,O,O
TOSZJLI,O,O,O,O,X,O,O,O
TOZILJS,O,O,X,O,X,O,O,X
TOZILSJ,O,O,X,O,X,O,O,X
TOZIJLS,O,O,X,O,X,O,O,X
TOZIJSL,O,O,X,O,X,X,O,O
TOZISLJ,O,O,X,O,X,X,O,O
TOZISJL,O,O,X,O,X,X,O,O
TOZLIJS,O,O,X,O,X,O,O,X
TOZLISJ,O,O,X,O,X,O,O,X
TOZLJIS,O,O,X,O,X,O,O,X
TOZLJSI,O,O,X,O,X,O,O,X
TOZLSIJ,O,O,X,O,X,O,O,X
TOZLSJI,O,O,X,O,X,O,O,X
TOZJILS,O,O,X,O,X,O,O,X
TOZJISL,O,O,X,O,X,X,O,O
TOZJLIS,O,O,X,O,X,O,O,X
TOZJLSI,O,O,X,O,X,O,O,X
TOZJSIL,O,O,X,O,X,O,O,O
TOZJSLI,O,O,X,O,X,O,O,O
TOZSILJ,O,O,X,O,X,O,O,O
TOZSIJL,O,O,X,O,X,O,O,O
TOZSLIJ,O,O,X,O,X,O,O,O
TOZSLJI,O,O,X,O,X,O,O,O
TOZSJIL,O,O,X,O,X,O,O,O
TOZSJLI,O,O,X,O,X,O,O,O
ITLJSZO,O,X,X,X,X,O,X,O
ITLJSOZ,O,X,X,X,X,O,X,O
ITLJZSO,O,O,X,X,X,O,X,X
ITLJZOS,X,O,X,X,X,O,X,X
ITLJOSZ,O,X,X,X,O,X,X,O
ITLJOZS,O,X,X,X,O,O,X,X
ITLSJZO,O,X,X,X,X,O,O,O
ITLSJOZ,O,X,X,X,X,O,O,O
ITLSZJO,O,O,X,X,X,O,O,O
ITLSZOJ,O,O,X,X,X,O,O,O
ITLSOJZ,O,X,X,X,X,O,O,O
ITLSOZJ,O,X,X,X,X,O,O,O
ITLZJSO,O,O,X,X,X,O,O,X
ITLZJOS,X,O,X,X,X,O,O,X
ITLZSJO,O,O,X,X,X,O,O,X
ITLZSOJ,O,O,X,X,X,O,O,X
ITLZOJS,X,O,X,X,X,O,O,X
ITLZOSJ,X,O,X,X,X,O,O,X
ITLOJSZ,O,X,X,X,O,X,X,O
ITLOJZS,O,O,X,X,O,O,X,X
ITLOSJZ,O,X,X,X,X,O,O,O
ITLOSZJ,O,O,X,X,X,O,O,O
ITLOZJS,O,O,X,X,X,O,O,X
ITLOZSJ,O,O,X,X,X,O,O,X
ITJLSZO,O,X,X,X,X,X,X,O
ITJLSOZ,O,X,X,X,X,X,X,O
ITJLZSO,O,O,X,X,X,X,X,X
ITJLZOS,X,O,X,X,X,X,X,X
ITJLOSZ,O,X,X,X,O,X,X,O
ITJLOZS,O,X,X,X,O,X,X,X
ITJSLZO,O,X,X,X,X,X,X,O
ITJSLOZ,O,X,X,X,X,X,X,O
ITJSZLO,O,X,X,X,X,X,X,O
ITJSZOL,O,X,X,X,X,X,X,O
ITJSOLZ,O,X,X,X,X,X,X,O
ITJSOZL,O,X,X,X,X,X,X,O
ITJZLSO,O,O,X,X,X,X,X,X
ITJZLOS,X,O,X,X,X,X,X,X
ITJZSLO,O,O,X,X,X,X,X,O
ITJZSOL,O,O,X,X,X,X,X,O
ITJZOLS,O,O,X,X,X,X,X,X
ITJZOSL,O,O,X,X,X,X,X,O
ITJOLSZ,O,X,X,X,O,X,X,O
ITJOLZS,O,O,X,X,O,X,X,X
ITJOSLZ,O,X,X,X,X,X,X,O
ITJOSZL,O,X,X,X,X,X,X,O
ITJOZLS,O,O,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,X,X,O
ITSLJZO,O,X,X,X,X,O,O,O
ITSLJOZ,O,X,X,X,X,O,O,O
ITSLZJO,O,O,X,X,X,O,O,O
ITSLZOJ,O,O,X,X,X,O,O,O
ITSLOJZ,O,X,X,X,X,O,O,O
ITSLOZJ,O,X,X,X,X,O,O,O
ITSJLZO,O,X,X,X,X,O,O,O
ITSJLOZ,O,X,X,X,X,O,O,O
ITSJZLO,O,X,X,X,X,O,O,O
ITSJZOL,O,X,X,X,X,O,O,O
ITSJOLZ,O,X,X,X,X,O,X,O
ITSJOZL,O,X,X,X,X,O,O,O
ITSZLJO,O,O,X,X,X,O,O,O
ITSZLOJ,O,O,X,X,X,O,O,O
ITSZJLO,O,O,X,X,X,O,O,O
ITSZJOL,O,O,X,X,X,O,O,O
ITSZOLJ,O,O,X,X,X,O,O,O
ITSZOJL,O,O,X,X,X,O,O,O
ITSOLJZ,O,X,X,X,X,O,O,O
ITSOLZJ,O,O,X,X,X,O,O,O
ITSOJLZ,O,X,X,X,X,O,X,O
ITSOJZL,O,X,X,X,X,O,O,O
ITSOZLJ,O,O,X,X,X,O,O,O
ITSOZJL,O,O,X,X,X,O,O,O
ITZLJSO,O,O,X,X,X,O,O,X
ITZLJOS,X,O,X,X,X,O,O,X
ITZLSJO,O,O,X,X,X,O,O,X
ITZLSOJ,O,O,X,X,X,O,O,X
ITZLOJS,X,O,X,X,X,O,O,X
ITZLOSJ,X,O,X,X,X,O,O,X
ITZJLSO,O,O,X,X,X,O,O,X
ITZJLOS,X,O,X,X,X,O,O,X
ITZJSLO,O,O,X,X,X,O,O,O
ITZJSOL,O,O,X,X,X,O,O,O
ITZJOLS,O,O,X,X,X,O,O,X
ITZJOSL,O,O,X,X,X,X,O,O
ITZSLJO,O,O,X,X,X,O,O,O
ITZSLOJ,O,O,X,X,X,O,O,O
ITZSJLO,O,O,X,X,X,O,O,O
ITZSJOL,O,O,X,X,X,O,O,O
ITZSOLJ,O,O,X,X,X,O,O,O
ITZSOJL,O,O,X,X,X,O,O,O
ITZOLJS,O,O,X,X,X,O,O,X
ITZOLSJ,O,O,X,X,X,O,O,X
ITZOJLS,O,O,X,X,X,O,O,X
ITZOJSL,O,O,X,X,X,X,O,O
ITZOSLJ,O,O,X,X,X,X,O,O
ITZOSJL,O,O,X,X,X,X,O,O
ITOLJSZ,O,X,X,X,O,X,X,O
ITOLJZS,O,O,X,X,O,O,X,X
ITOLSJZ,O,X,X,X,X,X,O,O
ITOLSZJ,O,O,X,X,X,O,O,O
ITOLZJS,O,O,X,X,X,O,O,X
ITOLZSJ,O,O,X,X,X,O,O,X
ITOJLSZ,O,X,X,X,O,X,X,O
ITOJLZS,O,O,X,X,O,X,X,X
ITOJSLZ,O,X,X,X,X,X,X,O
ITOJSZL,O,X,X,X,X,X,X,O
ITOJZLS,O,O,X,X,X,X,X,X
ITOJZSL,O,O,X,X,X,X,X,O
ITOSLJZ,O,X,X,X,X,X,O,O
ITOSLZJ,O,O,X,X,X,X,O,O
ITOSJLZ,O,X,X,X,X,X,X,O
ITOSJZL,O,X,X,X,X,X,O,O
ITOSZLJ,O,O,X,X,X,X,O,O
ITOSZJL,O,O,X,X,X,X,O,O
ITOZLJS,O,O,X,X,X,O,O,X
ITOZLSJ,O,O,X,X,X,O,O,X
ITOZJLS,O,O,X,X,X,O,O,X
ITOZJSL,O,O,X,X,X,X,O,O
ITOZSLJ,O,O,X,X,X,X,O,O
ITOZSJL,O,O,X,X,X,X,O,O
ILTJSZO,O,X,O,X,X,X,X,O
ILTJSOZ,O,X,O,X,X,X,X,O
ILTJZSO,O,O,O,X,X,X,X,X
ILTJZOS,X,O,X,X,X,X,X,X
ILTJOSZ,O,X,O,X,O,X,X,O
ILTJOZS,X,X,O,X,O,X,X,X
ILTSJZO,O,X,O,O,X,X,X,O
ILTSJOZ,O,X,O,X,X,X,X,O
ILTSZJO,O,O,O,O,X,O,X,O
ILTSZOJ,O,O,O,O,X,O,X,O
ILTSOJZ,X,X,O,X,X,X,X,O
ILTSOZJ,O,X,O,O,X,O,X,O
ILTZJSO,O,O,O,O,X,O,X,X
ILTZJOS,X,O,X,X,X,O,X,X
ILTZSJO,O,O,O,O,X,O,X,X
ILTZSOJ,O,O,O,O,X,O,X,X
ILTZOJS,X,O,X,X,X,O,X,X
ILTZOSJ,X,O,X,X,X,X,X,X
ILTOJSZ,O,X,O,X,O,X,X,O
ILTOJZS,X,X,O,X,O,X,X,X
ILTOSJZ,X,X,O,X,X,X,X,O
ILTOSZJ,O,X,O,X,X,X,X,O
ILTOZJS,X,O,O,X,X,O,X,X
ILTOZSJ,X,O,O,X,X,X,X,X
ILJTSZO,O,O,O,X,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X,X
ILJTZSO,O,O,O,X,X,X,X,X
ILJTZOS,X,O,X,X,X,X,X,X
ILJTOSZ,O,X,O,X,O,X,X,X
ILJTOZS,X,O,O,X,O,X,X,X
ILJSTZO,O,X,O,O,X,X,X,X
ILJSTOZ,O,X,O,X,X,X,X,O
ILJSZTO,O,X,O,O,X,O,X,X
ILJSZOT,O,X,O,O,X,O,X,O
ILJSOTZ,X,X,O,X,O,X,X,O
ILJSOZT,X,X,O,X,O,O,X,O
ILJZTSO,X,O,O,O,X,O,X,X
ILJZTOS,X,O,X,X,X,O,X,X
ILJZSTO,X,O,O,O,X,O,X,X
ILJZSOT,X,O,O,O,X,O,X,X
ILJZOTS,X,X,X,X,O,O,X,X
ILJZOST,X,X,X,O,O,O,X,X
ILJOTSZ,X,X,O,X,O,X,X,X
ILJOTZS,X,X,O,X,O,X,X,X
ILJOSTZ,X,X,O,X,O,X,X,O
ILJOSZT,X,X,O,X,O,X,X,O
ILJOZTS,X,X,O,X,O,O,X,X
ILJOZST,X,X,O,X,O,O,X,X
ILSTJZO,O,X,O,O,X,X,X,O
ILSTJOZ,O,X,O,X,X,X,X,O
ILSTZJO,O,X,O,O,X,O,O,O
ILSTZOJ,O,X,O,O,X,O,O,O
ILSTOJZ,X,X,O,O,X,X,X,O
ILSTOZJ,O,X,O,O,X,O,O,O
ILSJTZO,O,X,O,O,X,X,X,O
ILSJTOZ,O,X,O,X,X,X,X,O
ILSJZTO,O,X,O,O,X,O,O,X
ILSJZOT,O,X,O,O,X,O,O,O
ILSJOTZ,X,X,O,X,O,X,X,O
ILSJOZT,X,X,O,X,O,O,O,O
ILSZTJO,O,X,O,O,X,O,O,O
ILSZTOJ,O,X,O,O,X,O,O,O
ILSZJTO,O,X,O,O,X,O,O,X
ILSZJOT,O,X,O,O,X,O,O,O
ILSZOTJ,O,X,O,O,X,O,O,X
ILSZOJT,O,X,O,O,X,O,O,O
ILSOTJZ,X,X,O,O,X,X,X,O
ILSOTZJ,X,X,O,O,X,O,O,O
ILSOJTZ,X,X,O,O,O,X,X,O
ILSOJZT,X,X,O,O,O,O,O,O
ILSOZTJ,X,X,O,O,X,O,O,X
ILSOZJT,X,X,O,O,X,O,O,O
ILZTJSO,X,O,O,O,X,O,X,X
ILZTJOS,X,O,X,X,X,O,X,X
ILZTSJO,X,O,O,O,X,O,X,X
ILZTSOJ,X,O,O,O,X,O,X,X
ILZTOJS,X,O,X,X,X,O,X,X
ILZTOSJ,X,O,X,X,X,X,X,X
ILZJTSO,X,O,O,O,X,O,X,X
ILZJTOS,X,O,X,X,X,O,X,X
ILZJSTO,X,O,O,O,X,O,O,X
ILZJSOT,X,O,O,O,X,O,O,X
ILZJOTS,X,X,X,O,O,O,X,X
ILZJOST,X,X,X,O,O,O,O,X
ILZSTJO,X,O,O,O,X,O,O,X
ILZSTOJ,X,O,O,O,X,O,O,X
ILZSJTO,X,O,O,O,X,O,O,X
ILZSJOT,X,O,O,O,X,O,O,X
ILZSOTJ,X,O,O,O,X,O,O,X
ILZSOJT,X,O,O,O,X,O,O,X
ILZOTJS,X,X,X,O,X,O,X,X
ILZOTSJ,X,X,X,O,X,O,X,X
ILZOJTS,X,X,X,O,O,O,X,X
ILZOJST,X,X,X,O,O,O,O,X
ILZOSTJ,X,X,X,O,X,O,O,X
ILZOSJT,X,X,X,O,X,O,O,X
ILOTJSZ,X,X,O,X,O,X,X,X
ILOTJZS,X,X,O,X,O,O,X,X
ILOTSJZ,X,X,O,O,X,X,X,X
ILOTSZJ,X,X,O,O,X,O,X,X
ILOTZJS,X,X,O,O,X,O,X,X
ILOTZSJ,X,X,O,O,X,O,X,X
ILOJTSZ,X,X,O,X,O,X,X,X
ILOJTZS,X,X,O,X,O,X,X,X
ILOJSTZ,X,X,O,O,O,X,X,O
ILOJSZT,X,X,O,O,O,X,X,O
ILOJZTS,X,X,O,O,O,O,X,X
ILOJZST,X,X,O,O,O,O,X,X
ILOSTJZ,X,X,O,O,X,X,X,O
ILOSTZJ,X,X,O,O,X,O,O,X
ILOSJTZ,X,X,O,O,O,X,X,O
ILOSJZT,X,X,O,O,O,O,O,O
ILOSZTJ,X,X,O,O,X,O,O,X
ILOSZJT,X,X,O,O,X,O,O,O
ILOZTJS,X,X,O,O,X,O,X,X
ILOZTSJ,X,X,O,O,X,O,X,X
ILOZJTS,X,X,O,O,O,O,X,X
ILOZJST,X,X,O,O,O,O,O,X
ILOZSTJ,X,X,O,O,X,O,O,X
ILOZSJT,X,X,O,O,X,O,O,X
IJTLSZO,O,O,O,X,X,X,X,O
IJTLSOZ,O,X,O,X,X,X,X,O
IJTLZSO,O,O,O,X,X,X,X,X
IJTLZOS,X,O,X,X,X,X,X,X
IJTLOSZ,O,O,O,X,O,X,X,O
IJTLOZS,O,O,O,X,O,X,X,X
IJTSLZO,O,O,O,X,X,X,X,O
IJTSLOZ,O,X,O,X,X,X,X,O
IJTSZLO,O,O,O,X,X,X,X,O
IJTSZOL,O,O,O,X,X,X,X,O
IJTSOLZ,O,O,O,X,X,X,X,O
IJTSOZL,O,O,O,X,X,X,X,O
IJTZLSO,O,O,X,X,X,X,X,X
IJTZLOS,X,O,X,X,X,X,X,X
IJTZSLO,O,O,X,X,X,X,X,O
IJTZSOL,O,O,X,X,X,X,X,O
IJTZOLS,O,O,X,X,X,X,X,X
IJTZOSL,O,O,X,X,X,X,X,O
IJTOLSZ,O,O,O,X,O,X,X,O
IJTOLZS,O,O,X,X,O,X,X,X
IJTOSLZ,O,O,O,X,X,X,X,O
IJTOSZL,O,O,O,X,X,X,X,O
IJTOZLS,O,O,X,X,X,X,X,X
IJTOZSL,O,O,O,X,X,X,X,O
IJLTSZO,O,O,O,X,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X,X
IJLTZSO,O,O,O,X,X,X,X,X
IJLTZOS,X,O,X,X,X,X,X,X
IJLTOSZ,O,X,O,X,O,X,X,X
IJLTOZS,X,O,O,X,O,X,X,X
IJLSTZO,O,X,O,X,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,X,O
IJLSZTO,O,X,O,X,X,X,X,X
IJLSZOT,O,X,O,X,X,X,X,O
IJLSOTZ,X,X,O,X,O,X,X,O
IJLSOZT,X,X,O,X,O,X,X,O
IJLZTSO,X,O,O,X,X,X,X,X
IJLZTOS,X,O,X,X,X,X,X,X
IJLZSTO,X,O,O,X,X,X,X,X
IJLZSOT,X,O,O,X,X,X,X,X
IJLZOTS,X,X,X,X,O,X,X,X
IJLZOST,X,X,X,X,O,X,X,X
IJLOTSZ,X,X,O,X,O,X,X,X
IJLOTZS,X,X,O,X,O,X,X,X
IJLOSTZ,X,X,O,X,O,X,X,O
IJLOSZT,X,X,O,X,O,X,X,O
IJLOZTS,X,X,O,X,O,X,X,X
IJLOZST,X,X,O,X,O,X,X,X
IJSTLZO,O,X,O,X,X,X,X,O
IJSTLOZ,O,X,O,X,X,X,X,O
IJSTZLO,O,X,O,X,X,X,X,O
IJSTZOL,O,X,O,X,X,X,X,O
IJSTOLZ,O,X,O,X,X,X,X,O
IJSTOZL,O,X,O,X,X,X,X,O
IJSLTZO,O,X,O,X,X,X,X,O
IJSLTOZ,O,X,O,X,X,X,X,O
IJSLZTO,O,X,O,X,X,X,X,X
IJSLZOT,O,X,O,X,X,X,X,O
IJSLOTZ,X,X,O,X,O,X,X,O
IJSLOZT,X,X,O,X,O,X,X,O
IJSZTLO,O,X,O,X,X,X,X,X
IJSZTOL,O,X,O,X,X,X,X,X
IJSZLTO,O,X,O,X,X,X,X,X
IJSZLOT,O,X,O,X,X,X,X,O
IJSZOTL,O,X,O,X,X,X,X,X
IJSZOLT,O,X,O,X,X,X,X,O
IJSOTLZ,O,X,O,X,X,X,X,O
IJSOTZL,O,X,O,X,X,X,X,X
IJSOLTZ,O,X,O,X,O,X,X,O
IJSOLZT,O,X,O,X,O,X,X,O
IJSOZTL,O,X,O,X,X,X,X,X
IJSOZLT,O,X,O,X,X,X,X,O
IJZTLSO,X,O,X,X,X,X,X,X
IJZTLOS,X,O,X,X,X,X,X,X
IJZTSLO,X,O,X,X,X,X,X,X
IJZTSOL,X,O,X,X,X,X,X,X
IJZTOLS,X,O,X,X,X,X,X,X
IJZTOSL,X,O,X,X,X,X,X,X
IJZLTSO,X,O,X,X,X,X,X,X
IJZLTOS,X,O,X,X,X,X,X,X
IJZLSTO,X,O,X,X,X,X,X,X
IJZLSOT,X,O,X,X,X,X,X,X
IJZLOTS,X,X,X,X,O,X,X,X
IJZLOST,X,X,X,X,O,X,X,X
IJZSTLO,X,O,X,X,X,X,X,X
IJZSTOL,X,O,X,X,X,X,X,X
IJZSLTO,X,O,X,X,X,X,X,X
IJZSLOT,X,O,X,X,X,X,X,O
IJZSOTL,X,O,X,X,X,X,X,X
IJZSOLT,X,O,X,X,X,X,X,O
IJZOTLS,X,O,X,X,X,X,X,X
IJZOTSL,X,O,X,X,X,X,X,X
IJZOLTS,X,O,X,X,O,X,X,X
IJZOLST,X,O,X,X,O,X,X,X
IJZOSTL,X,O,X,X,X,X,X,X
IJZOSLT,X,O,X,X,X,X,X,O
IJOTLSZ,O,O,O,X,O,X,X,X
IJOTLZS,O,O,O,X,O,X,X,X
IJOTSLZ,O,O,O,X,X,X,X,O
IJOTSZL,O,O,O,X,X,X,X,X
IJOTZLS,O,O,X,X,X,X,X,X
IJOTZSL,O,O,O,X,X,X,X,X
IJOLTSZ,O,O,O,X,O,X,X,X
IJOLTZS,O,O,O,X,O,X,X,X
IJOLSTZ,O,X,O,X,O,X,X,O
IJOLSZT,O,X,O,X,O,X,X,O
IJOLZTS,X,O,O,X,O,X,X,X
IJOLZST,X,O,O,X,O,X,X,X
IJOSTLZ,O,X,O,X,X,X,X,O
IJOSTZL,O,X,O,X,X,X,X,X
IJOSLTZ,O,X,O,X,O,X,X,O
