sequence,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBRhBCjBlmBToBmqB,v115@RhA8EeB8BeD8AeE8Jex/IvhFXhB8mBCjBlkBToBmqB,v115@RhA8EeB8BeD8AeE8Je/EJvhFUgBFhBxiBCnBToBmqB,v115@RhA8EeB8BeD8AeE8Jem/IvhFFhBxiB0kBfrBCsBTtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFelBSoBRmBfrBlrBUtB,v115@RhA8EeB8BeD8AeE8JeT/IvhFxgBymBGjBXlBUoBFrB,v115@RhA8EeB8BeD8AeE8Je/EJvhFRgBzhBGjBilBUoBFrB,v115@RhA8EeB8BeD8AeE8JemAJvhFzhBfoB6oBxkB0kBFrB
TIOZSLJ,O,O,X,X,X,X,O,O
TIOZSJL,O,O,X,X,X,X,O,O
TLIJSZO,O,X,O,X,X,O,X,O
TLIJSOZ,O,X,O,X,X,O,X,O
TLIJZSO,O,O,O,X,X,O,X,X
TLIJZOS,X,O,X,X,X,O,X,X
TLIJOSZ,O,X,O,X,O,X,X,O
TLIJOZS,O,X,O,X,O,O,X,X
TLISJZO,O,X,O,O,X,O,O,O
TLISJOZ,O,X,O,X,X,O,O,O
TLISZJO,O,O,O,O,X,O,O,O
TLISZOJ,O,O,O,O,X,O,O,O
TLISOJZ,O,X,O,X,X,O,O,O
TLISOZJ,O,X,O,O,X,O,O,O
TLIZJSO,O,O,O,O,X,O,O,X
TLIZJOS,X,O,X,X,X,O,O,X
TLIZSJO,O,O,O,O,X,O,O,X
TLIZSOJ,O,O,O,O,X,O,O,X
TLIZOJS,X,O,X,X,X,O,O,X
TLIZOSJ,X,O,X,X,X,O,O,X
TLIOJSZ,O,X,O,X,O,X,X,O
TLIOJZS,O,O,O,X,O,O,X,X
TLIOSJZ,O,X,O,X,X,O,O,O
TLIOSZJ,O,O,O,X,X,O,O,O
TLIOZJS,O,O,O,X,X,O,O,X
TLIOZSJ,O,O,O,X,X,O,O,X
TLJISZO,O,O,O,X,X,O,X,O
TLJISOZ,O,X,O,X,X,O,X,O
TLJIZSO,O,O,O,X,X,O,X,X
TLJIZOS,X,O,X,X,X,O,X,X
TLJIOSZ,O,X,O,X,O,X,X,O
TLJIOZS,O,O,O,X,O,O,X,X
TLJSIZO,O,O,O,X,X,O,O,O
TLJSIOZ,O,X,O,X,X,O,O,O
TLJSZIO,O,O,O,X,X,O,O,O
TLJSZOI,O,O,O,X,X,O,O,O
TLJSOIZ,O,X,O,X,X,O,O,O
TLJSOZI,O,X,O,X,X,O,O,O
TLJZISO,O,O,O,X,X,O,O,X
TLJZIOS,X,O,X,X,X,O,O,X
TLJZSIO,O,O,O,X,X,O,O,X
TLJZSOI,O,O,O,X,X,O,O,X
TLJZOIS,X,O,O,X,X,O,O,X
TLJZOSI,X,O,O,X,X,O,O,X
TLJOISZ,O,X,O,X,O,X,X,O
TLJOIZS,O,O,O,X,O,O,X,X
TLJOSIZ,O,X,O,X,X,X,O,O
TLJOSZI,O,X,O,X,X,X,O,O
TLJOZIS,O,O,O,X,X,O,O,X
TLJOZSI,O,O,O,X,X,O,O,X
TLSIJZO,O,X,O,O,X,O,O,O
TLSIJOZ,O,X,O,X,X,O,O,O
TLSIZJO,O,O,O,O,X,O,O,O
TLSIZOJ,O,O,O,O,X,O,O,O
TLSIOJZ,O,X,O,O,X,O,O,O
TLSIOZJ,O,X,O,O,X,O,O,O
TLSJIZO,O,X,O,O,X,O,O,O
TLSJIOZ,O,X,O,X,X,O,O,O
TLSJZIO,O,X,O,O,X,O,O,O
TLSJZOI,O,X,O,O,X,O,O,O
TLSJOIZ,O,X,O,O,X,O,O,O
TLSJOZI,O,X,O,O,X,O,O,O
TLSZIJO,O,O,O,O,X,O,O,O
