sequence,v115@ThB8EeF8AeD8Jem/IvhFRhB3iBcoBTkBFmBCsB,v115@ThB8EeF8AeD8Jem/IvhFfmB0hBxiBTkBFoBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhB3iBcoBTkBmlBCsB,v115@ThB8EeF8AeD8Jex/IvhFlhBCjBTkBmlB8rBXtB,v115@ThB8EeF8AeD8Je2EJvhFqnBTjBRmB3kBFmB8rB,v115@ThB8EeF8AeD8Jei/IvhFWmBxhBTjB3kB0nBlrB,v115@ThB8EeF8AeD8Jei/IvhFzgBRiBcoB3kBGnBlrB,v115@ThB8EeF8AeD8JeOEJvhF8kBzgBCiBxnBXoBlrB
TILJSZO,O,O,X,X,X,X,X,X
TILJSOZ,X,O,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,O
TILJZOS,O,X,X,X,X,X,X,O
TILJOSZ,O,X,X,X,O,X,X,X
TILJOZS,O,X,X,X,O,X,X,O
TILSJZO,O,O,X,X,X,X,X,X
TILSJOZ,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,X,X,X,O
TILSZOJ,O,O,X,X,X,X,X,O
TILSOJZ,O,O,X,X,X,X,X,X
TILSOZJ,O,O,X,X,X,X,X,O
TILZJSO,O,X,X,X,X,X,X,O
TILZJOS,O,X,X,X,X,X,X,O
TILZSJO,O,X,X,X,X,X,X,O
TILZSOJ,O,X,X,X,X,X,X,O
TILZOJS,O,X,X,X,X,X,X,O
TILZOSJ,O,X,X,X,X,X,X,O
TILOJSZ,O,O,X,X,O,X,X,X
TILOJZS,O,X,X,X,O,X,X,O
TILOSJZ,O,O,X,X,X,X,X,X
TILOSZJ,O,O,X,X,X,X,X,O
TILOZJS,O,X,X,X,X,X,X,O
TILOZSJ,O,X,X,X,X,X,X,O
TIJLSZO,O,O,X,X,X,O,X,X
TIJLSOZ,X,O,X,X,X,O,X,X
TIJLZSO,O,X,X,X,X,O,X,O
TIJLZOS,O,X,X,X,X,O,X,O
TIJLOSZ,O,X,X,X,O,O,X,X
TIJLOZS,O,X,X,X,O,X,X,O
TIJSLZO,O,O,X,X,X,O,O,X
TIJSLOZ,X,O,X,X,X,O,O,X
TIJSZLO,O,O,X,X,X,O,O,X
TIJSZOL,O,O,X,X,X,O,O,X
TIJSOLZ,X,O,X,X,X,O,O,X
TIJSOZL,X,O,X,X,X,O,O,X
TIJZLSO,O,X,X,X,X,O,O,O
