sequence,v115@IhA8HeB8GeE8AeA8AeC8Jei/IvhFFhBxiBTlBcrBOs?BXtB,v115@IhA8HeB8GeE8AeA8AeC8Jei/IvhFRhB3iBcoBTlBOr?BFsB,v115@IhA8HeB8GeE8AeA8AeC8Jei/IvhF3gBTjB1sBxqBcr?BOsB,v115@IhA8HeB8GeE8AeA8AeC8Jei/IvhFclBThBxiBOsBXo?BFrB,v115@IhA8HeB8GeE8AeA8AeC8Jei/IvhFclBThBZnBWoBXo?BFrB
TILJSZO,X,O,O,X,X
TILJSOZ,X,X,O,X,X
TILJZSO,X,O,O,X,O
TILJZOS,X,O,O,X,O
TILJOSZ,X,X,O,X,X
TILJOZS,X,O,O,X,O
TILSJZO,X,X,O,X,X
TILSJOZ,X,X,O,X,X
TILSZJO,X,X,O,X,X
TILSZOJ,X,X,O,X,X
TILSOJZ,X,X,O,X,X
TILSOZJ,X,X,O,X,X
TILZJSO,X,O,O,X,O
TILZJOS,X,O,O,X,O
TILZSJO,X,O,O,X,O
TILZSOJ,X,O,O,X,O
TILZOJS,X,O,O,X,O
TILZOSJ,X,O,O,X,O
TILOJSZ,X,O,O,X,X
TILOJZS,X,O,O,X,O
TILOSJZ,X,X,O,X,X
TILOSZJ,X,O,O,X,X
TILOZJS,X,O,O,X,O
TILOZSJ,X,O,O,X,O
TIJLSZO,X,O,O,X,X
TIJLSOZ,X,X,O,X,X
TIJLZSO,X,O,O,O,O
TIJLZOS,X,O,O,O,O
TIJLOSZ,X,X,O,X,X
TIJLOZS,X,O,O,O,O
TIJSLZO,X,O,O,O,X
TIJSLOZ,X,X,O,O,X
TIJSZLO,X,O,O,O,O
TIJSZOL,X,O,O,O,O
TIJSOLZ,X,X,O,O,X
TIJSOZL,X,X,O,O,O
TIJZLSO,X,O,O,O,O
TIJZLOS,X,O,O,O,O
TIJZSLO,X,O,O,O,O
TIJZSOL,X,O,O,O,O
TIJZOLS,X,O,O,O,O
TIJZOSL,X,O,O,O,O
TIJOLSZ,X,O,O,X,X
TIJOLZS,X,O,O,O,O
TIJOSLZ,X,O,O,O,X
