sequence,v115@GhA8IeA8CeA8EeE8BeD8Jei/IvhF3gBRiB1pBOrB8r?BzsB,v115@GhA8IeA8CeA8EeE8BeD8JeT/IvhFxgBmiBypBFmB0n?B3rB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBUiBaoB2pBxr?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Jel/IvhF3gBaoB2pBxmBUn?BTrB,v115@GhA8IeA8CeA8EeE8BeD8Je0/IvhFlgBziB2pBimBRs?B3rB,v115@GhA8IeA8CeA8EeE8BeD8JecGJvhFxkBlnBTkBilBmn?B3rB
TLJISZO,O,X,O,X,O,X
TLJISOZ,O,X,O,O,O,X
TLJIZSO,X,O,O,X,O,X
TLJIZOS,X,O,O,X,O,X
TLJIOSZ,O,X,O,O,O,X
TLJIOZS,X,O,O,O,O,X
TLJSIZO,O,X,O,X,X,X
TLJSIOZ,O,X,O,O,X,X
TLJSZIO,O,X,O,X,X,X
TLJSZOI,O,X,X,O,X,X
TLJSOIZ,O,X,O,O,X,X
TLJSOZI,O,X,X,O,X,X
TLJZISO,O,O,O,X,O,X
TLJZIOS,O,O,O,X,O,X
TLJZSIO,O,O,O,X,X,X
TLJZSOI,O,O,X,O,X,X
TLJZOIS,O,O,X,O,X,X
TLJZOSI,O,O,X,O,X,X
TLJOISZ,O,X,O,O,X,X
TLJOIZS,O,O,O,O,X,X
TLJOSIZ,O,X,O,O,X,X
TLJOSZI,O,X,X,O,X,X
TLJOZIS,O,O,X,O,X,X
TLJOZSI,O,O,X,O,X,X
TLSIJZO,O,O,O,X,X,X
TLSIJOZ,O,O,O,X,X,X
TLSIZJO,O,O,O,X,X,O
TLSIZOJ,O,O,O,X,X,O
TLSIOJZ,O,O,X,X,X,X
TLSIOZJ,O,O,O,X,X,X
TLSJIZO,O,O,O,X,X,X
TLSJIOZ,O,O,O,O,X,X
TLSJZIO,O,O,O,X,X,X
TLSJZOI,O,O,X,O,X,X
TLSJOIZ,O,O,O,O,X,X
TLSJOZI,O,O,X,O,X,X
TLSZIJO,O,O,O,X,X,O
TLSZIOJ,O,O,O,X,X,O
TLSZJIO,O,O,X,X,X,X
TLSZJOI,O,O,X,X,X,X
TLSZOIJ,O,O,X,X,X,X
TLSZOJI,O,O,X,X,X,X
TLSOIJZ,O,O,X,O,X,X
TLSOIZJ,O,O,O,X,X,X
TLSOJIZ,O,O,X,O,X,X
TLSOJZI,O,O,X,O,X,X
TLSOZIJ,O,O,X,X,X,X
TLSOZJI,O,O,X,X,X,X
TLZIJSO,O,O,X,X,X,X
TLZIJOS,O,O,X,X,X,X
TLZISJO,O,O,X,X,X,X
TLZISOJ,O,O,X,X,X,X
TLZIOJS,O,O,X,X,X,X
TLZIOSJ,O,O,X,X,X,X
TLZJISO,O,O,X,X,X,X
TLZJIOS,O,O,X,X,X,X
TLZJSIO,O,O,X,X,X,X
TLZJSOI,O,O,X,X,X,X
TLZJOIS,O,O,X,X,X,X
TLZJOSI,O,O,X,X,X,X
TLZSIJO,O,O,X,X,X,X
TLZSIOJ,O,O,X,X,X,X
TLZSJIO,O,O,X,X,X,X
TLZSJOI,O,O,X,X,X,X
TLZSOIJ,O,O,X,X,X,X
TLZSOJI,O,O,X,X,X,X
TLZOIJS,O,O,X,X,X,X
TLZOISJ,O,O,X,X,X,X
TLZOJIS,O,O,X,X,X,X
TLZOJSI,O,O,X,X,X,X
TLZOSIJ,O,O,X,X,X,X
TLZOSJI,O,O,X,X,X,X
TLOIJSZ,O,X,X,O,X,X
TLOIJZS,O,O,X,O,X,X
TLOISJZ,O,X,X,O,X,X
TLOISZJ,O,O,X,X,X,X
TLOIZJS,O,O,X,X,X,X
TLOIZSJ,O,O,X,X,X,X
TLOJISZ,O,X,X,O,X,X
TLOJIZS,O,O,X,O,X,X
TLOJSIZ,O,X,X,O,X,X
TLOJSZI,O,X,X,O,X,X
TLOJZIS,O,O,X,O,X,X
TLOJZSI,O,O,X,O,X,X
TLOSIJZ,O,O,X,O,X,X
TLOSIZJ,O,O,X,X,X,X
TLOSJIZ,O,O,X,O,X,X
TLOSJZI,O,O,X,O,X,X
TLOSZIJ,O,O,X,X,X,X
TLOSZJI,O,O,X,X,X,X
TLOZIJS,O,O,X,X,X,X
TLOZISJ,O,O,X,X,X,X
TLOZJIS,O,O,X,X,X,X
TLOZJSI,O,O,X,X,X,X
TLOZSIJ,O,O,X,X,X,X
TLOZSJI,O,O,X,X,X,X
TJILSZO,O,X,O,X,O,X
TJILSOZ,O,X,O,O,O,X
TJILZSO,X,O,O,X,O,X
TJILZOS,X,O,O,X,O,X
TJILOSZ,O,X,O,O,O,X
TJILOZS,X,O,O,O,O,X
TJISLZO,O,X,O,X,O,X
TJISLOZ,O,X,O,O,O,X
TJISZLO,O,X,O,X,O,O
TJISZOL,O,X,O,X,O,O
TJISOLZ,O,X,O,O,O,X
TJISOZL,O,X,O,O,O,X
TJIZLSO,X,O,O,X,O,X
TJIZLOS,X,O,O,X,O,X
TJIZSLO,X,O,O,X,O,X
TJIZSOL,X,X,O,X,O,X
TJIZOLS,X,O,O,X,O,X
TJIZOSL,X,X,O,X,O,X
TJIOLSZ,O,X,O,O,O,X
TJIOLZS,X,X,O,O,O,X
TJIOSLZ,O,X,O,O,O,X
TJIOSZL,O,X,O,O,O,X
TJIOZLS,X,X,O,O,O,X
TJIOZSL,X,X,O,O,O,X
TJLISZO,O,X,O,X,O,X
TJLISOZ,O,X,O,O,O,X
TJLIZSO,X,O,O,X,O,X
TJLIZOS,X,O,O,X,O,X
TJLIOSZ,O,X,O,O,O,X
TJLIOZS,X,O,O,O,O,X
TJLSIZO,O,X,O,X,X,X
TJLSIOZ,O,X,O,O,X,X
TJLSZIO,O,X,O,X,X,X
TJLSZOI,O,X,X,O,X,X
TJLSOIZ,O,X,O,O,X,X
TJLSOZI,O,X,X,O,X,X
TJLZISO,O,O,O,X,O,X
TJLZIOS,O,O,O,X,O,X
TJLZSIO,O,O,O,X,X,X
TJLZSOI,O,O,X,O,X,X
TJLZOIS,O,O,X,O,X,X
TJLZOSI,O,O,X,O,X,X
TJLOISZ,O,X,O,O,X,X
TJLOIZS,O,O,O,O,X,X
TJLOSIZ,O,X,O,O,X,X
TJLOSZI,O,X,X,O,X,X
TJLOZIS,O,O,X,O,X,X
TJLOZSI,O,O,X,O,X,X
TJSILZO,O,X,O,X,O,X
TJSILOZ,O,X,O,O,O,X
TJSIZLO,O,X,O,X,O,O
TJSIZOL,O,X,O,X,O,O
TJSIOLZ,O,X,O,O,O,X
TJSIOZL,O,X,O,O,O,X
TJSLIZO,O,X,O,X,X,X
TJSLIOZ,O,X,O,O,X,X
TJSLZIO,O,X,O,X,X,X
TJSLZOI,O,X,X,O,X,X
TJSLOIZ,O,X,O,O,X,X
TJSLOZI,O,X,X,O,X,X
TJSZILO,O,X,O,X,O,O
TJSZIOL,O,X,O,X,O,O
TJSZLIO,O,X,O,X,X,X
TJSZLOI,O,X,X,O,X,X
TJSZOIL,O,X,X,O,X,X
TJSZOLI,O,X,X,O,X,X
TJSOILZ,O,X,O,O,X,X
TJSOIZL,O,X,O,O,X,X
TJSOLIZ,O,X,O,O,X,X
TJSOLZI,O,X,X,O,X,X
TJSOZIL,O,X,X,O,X,X
TJSOZLI,O,X,X,O,X,X
TJZILSO,O,O,O,X,O,X
TJZILOS,O,O,O,X,O,X
TJZISLO,O,O,O,X,O,X
TJZISOL,O,X,O,X,O,X
TJZIOLS,O,O,O,X,O,X
TJZIOSL,O,X,O,X,O,X
TJZLISO,O,O,O,X,O,X
TJZLIOS,O,O,O,X,O,X
TJZLSIO,O,O,O,X,X,X
TJZLSOI,O,O,X,O,X,X
TJZLOIS,O,O,X,O,X,X
TJZLOSI,O,O,X,O,X,X
TJZSILO,O,O,O,X,O,X
TJZSIOL,O,X,O,X,O,X
TJZSLIO,O,O,O,X,X,X
TJZSLOI,O,O,X,O,X,X
TJZSOIL,O,X,X,O,X,X
TJZSOLI,O,X,X,O,X,X
TJZOILS,O,O,X,O,O,X
TJZOISL,O,X,X,O,O,X
TJZOLIS,O,O,X,O,X,X
TJZOLSI,O,O,X,O,X,X
TJZOSIL,O,X,X,O,X,X
TJZOSLI,O,X,X,O,X,X
TJOILSZ,O,X,O,O,O,X
TJOILZS,O,X,O,O,O,X
TJOISLZ,O,X,O,O,O,X
TJOISZL,O,X,O,O,O,X
TJOIZLS,O,X,O,O,O,X
TJOIZSL,O,X,O,O,O,X
TJOLISZ,O,X,O,O,X,X
TJOLIZS,O,X,O,O,X,X
TJOLSIZ,O,X,O,O,X,X
TJOLSZI,O,X,X,O,X,X
TJOLZIS,O,X,X,O,X,X
TJOLZSI,O,X,X,O,X,X
TJOSILZ,O,X,O,O,X,X
TJOSIZL,O,X,O,O,X,X
TJOSLIZ,O,X,O,O,X,X
TJOSLZI,O,X,X,O,X,X
TJOSZIL,O,X,X,O,X,X
TJOSZLI,O,X,X,O,X,X
TJOZILS,O,X,X,O,O,X
TJOZISL,O,X,X,O,O,X
TJOZLIS,O,X,X,O,X,X
TJOZLSI,O,X,X,O,X,X
TJOZSIL,O,X,X,O,X,X
TJOZSLI,O,X,X,O,X,X
TSILJZO,O,O,O,X,O,X
TSILJOZ,O,O,O,X,O,X
TSILZJO,O,O,O,X,X,O
TSILZOJ,O,O,O,X,X,O
TSILOJZ,O,O,X,X,O,X
TSILOZJ,O,O,O,X,X,X
TSIJLZO,O,O,O,X,O,X
TSIJLOZ,O,O,O,X,O,X
TSIJZLO,O,O,O,X,O,O
TSIJZOL,O,O,O,X,O,O
TSIJOLZ,O,X,O,X,O,X
TSIJOZL,O,X,O,X,O,X
TSIZLJO,O,O,O,X,X,O
TSIZLOJ,O,O,O,X,X,O
TSIZJLO,O,O,O,X,X,O
TSIZJOL,X,O,O,X,X,O
TSIZOLJ,O,O,O,X,X,O
TSIZOJL,O,O,X,X,X,O
TSIOLJZ,O,O,X,X,O,X
TSIOLZJ,O,O,O,X,X,X
TSIOJLZ,O,X,X,X,O,X
TSIOJZL,O,X,X,X,O,X
TSIOZLJ,O,O,O,X,X,O
TSIOZJL,O,O,X,X,X,O
TSLIJZO,O,O,O,X,X,X
TSLIJOZ,O,O,O,X,X,X
TSLIZJO,O,O,O,X,X,O
TSLIZOJ,O,O,O,X,X,O
TSLIOJZ,O,O,X,X,X,X
TSLIOZJ,O,O,O,X,X,X
TSLJIZO,O,O,O,X,X,X
TSLJIOZ,O,O,O,O,X,X
TSLJZIO,O,O,O,X,X,X
TSLJZOI,O,O,X,O,X,X
TSLJOIZ,O,O,O,O,X,X
TSLJOZI,O,O,X,O,X,X
TSLZIJO,O,O,O,X,X,O
TSLZIOJ,O,O,O,X,X,O
TSLZJIO,O,O,X,X,X,X
TSLZJOI,O,O,X,X,X,X
TSLZOIJ,O,O,X,X,X,X
TSLZOJI,O,O,X,X,X,X
TSLOIJZ,O,O,X,O,X,X
TSLOIZJ,O,O,O,X,X,X
TSLOJIZ,O,O,X,O,X,X
TSLOJZI,O,O,X,O,X,X
TSLOZIJ,O,O,X,X,X,X
TSLOZJI,O,O,X,X,X,X
TSJILZO,O,O,O,X,O,X
TSJILOZ,O,O,O,O,O,X
TSJIZLO,O,O,O,X,O,O
TSJIZOL,O,O,O,X,O,O
TSJIOLZ,O,X,O,O,O,X
TSJIOZL,O,X,O,O,O,X
TSJLIZO,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,X,X
TSJLZIO,O,O,O,X,X,X
TSJLZOI,O,O,X,O,X,X
TSJLOIZ,O,O,O,O,X,X
TSJLOZI,O,O,X,O,X,X
TSJZILO,O,O,O,X,O,O
TSJZIOL,O,O,O,X,O,O
TSJZLIO,O,O,O,X,X,X
TSJZLOI,O,O,X,O,X,X
TSJZOIL,O,O,X,O,X,X
TSJZOLI,O,O,X,O,X,X
TSJOILZ,O,X,O,O,X,X
TSJOIZL,O,X,O,O,X,X
TSJOLIZ,O,X,O,O,X,X
TSJOLZI,O,X,X,O,X,X
TSJOZIL,O,X,X,O,X,X
TSJOZLI,O,X,X,O,X,X
TSZILJO,O,O,O,X,X,O
TSZILOJ,O,O,O,X,X,O
TSZIJLO,O,O,O,X,X,O
TSZIJOL,X,O,X,X,X,O
TSZIOLJ,O,O,O,X,X,O
TSZIOJL,O,O,X,X,X,O
TSZLIJO,O,O,O,X,X,O
TSZLIOJ,O,O,O,X,X,O
TSZLJIO,O,O,X,X,X,X
TSZLJOI,O,O,X,X,X,X
TSZLOIJ,O,O,X,X,X,X
TSZLOJI,O,O,X,X,X,X
TSZJILO,O,O,X,X,X,O
TSZJIOL,O,O,X,X,X,O
TSZJLIO,O,O,X,X,X,X
TSZJLOI,O,O,X,X,X,X
TSZJOIL,O,O,X,X,X,X
TSZJOLI,O,O,X,X,X,X
TSZOILJ,O,O,X,X,X,O
TSZOIJL,O,O,X,X,X,O
TSZOLIJ,O,O,X,X,X,X
TSZOLJI,O,O,X,X,X,X
TSZOJIL,O,O,X,X,X,X
TSZOJLI,O,O,X,X,X,X
TSOILJZ,O,O,X,O,X,X
TSOILZJ,O,O,O,X,X,X
TSOIJLZ,O,X,X,O,X,X
TSOIJZL,O,X,X,O,X,X
TSOIZLJ,O,O,O,X,X,O
TSOIZJL,O,O,X,X,X,O
TSOLIJZ,O,O,X,O,X,X
TSOLIZJ,O,O,O,X,X,X
TSOLJIZ,O,O,X,O,X,X
TSOLJZI,O,O,X,O,X,X
TSOLZIJ,O,O,X,X,X,X
TSOLZJI,O,O,X,X,X,X
TSOJILZ,O,X,X,O,X,X
TSOJIZL,O,X,X,O,X,X
TSOJLIZ,O,X,X,O,X,X
TSOJLZI,O,X,X,O,X,X
TSOJZIL,O,X,X,O,X,X
TSOJZLI,O,X,X,O,X,X
TSOZILJ,O,O,X,X,X,O
TSOZIJL,O,O,X,X,X,O
TSOZLIJ,O,O,X,X,X,X
TSOZLJI,O,O,X,X,X,X
TSOZJIL,O,O,X,X,X,X
TSOZJLI,O,O,X,X,X,X
TZILJSO,O,O,X,X,O,X
TZILJOS,O,O,X,X,O,X
TZILSJO,O,O,X,X,X,X
TZILSOJ,O,O,X,X,X,X
TZILOJS,O,O,X,X,O,X
TZILOSJ,O,O,X,X,X,X
TZIJLSO,O,O,X,X,O,X
TZIJLOS,O,O,X,X,O,X
TZIJSLO,O,O,X,X,O,X
TZIJSOL,O,X,X,X,O,X
TZIJOLS,O,O,X,X,O,X
TZIJOSL,O,X,X,X,O,X
TZISLJO,O,O,X,X,X,O
TZISLOJ,O,O,X,X,X,O
TZISJLO,O,O,X,X,X,O
TZISJOL,X,X,X,X,X,O
TZISOLJ,O,X,X,X,X,O
TZISOJL,O,X,X,X,X,O
TZIOLJS,O,O,X,X,O,X
TZIOLSJ,O,O,X,X,X,X
TZIOJLS,O,O,X,X,O,X
TZIOJSL,O,X,X,X,O,X
TZIOSLJ,O,X,X,X,X,X
TZIOSJL,O,X,X,X,X,X
TZLIJSO,O,O,X,X,X,X
TZLIJOS,O,O,X,X,X,X
TZLISJO,O,O,X,X,X,X
TZLISOJ,O,O,X,X,X,X
TZLIOJS,O,O,X,X,X,X
TZLIOSJ,O,O,X,X,X,X
TZLJISO,O,O,X,X,X,X
TZLJIOS,O,O,X,X,X,X
TZLJSIO,O,O,X,X,X,X
