sequence,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGGgBZmBtmB0iB6o?B/qBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBtlB0hBxiBGo?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je2EJvhGRgB3hB9oBSqB0n?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB3iB9oB0kBCm?BXrBzsB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmBXjBTlBer?BctB6sB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBumB9nBTjByq?BXtB0qB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGRgBtmB0iB2qBSt?BzqBXtB,v115@RhA8EeA8CeC8BeB8BeA8Jem/IvhGRhB9nBTjB0kBCm?BXrBXtB,v115@RhA8EeA8CeC8BeB8BeA8Je/EJvhGalBRhB9nBTjBuq?BcrBXtB
STLJIZSO,X,X,O,X,X,X,X,X,X
STLJIZOS,X,X,X,X,X,X,X,X,X
STLJIOSZ,X,X,X,X,X,X,X,X,X
STLJIOZS,X,X,X,X,X,X,X,X,X
STLJSIZO,X,X,O,X,X,X,X,X,X
STLJSIOZ,X,X,X,X,X,O,X,X,X
STLJSZIO,X,X,O,X,X,O,X,X,X
STLJSZOI,X,X,O,X,X,O,X,X,X
STLJSOIZ,X,X,X,X,X,O,X,X,X
STLJSOZI,X,X,X,X,X,O,X,X,X
STLJZISO,X,X,O,X,X,X,X,X,X
STLJZIOS,X,X,X,X,X,X,X,X,X
STLJZSIO,X,X,O,X,X,X,X,X,X
STLJZSOI,X,X,O,X,X,X,X,X,X
STLJZOIS,X,X,X,X,X,X,O,X,X
STLJZOSI,X,X,X,X,X,X,O,X,X
STLJOISZ,X,X,X,X,X,X,X,X,X
STLJOIZS,X,X,X,X,X,X,O,X,X
STLJOSIZ,X,X,X,X,X,O,X,X,X
STLJOSZI,X,X,X,X,X,O,X,X,X
STLJOZIS,X,X,X,X,X,X,O,X,X
STLJOZSI,X,X,X,X,X,X,O,X,X
STLSIJZO,O,X,O,X,X,X,X,X,X
STLSIJOZ,X,X,X,X,X,O,X,X,X
STLSIZJO,O,X,O,O,X,X,X,O,X
STLSIZOJ,X,X,X,X,X,X,X,O,X
STLSIOJZ,X,X,X,X,X,O,X,X,X
STLSIOZJ,X,X,X,X,X,X,X,O,O
STLSJIZO,O,X,O,X,X,X,X,X,X
STLSJIOZ,X,X,X,X,X,O,X,X,X
STLSJZIO,O,X,O,X,X,O,X,X,X
STLSJZOI,X,X,O,X,X,O,X,X,X
STLSJOIZ,X,X,X,X,X,O,X,X,X
STLSJOZI,X,X,X,X,X,O,X,X,X
STLSZIJO,O,X,O,O,X,X,X,O,X
STLSZIOJ,X,X,X,X,X,X,X,O,O
STLSZJIO,O,X,O,O,X,X,X,O,O
STLSZJOI,X,X,O,X,X,X,X,O,O
STLSZOIJ,X,X,X,X,X,X,X,O,O
STLSZOJI,X,X,X,X,X,X,X,O,O
STLSOIJZ,X,X,X,X,X,O,X,X,X
STLSOIZJ,X,X,X,X,X,X,X,O,O
STLSOJIZ,X,X,X,X,X,O,X,X,X
STLSOJZI,X,X,X,X,X,O,X,X,X
STLSOZIJ,X,X,X,X,X,X,X,O,O
STLSOZJI,X,X,X,X,X,X,X,O,O
STLZIJSO,X,X,O,O,X,X,X,O,X
STLZIJOS,X,X,X,X,X,X,X,X,X
STLZISJO,O,X,O,O,X,X,X,O,X
STLZISOJ,X,X,X,X,X,X,X,O,O
STLZIOJS,X,X,X,X,X,X,X,X,X
STLZIOSJ,X,X,X,X,X,X,X,X,X
STLZJISO,X,X,O,O,X,X,X,O,O
STLZJIOS,X,X,X,X,X,X,X,X,X
STLZJSIO,X,X,O,O,X,X,X,O,O
STLZJSOI,X,X,O,X,X,X,X,O,O
STLZJOIS,X,X,X,X,X,X,O,X,X
STLZJOSI,X,X,X,X,X,X,O,X,X
STLZSIJO,O,X,O,O,X,X,X,O,X
STLZSIOJ,X,X,X,X,X,X,X,O,O
STLZSJIO,O,X,O,O,X,X,X,O,O
STLZSJOI,X,X,O,X,X,X,X,O,O
STLZSOIJ,X,X,X,X,X,X,X,O,O
STLZSOJI,X,X,X,X,X,X,X,O,O
STLZOIJS,X,X,X,X,X,X,X,X,X
STLZOISJ,X,X,X,X,X,X,X,X,X
STLZOJIS,X,X,X,X,X,X,X,X,X
STLZOJSI,X,X,X,X,X,X,X,X,X
STLZOSIJ,X,X,X,X,X,X,X,X,X
STLZOSJI,X,X,X,X,X,X,X,X,X
STLOIJSZ,X,X,X,X,X,X,X,X,X
STLOIJZS,X,X,X,X,X,X,X,X,X
STLOISJZ,X,X,X,X,X,X,X,X,X
STLOISZJ,X,X,X,X,X,X,X,X,X
STLOIZJS,X,X,X,X,X,X,X,X,X
STLOIZSJ,X,X,X,X,X,X,X,X,X
STLOJISZ,X,X,X,X,X,X,X,X,X
STLOJIZS,X,X,X,X,X,X,X,X,X
STLOJSIZ,X,X,X,X,X,O,X,X,X
STLOJSZI,X,X,X,X,X,O,X,X,X
STLOJZIS,X,X,X,X,X,X,X,X,X
STLOJZSI,X,X,X,X,X,X,X,X,X
STLOSIJZ,X,X,X,X,X,O,X,X,X
STLOSIZJ,X,X,X,X,X,X,X,X,X
STLOSJIZ,X,X,X,X,X,O,X,X,X
STLOSJZI,X,X,X,X,X,O,X,X,X
STLOSZIJ,X,X,X,X,X,X,X,X,X
STLOSZJI,X,X,X,X,X,X,X,X,X
STLOZIJS,X,X,X,X,X,X,X,X,X
STLOZISJ,X,X,X,X,X,X,X,X,X
STLOZJIS,X,X,X,X,X,X,X,X,X
STLOZJSI,X,X,X,X,X,X,X,X,X
STLOZSIJ,X,X,X,X,X,X,X,X,X
STLOZSJI,X,X,X,X,X,X,X,X,X
STJILSZO,X,X,X,X,X,X,X,X,X
STJILSOZ,X,X,X,X,X,X,X,X,X
STJILZSO,X,X,X,X,X,X,X,X,X
STJILZOS,X,X,X,X,X,X,X,X,X
STJILOSZ,X,X,X,X,X,X,X,X,X
STJILOZS,X,X,X,X,X,X,X,X,X
STJISLZO,X,O,X,X,X,X,X,X,X
STJISLOZ,X,X,X,X,X,X,X,X,X
STJISZLO,X,O,X,X,X,X,X,X,X
STJISZOL,X,X,X,X,X,X,X,X,X
STJISOLZ,X,X,X,X,X,O,X,X,X
STJISOZL,X,X,X,X,X,X,X,X,X
STJIZLSO,X,X,X,X,X,X,X,X,X
STJIZLOS,X,X,X,X,X,X,X,X,X
STJIZSLO,X,O,X,X,X,X,X,X,X
STJIZSOL,X,X,X,X,X,X,X,X,X
STJIZOLS,X,X,X,X,X,X,X,X,X
STJIZOSL,X,X,X,X,X,X,X,X,X
STJIOLSZ,X,X,X,X,X,X,X,X,X
STJIOLZS,X,X,X,X,X,X,X,X,X
STJIOSLZ,X,X,X,X,X,X,X,X,X
STJIOSZL,X,X,X,X,X,X,X,X,X
STJIOZLS,X,X,X,X,X,X,X,X,X
STJIOZSL,X,X,X,X,X,X,X,X,X
STJLISZO,X,X,O,X,X,X,X,X,X
STJLISOZ,X,X,X,X,X,O,X,X,X
STJLIZSO,X,X,O,X,X,X,X,X,X
STJLIZOS,X,X,X,X,X,X,X,X,X
