sequence,v115@UhA8EeB8BeB8BeC8JeOEJvhGXgBdmB5mBiiBcoBcsB?zpB,v115@UhA8EeB8BeB8BeC8Jex/IvhGXhBdnBunBcoBikBzpB?0rB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUhBRiBSoBXlB2sB0rB?zpB,v115@UhA8EeB8BeB8BeC8JeNEJvhGUgBRhBCjBmmBXoBzpB?0rB,v115@UhA8EeB8BeB8BeC8Je0/IvhGdmBRiBcoB/pBqrBTnB?OqB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBamBRiBcoBWsB0pB?XsB,v115@UhA8EeB8BeB8BeC8JeXAJvhGdmBRiBcoB2pBSsBzrB?0pB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBCjBmmBXoB0pB?0rB,v115@UhA8EeB8BeB8BeC8JeT/IvhGNlBRhBunBcoB/rBasB?0pB
ZTIOLSJZ,X,X,X,X,X,X,X,X,X
ZTIOLSZJ,X,X,X,X,X,X,X,X,X
ZTIOLZJS,X,X,X,X,X,X,X,X,X
ZTIOLZSJ,X,X,X,X,X,X,X,X,X
ZTIOJLSZ,X,X,X,X,X,X,X,X,X
ZTIOJLZS,X,X,X,X,X,X,X,X,X
ZTIOJSLZ,X,X,X,X,X,X,X,X,X
ZTIOJSZL,O,X,X,X,X,X,X,X,X
ZTIOJZLS,O,X,X,X,X,X,X,X,X
ZTIOJZSL,O,X,X,X,X,X,X,X,X
ZTIOSLJZ,X,X,X,X,X,X,X,X,X
ZTIOSLZJ,X,X,X,X,X,X,X,O,X
ZTIOSJLZ,X,X,X,X,X,X,X,X,X
ZTIOSJZL,O,X,X,X,X,X,X,X,X
ZTIOSZLJ,O,X,X,X,X,X,X,X,X
ZTIOSZJL,O,X,X,X,X,X,X,X,O
ZTIOZLJS,O,X,X,X,X,X,X,X,X
ZTIOZLSJ,O,X,X,X,X,X,X,X,X
ZTIOZJLS,O,X,X,X,X,X,X,X,X
ZTIOZJSL,O,X,X,X,X,X,X,O,O
ZTIOZSLJ,O,X,X,X,X,X,X,O,X
ZTIOZSJL,O,X,X,X,X,X,X,X,X
ZTLIJSZO,X,X,X,X,X,X,X,X,X
ZTLIJSOZ,X,X,X,X,X,X,X,X,X
ZTLIJZSO,X,X,X,X,X,X,X,X,X
ZTLIJZOS,X,X,X,X,X,X,X,X,X
ZTLIJOSZ,X,X,X,X,X,X,X,X,X
ZTLIJOZS,X,X,X,X,X,X,X,X,X
ZTLISJZO,X,X,X,X,X,X,X,X,X
ZTLISJOZ,X,X,X,X,X,X,X,X,X
ZTLISZJO,X,O,X,X,X,X,X,X,X
ZTLISZOJ,X,X,X,X,X,X,X,X,X
ZTLISOJZ,X,X,X,X,X,X,X,X,X
