sequence,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBmiB5oBzk?BtsB,v115@RhA8BeA8AeB8CeG8AeA8Kei/IvhFfmB0hBxiBzkBus?B9tB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhFelBfmB0hBdoB5o?B6sB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBxiBmlBtsB6t?BXqB,v115@RhA8BeA8AeB8CeG8AeA8KeT/IvhF0hBdoB5oBmlBXl?B6sB
ITJLSOZ,O,O,O,O,X
ITJLZSO,O,O,X,O,X
ITJLZOS,X,X,X,O,O
ITJLOSZ,O,O,O,O,X
ITJLOZS,O,O,X,O,O
ITJSLZO,O,O,O,X,X
ITJSLOZ,O,O,O,X,X
ITJSZLO,O,O,O,X,X
ITJSZOL,O,O,O,X,O
ITJSOLZ,O,O,O,X,X
ITJSOZL,O,O,O,X,O
ITJZLSO,O,O,X,O,X
ITJZLOS,X,X,X,O,O
ITJZSLO,O,O,O,X,X
ITJZSOL,O,O,O,X,O
ITJZOLS,O,O,X,O,O
ITJZOSL,O,O,O,X,O
ITJOLSZ,O,O,O,O,X
ITJOLZS,O,O,X,O,O
ITJOSLZ,O,O,O,X,X
ITJOSZL,O,O,O,X,O
ITJOZLS,O,O,X,O,O
ITJOZSL,O,O,O,X,O
ITSLJZO,O,O,O,X,X
ITSLJOZ,O,O,O,X,X
ITSLZJO,O,O,O,X,X
ITSLZOJ,O,O,X,X,X
ITSLOJZ,O,O,X,X,X
ITSLOZJ,O,O,X,X,X
ITSJLZO,O,O,O,X,X
ITSJLOZ,O,O,O,X,X
ITSJZLO,O,O,O,X,X
ITSJZOL,O,O,O,X,O
ITSJOLZ,O,O,O,X,X
ITSJOZL,O,O,O,X,O
ITSZLJO,O,O,O,X,X
ITSZLOJ,O,O,X,X,X
ITSZJLO,O,O,O,X,X
ITSZJOL,O,O,O,X,O
ITSZOLJ,O,O,X,X,X
ITSZOJL,O,O,O,X,O
ITSOLJZ,O,O,X,X,X
ITSOLZJ,O,O,X,X,X
ITSOJLZ,O,O,O,X,X
ITSOJZL,O,O,O,X,O
ITSOZLJ,O,O,X,X,X
ITSOZJL,O,O,O,X,O
ITZLJSO,O,X,X,O,X
ITZLJOS,X,X,X,O,O
ITZLSJO,O,O,X,O,X
ITZLSOJ,O,O,X,O,X
ITZLOJS,X,X,X,O,O
ITZLOSJ,X,X,X,O,X
ITZJLSO,O,X,X,O,X
ITZJLOS,X,X,X,O,O
ITZJSLO,O,X,O,X,X
ITZJSOL,O,X,O,X,O
ITZJOLS,O,X,X,O,O
ITZJOSL,O,X,O,X,O
ITZSLJO,O,O,O,X,X
ITZSLOJ,O,O,X,X,X
ITZSJLO,O,O,O,X,X
ITZSJOL,O,O,O,X,O
ITZSOLJ,O,O,X,X,X
ITZSOJL,O,O,O,X,O
ITZOLJS,O,X,X,O,O
ITZOLSJ,O,O,X,O,X
ITZOJLS,O,X,X,O,O
ITZOJSL,O,X,O,X,O
ITZOSLJ,O,O,X,X,X
ITZOSJL,O,O,X,X,O
ITOLJSZ,O,O,O,O,X
ITOLJZS,O,O,X,O,O
ITOLSJZ,O,O,X,O,X
ITOLSZJ,O,O,X,O,X
ITOLZJS,O,X,X,O,O
ITOLZSJ,O,O,X,O,X
ITOJLSZ,O,O,O,O,X
ITOJLZS,O,O,X,O,O
ITOJSLZ,O,O,O,X,X
ITOJSZL,O,O,O,X,O
ITOJZLS,O,O,X,O,O
ITOJZSL,O,O,O,X,O
ITOSLJZ,O,O,X,X,X
ITOSLZJ,O,O,X,X,X
ITOSJLZ,O,O,O,X,X
ITOSJZL,O,O,O,X,O
ITOSZLJ,O,O,X,X,X
ITOSZJL,O,O,O,X,O
ITOZLJS,O,X,X,O,O
ITOZLSJ,O,O,X,O,X
ITOZJLS,O,X,X,O,O
ITOZJSL,O,X,O,X,O
ITOZSLJ,O,O,X,X,X
ITOZSJL,O,O,X,X,O
ILTJSZO,O,O,O,X,X
ILTJSOZ,O,O,O,X,X
ILTJZSO,O,O,X,X,X
ILTJZOS,X,X,X,X,O
ILTJOSZ,O,O,O,X,X
ILTJOZS,O,X,X,X,O
ILTSJZO,O,O,O,X,X
ILTSJOZ,O,O,O,X,X
ILTSZJO,O,O,O,X,X
ILTSZOJ,O,O,X,X,X
ILTSOJZ,O,X,X,X,X
ILTSOZJ,O,O,X,X,X
ILTZJSO,O,X,X,X,X
ILTZJOS,X,X,X,X,O
ILTZSJO,O,O,X,X,X
ILTZSOJ,O,O,X,X,X
ILTZOJS,X,X,X,X,O
ILTZOSJ,X,X,X,X,X
ILTOJSZ,O,X,O,X,X
ILTOJZS,O,X,X,X,O
ILTOSJZ,O,X,X,X,X
ILTOSZJ,O,O,X,X,X
ILTOZJS,O,X,X,X,O
ILTOZSJ,O,X,X,X,X
ILJTSZO,O,X,O,X,X
ILJTSOZ,O,X,O,X,X
ILJTZSO,O,X,X,X,X
ILJTZOS,X,X,X,X,O
ILJTOSZ,O,X,O,X,X
ILJTOZS,X,X,X,X,O
ILJSTZO,O,X,O,X,X
ILJSTOZ,O,X,O,X,X
ILJSZTO,O,X,O,X,X
ILJSZOT,X,X,O,X,X
ILJSOTZ,X,X,O,X,X
ILJSOZT,X,X,O,X,X
ILJZTSO,X,X,X,X,X
ILJZTOS,X,X,X,X,O
ILJZSTO,X,X,X,X,X
ILJZSOT,X,X,X,X,X
ILJZOTS,X,X,X,X,O
ILJZOST,X,X,X,X,X
ILJOTSZ,X,X,O,X,X
ILJOTZS,X,X,X,X,O
ILJOSTZ,X,X,O,X,X
ILJOSZT,X,X,O,X,X
ILJOZTS,X,X,X,X,O
ILJOZST,X,X,X,X,X
ILSTJZO,O,O,O,X,X
ILSTJOZ,O,O,O,X,X
ILSTZJO,O,O,O,X,X
ILSTZOJ,O,O,X,X,X
ILSTOJZ,O,X,X,X,X
ILSTOZJ,O,O,X,X,X
ILSJTZO,O,X,O,X,X
ILSJTOZ,O,X,O,X,X
ILSJZTO,O,X,O,X,X
ILSJZOT,X,X,O,X,X
ILSJOTZ,X,X,O,X,X
ILSJOZT,X,X,O,X,X
ILSZTJO,O,O,O,X,X
ILSZTOJ,O,O,X,X,X
ILSZJTO,O,O,O,X,X
ILSZJOT,X,O,O,X,X
ILSZOTJ,O,O,X,X,X
ILSZOJT,O,O,X,X,X
ILSOTJZ,O,X,X,X,X
ILSOTZJ,O,X,X,X,X
ILSOJTZ,O,X,X,X,X
ILSOJZT,O,X,X,X,X
ILSOZTJ,O,X,X,X,X
ILSOZJT,O,X,X,X,X
ILZTJSO,O,X,X,X,X
ILZTJOS,X,X,X,X,O
ILZTSJO,O,X,X,X,X
ILZTSOJ,O,X,X,X,X
ILZTOJS,X,X,X,X,O
ILZTOSJ,X,X,X,X,X
ILZJTSO,X,X,X,X,X
ILZJTOS,X,X,X,X,O
ILZJSTO,X,X,X,X,X
ILZJSOT,X,X,X,X,X
ILZJOTS,X,X,X,X,O
ILZJOST,X,X,X,X,X
ILZSTJO,O,X,X,X,X
ILZSTOJ,O,X,X,X,X
ILZSJTO,O,X,X,X,X
ILZSJOT,X,X,X,X,X
ILZSOTJ,O,X,X,X,X
ILZSOJT,X,X,X,X,X
ILZOTJS,X,X,X,X,O
ILZOTSJ,X,X,X,X,X
ILZOJTS,X,X,X,X,O
ILZOJST,X,X,X,X,X
ILZOSTJ,X,X,X,X,X
ILZOSJT,X,X,X,X,X
ILOTJSZ,O,X,O,X,X
ILOTJZS,O,X,X,X,O
ILOTSJZ,O,X,X,X,X
ILOTSZJ,O,X,X,X,X
ILOTZJS,O,X,X,X,O
ILOTZSJ,O,X,X,X,X
ILOJTSZ,O,X,O,X,X
ILOJTZS,O,X,X,X,O
ILOJSTZ,O,X,O,X,X
ILOJSZT,O,X,O,X,X
ILOJZTS,X,X,X,X,O
ILOJZST,X,X,X,X,X
ILOSTJZ,O,X,X,X,X
ILOSTZJ,O,X,X,X,X
ILOSJTZ,O,X,X,X,X
ILOSJZT,O,X,X,X,X
ILOSZTJ,O,X,X,X,X
ILOSZJT,O,X,X,X,X
ILOZTJS,O,X,X,X,O
ILOZTSJ,O,X,X,X,X
ILOZJTS,X,X,X,X,O
ILOZJST,X,X,X,X,X
ILOZSTJ,O,X,X,X,X
ILOZSJT,O,X,X,X,X
IJTLSZO,O,X,O,O,X
IJTLSOZ,O,X,O,O,X
IJTLZSO,O,X,X,O,X
IJTLZOS,X,X,X,O,O
IJTLOSZ,O,X,O,O,X
IJTLOZS,O,X,X,O,O
IJTSLZO,O,X,O,X,X
IJTSLOZ,O,X,O,X,X
IJTSZLO,O,X,O,X,X
IJTSZOL,O,X,O,X,O
IJTSOLZ,O,X,O,X,X
IJTSOZL,O,X,O,X,O
IJTZLSO,O,X,X,O,X
IJTZLOS,X,X,X,O,O
IJTZSLO,O,X,O,X,X
IJTZSOL,O,X,O,X,O
IJTZOLS,O,X,X,O,O
IJTZOSL,O,X,O,X,O
IJTOLSZ,O,X,O,O,X
IJTOLZS,O,X,X,O,O
IJTOSLZ,O,X,O,X,X
IJTOSZL,O,X,O,X,O
IJTOZLS,O,X,X,O,O
IJTOZSL,O,X,O,X,O
IJLTSZO,O,X,O,X,X
IJLTSOZ,O,X,O,X,X
IJLTZSO,O,X,X,X,X
IJLTZOS,X,X,X,X,O
IJLTOSZ,O,X,O,X,X
IJLTOZS,X,X,X,X,O
IJLSTZO,O,X,O,X,X
IJLSTOZ,O,X,O,X,X
IJLSZTO,O,X,O,X,X
IJLSZOT,X,X,O,X,X
IJLSOTZ,X,X,O,X,X
IJLSOZT,X,X,O,X,X
IJLZTSO,X,X,X,X,X
IJLZTOS,X,X,X,X,O
IJLZSTO,X,X,X,X,X
IJLZSOT,X,X,X,X,X
IJLZOTS,X,X,X,X,O
IJLZOST,X,X,X,X,X
IJLOTSZ,X,X,O,X,X
IJLOTZS,X,X,X,X,O
IJLOSTZ,X,X,O,X,X
IJLOSZT,X,X,O,X,X
IJLOZTS,X,X,X,X,O
IJLOZST,X,X,X,X,X
IJSTLZO,O,X,O,X,X
IJSTLOZ,O,X,O,X,X
IJSTZLO,O,X,O,X,X
IJSTZOL,O,X,O,X,O
IJSTOLZ,O,X,O,X,X
IJSTOZL,O,X,O,X,O
IJSLTZO,O,X,O,X,X
IJSLTOZ,O,X,O,X,X
IJSLZTO,O,X,O,X,X
IJSLZOT,X,X,O,X,X
IJSLOTZ,X,X,O,X,X
IJSLOZT,X,X,O,X,X
IJSZTLO,O,X,O,X,X
IJSZTOL,O,X,O,X,O
IJSZLTO,O,X,O,X,X
IJSZLOT,X,X,O,X,X
IJSZOTL,O,X,O,X,O
IJSZOLT,O,X,O,X,X
IJSOTLZ,O,X,O,X,X
IJSOTZL,O,X,O,X,O
IJSOLTZ,O,X,O,X,X
IJSOLZT,O,X,O,X,X
IJSOZTL,O,X,O,X,O
IJSOZLT,O,X,O,X,X
IJZTLSO,X,X,X,O,X
IJZTLOS,X,X,X,O,O
IJZTSLO,X,X,O,X,X
IJZTSOL,X,X,O,X,O
IJZTOLS,X,X,X,O,O
IJZTOSL,X,X,O,X,O
IJZLTSO,X,X,X,X,X
IJZLTOS,X,X,X,X,O
IJZLSTO,X,X,X,X,X
IJZLSOT,X,X,X,X,X
IJZLOTS,X,X,X,X,O
IJZLOST,X,X,X,X,X
IJZSTLO,X,X,O,X,X
IJZSTOL,X,X,O,X,O
IJZSLTO,X,X,O,X,X
IJZSLOT,X,X,O,X,X
IJZSOTL,X,X,O,X,O
IJZSOLT,X,X,O,X,X
IJZOTLS,X,X,X,O,O
IJZOTSL,X,X,O,X,O
IJZOLTS,X,X,X,X,O
IJZOLST,X,X,X,X,X
IJZOSTL,X,X,O,X,O
IJZOSLT,X,X,O,X,X
IJOTLSZ,O,X,O,O,X
IJOTLZS,O,X,X,O,O
IJOTSLZ,O,X,O,X,X
IJOTSZL,O,X,O,X,O
IJOTZLS,O,X,X,O,O
IJOTZSL,O,X,O,X,O
IJOLTSZ,O,X,O,X,X
IJOLTZS,O,X,X,X,O
IJOLSTZ,O,X,O,X,X
IJOLSZT,O,X,O,X,X
IJOLZTS,X,X,X,X,O
IJOLZST,X,X,X,X,X
IJOSTLZ,O,X,O,X,X
IJOSTZL,O,X,O,X,O
IJOSLTZ,O,X,O,X,X
IJOSLZT,O,X,O,X,X
IJOSZTL,O,X,O,X,O
IJOSZLT,O,X,O,X,X
IJOZTLS,X,X,X,O,O
IJOZTSL,X,X,O,X,O
IJOZLTS,X,X,X,X,O
IJOZLST,X,X,X,X,X
IJOZSTL,X,X,O,X,O
IJOZSLT,X,X,O,X,X
ISTLJZO,O,O,O,X,X
ISTLJOZ,O,O,O,X,X
ISTLZJO,O,O,O,X,X
ISTLZOJ,O,O,X,X,X
ISTLOJZ,O,O,X,X,X
ISTLOZJ,O,O,X,X,X
ISTJLZO,O,O,O,X,X
ISTJLOZ,O,O,O,X,X
ISTJZLO,O,O,O,X,X
ISTJZOL,O,O,O,X,O
ISTJOLZ,O,O,O,X,X
ISTJOZL,O,O,O,X,O
ISTZLJO,O,O,O,X,X
ISTZLOJ,O,O,X,X,X
ISTZJLO,O,O,O,X,X
ISTZJOL,O,O,O,X,O
ISTZOLJ,O,O,X,X,X
ISTZOJL,O,O,O,X,O
ISTOLJZ,O,O,X,X,X
ISTOLZJ,O,O,X,X,X
ISTOJLZ,O,O,O,X,X
ISTOJZL,O,O,O,X,O
ISTOZLJ,O,O,X,X,X
ISTOZJL,O,O,O,X,O
ISLTJZO,O,O,O,X,X
ISLTJOZ,O,O,O,X,X
ISLTZJO,O,O,O,X,X
ISLTZOJ,O,O,X,X,X
ISLTOJZ,O,X,X,X,X
ISLTOZJ,O,O,X,X,X
ISLJTZO,O,X,O,X,X
ISLJTOZ,O,X,O,X,X
ISLJZTO,O,X,O,X,X
ISLJZOT,X,X,O,X,X
ISLJOTZ,X,X,O,X,X
ISLJOZT,X,X,O,X,X
ISLZTJO,O,O,O,X,X
ISLZTOJ,O,O,X,X,X
ISLZJTO,O,O,O,X,X
ISLZJOT,X,O,O,X,X
ISLZOTJ,O,O,X,X,X
ISLZOJT,O,O,X,X,X
ISLOTJZ,O,X,X,X,X
ISLOTZJ,O,X,X,X,X
ISLOJTZ,O,X,X,X,X
ISLOJZT,O,X,X,X,X
ISLOZTJ,O,X,X,X,X
ISLOZJT,O,X,X,X,X
ISJTLZO,O,X,O,X,X
ISJTLOZ,O,X,O,X,X
ISJTZLO,O,X,O,X,X
ISJTZOL,O,X,O,X,O
ISJTOLZ,O,X,O,X,X
ISJTOZL,O,X,O,X,O
ISJLTZO,O,X,O,X,X
ISJLTOZ,O,X,O,X,X
ISJLZTO,O,X,O,X,X
ISJLZOT,X,X,O,X,X
ISJLOTZ,X,X,O,X,X
ISJLOZT,X,X,O,X,X
ISJZTLO,O,X,O,X,X
ISJZTOL,O,X,O,X,O
ISJZLTO,O,X,O,X,X
ISJZLOT,X,X,O,X,X
ISJZOTL,O,X,O,X,O
ISJZOLT,O,X,O,X,X
ISJOTLZ,O,X,O,X,X
ISJOTZL,O,X,O,X,O
ISJOLTZ,O,X,O,X,X
ISJOLZT,O,X,O,X,X
ISJOZTL,O,X,O,X,O
ISJOZLT,O,X,O,X,X
ISZTLJO,O,O,O,X,X
ISZTLOJ,O,O,X,X,X
ISZTJLO,O,O,O,X,X
ISZTJOL,O,O,O,X,O
ISZTOLJ,O,O,X,X,X
ISZTOJL,O,O,O,X,O
ISZLTJO,O,O,O,X,X
ISZLTOJ,O,O,X,X,X
ISZLJTO,O,O,O,X,X
ISZLJOT,X,O,O,X,X
ISZLOTJ,O,O,X,X,X
ISZLOJT,O,O,X,X,X
ISZJTLO,O,X,O,X,X
ISZJTOL,O,X,O,X,O
ISZJLTO,O,O,O,X,X
ISZJLOT,X,O,O,X,X
ISZJOTL,O,X,O,X,O
ISZJOLT,O,O,O,X,X
ISZOTLJ,O,O,X,X,X
ISZOTJL,O,O,O,X,O
ISZOLTJ,O,O,X,X,X
ISZOLJT,O,O,X,X,X
ISZOJTL,O,X,O,X,O
ISZOJLT,O,O,O,X,X
ISOTLJZ,O,O,X,X,X
ISOTLZJ,O,O,X,X,X
ISOTJLZ,O,O,O,X,X
ISOTJZL,O,O,O,X,O
ISOTZLJ,O,O,X,X,X
ISOTZJL,O,O,O,X,O
ISOLTJZ,O,O,X,X,X
ISOLTZJ,O,O,X,X,X
ISOLJTZ,O,X,X,X,X
ISOLJZT,O,X,X,X,X
ISOLZTJ,O,O,X,X,X
ISOLZJT,O,O,X,X,X
ISOJTLZ,O,X,O,X,X
ISOJTZL,O,X,O,X,O
ISOJLTZ,O,X,O,X,X
ISOJLZT,O,X,O,X,X
ISOJZTL,O,X,O,X,O
ISOJZLT,O,X,O,X,X
ISOZTLJ,O,O,X,X,X
ISOZTJL,O,O,O,X,O
ISOZLTJ,O,O,X,X,X
ISOZLJT,O,O,X,X,X
ISOZJTL,O,X,O,X,O
ISOZJLT,O,O,O,X,X
IZTLJSO,O,X,X,O,X
IZTLJOS,X,X,X,O,O
IZTLSJO,O,X,X,O,X
IZTLSOJ,O,X,X,O,X
IZTLOJS,X,X,X,O,O
IZTLOSJ,X,X,X,O,X
IZTJLSO,O,X,X,O,X
IZTJLOS,X,X,X,O,O
IZTJSLO,O,X,O,X,X
IZTJSOL,O,X,O,X,O
IZTJOLS,O,X,X,O,O
IZTJOSL,O,X,O,X,O
IZTSLJO,O,X,O,X,X
IZTSLOJ,O,X,X,X,X
IZTSJLO,O,X,O,X,X
IZTSJOL,O,X,O,X,O
IZTSOLJ,O,X,X,X,X
IZTSOJL,O,X,O,X,O
IZTOLJS,O,X,X,O,O
IZTOLSJ,O,X,X,O,X
IZTOJLS,O,X,X,O,O
IZTOJSL,O,X,O,X,O
IZTOSLJ,O,X,X,X,X
IZTOSJL,O,X,X,X,O
IZLTJSO,O,X,X,X,X
IZLTJOS,X,X,X,X,O
IZLTSJO,O,X,X,X,X
IZLTSOJ,O,X,X,X,X
IZLTOJS,X,X,X,X,O
IZLTOSJ,X,X,X,X,X
IZLJTSO,X,X,X,X,X
IZLJTOS,X,X,X,X,O
IZLJSTO,X,X,X,X,X
IZLJSOT,X,X,X,X,X
IZLJOTS,X,X,X,X,O
IZLJOST,X,X,X,X,X
IZLSTJO,O,X,X,X,X
IZLSTOJ,O,X,X,X,X
IZLSJTO,O,X,X,X,X
IZLSJOT,X,X,X,X,X
IZLSOTJ,O,X,X,X,X
IZLSOJT,X,X,X,X,X
IZLOTJS,X,X,X,X,O
IZLOTSJ,X,X,X,X,X
IZLOJTS,X,X,X,X,O
IZLOJST,X,X,X,X,X
IZLOSTJ,X,X,X,X,X
IZLOSJT,X,X,X,X,X
IZJTLSO,X,X,X,O,X
IZJTLOS,X,X,X,O,O
IZJTSLO,X,X,O,X,X
IZJTSOL,X,X,O,X,O
IZJTOLS,X,X,X,O,O
IZJTOSL,X,X,O,X,O
IZJLTSO,X,X,X,X,X
IZJLTOS,X,X,X,X,O
IZJLSTO,X,X,X,X,X
IZJLSOT,X,X,X,X,X
IZJLOTS,X,X,X,X,O
IZJLOST,X,X,X,X,X
IZJSTLO,X,X,O,X,X
IZJSTOL,X,X,O,X,O
IZJSLTO,X,X,O,X,X
IZJSLOT,X,X,O,X,X
IZJSOTL,X,X,O,X,O
IZJSOLT,X,X,O,X,X
IZJOTLS,X,X,X,O,O
IZJOTSL,X,X,O,X,O
IZJOLTS,X,X,X,X,O
IZJOLST,X,X,X,X,X
IZJOSTL,X,X,O,X,O
IZJOSLT,X,X,O,X,X
IZSTLJO,O,X,O,X,X
IZSTLOJ,O,X,X,X,X
IZSTJLO,O,X,O,X,X
IZSTJOL,O,X,O,X,O
IZSTOLJ,O,X,X,X,X
IZSTOJL,O,X,O,X,O
IZSLTJO,O,X,O,X,X
IZSLTOJ,O,X,X,X,X
IZSLJTO,O,X,O,X,X
IZSLJOT,X,X,O,X,X
IZSLOTJ,O,X,X,X,X
IZSLOJT,O,X,X,X,X
IZSJTLO,O,X,O,X,X
IZSJTOL,O,X,O,X,O
IZSJLTO,O,X,O,X,X
IZSJLOT,X,X,O,X,X
IZSJOTL,O,X,O,X,O
IZSJOLT,O,X,O,X,X
IZSOTLJ,O,X,X,X,X
IZSOTJL,O,X,O,X,O
IZSOLTJ,O,X,X,X,X
IZSOLJT,O,X,X,X,X
IZSOJTL,O,X,O,X,O
IZSOJLT,O,X,O,X,X
IZOTLJS,O,X,X,O,O
IZOTLSJ,O,X,X,O,X
IZOTJLS,O,X,X,O,O
IZOTJSL,O,X,O,X,O
IZOTSLJ,O,X,X,X,X
IZOTSJL,O,X,X,X,O
IZOLTJS,O,X,X,X,O
IZOLTSJ,O,X,X,X,X
IZOLJTS,X,X,X,X,O
IZOLJST,X,X,X,X,X
IZOLSTJ,O,X,X,X,X
IZOLSJT,O,X,X,X,X
IZOJTLS,X,X,X,O,O
IZOJTSL,X,X,O,X,O
IZOJLTS,X,X,X,X,O
IZOJLST,X,X,X,X,X
IZOJSTL,X,X,O,X,O
IZOJSLT,X,X,O,X,X
IZOSTLJ,O,X,X,X,X
IZOSTJL,O,X,X,X,O
IZOSLTJ,O,X,X,X,X
IZOSLJT,O,X,X,X,X
IZOSJTL,O,X,X,X,O
IZOSJLT,O,X,X,X,X
IOTLJSZ,O,O,O,O,X
IOTLJZS,O,O,X,O,O
IOTLSJZ,O,O,X,O,X
IOTLSZJ,O,O,X,O,X
IOTLZJS,O,X,X,O,O
IOTLZSJ,O,O,X,O,X
IOTJLSZ,O,O,O,O,X
IOTJLZS,O,O,X,O,O
IOTJSLZ,O,O,O,X,X
IOTJSZL,O,O,O,X,O
IOTJZLS,O,O,X,O,O
IOTJZSL,O,O,O,X,O
IOTSLJZ,O,O,X,X,X
IOTSLZJ,O,O,X,X,X
IOTSJLZ,O,O,O,X,X
IOTSJZL,O,O,O,X,O
IOTSZLJ,O,O,X,X,X
IOTSZJL,O,O,O,X,O
IOTZLJS,O,X,X,O,O
IOTZLSJ,O,O,X,O,X
IOTZJLS,O,X,X,O,O
IOTZJSL,O,X,O,X,O
IOTZSLJ,O,O,X,X,X
IOTZSJL,O,O,X,X,O
IOLTJSZ,O,O,O,X,X
IOLTJZS,O,O,X,X,O
IOLTSJZ,O,O,X,X,X
IOLTSZJ,O,O,X,X,X
IOLTZJS,O,X,X,X,O
IOLTZSJ,O,O,X,X,X
IOLJTSZ,O,X,O,X,X
IOLJTZS,O,X,X,X,O
IOLJSTZ,O,X,O,X,X
IOLJSZT,O,X,O,X,X
IOLJZTS,X,X,X,X,O
IOLJZST,X,X,X,X,X
IOLSTJZ,O,O,X,X,X
IOLSTZJ,O,O,X,X,X
IOLSJTZ,O,X,X,X,X
IOLSJZT,O,X,X,X,X
IOLSZTJ,O,O,X,X,X
IOLSZJT,O,O,X,X,X
IOLZTJS,O,X,X,X,O
IOLZTSJ,O,X,X,X,X
IOLZJTS,X,X,X,X,O
IOLZJST,X,X,X,X,X
IOLZSTJ,O,X,X,X,X
IOLZSJT,O,X,X,X,X
IOJTLSZ,O,X,O,O,X
IOJTLZS,O,X,X,O,O
IOJTSLZ,O,X,O,X,X
IOJTSZL,O,X,O,X,O
IOJTZLS,O,X,X,O,O
IOJTZSL,O,X,O,X,O
IOJLTSZ,O,X,O,X,X
IOJLTZS,O,X,X,X,O
IOJLSTZ,O,X,O,X,X
IOJLSZT,O,X,O,X,X
IOJLZTS,X,X,X,X,O
IOJLZST,X,X,X,X,X
IOJSTLZ,O,X,O,X,X
IOJSTZL,O,X,O,X,O
IOJSLTZ,O,X,O,X,X
IOJSLZT,O,X,O,X,X
IOJSZTL,O,X,O,X,O
IOJSZLT,O,X,O,X,X
IOJZTLS,X,X,X,O,O
IOJZTSL,X,X,O,X,O
IOJZLTS,X,X,X,X,O
IOJZLST,X,X,X,X,X
IOJZSTL,X,X,O,X,O
IOJZSLT,X,X,O,X,X
IOSTLJZ,O,O,X,X,X
IOSTLZJ,O,O,X,X,X
IOSTJLZ,O,O,O,X,X
IOSTJZL,O,O,O,X,O
IOSTZLJ,O,O,X,X,X
IOSTZJL,O,O,O,X,O
IOSLTJZ,O,O,X,X,X
IOSLTZJ,O,O,X,X,X
IOSLJTZ,O,X,X,X,X
IOSLJZT,O,X,X,X,X
IOSLZTJ,O,O,X,X,X
IOSLZJT,O,O,X,X,X
IOSJTLZ,O,X,O,X,X
IOSJTZL,O,X,O,X,O
IOSJLTZ,O,X,O,X,X
IOSJLZT,O,X,O,X,X
IOSJZTL,O,X,O,X,O
IOSJZLT,O,X,O,X,X
IOSZTLJ,O,O,X,X,X
IOSZTJL,O,O,O,X,O
IOSZLTJ,O,O,X,X,X
IOSZLJT,O,O,X,X,X
IOSZJTL,O,X,O,X,O
IOSZJLT,O,O,O,X,X
IOZTLJS,O,X,X,O,O
IOZTLSJ,O,X,X,O,X
IOZTJLS,O,X,X,O,O
IOZTJSL,O,X,O,X,O
IOZTSLJ,O,X,X,X,X
IOZTSJL,O,X,X,X,O
IOZLTJS,O,X,X,X,O
IOZLTSJ,O,X,X,X,X
IOZLJTS,X,X,X,X,O
IOZLJST,X,X,X,X,X
IOZLSTJ,O,X,X,X,X
IOZLSJT,O,X,X,X,X
IOZJTLS,X,X,X,O,O
IOZJTSL,X,X,O,X,O
IOZJLTS,X,X,X,X,O
IOZJLST,X,X,X,X,X
IOZJSTL,X,X,O,X,O
IOZJSLT,X,X,O,X,X
IOZSTLJ,O,X,X,X,X
IOZSTJL,O,X,X,X,O
IOZSLTJ,O,X,X,X,X
IOZSLJT,O,X,X,X,X
IOZSJTL,O,X,X,X,O
IOZSJLT,O,X,X,X,X
LTIJSZO,O,O,O,O,X
LTIJSOZ,O,O,O,O,X
LTIJZSO,O,O,X,O,X
LTIJZOS,X,X,X,O,O
LTIJOSZ,O,O,O,O,X
LTIJOZS,O,X,X,O,O
LTISJZO,O,O,O,O,X
LTISJOZ,O,O,O,O,X
LTISZJO,O,O,O,O,X
LTISZOJ,O,O,X,O,X
LTISOJZ,O,O,X,O,X
LTISOZJ,O,O,X,O,X
LTIZJSO,O,X,X,O,X
LTIZJOS,X,X,X,O,O
LTIZSJO,O,O,X,O,X
LTIZSOJ,O,O,X,O,X
LTIZOJS,X,X,X,O,O
LTIZOSJ,X,X,X,O,X
LTIOJSZ,O,O,O,O,X
LTIOJZS,O,X,X,O,O
LTIOSJZ,O,O,X,O,X
LTIOSZJ,O,O,X,O,X
LTIOZJS,O,X,X,O,O
LTIOZSJ,O,O,X,O,X
LTJISZO,O,O,O,O,X
LTJISOZ,O,O,O,O,X
LTJIZSO,O,O,X,O,X
LTJIZOS,X,X,X,O,O
LTJIOSZ,O,O,O,O,X
LTJIOZS,O,O,X,O,O
LTJSIZO,O,O,O,O,X
LTJSIOZ,O,O,O,O,X
LTJSZIO,O,O,O,O,X
LTJSZOI,O,O,O,O,X
LTJSOIZ,O,O,O,O,X
LTJSOZI,O,O,O,O,X
LTJZISO,O,O,X,O,X
LTJZIOS,X,X,X,O,O
LTJZSIO,O,O,X,O,X
LTJZSOI,O,O,X,O,X
LTJZOIS,X,X,X,O,O
LTJZOSI,X,X,X,O,X
LTJOISZ,O,O,O,O,X
LTJOIZS,O,O,X,O,O
LTJOSIZ,O,O,O,O,X
LTJOSZI,O,O,O,O,X
LTJOZIS,O,O,X,O,O
LTJOZSI,O,O,X,O,X
LTSIJZO,O,O,O,O,X
LTSIJOZ,O,O,O,O,X
LTSIZJO,O,O,O,O,X
LTSIZOJ,O,O,X,O,X
LTSIOJZ,O,O,X,O,X
LTSIOZJ,O,O,X,O,X
LTSJIZO,O,O,O,O,X
LTSJIOZ,O,O,O,O,X
