sequence,v115@ThB8AeA8DeI8KeOEJvhF8kBfmBlhBaoB5oBTsB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmB0hBmiB5oB1xB,v115@ThB8AeA8DeI8Kex/IvhFlhBcnBTkBmlB6tBXtB,v115@ThB8AeA8DeI8Kem/IvhFRhBcnBTkBFmBXoB6tB,v115@ThB8AeA8DeI8Kem/IvhFfmB0hBliB5oBTpByxB,v115@ThB8AeA8DeI8KeKEJvhFzfBfmBlhBcnBeoB5oB
TILJSZO,X,O,X,X,O,O
TILJSOZ,X,O,X,X,O,O
TILJZSO,X,O,X,X,O,O
TILJZOS,X,O,O,X,X,O
TILJOSZ,X,O,O,X,O,O
TILJOZS,X,O,O,X,O,O
TILSJZO,O,O,X,X,O,O
TILSJOZ,X,O,X,X,O,O
TILSZJO,O,O,X,X,O,X
TILSZOJ,O,O,X,X,O,X
TILSOJZ,X,O,X,X,O,O
TILSOZJ,O,O,X,X,O,X
TILZJSO,O,O,X,X,O,X
TILZJOS,X,O,O,X,X,X
TILZSJO,O,O,X,X,O,X
TILZSOJ,O,O,X,O,O,X
TILZOJS,X,O,X,O,O,X
TILZOSJ,X,O,X,O,O,X
TILOJSZ,X,O,X,X,O,O
TILOJZS,X,O,X,O,O,O
TILOSJZ,X,O,X,X,O,O
TILOSZJ,X,O,X,X,O,X
TILOZJS,X,O,X,O,O,X
TILOZSJ,X,O,X,O,O,X
TIJLSZO,X,O,X,X,O,O
TIJLSOZ,X,O,X,X,O,O
TIJLZSO,X,O,X,X,O,O
TIJLZOS,X,O,O,X,X,O
TIJLOSZ,X,O,O,X,O,O
TIJLOZS,X,O,O,X,X,O
TIJSLZO,X,O,X,X,O,O
TIJSLOZ,X,O,X,X,O,O
TIJSZLO,X,O,X,X,O,O
TIJSZOL,X,O,X,X,O,O
TIJSOLZ,X,O,X,X,X,X
TIJSOZL,X,O,X,X,X,X
TIJZLSO,X,O,X,X,X,O
TIJZLOS,X,O,O,X,X,O
TIJZSLO,X,O,X,X,X,O
TIJZSOL,X,O,X,O,X,O
TIJZOLS,X,X,O,O,X,X
TIJZOSL,X,X,O,O,X,X
TIJOLSZ,X,O,O,X,X,X
TIJOLZS,X,O,O,O,X,X
TIJOSLZ,X,O,O,X,X,X
TIJOSZL,X,O,O,O,X,X
TIJOZLS,X,X,O,O,X,X
TIJOZSL,X,X,O,O,X,X
TISLJZO,O,O,X,X,O,O
TISLJOZ,X,O,X,X,O,O
TISLZJO,O,O,X,X,O,X
TISLZOJ,O,O,X,X,O,X
TISLOJZ,O,O,X,X,O,O
TISLOZJ,O,O,X,X,O,X
TISJLZO,O,O,X,X,O,O
TISJLOZ,X,O,X,X,O,O
TISJZLO,O,O,X,X,O,O
TISJZOL,O,O,X,X,O,O
TISJOLZ,O,O,X,X,X,X
TISJOZL,O,O,X,X,X,X
TISZLJO,O,O,X,X,O,X
TISZLOJ,O,O,X,O,O,X
TISZJLO,O,O,X,X,O,X
TISZJOL,O,O,X,O,O,X
TISZOLJ,O,O,X,O,O,X
TISZOJL,O,O,X,O,O,X
TISOLJZ,O,O,X,X,O,X
TISOLZJ,O,O,X,X,O,X
TISOJLZ,O,O,X,X,O,X
TISOJZL,O,O,X,O,O,X
TISOZLJ,O,O,X,O,O,X
TISOZJL,O,O,X,O,O,X
TIZLJSO,O,O,X,X,X,X
TIZLJOS,X,O,O,X,X,X
TIZLSJO,O,O,X,X,X,X
TIZLSOJ,O,O,X,O,X,X
TIZLOJS,X,O,X,O,X,X
TIZLOSJ,X,O,X,O,X,X
TIZJLSO,O,O,X,X,X,X
TIZJLOS,X,O,O,X,X,X
TIZJSLO,O,O,X,X,X,X
TIZJSOL,O,O,X,O,X,X
TIZJOLS,O,X,O,O,X,X
TIZJOSL,O,X,O,O,X,X
TIZSLJO,O,O,X,X,X,X
TIZSLOJ,O,O,X,O,X,X
TIZSJLO,O,O,X,X,X,X
TIZSJOL,O,O,X,O,X,X
TIZSOLJ,O,O,X,O,X,X
TIZSOJL,O,O,X,O,X,X
TIZOLJS,O,X,X,O,X,X
TIZOLSJ,O,X,X,O,X,X
TIZOJLS,O,X,X,O,X,X
TIZOJSL,O,X,X,O,X,X
TIZOSLJ,O,X,X,O,X,X
TIZOSJL,O,X,X,O,X,X
TIOLJSZ,X,O,X,X,O,X
TIOLJZS,X,O,X,O,O,X
TIOLSJZ,O,O,X,X,O,X
TIOLSZJ,O,O,X,X,O,X
TIOLZJS,O,O,X,O,O,X
TIOLZSJ,O,O,X,O,O,X
TIOJLSZ,X,O,X,X,O,X
TIOJLZS,X,O,X,O,O,X
TIOJSLZ,X,O,X,X,O,X
TIOJSZL,X,O,X,O,O,X
TIOJZLS,X,X,X,O,X,X
TIOJZSL,X,X,X,O,X,X
TIOSLJZ,O,O,X,X,O,X
TIOSLZJ,O,O,X,X,O,X
TIOSJLZ,O,O,X,X,O,X
TIOSJZL,O,O,X,O,O,X
TIOSZLJ,O,O,X,O,O,X
TIOSZJL,O,O,X,O,O,X
TIOZLJS,O,X,X,O,X,X
TIOZLSJ,O,X,X,O,X,X
TIOZJLS,O,X,X,O,X,X
TIOZJSL,O,X,X,O,X,X
TIOZSLJ,O,X,X,O,X,X
TIOZSJL,O,X,X,O,X,X
TLIJSZO,X,O,X,X,O,O
TLIJSOZ,X,O,X,X,O,O
TLIJZSO,X,O,X,X,O,O
TLIJZOS,X,O,O,X,X,O
TLIJOSZ,X,O,O,X,O,O
TLIJOZS,X,O,O,X,O,O
TLISJZO,O,O,X,X,O,O
TLISJOZ,X,O,X,X,O,O
TLISZJO,O,O,X,X,O,X
TLISZOJ,O,O,X,X,O,X
TLISOJZ,X,O,X,X,O,O
TLISOZJ,O,O,X,X,O,X
TLIZJSO,O,O,X,X,O,X
TLIZJOS,X,O,O,X,X,X
TLIZSJO,O,O,X,X,O,X
TLIZSOJ,O,O,X,O,O,X
TLIZOJS,X,O,X,O,O,X
TLIZOSJ,X,O,X,O,O,X
TLIOJSZ,X,O,X,X,O,O
TLIOJZS,X,O,X,O,O,O
TLIOSJZ,X,O,X,X,O,O
TLIOSZJ,X,O,X,X,O,X
TLIOZJS,X,O,X,O,O,X
TLIOZSJ,X,O,X,O,O,X
TLJISZO,X,O,X,X,O,O
TLJISOZ,X,O,X,X,O,O
TLJIZSO,X,O,X,X,O,O
TLJIZOS,X,O,O,X,X,O
