sequence,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBFjBXlBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBFjByqBzm?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFCgBemBzhBFjBXl?BUsB,v115@OhA8AeA8GeC8AeE8BeB8JeZEJvhFukB3gBzhBFjByq?BUsB
TLSOIJZ,X,O,X,X
TLSOIZJ,X,X,X,X
TLSOJIZ,X,O,X,X
TLSOJZI,X,X,X,X
TLSOZIJ,X,X,X,X
TLSOZJI,X,X,X,X
TLZIJSO,X,X,X,O
TLZIJOS,X,X,X,O
TLZISJO,X,X,X,O
TLZISOJ,X,X,X,O
TLZIOJS,X,X,X,O
TLZIOSJ,X,X,X,O
TLZJISO,X,X,X,O
TLZJIOS,X,X,X,O
TLZJSIO,X,X,X,O
TLZJSOI,X,X,X,O
TLZJOIS,X,X,X,O
TLZJOSI,X,X,X,O
TLZSIJO,X,X,X,O
TLZSIOJ,X,X,X,O
TLZSJIO,X,X,X,O
TLZSJOI,X,X,X,O
TLZSOIJ,X,X,X,O
TLZSOJI,X,X,X,O
TLZOIJS,X,X,X,O
TLZOISJ,X,X,X,O
TLZOJIS,X,X,X,O
TLZOJSI,X,X,X,O
TLZOSIJ,X,X,X,O
TLZOSJI,X,X,X,O
TLOIJSZ,X,O,X,X
TLOIJZS,X,X,X,X
TLOISJZ,X,O,X,X
TLOISZJ,X,X,X,X
TLOIZJS,X,X,X,X
TLOIZSJ,X,X,X,X
TLOJISZ,X,O,X,X
TLOJIZS,X,X,X,X
TLOJSIZ,X,O,X,X
TLOJSZI,X,X,X,X
TLOJZIS,X,X,X,X
TLOJZSI,X,X,X,X
TLOSIJZ,X,O,X,X
TLOSIZJ,X,X,X,X
TLOSJIZ,X,O,X,X
TLOSJZI,X,X,X,X
TLOSZIJ,X,X,X,X
TLOSZJI,X,X,X,X
TLOZIJS,X,X,X,X
TLOZISJ,X,X,X,X
TLOZJIS,X,X,X,X
TLOZJSI,X,X,X,X
TLOZSIJ,X,X,X,X
TLOZSJI,X,X,X,X
TJILSZO,X,X,X,O
TJILSOZ,X,O,X,X
TJILZSO,X,X,X,O
TJILZOS,X,X,X,O
TJILOSZ,X,O,X,X
TJILOZS,X,X,X,X
TJISLZO,X,X,O,X
TJISLOZ,O,X,X,X
TJISZLO,X,X,O,X
TJISZOL,X,X,O,X
TJISOLZ,O,X,X,X
TJISOZL,X,X,X,X
TJIZLSO,X,X,X,X
TJIZLOS,X,X,X,X
TJIZSLO,X,X,O,X
TJIZSOL,X,X,O,X
TJIZOLS,X,X,X,X
TJIZOSL,X,X,O,X
TJIOLSZ,X,O,X,X
TJIOLZS,X,X,X,X
TJIOSLZ,O,X,X,X
TJIOSZL,X,X,X,X
TJIOZLS,X,X,X,X
TJIOZSL,X,X,X,X
TJLISZO,X,X,X,O
TJLISOZ,X,O,X,X
TJLIZSO,X,X,X,O
TJLIZOS,X,X,X,O
TJLIOSZ,X,O,X,X
TJLIOZS,X,X,X,X
TJLSIZO,X,X,X,O
TJLSIOZ,X,O,X,X
TJLSZIO,X,X,X,O
TJLSZOI,X,X,X,O
TJLSOIZ,X,O,X,X
TJLSOZI,X,X,X,X
TJLZISO,X,X,X,O
TJLZIOS,X,X,X,O
TJLZSIO,X,X,X,O
TJLZSOI,X,X,X,O
TJLZOIS,X,X,X,O
TJLZOSI,X,X,X,O
TJLOISZ,X,O,X,X
TJLOIZS,X,X,X,X
TJLOSIZ,X,O,X,X
TJLOSZI,X,X,X,X
TJLOZIS,X,X,X,X
TJLOZSI,X,X,X,X
TJSILZO,X,X,O,X
TJSILOZ,O,X,X,X
TJSIZLO,X,X,O,X
TJSIZOL,X,X,O,X
TJSIOLZ,O,X,X,X
TJSIOZL,X,X,X,X
TJSLIZO,X,X,O,X
TJSLIOZ,O,X,X,X
TJSLZIO,X,X,O,X
TJSLZOI,X,X,O,X
TJSLOIZ,O,X,X,X
TJSLOZI,X,X,X,X
TJSZILO,X,X,O,X
TJSZIOL,X,X,O,X
TJSZLIO,X,X,O,X
TJSZLOI,X,X,O,X
TJSZOIL,X,X,O,X
TJSZOLI,X,X,O,X
TJSOILZ,O,X,X,X
TJSOIZL,X,X,X,X
TJSOLIZ,O,X,X,X
TJSOLZI,X,X,X,X
TJSOZIL,X,X,X,X
TJSOZLI,X,X,X,X
TJZILSO,X,X,X,X
TJZILOS,X,X,X,X
TJZISLO,X,X,O,X
TJZISOL,X,X,O,X
TJZIOLS,X,X,X,X
TJZIOSL,X,X,O,X
TJZLISO,X,X,X,X
TJZLIOS,X,X,X,X
TJZLSIO,X,X,X,X
TJZLSOI,X,X,X,X
TJZLOIS,X,X,X,X
TJZLOSI,X,X,X,X
TJZSILO,X,X,O,X
TJZSIOL,X,X,O,X
TJZSLIO,X,X,O,X
TJZSLOI,X,X,O,X
TJZSOIL,X,X,O,X
TJZSOLI,X,X,O,X
TJZOILS,X,X,X,X
TJZOISL,X,X,O,X
TJZOLIS,X,X,X,X
TJZOLSI,X,X,X,X
TJZOSIL,X,X,O,X
TJZOSLI,X,X,O,X
TJOILSZ,X,O,X,X
TJOILZS,X,X,X,X
TJOISLZ,O,X,X,X
TJOISZL,X,X,X,X
TJOIZLS,X,X,X,X
TJOIZSL,X,X,X,X
TJOLISZ,X,O,X,X
TJOLIZS,X,X,X,X
TJOLSIZ,X,O,X,X
TJOLSZI,X,X,X,X
TJOLZIS,X,X,X,X
TJOLZSI,X,X,X,X
TJOSILZ,O,X,X,X
TJOSIZL,X,X,X,X
TJOSLIZ,O,X,X,X
TJOSLZI,X,X,X,X
TJOSZIL,X,X,X,X
TJOSZLI,X,X,X,X
TJOZILS,X,X,X,X
TJOZISL,X,X,X,X
TJOZLIS,X,X,X,X
TJOZLSI,X,X,X,X
TJOZSIL,X,X,X,X
TJOZSLI,X,X,X,X
TSILJZO,X,X,O,X
TSILJOZ,O,X,X,X
TSILZJO,X,X,X,X
TSILZOJ,X,X,X,X
TSILOJZ,O,X,X,X
TSILOZJ,X,X,X,X
TSIJLZO,X,X,O,X
TSIJLOZ,O,X,X,X
TSIJZLO,X,X,O,X
TSIJZOL,X,X,O,X
TSIJOLZ,O,X,X,X
TSIJOZL,X,X,X,X
TSIZLJO,X,X,X,X
TSIZLOJ,X,X,X,X
TSIZJLO,X,X,X,X
TSIZJOL,X,X,X,X
TSIZOLJ,X,X,X,X
TSIZOJL,X,X,X,X
TSIOLJZ,O,X,X,X
TSIOLZJ,X,X,X,X
TSIOJLZ,O,X,X,X
TSIOJZL,X,X,X,X
TSIOZLJ,X,X,X,X
TSIOZJL,X,X,X,X
TSLIJZO,X,X,O,X
TSLIJOZ,O,X,X,X
TSLIZJO,X,X,X,X
TSLIZOJ,X,X,X,X
TSLIOJZ,O,X,X,X
TSLIOZJ,X,X,X,X
TSLJIZO,X,X,O,X
TSLJIOZ,O,X,X,X
TSLJZIO,X,X,O,X
TSLJZOI,X,X,O,X
TSLJOIZ,O,X,X,X
TSLJOZI,X,X,X,X
TSLZIJO,X,X,X,X
TSLZIOJ,X,X,X,X
TSLZJIO,X,X,X,X
TSLZJOI,X,X,X,X
TSLZOIJ,X,X,X,X
TSLZOJI,X,X,X,X
TSLOIJZ,O,X,X,X
TSLOIZJ,X,X,X,X
TSLOJIZ,O,X,X,X
TSLOJZI,X,X,X,X
TSLOZIJ,X,X,X,X
TSLOZJI,X,X,X,X
TSJILZO,X,X,O,X
TSJILOZ,O,X,X,X
TSJIZLO,X,X,O,X
TSJIZOL,X,X,O,X
TSJIOLZ,O,X,X,X
TSJIOZL,X,X,X,X
TSJLIZO,X,X,O,X
TSJLIOZ,O,X,X,X
TSJLZIO,X,X,O,X
TSJLZOI,X,X,O,X
TSJLOIZ,O,X,X,X
TSJLOZI,X,X,X,X
TSJZILO,X,X,O,X
TSJZIOL,X,X,O,X
TSJZLIO,X,X,O,X
TSJZLOI,X,X,O,X
TSJZOIL,X,X,O,X
TSJZOLI,X,X,O,X
TSJOILZ,O,X,X,X
TSJOIZL,X,X,X,X
TSJOLIZ,O,X,X,X
TSJOLZI,X,X,X,X
TSJOZIL,X,X,X,X
TSJOZLI,X,X,X,X
TSZILJO,X,X,X,X
TSZILOJ,X,X,X,X
TSZIJLO,X,X,X,X
TSZIJOL,X,X,X,X
TSZIOLJ,X,X,X,X
TSZIOJL,X,X,X,X
TSZLIJO,X,X,X,X
TSZLIOJ,X,X,X,X
TSZLJIO,X,X,X,X
TSZLJOI,X,X,X,X
TSZLOIJ,X,X,X,X
TSZLOJI,X,X,X,X
TSZJILO,X,X,X,X
TSZJIOL,X,X,X,X
TSZJLIO,X,X,X,X
TSZJLOI,X,X,X,X
TSZJOIL,X,X,X,X
TSZJOLI,X,X,X,X
TSZOILJ,X,X,X,X
TSZOIJL,X,X,X,X
TSZOLIJ,X,X,X,X
TSZOLJI,X,X,X,X
TSZOJIL,X,X,X,X
TSZOJLI,X,X,X,X
TSOILJZ,O,X,X,X
TSOILZJ,X,X,X,X
TSOIJLZ,O,X,X,X
TSOIJZL,X,X,X,X
TSOIZLJ,X,X,X,X
TSOIZJL,X,X,X,X
TSOLIJZ,O,X,X,X
TSOLIZJ,X,X,X,X
TSOLJIZ,O,X,X,X
TSOLJZI,X,X,X,X
TSOLZIJ,X,X,X,X
TSOLZJI,X,X,X,X
TSOJILZ,O,X,X,X
TSOJIZL,X,X,X,X
TSOJLIZ,O,X,X,X
TSOJLZI,X,X,X,X
TSOJZIL,X,X,X,X
TSOJZLI,X,X,X,X
TSOZILJ,X,X,X,X
TSOZIJL,X,X,X,X
TSOZLIJ,X,X,X,X
TSOZLJI,X,X,X,X
TSOZJIL,X,X,X,X
TSOZJLI,X,X,X,X
TZILJSO,X,X,X,X
TZILJOS,X,X,X,X
TZILSJO,X,X,X,X
TZILSOJ,X,X,X,X
TZILOJS,X,X,X,X
TZILOSJ,X,X,X,X
TZIJLSO,X,X,X,X
TZIJLOS,X,X,X,X
TZIJSLO,X,X,X,X
TZIJSOL,X,X,X,X
TZIJOLS,X,X,X,X
TZIJOSL,X,X,X,X
TZISLJO,X,X,X,X
TZISLOJ,X,X,X,X
TZISJLO,X,X,X,X
TZISJOL,X,X,X,X
TZISOLJ,X,X,X,X
TZISOJL,X,X,X,X
TZIOLJS,X,X,X,X
TZIOLSJ,X,X,X,X
TZIOJLS,X,X,X,X
TZIOJSL,X,X,X,X
TZIOSLJ,X,X,X,X
TZIOSJL,X,X,X,X
TZLIJSO,X,X,X,X
TZLIJOS,X,X,X,X
TZLISJO,X,X,X,X
TZLISOJ,X,X,X,X
TZLIOJS,X,X,X,X
TZLIOSJ,X,X,X,X
TZLJISO,X,X,X,X
TZLJIOS,X,X,X,X
TZLJSIO,X,X,X,X
TZLJSOI,X,X,X,X
TZLJOIS,X,X,X,X
TZLJOSI,X,X,X,X
TZLSIJO,X,X,X,X
TZLSIOJ,X,X,X,X
TZLSJIO,X,X,X,X
TZLSJOI,X,X,X,X
TZLSOIJ,X,X,X,X
TZLSOJI,X,X,X,X
TZLOIJS,X,X,X,X
TZLOISJ,X,X,X,X
TZLOJIS,X,X,X,X
TZLOJSI,X,X,X,X
TZLOSIJ,X,X,X,X
TZLOSJI,X,X,X,X
TZJILSO,X,X,X,X
TZJILOS,X,X,X,X
TZJISLO,X,X,X,X
TZJISOL,X,X,X,X
TZJIOLS,X,X,X,X
TZJIOSL,X,X,X,X
TZJLISO,X,X,X,X
TZJLIOS,X,X,X,X
TZJLSIO,X,X,X,X
TZJLSOI,X,X,X,X
TZJLOIS,X,X,X,X
TZJLOSI,X,X,X,X
TZJSILO,X,X,X,X
TZJSIOL,X,X,X,X
TZJSLIO,X,X,X,X
TZJSLOI,X,X,X,X
TZJSOIL,X,X,X,X
TZJSOLI,X,X,X,X
TZJOILS,X,X,X,X
TZJOISL,X,X,X,X
TZJOLIS,X,X,X,X
TZJOLSI,X,X,X,X
TZJOSIL,X,X,X,X
TZJOSLI,X,X,X,X
TZSILJO,X,X,X,X
TZSILOJ,X,X,X,X
TZSIJLO,X,X,X,X
TZSIJOL,X,X,X,X
TZSIOLJ,X,X,X,X
TZSIOJL,X,X,X,X
TZSLIJO,X,X,X,X
TZSLIOJ,X,X,X,X
TZSLJIO,X,X,X,X
TZSLJOI,X,X,X,X
TZSLOIJ,X,X,X,X
TZSLOJI,X,X,X,X
TZSJILO,X,X,X,X
TZSJIOL,X,X,X,X
TZSJLIO,X,X,X,X
TZSJLOI,X,X,X,X
TZSJOIL,X,X,X,X
TZSJOLI,X,X,X,X
TZSOILJ,X,X,X,X
TZSOIJL,X,X,X,X
TZSOLIJ,X,X,X,X
TZSOLJI,X,X,X,X
TZSOJIL,X,X,X,X
TZSOJLI,X,X,X,X
TZOILJS,X,X,X,X
TZOILSJ,X,X,X,X
TZOIJLS,X,X,X,X
TZOIJSL,X,X,X,X
TZOISLJ,X,X,X,X
TZOISJL,X,X,X,X
TZOLIJS,X,X,X,X
TZOLISJ,X,X,X,X
TZOLJIS,X,X,X,X
TZOLJSI,X,X,X,X
TZOLSIJ,X,X,X,X
TZOLSJI,X,X,X,X
TZOJILS,X,X,X,X
TZOJISL,X,X,X,X
TZOJLIS,X,X,X,X
TZOJLSI,X,X,X,X
TZOJSIL,X,X,X,X
TZOJSLI,X,X,X,X
TZOSILJ,X,X,X,X
TZOSIJL,X,X,X,X
TZOSLIJ,X,X,X,X
TZOSLJI,X,X,X,X
TZOSJIL,X,X,X,X
TZOSJLI,X,X,X,X
TOILJSZ,X,O,X,X
TOILJZS,X,X,X,X
TOILSJZ,X,O,X,X
TOILSZJ,X,X,X,X
TOILZJS,X,X,X,X
TOILZSJ,X,X,X,X
TOIJLSZ,X,O,X,X
TOIJLZS,X,X,X,X
TOIJSLZ,O,X,X,X
TOIJSZL,X,X,X,X
TOIJZLS,X,X,X,X
TOIJZSL,X,X,X,X
TOISLJZ,O,X,X,X
TOISLZJ,X,X,X,X
TOISJLZ,O,X,X,X
TOISJZL,X,X,X,X
TOISZLJ,X,X,X,X
TOISZJL,X,X,X,X
TOIZLJS,X,X,X,X
TOIZLSJ,X,X,X,X
TOIZJLS,X,X,X,X
TOIZJSL,X,X,X,X
TOIZSLJ,X,X,X,X
TOIZSJL,X,X,X,X
TOLIJSZ,X,O,X,X
TOLIJZS,X,X,X,X
TOLISJZ,X,O,X,X
TOLISZJ,X,X,X,X
TOLIZJS,X,X,X,X
TOLIZSJ,X,X,X,X
TOLJISZ,X,O,X,X
TOLJIZS,X,X,X,X
TOLJSIZ,X,O,X,X
TOLJSZI,X,X,X,X
TOLJZIS,X,X,X,X
TOLJZSI,X,X,X,X
TOLSIJZ,X,O,X,X
TOLSIZJ,X,X,X,X
TOLSJIZ,X,O,X,X
TOLSJZI,X,X,X,X
TOLSZIJ,X,X,X,X
TOLSZJI,X,X,X,X
TOLZIJS,X,X,X,X
TOLZISJ,X,X,X,X
TOLZJIS,X,X,X,X
TOLZJSI,X,X,X,X
TOLZSIJ,X,X,X,X
TOLZSJI,X,X,X,X
TOJILSZ,X,O,X,X
TOJILZS,X,X,X,X
TOJISLZ,O,X,X,X
TOJISZL,X,X,X,X
TOJIZLS,X,X,X,X
TOJIZSL,X,X,X,X
TOJLISZ,X,O,X,X
TOJLIZS,X,X,X,X
TOJLSIZ,X,O,X,X
TOJLSZI,X,X,X,X
TOJLZIS,X,X,X,X
TOJLZSI,X,X,X,X
TOJSILZ,O,X,X,X
TOJSIZL,X,X,X,X
TOJSLIZ,O,X,X,X
TOJSLZI,X,X,X,X
TOJSZIL,X,X,X,X
TOJSZLI,X,X,X,X
TOJZILS,X,X,X,X
TOJZISL,X,X,X,X
TOJZLIS,X,X,X,X
TOJZLSI,X,X,X,X
TOJZSIL,X,X,X,X
TOJZSLI,X,X,X,X
TOSILJZ,O,X,X,X
TOSILZJ,X,X,X,X
TOSIJLZ,O,X,X,X
TOSIJZL,X,X,X,X
TOSIZLJ,X,X,X,X
TOSIZJL,X,X,X,X
TOSLIJZ,O,X,X,X
TOSLIZJ,X,X,X,X
TOSLJIZ,O,X,X,X
TOSLJZI,X,X,X,X
TOSLZIJ,X,X,X,X
TOSLZJI,X,X,X,X
TOSJILZ,O,X,X,X
TOSJIZL,X,X,X,X
TOSJLIZ,O,X,X,X
TOSJLZI,X,X,X,X
TOSJZIL,X,X,X,X
TOSJZLI,X,X,X,X
TOSZILJ,X,X,X,X
TOSZIJL,X,X,X,X
TOSZLIJ,X,X,X,X
TOSZLJI,X,X,X,X
TOSZJIL,X,X,X,X
TOSZJLI,X,X,X,X
TOZILJS,X,X,X,X
TOZILSJ,X,X,X,X
TOZIJLS,X,X,X,X
TOZIJSL,X,X,X,X
TOZISLJ,X,X,X,X
TOZISJL,X,X,X,X
TOZLIJS,X,X,X,X
TOZLISJ,X,X,X,X
TOZLJIS,X,X,X,X
TOZLJSI,X,X,X,X
TOZLSIJ,X,X,X,X
TOZLSJI,X,X,X,X
TOZJILS,X,X,X,X
TOZJISL,X,X,X,X
TOZJLIS,X,X,X,X
TOZJLSI,X,X,X,X
TOZJSIL,X,X,X,X
TOZJSLI,X,X,X,X
TOZSILJ,X,X,X,X
TOZSIJL,X,X,X,X
TOZSLIJ,X,X,X,X
TOZSLJI,X,X,X,X
TOZSJIL,X,X,X,X
TOZSJLI,X,X,X,X
ITLJSZO,X,X,X,O
ITLJSOZ,X,O,X,X
ITLJZSO,X,X,X,O
ITLJZOS,X,X,X,O
ITLJOSZ,X,O,X,X
ITLJOZS,X,X,X,X
ITLSJZO,X,X,X,O
ITLSJOZ,X,O,X,X
ITLSZJO,X,X,X,O
