sequence,v115@HhA8IeC8FeF8CeB8Jex/IvhFihB3iBcoBGlB9rBTsB,v115@HhA8IeC8FeF8CeB8Jex/IvhFihBcnBTjBGlB9rB3sB,v115@HhA8IeC8FeF8CeB8Jex/IvhFNmB3iBcoBGlBzmBSxB,v115@HhA8IeC8FeF8CeB8Je0/IvhF6lBNmBTjBRsBXsBGsB,v115@HhA8IeC8FeF8CeB8Je0/IvhFxgBdnBCjBzlBXoBWxB,v115@HhA8IeC8FeF8CeB8Jex/IvhFNmBUiBGlBXoBzrBCtB
TOJZSIL,O,O,O,X,O,O
TOJZSLI,O,O,O,X,O,O
TOSILJZ,X,X,X,O,X,X
TOSILZJ,O,O,X,O,X,X
TOSIJLZ,X,O,X,X,O,O
TOSIJZL,X,O,X,X,O,O
TOSIZLJ,O,O,X,O,X,X
TOSIZJL,O,O,X,X,O,O
TOSLIJZ,X,X,X,O,X,X
TOSLIZJ,O,O,X,O,X,X
TOSLJIZ,O,O,X,X,O,O
TOSLJZI,O,O,X,X,O,O
TOSLZIJ,O,O,X,O,X,X
TOSLZJI,O,O,X,X,O,O
TOSJILZ,O,O,X,X,O,O
TOSJIZL,O,O,X,X,O,O
TOSJLIZ,O,O,X,X,O,O
TOSJLZI,O,O,X,X,O,O
TOSJZIL,O,O,X,X,O,O
TOSJZLI,O,O,X,X,O,O
TOSZILJ,O,O,X,O,X,X
TOSZIJL,O,O,X,X,O,O
TOSZLIJ,O,O,X,O,X,X
TOSZLJI,O,O,X,X,O,O
TOSZJIL,O,O,X,X,O,O
TOSZJLI,O,O,X,X,O,O
TOZILJS,O,X,X,O,X,X
TOZILSJ,O,X,X,O,X,X
TOZIJLS,O,X,X,O,O,O
TOZIJSL,O,X,X,X,O,O
TOZISLJ,O,O,X,O,X,X
TOZISJL,O,O,X,X,O,O
TOZLIJS,O,X,X,O,X,X
TOZLISJ,O,X,X,O,X,X
TOZLJIS,O,X,O,O,X,O
TOZLJSI,O,X,O,X,X,O
TOZLSIJ,O,X,X,O,X,X
TOZLSJI,O,X,O,X,X,O
TOZJILS,O,X,O,O,O,O
TOZJISL,O,O,O,X,O,O
TOZJLIS,O,X,O,O,O,O
TOZJLSI,O,X,O,X,O,O
TOZJSIL,O,O,O,X,O,O
TOZJSLI,O,O,O,X,O,O
TOZSILJ,O,O,X,O,X,X
TOZSIJL,O,O,X,X,O,O
TOZSLIJ,O,O,X,O,X,X
TOZSLJI,O,O,X,X,O,O
TOZSJIL,O,O,O,X,O,O
TOZSJLI,O,O,O,X,O,O
ITLJSZO,O,X,O,O,X,X
ITLJSOZ,O,X,X,O,X,X
ITLJZSO,O,X,O,O,X,X
ITLJZOS,O,X,O,O,X,X
ITLJOSZ,O,X,X,O,X,X
ITLJOZS,O,X,O,O,X,X
ITLSJZO,X,X,X,O,X,X
ITLSJOZ,X,X,X,O,X,X
ITLSZJO,O,O,X,O,X,X
ITLSZOJ,O,O,X,O,X,X
ITLSOJZ,X,X,X,O,X,X
ITLSOZJ,O,O,X,O,X,X
ITLZJSO,O,X,O,O,X,X
ITLZJOS,O,X,O,O,X,X
ITLZSJO,O,X,O,O,X,X
ITLZSOJ,O,X,X,O,X,X
ITLZOJS,O,X,X,O,X,X
ITLZOSJ,O,X,X,O,X,X
ITLOJSZ,O,X,X,O,X,X
ITLOJZS,O,X,X,O,X,X
ITLOSJZ,X,X,X,O,X,X
ITLOSZJ,O,O,X,O,X,X
ITLOZJS,O,X,X,O,X,X
ITLOZSJ,O,X,X,O,X,X
ITJLSZO,O,O,O,O,X,X
ITJLSOZ,O,O,X,O,X,X
ITJLZSO,O,X,O,O,X,X
ITJLZOS,O,X,O,O,X,X
ITJLOSZ,O,O,X,O,X,O
ITJLOZS,O,X,O,O,X,O
ITJSLZO,O,O,O,X,X,X
ITJSLOZ,O,O,X,X,X,X
ITJSZLO,O,O,O,X,X,X
ITJSZOL,O,O,O,X,X,X
ITJSOLZ,O,O,X,X,X,O
ITJSOZL,O,O,X,X,X,O
ITJZLSO,O,X,O,O,X,X
ITJZLOS,O,X,O,O,X,X
ITJZSLO,O,O,O,X,X,X
ITJZSOL,O,O,O,X,X,X
ITJZOLS,O,X,O,O,X,O
ITJZOSL,O,O,O,X,X,O
ITJOLSZ,O,O,X,O,X,O
ITJOLZS,O,X,O,O,X,O
ITJOSLZ,O,O,X,X,X,O
ITJOSZL,O,O,X,X,X,O
ITJOZLS,O,X,O,O,X,O
ITJOZSL,O,O,O,X,X,O
ITSLJZO,X,X,X,O,X,X
ITSLJOZ,X,X,X,O,X,X
ITSLZJO,O,O,X,O,X,X
ITSLZOJ,O,O,X,O,X,X
ITSLOJZ,X,X,X,O,X,X
ITSLOZJ,O,O,X,O,X,X
ITSJLZO,X,O,X,X,X,X
ITSJLOZ,X,O,X,X,X,X
ITSJZLO,X,O,X,X,X,X
ITSJZOL,X,O,X,X,X,X
ITSJOLZ,X,O,X,X,X,O
ITSJOZL,X,O,X,X,X,O
ITSZLJO,O,O,X,O,X,X
ITSZLOJ,O,O,X,O,X,X
ITSZJLO,O,O,X,X,X,X
ITSZJOL,X,O,X,X,X,X
ITSZOLJ,O,O,X,O,X,X
ITSZOJL,O,O,X,X,X,X
ITSOLJZ,X,X,X,O,X,X
ITSOLZJ,O,O,X,O,X,X
ITSOJLZ,X,O,X,X,X,O
ITSOJZL,X,O,X,X,X,O
ITSOZLJ,O,O,X,O,X,X
ITSOZJL,O,O,X,X,X,X
ITZLJSO,O,X,O,O,X,X
ITZLJOS,O,X,O,O,X,X
ITZLSJO,O,X,O,O,X,X
ITZLSOJ,O,X,X,O,X,X
ITZLOJS,O,X,X,O,X,X
ITZLOSJ,O,X,X,O,X,X
ITZJLSO,O,X,O,O,X,X
ITZJLOS,O,X,O,O,X,X
ITZJSLO,O,X,O,X,X,X
ITZJSOL,O,X,O,X,X,X
ITZJOLS,O,X,O,O,X,X
ITZJOSL,O,X,O,X,X,X
ITZSLJO,O,O,O,O,X,X
ITZSLOJ,O,O,X,O,X,X
ITZSJLO,O,O,O,X,X,X
ITZSJOL,O,O,O,X,X,X
ITZSOLJ,O,O,X,O,X,X
ITZSOJL,O,O,X,X,X,X
ITZOLJS,O,X,X,O,X,X
ITZOLSJ,O,X,X,O,X,X
ITZOJLS,O,X,X,O,X,X
ITZOJSL,O,X,X,X,X,X
ITZOSLJ,O,O,X,O,X,X
ITZOSJL,O,O,X,X,X,X
ITOLJSZ,O,X,X,O,X,X
ITOLJZS,O,X,X,O,X,X
ITOLSJZ,X,X,X,O,X,X
ITOLSZJ,O,O,X,O,X,X
ITOLZJS,O,X,X,O,X,X
ITOLZSJ,O,X,X,O,X,X
ITOJLSZ,O,O,X,O,X,O
ITOJLZS,O,X,X,O,X,O
ITOJSLZ,O,O,X,X,X,O
ITOJSZL,O,O,X,X,X,O
ITOJZLS,O,X,X,O,X,O
ITOJZSL,O,O,X,X,X,O
ITOSLJZ,X,X,X,O,X,X
ITOSLZJ,O,O,X,O,X,X
ITOSJLZ,X,O,X,X,X,O
ITOSJZL,X,O,X,X,X,O
ITOSZLJ,O,O,X,O,X,X
ITOSZJL,O,O,X,X,X,O
ITOZLJS,O,X,X,O,X,X
ITOZLSJ,O,X,X,O,X,X
ITOZJLS,O,X,X,O,X,O
ITOZJSL,O,X,X,X,X,O
ITOZSLJ,O,O,X,O,X,X
ITOZSJL,O,O,X,X,X,O
ILTJSZO,X,X,O,O,X,X
ILTJSOZ,X,X,X,O,X,X
ILTJZSO,O,X,O,O,X,X
ILTJZOS,X,X,O,O,X,X
ILTJOSZ,X,X,X,O,X,X
ILTJOZS,O,X,O,O,X,X
ILTSJZO,X,X,X,O,X,X
ILTSJOZ,X,X,X,O,X,X
ILTSZJO,O,O,X,O,X,X
ILTSZOJ,O,O,X,O,X,X
ILTSOJZ,X,X,X,O,X,X
ILTSOZJ,O,O,X,O,X,X
ILTZJSO,O,X,O,O,X,X
ILTZJOS,X,X,O,O,X,X
ILTZSJO,O,X,O,O,X,X
ILTZSOJ,O,X,X,O,X,X
ILTZOJS,O,X,X,O,X,X
ILTZOSJ,O,X,X,O,X,X
ILTOJSZ,X,X,X,O,X,X
ILTOJZS,O,X,X,O,X,X
ILTOSJZ,X,X,X,O,X,X
ILTOSZJ,O,O,X,O,X,X
ILTOZJS,O,X,X,O,X,X
ILTOZSJ,O,X,X,O,X,X
ILJTSZO,O,O,O,O,X,X
ILJTSOZ,O,O,X,O,X,X
ILJTZSO,O,X,O,O,X,X
ILJTZOS,O,X,O,O,X,X
ILJTOSZ,O,O,X,O,X,O
ILJTOZS,O,X,O,O,X,O
ILJSTZO,X,O,O,X,X,X
ILJSTOZ,X,O,X,X,X,X
ILJSZTO,X,O,O,X,X,X
ILJSZOT,X,O,O,X,X,X
ILJSOTZ,X,O,X,X,X,O
ILJSOZT,X,O,X,X,X,X
ILJZTSO,O,X,O,O,X,X
ILJZTOS,O,X,O,O,X,X
ILJZSTO,O,X,O,X,X,X
ILJZSOT,X,X,O,X,X,X
ILJZOTS,O,X,O,O,X,X
ILJZOST,O,X,O,X,X,X
ILJOTSZ,O,O,X,O,X,O
ILJOTZS,O,X,O,O,X,O
ILJOSTZ,X,O,X,X,X,O
ILJOSZT,X,O,X,X,X,X
ILJOZTS,O,X,O,O,X,X
ILJOZST,O,X,O,X,X,X
ILSTJZO,X,X,X,O,X,X
ILSTJOZ,X,X,X,O,X,X
ILSTZJO,X,O,X,O,X,X
ILSTZOJ,X,O,X,O,X,X
ILSTOJZ,X,X,X,O,X,X
ILSTOZJ,X,O,X,O,X,X
ILSJTZO,X,O,O,X,X,X
ILSJTOZ,X,O,X,X,X,X
ILSJZTO,X,O,O,X,X,X
ILSJZOT,X,O,O,X,X,X
ILSJOTZ,X,O,X,X,X,O
ILSJOZT,X,O,X,X,X,X
ILSZTJO,X,O,O,O,X,X
ILSZTOJ,X,O,X,O,X,X
ILSZJTO,X,O,O,X,X,X
ILSZJOT,X,O,O,X,X,X
ILSZOTJ,X,O,X,O,X,X
ILSZOJT,X,O,O,X,X,X
ILSOTJZ,X,X,X,O,X,X
ILSOTZJ,X,O,X,O,X,X
ILSOJTZ,X,O,X,X,X,O
ILSOJZT,X,O,X,X,X,X
ILSOZTJ,X,O,X,O,X,X
ILSOZJT,X,O,X,X,X,X
ILZTJSO,O,X,O,O,X,X
ILZTJOS,X,X,O,O,X,X
ILZTSJO,O,X,O,O,X,X
ILZTSOJ,O,X,X,O,X,X
ILZTOJS,O,X,X,O,X,X
ILZTOSJ,O,X,X,O,X,X
ILZJTSO,O,X,O,O,X,X
ILZJTOS,O,X,O,O,X,X
ILZJSTO,O,X,O,X,X,X
ILZJSOT,X,X,O,X,X,X
ILZJOTS,O,X,O,O,X,X
ILZJOST,O,X,O,X,X,X
ILZSTJO,O,X,O,O,X,X
ILZSTOJ,O,X,X,O,X,X
ILZSJTO,O,X,O,X,X,X
ILZSJOT,X,X,O,X,X,X
ILZSOTJ,X,X,X,O,X,X
ILZSOJT,X,X,O,X,X,X
ILZOTJS,O,X,X,O,X,X
ILZOTSJ,O,X,X,O,X,X
ILZOJTS,O,X,O,O,X,X
ILZOJST,O,X,O,X,X,X
ILZOSTJ,O,X,X,O,X,X
ILZOSJT,O,X,O,X,X,X
ILOTJSZ,X,X,X,O,X,X
ILOTJZS,O,X,X,O,X,X
ILOTSJZ,X,X,X,O,X,X
ILOTSZJ,O,O,X,O,X,X
ILOTZJS,O,X,X,O,X,X
ILOTZSJ,O,X,X,O,X,X
ILOJTSZ,O,O,X,O,X,O
ILOJTZS,O,X,O,O,X,O
ILOJSTZ,X,O,X,X,X,O
ILOJSZT,X,O,X,X,X,X
ILOJZTS,O,X,O,O,X,X
ILOJZST,O,X,O,X,X,X
ILOSTJZ,X,X,X,O,X,X
ILOSTZJ,X,O,X,O,X,X
ILOSJTZ,X,O,X,X,X,O
ILOSJZT,X,O,X,X,X,X
ILOSZTJ,X,O,X,O,X,X
ILOSZJT,X,O,X,X,X,X
ILOZTJS,O,X,X,O,X,X
ILOZTSJ,O,X,X,O,X,X
ILOZJTS,O,X,O,O,X,X
ILOZJST,O,X,O,X,X,X
ILOZSTJ,O,X,X,O,X,X
ILOZSJT,O,X,O,X,X,X
IJTLSZO,O,O,O,O,O,X
IJTLSOZ,O,O,X,O,O,X
IJTLZSO,O,X,O,O,O,X
IJTLZOS,O,X,O,O,X,X
IJTLOSZ,O,O,X,O,X,O
IJTLOZS,O,X,O,O,X,O
IJTSLZO,O,O,O,X,O,X
IJTSLOZ,O,O,X,X,O,X
IJTSZLO,O,O,O,X,O,X
IJTSZOL,O,O,O,X,O,X
IJTSOLZ,O,O,X,X,O,O
IJTSOZL,O,O,X,X,O,O
IJTZLSO,O,X,O,O,O,X
IJTZLOS,O,X,O,O,X,X
IJTZSLO,O,O,O,X,O,X
IJTZSOL,O,O,O,X,O,X
IJTZOLS,O,X,O,O,O,O
IJTZOSL,O,O,O,X,O,O
IJTOLSZ,O,O,X,O,O,O
IJTOLZS,O,X,O,O,O,O
IJTOSLZ,O,O,X,X,O,O
IJTOSZL,O,O,X,X,O,O
IJTOZLS,O,X,O,O,O,O
IJTOZSL,O,O,O,X,O,O
IJLTSZO,O,O,O,O,X,X
IJLTSOZ,O,O,X,O,X,X
IJLTZSO,O,X,O,O,X,X
IJLTZOS,O,X,O,O,X,X
IJLTOSZ,O,O,X,O,X,O
IJLTOZS,O,X,O,O,X,O
IJLSTZO,X,O,O,X,X,X
IJLSTOZ,X,O,X,X,X,X
IJLSZTO,X,O,O,X,X,X
IJLSZOT,X,O,O,X,X,X
IJLSOTZ,X,O,X,X,X,O
IJLSOZT,X,O,X,X,X,X
IJLZTSO,O,X,O,O,X,X
IJLZTOS,O,X,O,O,X,X
IJLZSTO,O,X,O,X,X,X
IJLZSOT,X,X,O,X,X,X
IJLZOTS,O,X,O,O,X,X
IJLZOST,O,X,O,X,X,X
IJLOTSZ,O,O,X,O,X,O
IJLOTZS,O,X,O,O,X,O
IJLOSTZ,X,O,X,X,X,O
IJLOSZT,X,O,X,X,X,X
IJLOZTS,O,X,O,O,X,X
IJLOZST,O,X,O,X,X,X
IJSTLZO,O,O,O,X,O,X
IJSTLOZ,O,O,X,X,O,X
IJSTZLO,O,O,O,X,O,X
IJSTZOL,O,O,O,X,O,X
IJSTOLZ,O,O,X,X,O,O
IJSTOZL,O,O,X,X,O,O
IJSLTZO,X,O,O,X,O,X
IJSLTOZ,X,O,X,X,O,X
IJSLZTO,X,O,O,X,O,X
IJSLZOT,X,O,O,X,O,X
IJSLOTZ,X,O,X,X,O,O
IJSLOZT,X,O,X,X,O,X
IJSZTLO,O,O,O,X,O,X
IJSZTOL,O,O,O,X,O,X
IJSZLTO,O,O,O,X,O,X
IJSZLOT,X,O,O,X,O,X
IJSZOTL,O,O,O,X,O,O
IJSZOLT,O,O,O,X,O,X
IJSOTLZ,O,O,X,X,O,O
IJSOTZL,O,O,X,X,O,O
IJSOLTZ,X,O,X,X,O,O
IJSOLZT,X,O,X,X,O,X
IJSOZTL,O,O,X,X,O,O
IJSOZLT,O,O,X,X,O,X
IJZTLSO,O,X,O,O,O,X
IJZTLOS,O,X,O,O,X,X
IJZTSLO,O,O,O,X,O,X
IJZTSOL,O,O,O,X,O,X
IJZTOLS,O,X,O,O,O,O
IJZTOSL,O,O,O,X,O,O
IJZLTSO,O,X,O,O,O,X
IJZLTOS,O,X,O,O,X,X
IJZLSTO,O,X,O,X,O,X
IJZLSOT,X,X,O,X,X,X
IJZLOTS,O,X,O,O,X,X
IJZLOST,O,X,O,X,X,X
IJZSTLO,O,O,O,X,O,X
IJZSTOL,O,O,O,X,O,X
IJZSLTO,O,O,O,X,O,X
IJZSLOT,X,O,O,X,O,X
IJZSOTL,O,O,O,X,O,O
IJZSOLT,O,O,O,X,O,X
IJZOTLS,O,X,O,O,O,O
IJZOTSL,O,O,O,X,O,O
IJZOLTS,O,X,O,O,O,X
IJZOLST,O,X,O,X,O,X
IJZOSTL,O,O,O,X,O,O
IJZOSLT,O,O,O,X,O,X
IJOTLSZ,O,O,X,O,O,O
IJOTLZS,O,X,O,O,O,O
IJOTSLZ,O,O,X,X,O,O
IJOTSZL,O,O,X,X,O,O
IJOTZLS,O,X,O,O,O,O
IJOTZSL,O,O,O,X,O,O
IJOLTSZ,O,O,X,O,O,O
IJOLTZS,O,X,O,O,O,O
IJOLSTZ,X,O,X,X,O,O
IJOLSZT,X,O,X,X,O,X
IJOLZTS,O,X,O,O,O,X
IJOLZST,O,X,O,X,O,X
IJOSTLZ,O,O,X,X,O,O
IJOSTZL,O,O,X,X,O,O
IJOSLTZ,X,O,X,X,O,O
IJOSLZT,X,O,X,X,O,X
IJOSZTL,O,O,X,X,O,O
IJOSZLT,O,O,X,X,O,X
IJOZTLS,O,X,O,O,O,O
IJOZTSL,O,O,O,X,O,O
IJOZLTS,O,X,O,O,O,X
IJOZLST,O,X,O,X,O,X
IJOZSTL,O,O,O,X,O,O
IJOZSLT,O,O,O,X,O,X
ISTLJZO,X,X,X,O,X,X
ISTLJOZ,X,X,X,O,X,X
ISTLZJO,O,O,X,O,X,X
ISTLZOJ,O,O,X,O,X,X
ISTLOJZ,X,X,X,O,X,X
ISTLOZJ,O,O,X,O,X,X
ISTJLZO,X,O,X,X,X,X
ISTJLOZ,X,O,X,X,X,X
ISTJZLO,X,O,X,X,X,X
ISTJZOL,X,O,X,X,X,X
ISTJOLZ,X,O,X,X,X,O
ISTJOZL,X,O,X,X,X,O
ISTZLJO,O,O,X,O,X,X
ISTZLOJ,O,O,X,O,X,X
ISTZJLO,O,O,X,X,X,X
ISTZJOL,X,O,X,X,X,X
ISTZOLJ,O,O,X,O,X,X
ISTZOJL,O,O,X,X,X,X
ISTOLJZ,X,X,X,O,X,X
ISTOLZJ,O,O,X,O,X,X
ISTOJLZ,X,O,X,X,X,O
ISTOJZL,X,O,X,X,X,O
ISTOZLJ,O,O,X,O,X,X
ISTOZJL,O,O,X,X,X,X
ISLTJZO,X,X,X,O,X,X
ISLTJOZ,X,X,X,O,X,X
ISLTZJO,X,O,X,O,X,X
ISLTZOJ,X,O,X,O,X,X
ISLTOJZ,X,X,X,O,X,X
ISLTOZJ,X,O,X,O,X,X
ISLJTZO,X,O,O,X,X,X
ISLJTOZ,X,O,X,X,X,X
ISLJZTO,X,O,O,X,X,X
ISLJZOT,X,O,O,X,X,X
ISLJOTZ,X,O,X,X,X,O
ISLJOZT,X,O,X,X,X,X
ISLZTJO,X,O,O,O,X,X
ISLZTOJ,X,O,X,O,X,X
ISLZJTO,X,O,O,X,X,X
ISLZJOT,X,O,O,X,X,X
ISLZOTJ,X,O,X,O,X,X
ISLZOJT,X,O,O,X,O,X
ISLOTJZ,X,X,X,O,X,X
ISLOTZJ,X,O,X,O,X,X
ISLOJTZ,X,O,X,X,O,O
ISLOJZT,X,O,X,X,O,X
ISLOZTJ,X,O,X,O,X,X
ISLOZJT,X,O,X,X,O,X
ISJTLZO,O,O,O,X,X,X
ISJTLOZ,O,O,X,X,X,X
ISJTZLO,O,O,O,X,X,X
ISJTZOL,O,O,O,X,X,X
ISJTOLZ,O,O,X,X,X,O
ISJTOZL,O,O,X,X,X,O
ISJLTZO,X,O,O,X,X,X
ISJLTOZ,X,O,X,X,X,X
ISJLZTO,X,O,O,X,X,X
ISJLZOT,X,O,O,X,X,X
ISJLOTZ,X,O,X,X,X,O
ISJLOZT,X,O,X,X,X,X
ISJZTLO,O,O,O,X,X,X
ISJZTOL,O,O,O,X,X,X
ISJZLTO,O,O,O,X,X,X
ISJZLOT,X,O,O,X,X,X
ISJZOTL,O,O,O,X,X,O
ISJZOLT,O,O,O,X,X,X
ISJOTLZ,O,O,X,X,X,O
ISJOTZL,O,O,X,X,X,O
ISJOLTZ,X,O,X,X,X,O
ISJOLZT,X,O,X,X,X,X
ISJOZTL,O,O,X,X,X,O
ISJOZLT,O,O,X,X,X,X
ISZTLJO,O,O,O,O,X,X
ISZTLOJ,O,O,X,O,X,X
ISZTJLO,O,O,O,X,X,X
ISZTJOL,O,O,O,X,X,X
ISZTOLJ,O,O,X,O,X,X
ISZTOJL,O,O,X,X,X,X
ISZLTJO,O,O,O,O,X,X
ISZLTOJ,O,O,X,O,X,X
ISZLJTO,O,O,O,X,X,X
ISZLJOT,X,O,O,X,X,X
ISZLOTJ,X,O,X,O,X,X
ISZLOJT,X,O,O,X,O,X
ISZJTLO,O,O,O,X,X,X
ISZJTOL,O,O,O,X,X,X
ISZJLTO,O,O,O,X,X,X
ISZJLOT,X,O,O,X,X,X
ISZJOTL,O,O,O,X,X,O
ISZJOLT,O,O,O,X,X,X
ISZOTLJ,O,O,X,O,X,X
ISZOTJL,O,O,X,X,O,X
ISZOLTJ,O,O,X,O,X,X
ISZOLJT,O,O,O,X,O,X
ISZOJTL,O,O,O,X,O,O
ISZOJLT,O,O,O,X,O,X
ISOTLJZ,X,X,X,O,X,X
ISOTLZJ,O,O,X,O,X,X
ISOTJLZ,X,O,X,X,O,O
ISOTJZL,X,O,X,X,O,O
ISOTZLJ,O,O,X,O,X,X
ISOTZJL,O,O,X,X,O,O
ISOLTJZ,X,X,X,O,X,X
ISOLTZJ,X,O,X,O,X,X
ISOLJTZ,X,O,X,X,O,O
ISOLJZT,X,O,X,X,O,X
ISOLZTJ,X,O,X,O,X,X
ISOLZJT,X,O,X,X,O,X
ISOJTLZ,O,O,X,X,O,O
ISOJTZL,O,O,X,X,O,O
ISOJLTZ,X,O,X,X,O,O
ISOJLZT,X,O,X,X,O,X
ISOJZTL,O,O,X,X,O,O
ISOJZLT,O,O,X,X,O,X
ISOZTLJ,O,O,X,O,X,X
ISOZTJL,O,O,X,X,O,O
ISOZLTJ,O,O,X,O,X,X
ISOZLJT,O,O,X,X,O,X
ISOZJTL,O,O,X,X,O,O
ISOZJLT,O,O,X,X,O,X
IZTLJSO,O,X,O,O,X,X
IZTLJOS,O,X,O,O,X,X
IZTLSJO,O,X,O,O,X,X
IZTLSOJ,O,X,X,O,X,X
IZTLOJS,O,X,X,O,X,X
IZTLOSJ,O,X,X,O,X,X
IZTJLSO,O,X,O,O,O,X
IZTJLOS,O,X,O,O,X,X
IZTJSLO,O,X,O,X,O,X
IZTJSOL,O,X,O,X,O,X
IZTJOLS,O,X,O,O,X,X
IZTJOSL,O,X,O,X,O,X
IZTSLJO,O,O,O,O,X,X
IZTSLOJ,O,O,X,O,X,X
IZTSJLO,O,O,O,X,X,X
IZTSJOL,O,O,O,X,X,X
IZTSOLJ,O,O,X,O,X,X
IZTSOJL,O,O,X,X,X,X
IZTOLJS,O,X,X,O,X,X
IZTOLSJ,O,X,X,O,X,X
IZTOJLS,O,X,X,O,O,X
IZTOJSL,O,X,X,X,O,X
IZTOSLJ,O,O,X,O,X,X
IZTOSJL,O,O,X,X,O,X
IZLTJSO,O,X,O,O,X,X
IZLTJOS,X,X,O,O,X,X
IZLTSJO,O,X,O,O,X,X
IZLTSOJ,O,X,X,O,X,X
IZLTOJS,O,X,X,O,X,X
IZLTOSJ,O,X,X,O,X,X
IZLJTSO,O,X,O,O,O,X
IZLJTOS,O,X,O,O,X,X
IZLJSTO,O,X,O,X,O,X
IZLJSOT,X,X,O,X,X,X
IZLJOTS,O,X,O,O,X,X
IZLJOST,O,X,O,X,X,X
IZLSTJO,O,X,O,O,X,X
IZLSTOJ,O,X,X,O,X,X
IZLSJTO,O,X,O,X,X,X
IZLSJOT,X,X,O,X,X,X
IZLSOTJ,X,X,X,O,X,X
IZLSOJT,X,X,O,X,X,X
IZLOTJS,O,X,X,O,X,X
IZLOTSJ,O,X,X,O,X,X
IZLOJTS,O,X,O,O,O,X
IZLOJST,O,X,O,X,O,X
IZLOSTJ,O,X,X,O,X,X
IZLOSJT,O,X,O,X,O,X
IZJTLSO,O,X,O,O,O,X
IZJTLOS,O,X,O,O,X,X
IZJTSLO,O,O,O,X,O,X
IZJTSOL,O,O,O,X,O,X
IZJTOLS,O,X,O,O,O,O
IZJTOSL,O,O,O,X,O,O
IZJLTSO,O,X,O,O,O,X
IZJLTOS,O,X,O,O,X,X
IZJLSTO,O,X,O,X,O,X
IZJLSOT,X,X,O,X,X,X
IZJLOTS,O,X,O,O,X,X
IZJLOST,O,X,O,X,X,X
IZJSTLO,O,O,O,X,O,X
IZJSTOL,O,O,O,X,O,X
IZJSLTO,O,O,O,X,O,X
IZJSLOT,X,O,O,X,O,X
IZJSOTL,O,O,O,X,O,O
IZJSOLT,O,O,O,X,O,X
IZJOTLS,O,X,O,O,O,O
IZJOTSL,O,O,O,X,O,O
IZJOLTS,O,X,O,O,O,X
IZJOLST,O,X,O,X,O,X
IZJOSTL,O,O,O,X,O,O
IZJOSLT,O,O,O,X,O,X
IZSTLJO,O,O,O,O,X,X
IZSTLOJ,O,O,X,O,X,X
IZSTJLO,O,O,O,X,X,X
IZSTJOL,O,O,O,X,X,X
IZSTOLJ,O,O,X,O,X,X
IZSTOJL,O,O,X,X,X,X
IZSLTJO,O,O,O,O,X,X
IZSLTOJ,O,O,X,O,X,X
IZSLJTO,O,O,O,X,X,X
IZSLJOT,X,O,O,X,X,X
IZSLOTJ,X,O,X,O,X,X
IZSLOJT,X,O,O,X,O,X
IZSJTLO,O,O,O,X,O,X
IZSJTOL,O,O,O,X,O,X
IZSJLTO,O,O,O,X,O,X
IZSJLOT,X,O,O,X,X,X
IZSJOTL,O,O,O,X,O,O
IZSJOLT,O,O,O,X,X,X
IZSOTLJ,O,O,X,O,X,X
IZSOTJL,O,O,X,X,O,X
IZSOLTJ,O,O,X,O,X,X
IZSOLJT,O,O,O,X,O,X
IZSOJTL,O,O,O,X,O,O
IZSOJLT,O,O,O,X,O,X
IZOTLJS,O,X,X,O,X,X
IZOTLSJ,O,X,X,O,X,X
IZOTJLS,O,X,X,O,O,X
IZOTJSL,O,X,X,X,O,X
IZOTSLJ,O,O,X,O,X,X
IZOTSJL,O,O,X,X,O,X
IZOLTJS,O,X,X,O,X,X
IZOLTSJ,O,X,X,O,X,X
IZOLJTS,O,X,O,O,O,X
IZOLJST,O,X,O,X,O,X
IZOLSTJ,O,X,X,O,X,X
IZOLSJT,O,X,O,X,O,X
IZOJTLS,O,X,O,O,O,O
IZOJTSL,O,O,O,X,O,O
IZOJLTS,O,X,O,O,O,X
IZOJLST,O,X,O,X,O,X
IZOJSTL,O,O,O,X,O,O
IZOJSLT,O,O,O,X,O,X
IZOSTLJ,O,O,X,O,X,X
IZOSTJL,O,O,X,X,O,X
IZOSLTJ,O,O,X,O,X,X
IZOSLJT,O,O,O,X,O,X
IZOSJTL,O,O,O,X,O,O
IZOSJLT,O,O,O,X,O,X
IOTLJSZ,O,X,X,O,X,X
IOTLJZS,O,X,X,O,X,X
IOTLSJZ,X,X,X,O,X,X
IOTLSZJ,O,O,X,O,X,X
IOTLZJS,O,X,X,O,X,X
IOTLZSJ,O,X,X,O,X,X
IOTJLSZ,O,O,X,O,O,O
IOTJLZS,O,X,X,O,O,O
IOTJSLZ,O,O,X,X,O,O
IOTJSZL,O,O,X,X,O,O
IOTJZLS,O,X,X,O,O,O
IOTJZSL,O,O,X,X,O,O
IOTSLJZ,X,X,X,O,X,X
IOTSLZJ,O,O,X,O,X,X
IOTSJLZ,X,O,X,X,O,O
IOTSJZL,X,O,X,X,O,O
IOTSZLJ,O,O,X,O,X,X
IOTSZJL,O,O,X,X,O,O
IOTZLJS,O,X,X,O,X,X
IOTZLSJ,O,X,X,O,X,X
IOTZJLS,O,X,X,O,O,O
IOTZJSL,O,X,X,X,O,O
IOTZSLJ,O,O,X,O,X,X
IOTZSJL,O,O,X,X,O,O
IOLTJSZ,X,X,X,O,X,X
IOLTJZS,O,X,X,O,X,X
