sequence,v115@vhHT/IfnB0iBypBGtBxuBRxBFrB,v115@vhHXAJ8lBTjBWtBipBRvBxxBlrB,v115@vhHT/IGiBypBUnB/tBxuBRxBFrB,v115@vhHiAJTjBcpB3lBWtBRvBxxBlrB,v115@vhH0/ICiB2pBTnB/tBxuBRxBFrB,v115@vhHmAJXjBcpBTlBStBRvBxxBlrB,v115@vhHaFJfnB0iBTkBGtBxuBRxBFrB,v115@vhHXAJ8lBunBToBipBRvBxxBlrB,v115@vhHaFJGiBTkBUnB/tBxuBRxBFrB,v115@vhHiAJunBcpB3lBToBRvBxxBlrB,v115@vhHcEJelBCiBTnB/tBxuBRxBFrB,v115@vhHmAJqnB/oBcpBTlBRvBxxBlrB,v115@vhHPHJ0gBToBqsBxqB2uBRwBlkB,v115@vhH8FJXiBTkBeqBxrBSyBRwBFoB,v115@vhHy/IclB+nBTkB/tBxuBRxBFrB,v115@vhHWDJKlB/nBcpBToBRvBxxBlrB,v115@vhHfDJ5jBzkBqqB0nB2uBxxBlrB,v115@vhHZ/I8fBXlBesBznBSyBxuBFrB,v115@vhHc/I5oBxmBetBTpB3qBCsBFlB,v115@vhH/DJZkBqpBxlBmqBUsBTtBlnB,v115@vhHs/IZkBStBRnB2xBXrBzpBllB,v115@vhHfDJ5oB2pBRlBSvB0rBzsBFnB,v115@vhH2BJxkByqBfsBctBTpBxvBlnB,v115@vhHSBJ/pB8qBWsBxnBTtBxwBFlB,v115@vhHxAJ/oBTkBilBGrBUtBRvBFnB,v115@vhHcEJxhBGnBToB3pBirBRxBllB,v115@vhHRPJTkBGrBilBUtBpjBPjBFnB,v115@vhHRRJToBirBGnB3pBJfB8fBllB,v115@vhHxQJRrBMtB3hBTpBKfBOqBlnB,v115@vhHxPJRrB/pBUhBTtB+jB6sBFlB,v115@vhHxPJpoBetBTpBKfBXmBMlBFsB,v115@vhHxQJJkBqpBTtB+jB0mB/nBlqB,v115@vhHxOJTkBMlBSyBXsBmnBpeBFrB,v115@vhHxRJToB/nB2uB0qBClBJaBlrB
comments,I-01/TKI,I-01M/TKI,I-01-1/TKI Alt,I-01-1M/TKI Alt,I-01-2/TKI Alt,I-01-2M/TKI Alt,I-02/Bad TKI,I-02M/Bad TKI,I-02-1/Bad TKI,I-02-1M/Bad TKI,I-02-2/Bad TKI,I-02-2M/Bad TKI,I-03/Stacked I,I-03M/Stacked I,I-04/TKI 2,I-04M/TKI 2,I-05/Big J,I-05M/Big L,I-06/TSD,I-06M/TSD,I-07/Quad,I-07M/Quad,I-08M/Butter Ripoff,I-08/Butter Ripoff,I-09/Bad TKI 2,I-09M/Bad TKI 2,I-10/Broken Box,I-10M/Broken Box,I-11/Stacked I 2,I-11M/Stacked I 2,I-12/Shifted TKI,I-12M/Shifted TKI,I-13/LI Tower,I-13M/JI Tower
score,4332.58,4332.58,4332.58,4332.58,4332.58,4332.58,3894.66,3894.66,3894.66,3894.66,3894.66,3894.66,4000.71,4000.71,4085.69,4085.69,4012.94,4012.94,4480.87,4480.87,4122.50,4122.50,4015.40,4015.40,3930.60,3930.60,3878.19,3878.19,4004.37,4004.37,3853.47,3853.47,3899.03,3899.03
ITILJSZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILJSOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILJZSO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILJZOS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILJOSZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILJOZS,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILSJZO,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
ITILSJOZ,O,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
