sequence,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFza?BShBuiBcjBllB3qB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFGb?BTcBCeBXjBllBUqB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFfg?BlbBchBqiBTeB+qB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFSg?BTcBWjBXjBllBUqB,v115@5gA8IeA8DeA8CeB8BeA8AeB8AeH8BeF8JeZ/IvhFlb?BchBGeBziB6qBfqB
TLJZOSI,O,X,O,X,X
TLJOISZ,X,O,O,O,X
TLJOIZS,O,X,O,O,X
TLJOSIZ,X,O,O,O,X
TLJOSZI,X,O,O,X,X
TLJOZIS,O,X,O,O,X
TLJOZSI,O,X,O,X,X
TLSIJZO,X,O,O,X,X
TLSIJOZ,X,O,O,O,X
TLSIZJO,O,O,X,X,X
TLSIZOJ,O,O,X,X,X
TLSIOJZ,X,O,O,O,X
TLSIOZJ,O,O,X,X,X
TLSJIZO,X,O,O,X,X
TLSJIOZ,X,O,O,O,X
TLSJZIO,X,O,O,X,X
TLSJZOI,X,O,O,X,X
TLSJOIZ,X,O,O,O,X
TLSJOZI,X,O,O,X,X
TLSZIJO,O,O,X,X,X
TLSZIOJ,O,O,X,X,X
TLSZJIO,O,O,X,X,X
TLSZJOI,O,O,X,X,X
TLSZOIJ,O,O,X,X,X
TLSZOJI,O,O,X,X,X
TLSOIJZ,X,O,O,O,X
TLSOIZJ,O,O,X,X,X
TLSOJIZ,X,O,O,O,X
TLSOJZI,X,O,O,X,X
TLSOZIJ,O,O,X,X,X
TLSOZJI,O,O,X,X,X
TLZIJSO,O,X,X,X,X
TLZIJOS,O,X,X,O,X
TLZISJO,O,X,X,X,X
TLZISOJ,O,X,X,X,X
TLZIOJS,O,X,X,O,O
TLZIOSJ,O,X,X,X,O
TLZJISO,O,X,X,X,X
TLZJIOS,O,X,X,O,X
TLZJSIO,O,X,X,X,X
TLZJSOI,O,X,X,X,X
TLZJOIS,O,X,X,O,X
TLZJOSI,O,X,X,X,X
TLZSIJO,O,X,X,X,X
TLZSIOJ,O,X,X,X,X
TLZSJIO,O,X,X,X,X
TLZSJOI,O,X,X,X,X
TLZSOIJ,O,X,X,X,X
TLZSOJI,O,X,X,X,X
TLZOIJS,O,X,X,O,O
TLZOISJ,O,X,X,X,O
TLZOJIS,O,X,X,O,O
TLZOJSI,O,X,X,X,X
TLZOSIJ,O,X,X,X,X
TLZOSJI,O,X,X,X,X
TLOIJSZ,X,O,O,O,X
TLOIJZS,O,X,O,O,O
TLOISJZ,X,O,O,O,X
TLOISZJ,O,O,X,X,X
TLOIZJS,O,X,X,O,O
TLOIZSJ,O,X,X,X,O
TLOJISZ,X,O,O,O,X
TLOJIZS,O,X,O,O,O
TLOJSIZ,X,O,O,O,X
TLOJSZI,X,O,O,X,X
TLOJZIS,O,X,O,O,O
TLOJZSI,O,X,O,X,X
TLOSIJZ,X,O,O,O,X
TLOSIZJ,O,O,X,X,X
TLOSJIZ,X,O,O,O,X
TLOSJZI,X,O,O,X,X
TLOSZIJ,O,O,X,X,X
TLOSZJI,O,O,X,X,X
TLOZIJS,O,X,X,O,O
TLOZISJ,O,X,X,X,O
TLOZJIS,O,X,X,O,O
TLOZJSI,O,X,X,X,X
TLOZSIJ,O,X,X,X,X
TLOZSJI,O,X,X,X,X
TJILSZO,X,O,O,X,X
TJILSOZ,X,O,O,O,X
TJILZSO,O,X,O,X,X
TJILZOS,O,X,O,O,X
TJILOSZ,X,O,O,O,X
TJILOZS,O,X,O,O,X
TJISLZO,X,O,O,X,X
TJISLOZ,X,O,O,O,X
TJISZLO,X,O,O,X,X
TJISZOL,X,O,O,X,X
TJISOLZ,X,O,X,O,X
TJISOZL,X,O,X,X,X
TJIZLSO,O,X,O,X,X
TJIZLOS,O,X,O,O,X
TJIZSLO,O,O,O,X,X
TJIZSOL,O,O,O,X,X
TJIZOLS,O,X,X,O,X
TJIZOSL,O,O,X,X,X
TJIOLSZ,X,O,X,O,X
TJIOLZS,O,X,X,O,X
TJIOSLZ,X,O,X,O,X
TJIOSZL,X,O,X,X,X
TJIOZLS,O,X,X,O,X
TJIOZSL,O,O,X,X,X
TJLISZO,X,O,O,X,X
TJLISOZ,X,O,O,O,X
TJLIZSO,O,X,O,X,X
TJLIZOS,O,X,O,O,X
TJLIOSZ,X,O,O,O,X
TJLIOZS,O,X,O,O,X
TJLSIZO,X,O,O,X,X
TJLSIOZ,X,O,O,O,X
TJLSZIO,X,O,O,X,X
TJLSZOI,X,O,O,X,X
TJLSOIZ,X,O,O,O,X
TJLSOZI,X,O,O,X,X
TJLZISO,O,X,O,X,X
TJLZIOS,O,X,O,O,X
TJLZSIO,O,X,O,X,X
TJLZSOI,O,X,O,X,X
TJLZOIS,O,X,O,O,X
TJLZOSI,O,X,O,X,X
TJLOISZ,X,O,O,O,X
TJLOIZS,O,X,O,O,X
TJLOSIZ,X,O,O,O,X
TJLOSZI,X,O,O,X,X
TJLOZIS,O,X,O,O,X
TJLOZSI,O,X,O,X,X
TJSILZO,X,O,O,X,X
TJSILOZ,X,O,O,O,X
TJSIZLO,X,O,O,X,X
TJSIZOL,X,O,O,X,X
TJSIOLZ,X,O,X,O,X
TJSIOZL,X,O,X,X,X
TJSLIZO,X,O,O,X,X
TJSLIOZ,X,O,O,O,X
TJSLZIO,X,O,O,X,X
TJSLZOI,X,O,O,X,X
TJSLOIZ,X,O,O,O,X
TJSLOZI,X,O,O,X,X
TJSZILO,X,O,O,X,X
TJSZIOL,X,O,O,X,X
TJSZLIO,X,O,O,X,X
TJSZLOI,X,O,O,X,X
TJSZOIL,X,O,O,X,X
TJSZOLI,X,O,O,X,X
TJSOILZ,X,O,X,O,X
TJSOIZL,X,O,X,X,X
TJSOLIZ,X,O,X,O,X
TJSOLZI,X,O,X,X,X
TJSOZIL,X,O,X,X,X
TJSOZLI,X,O,X,X,X
TJZILSO,O,X,O,X,X
TJZILOS,O,X,O,O,X
TJZISLO,O,O,O,X,X
TJZISOL,O,O,O,X,X
TJZIOLS,O,X,X,O,X
TJZIOSL,O,O,X,X,X
TJZLISO,O,X,O,X,X
TJZLIOS,O,X,O,O,X
TJZLSIO,O,X,O,X,X
TJZLSOI,O,X,O,X,X
TJZLOIS,O,X,O,O,X
TJZLOSI,O,X,O,X,X
TJZSILO,O,O,O,X,X
TJZSIOL,O,O,O,X,X
TJZSLIO,O,O,O,X,X
TJZSLOI,O,O,O,X,X
TJZSOIL,O,O,O,X,X
TJZSOLI,O,O,O,X,X
TJZOILS,O,X,X,O,X
TJZOISL,O,O,X,X,X
TJZOLIS,O,X,X,O,X
TJZOLSI,O,X,X,X,X
TJZOSIL,O,O,X,X,X
TJZOSLI,O,O,X,X,X
TJOILSZ,X,O,X,O,X
TJOILZS,O,X,X,O,X
TJOISLZ,X,O,X,O,X
TJOISZL,X,O,X,X,X
TJOIZLS,O,X,X,O,X
TJOIZSL,O,O,X,X,X
TJOLISZ,X,O,X,O,X
TJOLIZS,O,X,X,O,X
TJOLSIZ,X,O,X,O,X
TJOLSZI,X,O,X,X,X
TJOLZIS,O,X,X,O,X
TJOLZSI,O,X,X,X,X
TJOSILZ,X,O,X,O,X
TJOSIZL,X,O,X,X,X
TJOSLIZ,X,O,X,O,X
TJOSLZI,X,O,X,X,X
TJOSZIL,X,O,X,X,X
TJOSZLI,X,O,X,X,X
TJOZILS,O,X,X,O,X
TJOZISL,O,O,X,X,X
TJOZLIS,O,X,X,O,X
TJOZLSI,O,X,X,X,X
TJOZSIL,O,O,X,X,X
TJOZSLI,O,O,X,X,X
TSILJZO,X,O,O,X,X
TSILJOZ,X,O,O,O,X
TSILZJO,O,O,X,X,X
TSILZOJ,O,O,X,X,X
TSILOJZ,X,O,O,O,X
TSILOZJ,O,O,X,X,X
TSIJLZO,X,O,O,X,X
TSIJLOZ,X,O,O,O,X
TSIJZLO,X,O,O,X,X
TSIJZOL,X,O,O,X,X
TSIJOLZ,X,O,X,O,X
TSIJOZL,X,O,X,X,X
TSIZLJO,O,O,X,X,X
TSIZLOJ,O,O,X,X,X
TSIZJLO,O,O,X,X,X
TSIZJOL,O,O,X,X,X
TSIZOLJ,O,O,X,X,X
TSIZOJL,O,O,X,X,X
TSIOLJZ,X,O,X,O,X
TSIOLZJ,O,O,X,X,X
TSIOJLZ,X,O,X,O,X
TSIOJZL,X,O,X,X,X
TSIOZLJ,O,O,X,X,X
TSIOZJL,O,O,X,X,X
TSLIJZO,X,O,O,X,X
TSLIJOZ,X,O,O,O,X
TSLIZJO,O,O,X,X,X
TSLIZOJ,O,O,X,X,X
TSLIOJZ,X,O,O,O,X
TSLIOZJ,O,O,X,X,X
TSLJIZO,X,O,O,X,X
TSLJIOZ,X,O,O,O,X
TSLJZIO,X,O,O,X,X
TSLJZOI,X,O,O,X,X
TSLJOIZ,X,O,O,O,X
TSLJOZI,X,O,O,X,X
TSLZIJO,O,O,X,X,X
TSLZIOJ,O,O,X,X,X
TSLZJIO,O,O,X,X,X
TSLZJOI,O,O,X,X,X
TSLZOIJ,O,O,X,X,X
TSLZOJI,O,O,X,X,X
TSLOIJZ,X,O,O,O,X
TSLOIZJ,O,O,X,X,X
TSLOJIZ,X,O,O,O,X
TSLOJZI,X,O,O,X,X
TSLOZIJ,O,O,X,X,X
TSLOZJI,O,O,X,X,X
TSJILZO,X,O,O,X,X
TSJILOZ,X,O,O,O,X
TSJIZLO,X,O,O,X,X
TSJIZOL,X,O,O,X,X
TSJIOLZ,X,O,X,O,X
TSJIOZL,X,O,X,X,X
TSJLIZO,X,O,O,X,X
TSJLIOZ,X,O,O,O,X
TSJLZIO,X,O,O,X,X
TSJLZOI,X,O,O,X,X
TSJLOIZ,X,O,O,O,X
TSJLOZI,X,O,O,X,X
TSJZILO,X,O,O,X,X
TSJZIOL,X,O,O,X,X
TSJZLIO,X,O,O,X,X
TSJZLOI,X,O,O,X,X
TSJZOIL,X,O,O,X,X
TSJZOLI,X,O,O,X,X
TSJOILZ,X,O,X,O,X
TSJOIZL,X,O,X,X,X
TSJOLIZ,X,O,X,O,X
TSJOLZI,X,O,X,X,X
TSJOZIL,X,O,X,X,X
TSJOZLI,X,O,X,X,X
TSZILJO,O,O,X,X,X
TSZILOJ,O,O,X,X,X
TSZIJLO,O,O,X,X,X
TSZIJOL,O,O,X,X,X
TSZIOLJ,O,O,X,X,X
TSZIOJL,O,O,X,X,X
TSZLIJO,O,O,X,X,X
TSZLIOJ,O,O,X,X,X
TSZLJIO,O,O,X,X,X
TSZLJOI,O,O,X,X,X
TSZLOIJ,O,O,X,X,X
TSZLOJI,O,O,X,X,X
TSZJILO,O,O,X,X,X
TSZJIOL,O,O,X,X,X
TSZJLIO,O,O,X,X,X
TSZJLOI,O,O,X,X,X
TSZJOIL,O,O,X,X,X
TSZJOLI,O,O,X,X,X
TSZOILJ,O,O,X,X,X
TSZOIJL,O,O,X,X,X
TSZOLIJ,O,O,X,X,X
TSZOLJI,O,O,X,X,X
TSZOJIL,O,O,X,X,X
TSZOJLI,O,O,X,X,X
TSOILJZ,X,O,X,O,X
TSOILZJ,O,O,X,X,X
TSOIJLZ,X,O,X,O,X
TSOIJZL,X,O,X,X,X
TSOIZLJ,O,O,X,X,X
TSOIZJL,O,O,X,X,X
TSOLIJZ,X,O,X,O,X
TSOLIZJ,O,O,X,X,X
TSOLJIZ,X,O,X,O,X
TSOLJZI,X,O,X,X,X
TSOLZIJ,O,O,X,X,X
TSOLZJI,O,O,X,X,X
TSOJILZ,X,O,X,O,X
TSOJIZL,X,O,X,X,X
TSOJLIZ,X,O,X,O,X
TSOJLZI,X,O,X,X,X
TSOJZIL,X,O,X,X,X
