sequence,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmBXqB0qB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFFb?B8gBzdBflBOrBSvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhFqf?BmbBzdBFmB0qBXqB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeZ/IvhF3b?BzdBUlBFmBupByvB,v115@4gB8BeA8EeB8BeA8FeD8AeA8CeF8DeE8JeR7IvhFzd?BVmBikB0lB2vB/pB
TJIOZSL,X,O,X,O,X
TJLISZO,O,O,X,X,X
TJLISOZ,O,O,O,X,X
TJLIZSO,X,O,O,X,O
TJLIZOS,O,O,O,X,O
TJLIOSZ,O,O,O,X,X
TJLIOZS,O,O,O,X,O
TJLSIZO,O,O,X,X,X
TJLSIOZ,O,O,O,X,X
TJLSZIO,O,O,X,X,O
TJLSZOI,O,O,X,X,O
TJLSOIZ,O,O,O,X,X
TJLSOZI,O,O,X,X,O
TJLZISO,X,O,X,X,O
TJLZIOS,O,O,O,X,O
TJLZSIO,X,O,X,X,O
TJLZSOI,X,O,X,X,O
TJLZOIS,O,O,O,X,O
TJLZOSI,X,O,X,X,O
TJLOISZ,O,O,O,X,X
TJLOIZS,O,O,O,X,O
TJLOSIZ,O,O,O,X,X
TJLOSZI,O,O,X,X,O
TJLOZIS,O,O,O,X,O
TJLOZSI,X,O,X,X,O
TJSILZO,O,X,X,X,X
TJSILOZ,O,X,O,X,X
TJSIZLO,O,O,X,X,X
TJSIZOL,O,O,X,X,X
TJSIOLZ,O,X,O,X,X
TJSIOZL,O,O,X,X,X
TJSLIZO,O,X,X,X,X
TJSLIOZ,O,X,O,X,X
TJSLZIO,O,X,X,X,O
TJSLZOI,O,X,X,X,O
TJSLOIZ,O,X,O,X,X
TJSLOZI,O,X,X,X,O
TJSZILO,O,O,X,X,X
TJSZIOL,O,O,X,X,X
TJSZLIO,O,O,X,X,X
TJSZLOI,O,O,X,X,X
TJSZOIL,O,O,X,X,X
TJSZOLI,O,O,X,X,X
TJSOILZ,O,X,O,X,X
TJSOIZL,O,O,X,X,X
TJSOLIZ,O,X,O,X,X
TJSOLZI,O,X,X,X,O
TJSOZIL,O,O,X,X,X
TJSOZLI,O,O,X,X,X
TJZILSO,X,X,X,O,X
TJZILOS,O,X,O,O,X
TJZISLO,X,O,X,O,X
TJZISOL,X,O,X,O,X
TJZIOLS,O,X,O,O,X
TJZIOSL,X,O,X,O,X
TJZLISO,X,X,X,X,O
TJZLIOS,O,X,O,X,O
TJZLSIO,X,X,X,X,O
TJZLSOI,X,X,X,X,O
TJZLOIS,O,X,O,X,O
TJZLOSI,X,X,X,X,O
TJZSILO,O,O,X,O,X
TJZSIOL,O,O,X,O,X
TJZSLIO,O,O,X,X,X
TJZSLOI,O,O,X,X,X
TJZSOIL,O,O,X,O,X
TJZSOLI,O,O,X,X,X
TJZOILS,O,X,O,O,X
TJZOISL,X,O,X,O,X
TJZOLIS,O,X,O,X,O
TJZOLSI,X,X,X,X,O
TJZOSIL,O,O,X,O,X
TJZOSLI,O,O,X,X,X
TJOILSZ,O,O,O,X,X
TJOILZS,O,O,O,X,O
TJOISLZ,O,X,O,X,X
TJOISZL,O,O,X,X,X
TJOIZLS,O,X,O,O,X
TJOIZSL,X,O,X,O,X
TJOLISZ,O,O,O,X,X
TJOLIZS,O,O,O,X,O
TJOLSIZ,O,O,O,X,X
TJOLSZI,O,O,X,X,O
TJOLZIS,O,O,O,X,O
TJOLZSI,X,O,X,X,O
TJOSILZ,O,X,O,X,X
TJOSIZL,O,O,X,X,X
TJOSLIZ,O,X,O,X,X
TJOSLZI,O,X,X,X,O
TJOSZIL,O,O,X,X,X
TJOSZLI,O,O,X,X,X
TJOZILS,O,X,O,O,X
TJOZISL,X,O,X,O,X
TJOZLIS,O,X,O,X,O
TJOZLSI,X,X,X,X,O
TJOZSIL,O,O,X,O,X
TJOZSLI,O,O,X,X,X
TSILJZO,O,X,X,X,X
TSILJOZ,O,X,O,X,X
TSILZJO,O,O,O,X,X
TSILZOJ,O,O,O,X,X
TSILOJZ,O,X,O,X,X
TSILOZJ,O,O,O,X,X
TSIJLZO,O,X,X,X,X
TSIJLOZ,O,X,O,X,X
TSIJZLO,O,O,X,X,X
TSIJZOL,O,O,X,X,X
TSIJOLZ,O,X,O,X,X
TSIJOZL,O,O,X,X,X
TSIZLJO,O,X,X,O,X
TSIZLOJ,O,X,X,O,X
TSIZJLO,O,X,X,O,X
TSIZJOL,O,X,X,O,X
TSIZOLJ,O,X,X,O,X
TSIZOJL,O,X,X,O,X
TSIOLJZ,O,X,O,X,X
TSIOLZJ,O,O,O,X,X
TSIOJLZ,O,X,O,X,X
TSIOJZL,O,O,X,X,X
TSIOZLJ,O,X,X,O,X
TSIOZJL,O,X,X,O,X
TSLIJZO,O,X,X,X,X
TSLIJOZ,O,X,O,X,X
TSLIZJO,O,O,O,X,X
TSLIZOJ,O,O,O,X,X
TSLIOJZ,O,X,O,X,X
TSLIOZJ,O,O,O,X,X
TSLJIZO,O,X,X,X,X
TSLJIOZ,O,X,O,X,X
TSLJZIO,O,X,X,X,O
TSLJZOI,O,X,X,X,O
TSLJOIZ,O,X,O,X,X
TSLJOZI,O,X,X,X,O
TSLZIJO,O,O,X,X,X
TSLZIOJ,O,O,X,X,X
TSLZJIO,O,O,X,X,X
TSLZJOI,O,O,X,X,X
TSLZOIJ,O,O,X,X,X
TSLZOJI,O,O,X,X,X
TSLOIJZ,O,X,O,X,X
TSLOIZJ,O,O,O,X,X
TSLOJIZ,O,X,O,X,X
TSLOJZI,O,X,X,X,O
TSLOZIJ,O,O,X,X,X
TSLOZJI,O,O,X,X,X
TSJILZO,O,X,X,X,X
TSJILOZ,O,X,O,X,X
TSJIZLO,O,O,X,X,X
TSJIZOL,O,O,X,X,X
TSJIOLZ,O,X,O,X,X
TSJIOZL,O,O,X,X,X
TSJLIZO,O,X,X,X,X
TSJLIOZ,O,X,O,X,X
TSJLZIO,O,X,X,X,O
TSJLZOI,O,X,X,X,O
TSJLOIZ,O,X,O,X,X
TSJLOZI,O,X,X,X,O
TSJZILO,O,O,X,X,X
TSJZIOL,O,O,X,X,X
TSJZLIO,O,O,X,X,X
TSJZLOI,O,O,X,X,X
TSJZOIL,O,O,X,X,X
TSJZOLI,O,O,X,X,X
TSJOILZ,O,X,O,X,X
TSJOIZL,O,O,X,X,X
TSJOLIZ,O,X,O,X,X
TSJOLZI,O,X,X,X,O
TSJOZIL,O,O,X,X,X
TSJOZLI,O,O,X,X,X
TSZILJO,O,X,X,O,X
TSZILOJ,O,X,X,O,X
