sequence,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeOAJvhFXcBldBUiBS?qBTmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeT7IvhFicB3dBWnBV?qBUmBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFldBelBUiBC?mBTrB3qB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je07IvhFlcB3dBelBz?lBCnBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je2AJvhFRdBcmBTiB3?gBFqBSwB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFRdBGiBXlBl?mBUrBTqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFzcBuiB0lBl?mBXlBxvB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhF3dB5mBTgBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeKAJvhFzbB3dB5mBU?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeR9IvhF/lBTiB6rBF?mBUqBmqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Jex7IvhFuiBTgBihBF?qBXrB8rB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeyAJvhFUdB5mBTgB3?iBerBFqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JecBJvhFelB5lBXiBl?iBTrBiqB,v115@zgB8GeC8FeD8FeC8EeF8DeD8JeuCJvhFxgBFqBXrB8?rBTqBirB,v115@zgB8GeC8FeD8FeC8EeF8DeD8Je39IvhFelBChBxmBl?mBUrBTqB
TILJSZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILJSOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TILJZOS,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TILJOSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILJOZS,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILSJOZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILZJOS,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILZSJO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILZSOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILZOSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILOJSZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILOJZS,O,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TILOSJZ,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TILOSZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TIJLSOZ,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TIJLZOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TIJLOSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TIJLOZS,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TIJSLZO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TIJSLOZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TIJSZLO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TIJSZOL,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TIJSOLZ,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TIJSOZL,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TIJZLOS,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TIJZSLO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TIJZSOL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJZOLS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TIJZOSL,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIJOLSZ,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TIJOLZS,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TIJOSLZ,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TIJOSZL,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJOZLS,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TIJOZSL,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TISLJZO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TISLZJO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,O,X,O,X,X,O,X,O,X,O,X,X,X,X
TISLOZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISJLZO,X,O,X,O,X,O,X,O,O,X,X,X,X,X,O
TISJLOZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TISJZLO,X,O,X,O,X,O,O,O,O,X,X,X,X,O,X
TISJZOL,X,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TISJOLZ,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TISJOZL,X,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISZLJO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TISZLOJ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,O,X,O,X,O,O,X,X,X,X,X,X,O,O
TISZJOL,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TISZOLJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,X,O,X,O,O,X,X,X,X,X,X,O,X
TISOLJZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TISOLZJ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
TISOJLZ,O,O,X,O,X,X,O,X,X,X,O,X,X,X,X
TISOJZL,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TISOZLJ,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TISOZJL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIZLJSO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIZLJOS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZLSJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZLOJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOSJ,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZJLSO,O,O,X,X,X,O,O,X,X,X,X,O,X,X,O
TIZJLOS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJSLO,O,O,X,X,X,O,O,X,X,X,X,O,X,X,O
TIZJSOL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZJOLS,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TIZJOSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,O,X,X,X,O,O,X,X,X,X,X,X,X,O
TIZSJOL,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TIZOLSJ,O,O,O,X,O,X,O,X,X,O,X,X,X,X,X
TIZOJLS,O,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TIZOJSL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TIOLJZS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X
TIOLSJZ,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
