sequence,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhFzbBUdB3fBWnBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhF3bBuhB1kB8lBTn?BxuB,v115@6gC8HeB8HeE8AeF8DeF8JeO/IvhF8fBzbBqhB/iBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Je06IvhFlbB3cB2kBTiBCm?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jel6IvhF3bBzcB2kB8lBSs?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jem6IvhFCcB/iBTfB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jeu/IvhFcgBXhBTiBSvBZk?BlrB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFzaBWhB/iB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFzcB3fBSnBllB8q?B2uB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFlcBTiBCmBOpB8p?B3qB,v115@6gC8HeB8HeE8AeF8DeF8Jez6IvhFCcB/iB0hBllBZk?BWvB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFxbB/iB0hBllB+p?BTqB
TIZOSJL,O,O,O,X,X,O,X,X,X,X,X,X
TIOLJSZ,O,O,X,X,X,O,X,O,X,X,X,X
TIOLJZS,O,O,X,X,X,X,X,O,X,X,X,X
TIOLSJZ,O,O,X,X,X,O,X,O,X,X,O,X
TIOLSZJ,O,O,X,X,X,O,X,O,X,X,O,X
TIOLZJS,X,O,X,X,X,X,X,O,X,X,X,X
TIOLZSJ,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,O,O,X,X,X,O,X,O,X,X,O,X
TIOJLZS,O,O,X,X,X,X,X,O,X,X,X,X
TIOJSLZ,O,O,X,X,X,O,X,O,X,X,O,X
TIOJSZL,O,O,X,X,X,O,X,X,X,X,O,X
TIOJZLS,O,O,X,X,X,X,X,X,X,X,X,X
TIOJZSL,O,O,X,X,X,O,X,X,X,X,O,X
TIOSLJZ,O,O,O,X,X,O,X,O,X,X,O,X
TIOSLZJ,O,O,O,X,X,O,X,O,X,X,O,X
TIOSJLZ,O,O,X,X,X,O,X,O,X,X,O,X
TIOSJZL,O,O,X,X,X,O,X,X,X,X,O,X
TIOSZLJ,O,O,O,X,X,O,X,X,X,X,O,X
TIOSZJL,O,O,O,X,X,O,X,X,X,X,X,X
TIOZLJS,X,O,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TIOZJLS,O,O,X,X,X,X,X,X,X,X,X,X
TIOZJSL,O,O,O,X,X,O,X,X,X,X,X,X
TIOZSLJ,O,O,O,X,X,O,X,X,X,X,O,X
TIOZSJL,O,O,O,X,X,O,X,X,X,X,X,X
TLIJSZO,O,O,X,O,X,O,X,O,X,O,O,X
TLIJSOZ,O,X,X,O,X,O,X,O,X,O,O,X
TLIJZSO,O,O,X,O,X,X,X,O,X,O,X,X
TLIJZOS,O,O,X,O,X,X,O,O,X,O,X,X
TLIJOSZ,O,X,X,O,X,X,X,O,X,O,O,X
TLIJOZS,O,O,X,O,X,X,O,O,X,O,X,X
TLISJZO,O,X,O,O,X,O,X,O,O,X,O,X
TLISJOZ,O,X,O,O,X,O,X,O,O,X,O,X
TLISZJO,O,X,O,O,X,O,X,O,O,X,O,X
TLISZOJ,O,X,O,X,X,O,X,O,O,X,O,X
TLISOJZ,O,X,O,O,X,O,X,O,O,X,O,X
TLISOZJ,O,X,O,X,X,O,X,O,O,X,O,X
TLIZJSO,X,O,O,O,X,X,X,O,X,O,X,X
TLIZJOS,X,X,X,O,X,X,O,O,X,O,X,X
TLIZSJO,X,O,O,O,X,X,X,O,X,O,X,X
TLIZSOJ,X,O,O,X,X,X,X,O,X,O,X,X
TLIZOJS,X,O,X,X,X,X,O,O,X,O,X,X
TLIZOSJ,X,O,X,X,X,X,O,O,X,O,X,X
TLIOJSZ,O,O,X,O,X,O,X,O,X,X,X,X
TLIOJZS,O,O,X,O,X,X,O,O,X,X,X,X
TLIOSJZ,O,O,X,O,X,O,X,O,O,X,O,X
TLIOSZJ,O,O,X,X,X,O,O,O,O,X,O,X
TLIOZJS,X,O,X,X,X,X,O,O,X,X,X,X
TLIOZSJ,X,O,X,X,X,X,O,O,X,X,X,X
TLJISZO,O,O,X,O,O,X,X,O,X,O,O,X
TLJISOZ,O,X,X,O,O,X,X,O,X,O,O,X
TLJIZSO,O,O,X,O,O,X,X,O,X,O,X,X
TLJIZOS,O,O,X,O,O,X,O,O,X,O,X,X
TLJIOSZ,O,X,X,O,O,X,X,O,X,O,O,X
