sequence,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhFzbBUdB3fBWnBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jei6IvhF3bBuhB1kB8lBTn?BxuB,v115@6gC8HeB8HeE8AeF8DeF8JeO/IvhF8fBzbBqhB/iBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Je06IvhFlbB3cB2kBTiBCm?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jel6IvhF3bBzcB2kB8lBSs?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jem6IvhFCcB/iBTfB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jeu/IvhFcgBXhBTiBSvBZk?BlrB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFzaBWhB/iB0hBll?BxuB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFzcB3fBSnBllB8q?B2uB,v115@6gC8HeB8HeE8AeF8DeF8Jex6IvhFlcBTiBCmBOpB8p?B3qB,v115@6gC8HeB8HeE8AeF8DeF8Jez6IvhFCcB/iB0hBllBZk?BWvB,v115@6gC8HeB8HeE8AeF8DeF8JeK/IvhFxbB/iB0hBllB+p?BTqB
TSILJZO,O,X,O,X,X,O,X,O,O,X,O,X
TSILJOZ,O,X,O,X,X,O,X,O,O,X,O,X
TSILZJO,O,X,O,X,X,O,X,O,O,X,O,X
TSILZOJ,O,X,O,X,X,O,X,O,O,X,O,X
TSILOJZ,O,X,O,X,X,O,X,O,O,X,O,X
TSILOZJ,O,X,O,X,X,O,X,O,O,X,O,X
TSIJLZO,O,X,O,X,X,O,X,O,X,X,O,X
TSIJLOZ,O,X,O,X,X,O,X,O,X,X,O,X
TSIJZLO,O,X,O,X,X,O,X,O,X,X,O,X
TSIJZOL,O,X,O,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,X,X,X,X,O,X,O,X,X,O,X
TSIJOZL,O,X,X,X,X,O,X,X,X,X,O,X
TSIZLJO,O,X,O,X,X,O,X,O,X,X,O,X
TSIZLOJ,O,X,O,X,X,O,X,O,X,X,O,X
TSIZJLO,O,X,O,X,X,O,X,O,X,X,O,X
TSIZJOL,O,X,O,X,X,O,X,X,X,X,O,X
TSIZOLJ,O,X,O,X,X,O,X,X,X,X,O,X
TSIZOJL,O,X,O,X,X,O,X,X,X,X,X,X
TSIOLJZ,O,X,O,X,X,O,X,O,X,X,O,X
TSIOLZJ,O,X,O,X,X,O,X,O,X,X,O,X
TSIOJLZ,O,X,X,X,X,O,X,O,X,X,O,X
TSIOJZL,O,X,X,X,X,O,X,X,X,X,O,X
TSIOZLJ,O,X,O,X,X,O,X,X,X,X,O,X
TSIOZJL,O,X,O,X,X,O,X,X,X,X,X,X
TSLIJZO,O,X,O,X,X,O,X,O,O,X,O,X
TSLIJOZ,O,X,O,X,X,O,X,O,O,X,O,X
TSLIZJO,X,X,O,X,X,O,X,O,O,X,O,X
TSLIZOJ,X,X,O,X,X,O,X,O,O,X,O,X
TSLIOJZ,O,X,O,X,X,O,X,O,O,X,O,X
TSLIOZJ,X,X,O,X,X,O,X,O,O,X,O,X
TSLJIZO,O,O,O,X,X,O,X,O,O,X,O,X
TSLJIOZ,O,X,O,X,X,O,X,O,O,X,O,X
TSLJZIO,O,O,O,X,X,O,X,X,O,X,O,X
TSLJZOI,O,O,O,X,X,O,X,O,O,X,O,X
TSLJOIZ,O,X,O,X,X,O,X,O,O,X,O,X
TSLJOZI,O,X,O,X,X,O,X,O,O,X,O,X
TSLZIJO,X,O,O,X,X,O,X,X,O,X,O,O
TSLZIOJ,X,O,O,X,X,O,X,X,O,X,O,O
TSLZJIO,O,O,O,X,X,O,X,X,O,X,O,O
TSLZJOI,O,O,O,X,X,O,X,O,O,X,O,O
TSLZOIJ,X,O,O,X,X,X,X,X,O,X,O,O
TSLZOJI,O,O,O,X,X,X,X,O,O,X,X,O
TSLOIJZ,O,O,O,X,X,O,X,O,O,X,O,X
TSLOIZJ,X,O,O,X,X,O,X,O,O,X,O,X
TSLOJIZ,O,O,O,X,X,O,X,O,O,X,O,X
TSLOJZI,O,O,O,X,X,O,X,O,O,X,O,X
TSLOZIJ,X,O,O,X,X,X,X,X,O,X,O,X
TSLOZJI,O,O,O,X,X,X,X,O,O,X,X,X
TSJILZO,O,O,O,X,X,O,X,O,X,X,O,X
TSJILOZ,O,X,O,X,X,O,X,O,X,X,O,X
TSJIZLO,O,O,O,X,X,O,X,O,X,X,O,X
TSJIZOL,O,O,O,X,X,X,X,X,X,X,O,X
TSJIOLZ,O,X,X,X,X,O,X,O,X,X,O,X
TSJIOZL,O,X,X,X,X,O,X,X,X,X,O,X
TSJLIZO,O,O,O,X,X,O,X,O,O,X,O,X
TSJLIOZ,O,X,O,X,X,O,X,O,O,X,O,X
TSJLZIO,O,O,O,X,X,O,X,X,O,X,O,X
TSJLZOI,O,O,O,X,X,O,X,X,O,X,O,X
TSJLOIZ,O,X,O,X,X,O,X,X,O,X,O,X
TSJLOZI,O,X,O,X,X,O,X,X,O,X,O,X
TSJZILO,O,O,O,X,X,X,X,O,X,X,O,X
TSJZIOL,O,X,O,X,X,X,X,X,X,X,O,X
TSJZLIO,O,O,O,X,X,O,X,X,X,X,O,X
TSJZLOI,O,O,O,X,X,O,X,X,X,X,O,X
TSJZOIL,O,X,X,X,X,X,X,X,X,X,O,X
TSJZOLI,O,O,O,X,X,X,X,X,X,X,O,X
TSJOILZ,O,X,X,X,X,X,X,O,X,X,O,X
TSJOIZL,O,X,X,X,X,X,X,X,X,X,O,X
TSJOLIZ,O,X,X,X,X,O,X,X,X,X,O,X
TSJOLZI,O,X,X,X,X,O,X,X,X,X,O,X
TSJOZIL,O,X,X,X,X,X,X,X,X,X,O,X
TSJOZLI,O,X,X,X,X,X,X,X,X,X,O,X
TSZILJO,X,O,O,X,X,O,X,O,X,X,O,X
TSZILOJ,X,O,O,X,X,O,X,O,X,X,O,X
TSZIJLO,X,O,O,X,X,O,X,O,X,X,O,X
TSZIJOL,X,X,O,X,X,O,X,X,X,X,O,X
TSZIOLJ,X,O,O,X,X,O,X,X,X,X,O,X
TSZIOJL,X,O,O,X,X,O,X,X,X,X,O,X
TSZLIJO,X,O,O,X,X,O,X,X,O,X,O,O
TSZLIOJ,X,O,O,X,X,O,X,X,O,X,O,O
TSZLJIO,O,O,O,X,X,O,X,X,O,X,O,O
TSZLJOI,O,O,O,X,X,O,X,X,O,X,O,O
TSZLOIJ,X,O,O,X,X,O,X,X,O,X,O,O
TSZLOJI,O,O,O,X,X,O,X,X,O,X,O,O
TSZJILO,O,O,O,X,X,O,X,O,X,X,O,X
TSZJIOL,O,X,O,X,X,O,X,X,X,X,O,X
TSZJLIO,O,O,O,X,X,O,X,X,X,X,O,X
TSZJLOI,O,O,O,X,X,O,X,X,X,X,O,X
TSZJOIL,O,O,X,X,X,X,X,X,X,X,O,X
TSZJOLI,O,O,O,X,X,O,X,X,X,X,O,X
TSZOILJ,X,O,O,X,X,O,X,X,X,X,O,X
TSZOIJL,X,O,O,X,X,O,X,X,X,X,O,X
TSZOLIJ,X,O,O,X,X,O,X,X,X,X,O,X
TSZOLJI,O,O,O,X,X,O,X,X,X,X,O,X
TSZOJIL,O,O,X,X,X,O,X,X,X,X,O,X
TSZOJLI,O,O,O,X,X,O,X,X,X,X,O,X
TSOILJZ,O,O,O,X,X,O,X,O,X,X,O,X
TSOILZJ,O,O,O,X,X,O,X,O,X,X,O,X
TSOIJLZ,O,O,X,X,X,O,X,O,X,X,O,X
TSOIJZL,O,O,X,X,X,O,X,X,X,X,O,X
TSOIZLJ,O,O,O,X,X,O,X,X,X,X,O,X
TSOIZJL,O,O,O,X,X,O,X,X,X,X,X,X
TSOLIJZ,O,O,O,X,X,O,X,X,O,X,O,X
TSOLIZJ,X,O,O,X,X,O,X,X,O,X,O,X
TSOLJIZ,O,O,O,X,X,O,X,X,O,X,O,X
TSOLJZI,O,O,O,X,X,O,X,X,O,X,O,X
TSOLZIJ,X,O,O,X,X,X,X,X,O,X,O,X
TSOLZJI,O,O,O,X,X,O,X,X,O,X,X,X
TSOJILZ,O,O,X,X,X,O,X,O,X,X,O,X
TSOJIZL,O,O,X,X,X,O,X,X,X,X,O,X
TSOJLIZ,O,O,X,X,X,O,X,X,X,X,O,X
TSOJLZI,O,O,X,X,X,O,X,X,X,X,O,X
TSOJZIL,O,O,X,X,X,O,X,X,X,X,O,X
TSOJZLI,O,O,X,X,X,O,X,X,X,X,O,X
TSOZILJ,X,O,O,X,X,O,X,X,X,X,O,X
TSOZIJL,X,O,O,X,X,O,X,X,X,X,X,X
TSOZLIJ,X,O,O,X,X,O,X,X,X,X,O,X
TSOZLJI,O,O,O,X,X,O,X,X,X,X,X,X
TSOZJIL,O,O,X,X,X,O,X,X,X,X,X,X
TSOZJLI,O,O,O,X,X,O,X,X,X,X,X,X
TZILJSO,X,O,O,X,O,X,X,O,X,X,X,X
TZILJOS,X,O,X,X,O,X,X,O,X,X,X,X
TZILSJO,X,O,O,X,O,X,X,O,X,X,X,X
TZILSOJ,X,O,O,X,O,X,X,O,X,X,X,X
TZILOJS,X,O,X,X,O,X,X,O,X,X,X,X
TZILOSJ,X,O,X,X,O,X,X,O,X,X,X,X
TZIJLSO,O,O,O,X,O,X,X,O,X,X,X,X
TZIJLOS,O,O,X,X,O,X,X,O,X,X,X,X
TZIJSLO,O,O,O,X,O,O,X,O,X,X,O,X
TZIJSOL,O,O,O,X,O,X,X,X,X,X,O,X
TZIJOLS,O,O,X,X,O,X,X,X,X,X,X,X
TZIJOSL,O,O,O,X,O,X,X,X,X,X,O,X
TZISLJO,O,O,O,X,O,O,X,O,X,X,O,X
TZISLOJ,O,O,O,X,O,O,X,O,X,X,O,X
TZISJLO,O,O,O,X,O,O,X,O,X,X,O,X
TZISJOL,O,O,O,X,O,X,X,X,X,X,O,X
TZISOLJ,O,O,O,X,O,O,X,X,X,X,O,X
TZISOJL,O,O,O,X,X,O,X,X,X,X,X,X
TZIOLJS,X,O,X,X,X,X,X,X,X,X,X,X
TZIOLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TZIOJLS,O,O,X,X,X,X,X,X,X,X,X,X
TZIOJSL,O,O,O,X,X,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,X,X,O,X,X,X,X,O,X
TZIOSJL,O,O,O,X,X,O,X,X,X,X,X,X
TZLIJSO,X,O,O,X,O,X,X,X,X,X,X,X
TZLIJOS,X,X,X,X,O,X,X,X,X,X,X,X
TZLISJO,X,O,O,X,O,X,X,X,X,X,X,X
TZLISOJ,X,O,O,X,O,X,X,X,X,X,X,X
TZLIOJS,X,O,X,X,O,X,X,X,X,X,X,X
TZLIOSJ,X,O,X,X,O,X,X,X,X,X,X,X
TZLJISO,X,O,X,X,X,X,X,X,X,X,X,X
TZLJIOS,X,O,X,X,X,X,X,X,X,X,X,X
TZLJSIO,X,O,O,X,X,X,X,X,X,X,X,X
TZLJSOI,X,O,O,X,X,X,X,X,X,X,X,X
TZLJOIS,X,O,X,X,X,X,X,X,X,X,X,X
TZLJOSI,X,O,X,X,X,X,X,X,X,X,X,X
TZLSIJO,X,O,O,X,O,X,X,X,O,X,X,X
TZLSIOJ,X,O,O,X,O,X,X,X,O,X,X,X
TZLSJIO,X,O,O,X,X,X,X,X,O,X,X,X
TZLSJOI,X,O,O,X,O,X,X,X,O,X,X,X
TZLSOIJ,X,O,O,X,O,X,X,X,O,X,X,X
TZLSOJI,X,O,O,X,O,X,X,X,O,X,X,X
TZLOIJS,X,O,X,X,O,X,X,X,X,X,X,X
TZLOISJ,X,O,X,X,O,X,X,X,X,X,X,X
TZLOJIS,X,O,X,X,X,X,X,X,X,X,X,X
TZLOJSI,X,O,X,X,X,X,X,X,X,X,X,X
TZLOSIJ,X,O,X,X,O,X,X,X,O,X,X,X
TZLOSJI,X,O,X,X,O,X,X,X,O,X,X,X
TZJILSO,O,O,O,X,X,X,X,O,X,X,X,X
TZJILOS,O,O,X,X,X,X,X,O,X,X,X,X
TZJISLO,O,O,O,X,X,X,X,O,X,X,O,X
TZJISOL,O,O,O,X,X,X,X,X,X,X,O,X
TZJIOLS,O,O,X,X,X,X,X,X,X,X,X,X
TZJIOSL,O,O,O,X,X,X,X,X,X,X,O,X
TZJLISO,O,O,X,X,X,X,X,X,X,X,X,X
TZJLIOS,O,O,X,X,X,X,X,X,X,X,X,X
TZJLSIO,O,O,O,X,X,X,X,X,X,X,X,X
TZJLSOI,O,O,O,X,X,X,X,X,X,X,X,X
TZJLOIS,O,O,X,X,X,X,X,X,X,X,X,X
TZJLOSI,O,O,X,X,X,X,X,X,X,X,X,X
TZJSILO,O,O,O,X,X,X,X,O,X,X,O,X
TZJSIOL,O,O,O,X,X,X,X,X,X,X,O,X
TZJSLIO,O,O,O,X,X,O,X,X,X,X,O,X
TZJSLOI,O,O,O,X,X,O,X,X,X,X,O,X
TZJSOIL,O,O,X,X,X,X,X,X,X,X,O,X
TZJSOLI,O,O,O,X,X,X,X,X,X,X,O,X
TZJOILS,O,O,X,X,X,X,X,X,X,X,X,X
TZJOISL,O,O,X,X,X,X,X,X,X,X,O,X
TZJOLIS,O,O,X,X,X,X,X,X,X,X,X,X
TZJOLSI,O,O,X,X,X,X,X,X,X,X,X,X
TZJOSIL,O,O,X,X,X,X,X,X,X,X,O,X
TZJOSLI,O,O,O,X,X,X,X,X,X,X,O,X
TZSILJO,X,O,O,X,O,O,X,O,X,X,O,X
TZSILOJ,X,O,O,X,O,O,X,O,X,X,O,X
TZSIJLO,X,O,O,X,O,O,X,O,X,X,O,X
TZSIJOL,X,O,O,X,O,X,X,X,X,X,O,X
TZSIOLJ,X,O,O,X,O,O,X,X,X,X,O,X
TZSIOJL,X,O,O,X,X,O,X,X,X,X,X,X
TZSLIJO,X,O,O,X,O,O,X,X,O,X,O,X
TZSLIOJ,X,O,O,X,O,O,X,X,O,X,O,X
TZSLJIO,O,O,O,X,X,O,X,X,O,X,O,X
TZSLJOI,O,O,O,X,O,O,X,X,O,X,O,X
TZSLOIJ,X,O,O,X,O,X,X,X,O,X,O,X
TZSLOJI,O,O,O,X,O,X,X,X,O,X,X,X
TZSJILO,O,O,O,X,X,X,X,O,X,X,O,X
TZSJIOL,O,O,O,X,X,X,X,X,X,X,O,X
TZSJLIO,O,O,O,X,X,O,X,X,X,X,O,X
TZSJLOI,O,O,O,X,O,O,X,X,X,X,O,X
TZSJOIL,O,O,X,X,X,X,X,X,X,X,O,X
TZSJOLI,O,O,O,X,X,X,X,X,X,X,O,X
TZSOILJ,X,O,O,X,X,X,X,X,X,X,O,X
TZSOIJL,X,O,O,X,X,X,X,X,X,X,X,X
TZSOLIJ,X,O,O,X,O,X,X,X,X,X,O,X
TZSOLJI,O,O,O,X,O,X,X,X,X,X,X,X
TZSOJIL,O,O,X,X,X,X,X,X,X,X,X,X
TZSOJLI,O,O,O,X,X,X,X,X,X,X,X,X
TZOILJS,X,O,X,X,X,X,X,X,X,X,X,X
TZOILSJ,X,O,X,X,X,X,X,X,X,X,X,X
TZOIJLS,O,O,X,X,X,X,X,X,X,X,X,X
TZOIJSL,O,O,O,X,X,X,X,X,X,X,X,X
TZOISLJ,O,O,O,X,X,X,X,X,X,X,O,X
TZOISJL,O,O,O,X,X,X,X,X,X,X,X,X
TZOLIJS,X,O,X,X,X,X,X,X,X,X,X,X
TZOLISJ,X,O,X,X,X,X,X,X,X,X,X,X
TZOLJIS,X,O,X,X,X,X,X,X,X,X,X,X
TZOLJSI,X,O,X,X,X,X,X,X,X,X,X,X
TZOLSIJ,X,O,X,X,X,X,X,X,X,X,X,X
TZOLSJI,X,O,X,X,X,X,X,X,X,X,X,X
TZOJILS,O,O,X,X,X,X,X,X,X,X,X,X
TZOJISL,O,O,X,X,X,X,X,X,X,X,X,X
TZOJLIS,O,O,X,X,X,X,X,X,X,X,X,X
TZOJLSI,O,O,X,X,X,X,X,X,X,X,X,X
TZOJSIL,O,O,X,X,X,X,X,X,X,X,X,X
TZOJSLI,O,O,O,X,X,X,X,X,X,X,X,X
TZOSILJ,X,O,O,X,X,X,X,X,X,X,O,X
TZOSIJL,X,O,O,X,X,X,X,X,X,X,X,X
TZOSLIJ,X,O,O,X,X,X,X,X,X,X,O,X
TZOSLJI,O,O,O,X,X,X,X,X,X,X,X,X
TZOSJIL,O,O,X,X,X,X,X,X,X,X,X,X
TZOSJLI,O,O,O,X,X,X,X,X,X,X,X,X
TOILJSZ,O,O,X,O,X,O,X,O,X,X,X,X
TOILJZS,O,O,X,O,X,X,X,O,X,X,X,X
TOILSJZ,O,O,X,O,X,O,X,O,X,X,O,X
TOILSZJ,O,O,X,O,X,O,X,O,X,X,O,X
TOILZJS,X,O,X,O,X,X,X,O,X,X,X,X
TOILZSJ,X,O,X,O,X,X,X,O,X,X,X,X
TOIJLSZ,O,O,X,O,X,O,X,O,X,X,O,X
TOIJLZS,O,O,X,O,X,X,X,O,X,X,X,X
TOIJSLZ,O,O,X,O,X,O,X,O,X,X,O,X
TOIJSZL,O,O,X,O,X,O,X,X,X,X,O,X
TOIJZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,O,X,O,X,X,X,X,O,X
TOISLJZ,O,O,O,O,X,O,X,O,X,X,O,X
TOISLZJ,O,O,O,O,X,O,X,O,X,X,O,X
TOISJLZ,O,O,X,O,X,O,X,O,X,X,O,X
TOISJZL,O,O,X,O,X,O,X,X,X,X,O,X
TOISZLJ,O,O,O,X,X,O,X,X,X,X,O,X
TOISZJL,O,O,O,O,X,O,X,X,X,X,X,X
TOIZLJS,X,O,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,X,X,X,X,X,X,X,X,X,X
TOIZJLS,O,O,X,X,X,X,X,X,X,X,X,X
TOIZJSL,O,O,O,X,X,O,X,X,X,X,X,X
TOIZSLJ,O,O,O,X,X,O,X,X,X,X,O,X
TOIZSJL,O,O,O,X,X,O,X,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,X,X,X,X,O,X,X
TOLIJZS,O,O,X,O,X,X,O,X,X,O,X,X
TOLISJZ,O,O,X,O,X,X,X,X,O,X,O,X
TOLISZJ,O,O,X,O,X,X,O,X,O,X,O,X
TOLIZJS,X,O,X,O,X,X,O,X,X,O,X,X
TOLIZSJ,X,O,X,O,X,X,O,X,X,O,X,X
TOLJISZ,O,O,X,O,X,X,X,X,X,O,X,X
TOLJIZS,O,O,X,O,X,X,O,X,X,O,X,X
TOLJSIZ,O,O,X,O,X,O,X,X,O,O,X,X
TOLJSZI,O,O,X,X,X,O,X,X,O,O,X,X
TOLJZIS,O,O,X,X,X,X,O,X,X,O,X,X
TOLJZSI,O,O,X,X,X,X,O,X,X,O,X,X
TOLSIJZ,O,O,X,O,X,O,X,X,O,X,O,X
TOLSIZJ,X,O,X,O,X,X,O,X,O,X,O,X
TOLSJIZ,O,O,X,O,X,O,X,X,O,O,O,X
TOLSJZI,O,O,X,X,X,O,X,X,O,O,X,X
TOLSZIJ,X,O,X,O,X,X,O,X,O,O,O,X
TOLSZJI,O,O,X,X,X,O,O,X,O,O,X,X
TOLZIJS,X,O,X,O,X,X,O,X,X,O,X,X
TOLZISJ,X,O,X,O,X,X,O,X,X,O,X,X
TOLZJIS,X,O,X,X,X,X,O,X,X,O,X,X
TOLZJSI,X,O,X,X,X,X,O,X,X,O,X,X
TOLZSIJ,X,O,X,O,X,X,O,X,O,O,X,X
TOLZSJI,X,O,X,X,X,X,O,X,O,O,X,X
TOJILSZ,O,O,X,O,X,X,X,O,X,X,O,X
TOJILZS,O,O,X,O,X,X,X,O,X,X,X,X
TOJISLZ,O,O,X,O,X,O,X,O,X,X,O,X
TOJISZL,O,O,X,O,X,X,X,X,X,X,O,X
TOJIZLS,O,O,X,O,X,X,X,X,X,X,X,X
TOJIZSL,O,O,X,O,X,X,X,X,X,X,O,X
TOJLISZ,O,O,X,X,X,X,X,X,X,X,O,X
TOJLIZS,O,O,X,X,X,X,O,X,X,X,X,X
TOJLSIZ,O,O,X,O,X,O,X,X,X,X,O,X
TOJLSZI,O,O,X,O,X,O,X,X,X,X,O,X
TOJLZIS,O,O,X,O,X,X,O,X,X,X,X,X
TOJLZSI,O,O,X,O,X,X,O,X,X,X,X,X
TOJSILZ,O,O,X,O,X,O,X,O,X,X,O,X
TOJSIZL,O,O,X,O,X,O,X,X,X,X,O,X
TOJSLIZ,O,O,X,O,X,O,X,X,X,X,O,X
TOJSLZI,O,O,X,O,X,O,X,X,X,X,O,X
TOJSZIL,O,O,X,O,X,O,X,X,X,X,O,X
TOJSZLI,O,O,X,O,X,O,X,X,X,X,O,X
TOJZILS,O,O,X,O,X,X,X,X,X,X,X,X
TOJZISL,O,O,X,O,X,X,X,X,X,X,O,X
TOJZLIS,O,O,X,O,X,X,X,X,X,X,X,X
TOJZLSI,O,O,X,O,X,X,X,X,X,X,X,X
TOJZSIL,O,O,X,O,X,X,X,X,X,X,O,X
TOJZSLI,O,O,X,O,X,O,X,X,X,X,O,X
TOSILJZ,O,O,O,O,X,O,X,O,X,X,O,X
TOSILZJ,O,O,O,O,X,O,X,O,X,X,O,X
TOSIJLZ,O,O,X,O,X,O,X,O,X,X,O,X
TOSIJZL,O,O,X,O,X,O,X,X,X,X,O,X
TOSIZLJ,O,O,O,X,X,O,X,X,X,X,O,X
TOSIZJL,O,O,O,O,X,O,X,X,X,X,X,X
TOSLIJZ,O,O,O,O,X,O,X,X,O,X,O,X
TOSLIZJ,X,O,O,O,X,O,X,X,O,X,O,X
TOSLJIZ,O,O,O,O,X,O,X,X,O,X,O,X
TOSLJZI,O,O,O,O,X,O,X,X,O,X,O,X
TOSLZIJ,X,O,O,O,X,X,X,X,O,X,O,X
TOSLZJI,O,O,O,X,X,O,X,X,O,X,X,X
TOSJILZ,O,O,X,O,X,O,X,O,X,X,O,X
TOSJIZL,O,O,X,O,X,O,X,X,X,X,O,X
TOSJLIZ,O,O,X,O,X,O,X,X,X,X,O,X
TOSJLZI,O,O,X,O,X,O,X,X,X,X,O,X
TOSJZIL,O,O,X,O,X,O,X,X,X,X,O,X
TOSJZLI,O,O,X,O,X,O,X,X,X,X,O,X
TOSZILJ,X,O,O,X,X,O,X,X,X,X,O,X
TOSZIJL,X,O,O,X,X,O,X,X,X,X,X,X
TOSZLIJ,X,O,O,X,X,O,X,X,X,X,O,X
TOSZLJI,O,O,O,X,X,O,X,X,X,X,X,X
TOSZJIL,O,O,X,O,X,O,X,X,X,X,X,X
TOSZJLI,O,O,O,O,X,O,X,X,X,X,X,X
TOZILJS,X,O,X,X,X,X,X,X,X,X,X,X
TOZILSJ,X,O,X,X,X,X,X,X,X,X,X,X
TOZIJLS,O,O,X,X,X,X,X,X,X,X,X,X
TOZIJSL,O,O,O,X,X,X,X,X,X,X,X,X
TOZISLJ,O,O,O,X,X,X,X,X,X,X,O,X
TOZISJL,O,O,O,X,X,X,X,X,X,X,X,X
TOZLIJS,X,O,X,X,X,X,X,X,X,X,X,X
TOZLISJ,X,O,X,X,X,X,X,X,X,X,X,X
TOZLJIS,X,O,X,X,X,X,X,X,X,X,X,X
TOZLJSI,X,O,X,X,X,X,X,X,X,X,X,X
TOZLSIJ,X,O,X,X,X,X,X,X,X,X,X,X
TOZLSJI,X,O,X,X,X,X,X,X,X,X,X,X
TOZJILS,O,O,X,X,X,X,X,X,X,X,X,X
TOZJISL,O,O,X,X,X,X,X,X,X,X,X,X
TOZJLIS,O,O,X,X,X,X,X,X,X,X,X,X
TOZJLSI,O,O,X,X,X,X,X,X,X,X,X,X
TOZJSIL,O,O,X,X,X,X,X,X,X,X,X,X
TOZJSLI,O,O,O,X,X,O,X,X,X,X,X,X
TOZSILJ,X,O,O,X,X,X,X,X,X,X,O,X
TOZSIJL,X,O,O,X,X,X,X,X,X,X,X,X
TOZSLIJ,X,O,O,X,X,X,X,X,X,X,O,X
TOZSLJI,O,O,O,X,X,O,X,X,X,X,X,X
TOZSJIL,O,O,X,X,X,X,X,X,X,X,X,X
TOZSJLI,O,O,O,X,X,O,X,X,X,X,X,X
ITLJSZO,O,O,X,X,X,O,X,O,X,X,O,X
ITLJSOZ,O,X,X,X,X,O,X,O,X,X,O,X
ITLJZSO,O,O,X,X,X,X,X,O,X,X,X,X
ITLJZOS,O,O,X,X,X,X,X,O,X,X,X,X
ITLJOSZ,O,X,X,X,X,X,X,O,X,X,O,X
ITLJOZS,O,O,X,X,X,X,X,O,X,X,X,X
ITLSJZO,O,X,O,X,X,O,X,O,O,X,O,X
ITLSJOZ,O,X,O,X,X,O,X,O,O,X,O,X
ITLSZJO,O,X,O,X,X,O,X,O,O,X,O,X
ITLSZOJ,O,X,O,X,X,O,X,O,O,X,O,X
ITLSOJZ,O,X,O,X,X,O,X,O,O,X,O,X
ITLSOZJ,O,X,O,X,X,O,X,O,O,X,O,X
ITLZJSO,X,O,O,X,X,X,X,O,X,X,X,X
ITLZJOS,X,X,X,X,X,X,X,O,X,X,X,X
ITLZSJO,X,O,O,X,X,X,X,O,X,X,X,X
ITLZSOJ,X,O,O,X,X,X,X,O,X,X,X,X
ITLZOJS,X,O,X,X,X,X,X,O,X,X,X,X
ITLZOSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITLOJSZ,O,O,X,X,X,O,X,O,X,X,X,X
ITLOJZS,O,O,X,X,X,X,X,O,X,X,X,X
ITLOSJZ,O,O,X,X,X,O,X,O,O,X,O,X
ITLOSZJ,O,O,X,X,X,O,X,O,O,X,O,X
ITLOZJS,X,O,X,X,X,X,X,O,X,X,X,X
ITLOZSJ,X,O,X,X,X,X,X,O,X,X,X,X
ITJLSZO,O,O,X,X,X,O,X,O,X,X,O,X
ITJLSOZ,O,X,X,X,X,O,X,O,X,X,O,X
ITJLZSO,O,O,X,X,X,X,X,O,X,X,X,X
ITJLZOS,O,O,X,X,X,X,X,O,X,X,X,X
ITJLOSZ,O,X,X,X,X,X,X,O,X,X,O,X
ITJLOZS,O,O,X,X,X,X,X,O,X,X,X,X
ITJSLZO,O,O,O,X,X,O,X,O,X,X,O,X
ITJSLOZ,O,X,O,X,X,O,X,O,X,X,O,X
ITJSZLO,O,O,O,X,X,O,X,O,X,X,O,X
ITJSZOL,O,O,O,X,X,X,X,X,X,X,O,X
ITJSOLZ,O,X,X,X,X,O,X,O,X,X,O,X
ITJSOZL,O,X,X,X,X,O,X,X,X,X,O,X
ITJZLSO,O,O,O,X,X,X,X,O,X,X,X,X
ITJZLOS,O,O,X,X,X,X,X,O,X,X,X,X
ITJZSLO,O,O,O,X,X,O,X,O,X,X,O,X
ITJZSOL,O,O,O,X,X,X,X,X,X,X,O,X
ITJZOLS,O,O,X,X,X,X,X,X,X,X,X,X
ITJZOSL,O,O,O,X,X,X,X,X,X,X,O,X
ITJOLSZ,O,X,X,X,X,O,X,O,X,X,O,X
ITJOLZS,O,O,X,X,X,X,X,O,X,X,X,X
ITJOSLZ,O,X,X,X,X,O,X,O,X,X,O,X
ITJOSZL,O,X,X,X,X,O,X,X,X,X,O,X
ITJOZLS,O,O,X,X,X,X,X,X,X,X,X,X
ITJOZSL,O,O,X,X,X,O,X,X,X,X,O,X
ITSLJZO,O,X,O,X,X,O,X,O,O,X,O,X
ITSLJOZ,O,X,O,X,X,O,X,O,O,X,O,X
ITSLZJO,O,X,O,X,X,O,X,O,O,X,O,X
ITSLZOJ,O,X,O,X,X,O,X,O,O,X,O,X
ITSLOJZ,O,X,O,X,X,O,X,O,O,X,O,X
ITSLOZJ,O,X,O,X,X,O,X,O,O,X,O,X
ITSJLZO,O,X,O,X,X,O,X,O,X,X,O,X
ITSJLOZ,O,X,O,X,X,O,X,O,X,X,O,X
