sequence,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhF0cB6iB3gBT?mB2sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFGcBTdBylB3?mB1sBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeF7IvhFxcB3gBqnBm?mBTrBUsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFFcBXdBqnBm?lBzmBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFSiBTgB/mBU?iB2wBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFWiBigBFmB0?nB3rBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFzbBWiBFmBX?nB0nBxwB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFWiBZmB3gBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFzcB+iBZmB3?gBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeR7IvhFTgBcnBOrBl?mB3sBCsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxcBGhBTiB0?rBlsBfrB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je37IvhFWiBZmBUgBT?iBqrBlsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8Je/BJvhF0gBZnBqnBF?gBTrBGsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeaAJvhFxhB0rBlsBf?rBGrBTsB,v115@zgA8GeD8FeD8FeF8EeE8DeB8JeU7IvhFmhBqnBxlBF?mB3rBTsB
TILJSZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TILJSOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TILJZSO,O,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TILJZOS,O,O,X,O,X,X,O,O,O,X,X,X,X,X,X
TILJOSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TILJOZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TILSJZO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TILSJOZ,O,O,O,O,X,O,O,X,O,X,X,O,X,X,X
TILSZJO,O,O,X,O,X,O,O,O,O,X,X,O,X,X,X
TILSZOJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TILSOJZ,O,O,O,X,X,O,O,X,X,X,X,O,X,X,X
TILSOZJ,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TILZJSO,X,O,X,O,X,O,X,O,O,X,X,O,X,X,O
TILZJOS,X,O,X,O,X,X,O,O,O,X,O,X,X,X,X
TILZSJO,X,O,X,O,X,O,O,O,O,X,X,O,X,O,X
TILZSOJ,X,O,O,O,X,O,O,X,X,X,X,X,X,O,X
TILZOJS,X,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TILZOSJ,X,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TILOJSZ,O,O,O,O,O,O,O,X,O,X,X,O,X,X,X
TILOJZS,O,O,O,O,X,X,O,O,O,X,X,X,X,X,X
TILOSJZ,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
TILOSZJ,X,O,O,O,X,X,O,X,X,X,X,X,X,X,X
TILOZJS,O,O,O,O,X,X,O,O,O,X,O,X,X,X,X
TILOZSJ,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJLSZO,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,O,O,X,O,X,X,X,X,X,X
TIJLZSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TIJLOZS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,O,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJSZLO,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZOL,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJSOLZ,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJSOZL,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TIJZLSO,O,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TIJZLOS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJZSLO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJZOLS,O,O,X,O,X,X,O,X,O,X,X,X,X,X,X
TIJZOSL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X
