sequence,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFXcB8hBCeB2?lBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFOhB8hBfjB6?jBTgBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhFicBGeBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBzdB+jBi?gBXhBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF8hBWjBigBX?hBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jex6IvhF2hBSjBTgB3?hBUjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdBUhBxiB3?gBTjBFtB,v115@9gB8HeB8DeB8BeG8CeH8AeA8Jem6IvhFCdB3gBxiBU?hBTjBFtB
TILJSZO,O,X,X,O,O,X,O,O
TILJSOZ,X,X,X,O,X,X,X,O
TILJZSO,O,X,X,O,O,X,O,O
TILJZOS,O,X,X,O,O,X,O,X
TILJOSZ,O,X,X,O,X,O,X,O
TILJOZS,O,X,X,O,O,O,O,X
TILSJZO,O,O,O,O,O,X,O,O
TILSJOZ,X,O,X,O,X,X,X,O
TILSZJO,O,O,O,O,O,X,O,O
TILSZOJ,O,O,O,X,X,X,X,X
TILSOJZ,X,O,X,X,X,O,X,O
TILSOZJ,X,O,O,X,X,X,X,X
TILZJSO,O,O,O,O,O,X,O,O
TILZJOS,O,X,O,O,O,X,O,X
TILZSJO,O,O,O,O,O,X,O,O
TILZSOJ,O,O,O,X,X,X,X,X
TILZOJS,O,X,O,O,O,O,O,X
TILZOSJ,O,X,O,X,X,X,X,X
TILOJSZ,O,X,X,O,X,O,X,O
TILOJZS,O,X,X,O,O,O,O,X
TILOSJZ,O,O,O,X,X,O,X,O
TILOSZJ,O,O,O,X,X,X,X,X
TILOZJS,O,O,O,O,O,O,O,X
TILOZSJ,O,O,O,X,X,X,X,X
TIJLSZO,O,X,X,O,O,X,O,O
TIJLSOZ,X,X,X,O,X,X,X,O
TIJLZSO,O,X,X,O,O,X,O,O
TIJLZOS,O,X,X,O,O,X,O,X
TIJLOSZ,O,X,X,O,X,O,X,O
TIJLOZS,O,X,X,O,O,O,O,X
TIJSLZO,O,O,O,O,O,X,O,O
TIJSLOZ,X,O,X,O,X,X,X,O
TIJSZLO,O,O,O,O,O,X,O,O
TIJSZOL,O,O,O,O,X,X,X,X
TIJSOLZ,O,O,X,O,X,X,X,O
TIJSOZL,O,O,X,O,X,X,X,X
TIJZLSO,O,O,O,O,O,X,O,O
TIJZLOS,O,X,O,O,O,X,O,X
TIJZSLO,O,O,O,O,O,X,O,O
TIJZSOL,O,O,O,O,X,X,X,X
TIJZOLS,O,X,O,O,O,X,O,X
TIJZOSL,O,O,O,O,X,X,X,X
TIJOLSZ,O,X,X,O,X,O,X,O
TIJOLZS,O,X,X,O,O,O,O,X
TIJOSLZ,O,O,O,O,X,O,X,O
TIJOSZL,O,O,O,O,X,X,X,X
TIJOZLS,O,O,O,O,O,O,O,X
TIJOZSL,O,O,O,O,X,X,X,X
TISLJZO,O,O,O,O,O,X,O,O
TISLJOZ,X,O,X,O,X,X,X,O
TISLZJO,O,O,O,O,O,X,O,O
TISLZOJ,O,O,O,X,X,X,X,X
TISLOJZ,X,O,O,X,X,O,X,O
TISLOZJ,X,O,O,X,X,X,X,X
TISJLZO,O,O,O,O,O,X,O,O
TISJLOZ,X,O,X,O,X,X,X,O
TISJZLO,O,O,O,O,O,X,O,O
TISJZOL,O,O,O,O,X,X,X,X
TISJOLZ,O,O,X,O,X,X,X,O
TISJOZL,O,O,X,O,X,X,X,X
TISZLJO,O,O,O,O,O,X,O,O
TISZLOJ,O,O,O,X,X,X,X,X
TISZJLO,O,O,O,O,O,X,O,O
TISZJOL,O,O,O,O,X,X,X,X
TISZOLJ,O,O,O,X,X,X,X,X
TISZOJL,O,O,O,X,X,X,X,X
TISOLJZ,O,O,O,X,X,O,X,O
TISOLZJ,O,O,O,X,X,X,X,X
TISOJLZ,O,O,O,X,X,O,X,O
TISOJZL,O,O,O,X,X,X,X,X
TISOZLJ,O,O,O,X,X,X,X,X
TISOZJL,O,O,O,X,X,X,X,X
TIZLJSO,O,O,O,O,O,X,O,O
TIZLJOS,O,X,O,O,O,X,O,X
TIZLSJO,O,O,O,O,O,X,O,O
TIZLSOJ,O,O,O,X,X,X,X,X
TIZLOJS,O,X,O,O,O,O,O,X
TIZLOSJ,O,X,O,X,X,X,X,X
TIZJLSO,O,O,O,O,O,X,O,O
TIZJLOS,O,X,O,O,O,X,O,X
TIZJSLO,O,O,O,O,O,X,O,O
TIZJSOL,O,O,O,O,X,X,X,X
TIZJOLS,O,O,O,O,O,X,O,X
TIZJOSL,O,O,O,O,X,X,X,X
TIZSLJO,O,O,O,O,O,X,O,O
TIZSLOJ,O,O,O,X,X,X,X,X
TIZSJLO,O,O,O,O,O,X,O,O
TIZSJOL,O,O,O,O,X,X,X,X
TIZSOLJ,O,O,O,X,X,X,X,X
TIZSOJL,O,O,O,X,X,X,X,X
TIZOLJS,O,O,O,O,O,O,O,X
TIZOLSJ,O,O,O,X,X,X,X,X
TIZOJLS,O,O,O,O,O,O,O,X
TIZOJSL,O,O,O,O,X,X,X,X
TIZOSLJ,O,O,O,X,X,X,X,X
TIZOSJL,O,O,O,X,X,X,X,X
TIOLJSZ,O,X,X,O,X,O,X,O
TIOLJZS,O,X,X,O,O,O,O,X
TIOLSJZ,O,O,O,X,X,O,X,O
TIOLSZJ,O,O,O,X,X,X,X,X
TIOLZJS,O,O,O,O,O,O,O,X
TIOLZSJ,O,O,O,X,X,X,X,X
TIOJLSZ,O,X,X,O,X,O,X,O
TIOJLZS,O,X,X,O,O,O,O,X
TIOJSLZ,O,O,O,O,X,O,X,O
TIOJSZL,O,O,O,O,X,X,X,X
TIOJZLS,O,O,O,O,O,O,O,X
TIOJZSL,O,O,O,O,X,X,X,X
TIOSLJZ,O,O,O,X,X,O,X,O
TIOSLZJ,O,O,O,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,O,X,O
TIOSJZL,O,O,O,X,X,X,X,X
TIOSZLJ,O,O,O,X,X,X,X,X
TIOSZJL,O,O,O,X,X,X,X,X
TIOZLJS,O,O,O,O,O,O,O,X
TIOZLSJ,O,O,O,X,X,X,X,X
TIOZJLS,O,O,O,O,O,O,O,X
TIOZJSL,O,O,O,O,X,X,X,X
TIOZSLJ,O,O,O,X,X,X,X,X
TIOZSJL,O,O,O,X,X,X,X,X
TLIJSZO,O,X,X,O,O,X,O,O
TLIJSOZ,X,X,X,O,X,X,X,O
TLIJZSO,O,X,X,O,O,X,O,O
TLIJZOS,O,X,X,O,O,X,O,X
TLIJOSZ,O,X,X,O,X,O,X,O
TLIJOZS,O,X,X,O,O,O,O,X
TLISJZO,O,O,O,O,O,X,O,O
