sequence,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex9IvhFUgBFhB?XiBTjB6rBmqB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBUgB?FiBTjByqB+rB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jex8IvhF6jBFgB?0hBmiB3lBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeeCJvhFfjB6jB?UgBFhBxqBTrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeX8IvhFxdBalB?FiBTjBGmBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8JeT8IvhFeiBfjB?6jBFgBxqBUrB,v115@zgD8FeA8IeB8EeA8BeB8DeH8BeD8Jem8IvhFCeBUgB?FhBTjBxqB3rB
TILJSZO,O,X,O,O,X,X,O,X
TILJSOZ,O,X,O,O,X,O,O,X
TILJZSO,O,X,O,O,X,O,O,X
TILJZOS,X,X,X,O,X,X,O,X
TILJOSZ,X,X,O,O,X,X,O,X
TILJOZS,X,X,X,O,X,X,X,X
TILSJZO,O,X,O,O,X,X,O,O
TILSJOZ,O,X,O,O,X,O,O,O
TILSZJO,O,X,X,O,X,O,O,O
TILSZOJ,O,X,O,O,X,O,O,O
TILSOJZ,O,X,O,X,X,O,O,O
TILSOZJ,O,X,O,X,X,O,O,X
TILZJSO,X,X,X,O,X,O,O,O
TILZJOS,X,X,X,O,X,X,O,O
TILZSJO,O,X,X,O,X,O,O,O
TILZSOJ,O,X,O,X,X,O,O,O
TILZOJS,X,X,X,O,X,O,O,O
TILZOSJ,X,X,X,X,X,O,X,X
TILOJSZ,O,X,X,O,X,O,X,X
TILOJZS,X,X,X,O,X,O,X,X
TILOSJZ,O,X,X,X,X,O,X,X
TILOSZJ,O,X,X,X,X,O,X,X
TILOZJS,X,X,X,O,X,O,X,X
TILOZSJ,O,X,X,O,X,O,X,X
TIJLSZO,O,X,O,O,X,X,O,X
TIJLSOZ,O,X,O,O,X,O,O,X
TIJLZSO,O,X,O,O,X,O,O,X
TIJLZOS,X,X,X,O,X,X,O,X
TIJLOSZ,X,X,O,O,X,X,O,X
TIJLOZS,X,X,O,O,X,X,X,X
TIJSLZO,O,X,O,O,O,X,O,X
TIJSLOZ,O,X,O,O,X,O,O,X
TIJSZLO,O,X,O,O,O,X,O,X
TIJSZOL,O,X,O,O,O,X,O,X
TIJSOLZ,O,X,O,O,X,O,O,X
TIJSOZL,O,X,O,X,X,X,O,X
TIJZLSO,O,X,O,O,O,O,O,X
TIJZLOS,X,X,X,O,X,X,O,X
TIJZSLO,O,X,O,O,O,O,O,X
TIJZSOL,O,X,O,X,O,O,O,X
TIJZOLS,O,X,X,O,X,X,O,X
TIJZOSL,O,X,X,X,O,O,O,X
TIJOLSZ,O,X,O,O,X,X,O,X
TIJOLZS,O,X,O,O,X,X,X,X
TIJOSLZ,O,X,O,O,X,X,O,X
TIJOSZL,O,X,O,X,X,X,O,X
TIJOZLS,O,X,O,O,X,X,O,X
TIJOZSL,O,X,O,O,X,X,O,X
TISLJZO,O,X,O,O,O,X,O,O
TISLJOZ,O,X,O,O,X,O,O,O
TISLZJO,O,X,X,O,O,O,O,O
TISLZOJ,O,X,O,O,X,O,O,O
TISLOJZ,O,X,O,X,X,O,O,O
TISLOZJ,O,X,O,X,X,O,O,O
TISJLZO,O,X,O,O,O,X,O,O
TISJLOZ,O,X,O,O,X,O,O,O
TISJZLO,O,X,O,O,O,X,O,O
TISJZOL,O,X,O,O,O,X,O,O
TISJOLZ,O,X,O,O,X,O,O,O
TISJOZL,O,X,O,X,X,X,O,O
TISZLJO,O,X,X,O,O,O,O,O
TISZLOJ,O,X,O,O,X,O,O,O
TISZJLO,O,X,O,O,O,O,O,O
TISZJOL,O,X,O,O,O,O,O,O
TISZOLJ,O,X,O,O,X,O,O,O
TISZOJL,O,X,O,O,X,O,O,O
TISOLJZ,O,X,O,X,X,O,O,O
TISOLZJ,O,X,O,X,X,O,O,O
TISOJLZ,O,X,O,X,X,O,O,O
TISOJZL,O,X,O,X,X,X,O,O
TISOZLJ,O,X,O,X,X,O,O,O
TISOZJL,O,X,O,X,X,X,O,O
TIZLJSO,X,X,X,O,O,O,O,O
TIZLJOS,X,X,X,O,X,X,O,O
TIZLSJO,O,X,X,O,X,O,O,O
TIZLSOJ,O,X,O,X,X,O,O,O
TIZLOJS,X,X,X,O,X,X,O,O
TIZLOSJ,X,X,X,X,X,O,X,O
TIZJLSO,O,X,O,O,O,O,O,O
TIZJLOS,X,X,X,O,X,X,O,O
TIZJSLO,O,X,O,O,O,O,O,O
TIZJSOL,O,X,O,X,O,O,O,O
TIZJOLS,X,X,X,O,X,O,O,O
TIZJOSL,O,X,X,X,O,O,O,O
TIZSLJO,O,X,X,O,O,O,O,O
TIZSLOJ,O,X,O,X,X,O,O,O
TIZSJLO,O,X,O,O,O,O,O,O
TIZSJOL,O,X,O,X,O,O,O,O
TIZSOLJ,O,X,O,X,X,O,O,O
TIZSOJL,O,X,O,X,X,O,O,O
TIZOLJS,X,X,X,O,X,O,O,O
TIZOLSJ,O,X,O,X,X,O,X,O
TIZOJLS,X,X,X,O,X,O,O,O
TIZOJSL,O,X,O,X,O,O,O,O
TIZOSLJ,O,X,O,X,X,O,O,O
TIZOSJL,O,X,O,X,X,O,O,O
TIOLJSZ,O,X,O,O,X,O,X,X
TIOLJZS,O,X,O,O,X,O,X,X
TIOLSJZ,O,X,O,X,X,O,X,O
TIOLSZJ,O,X,O,X,X,O,X,O
TIOLZJS,X,X,X,O,X,O,X,O
TIOLZSJ,O,X,O,O,X,O,X,O
TIOJLSZ,O,X,O,O,X,O,O,X
TIOJLZS,O,X,O,O,X,O,X,X
TIOJSLZ,O,X,O,O,X,O,O,X
TIOJSZL,O,X,O,X,X,X,O,X
TIOJZLS,O,X,O,O,X,O,O,X
