sequence,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFzcBGeB?0fBSnB/oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFCdBTeB?0fBXiBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFUdBajB?5jBWnBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhB6oBXjBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8JeT6IvhFqhBmdB?5jB0iBXgBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFGdB0fB?zhBXjB6oBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFqhB/iB?0fBTjBGoBlsB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Jex6IvhFFdBTeB?0fBfnBWoBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFuhBciB?TeBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFGdB6jB?zhBxsB8sBFqB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFUdBWnB?TjBFgBxsBCtB,v115@3gA8GeC8EeA8BeB8EeF8DeG8AeB8Je//IvhFzcBSjB?FgBUjBxsBGsB
TILJSZO,O,O,O,X,X,X,X,O,X,X,X,X
TILJSOZ,O,O,O,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,O,X,O,X,X,X,X,X,X,X
TILJZOS,X,X,O,X,O,X,X,X,X,X,X,X
TILJOSZ,O,O,O,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,O,X,O,X,X,X,X,X,X,X
TILSJZO,O,O,O,X,X,X,X,O,X,X,X,X
TILSJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,X,X,O,X,O,O,O,X,X,X
TILSZOJ,O,X,X,X,O,X,O,X,O,O,X,X
TILSOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TILSOZJ,O,X,X,X,O,X,O,X,O,X,X,X
TILZJSO,O,X,O,X,O,X,O,X,O,X,X,X
TILZJOS,O,X,O,O,O,X,O,X,O,X,X,X
TILZSJO,O,X,X,X,O,X,O,X,O,X,X,X
TILZSOJ,O,X,X,O,O,X,O,X,O,O,X,X
TILZOJS,O,X,O,O,O,X,O,X,O,O,X,X
TILZOSJ,O,X,X,O,O,X,O,X,O,O,X,X
TILOJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,O,O,O,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,X,X,O,X,O,X,O,X,X,X
TILOZJS,O,X,O,O,O,X,O,X,O,X,X,X
TILOZSJ,O,X,X,O,O,X,O,X,O,X,X,X
TIJLSZO,O,O,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,X,X,X,X,X,X,X,X,O
TIJLZSO,X,X,O,X,O,X,X,X,X,X,X,X
TIJLZOS,X,X,O,X,O,X,X,X,X,X,X,X
TIJLOSZ,O,O,O,X,X,X,X,X,X,X,X,O
TIJLOZS,X,X,O,X,O,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,X,X,X,X,X,X,X,X,O
TIJSZLO,O,O,O,X,X,X,X,X,O,X,X,X
TIJSZOL,X,O,O,X,X,X,X,X,X,X,O,X
TIJSOLZ,O,O,O,X,X,X,X,X,X,X,X,O
TIJSOZL,X,O,O,X,X,X,X,X,X,X,O,X
TIJZLSO,X,O,O,X,X,X,X,X,O,X,X,X
TIJZLOS,X,O,O,X,X,X,X,X,O,X,X,X
TIJZSLO,X,O,O,X,X,X,X,X,O,X,X,X
TIJZSOL,X,O,O,X,X,X,X,X,X,X,O,X
TIJZOLS,X,O,O,X,X,X,X,X,X,X,X,X
TIJZOSL,X,O,O,X,X,X,X,X,X,X,O,X
TIJOLSZ,X,O,O,X,X,X,X,X,X,X,X,O
TIJOLZS,X,X,O,X,O,X,X,X,X,X,X,X
TIJOSLZ,X,O,O,X,X,X,X,X,X,X,X,O
TIJOSZL,X,O,O,X,X,X,X,X,X,X,O,X
TIJOZLS,X,O,O,X,X,X,X,X,X,X,X,X
TIJOZSL,X,O,O,X,X,X,X,X,X,X,O,X
TISLJZO,O,O,O,X,X,X,X,O,X,X,X,X
TISLJOZ,O,O,O,X,X,X,X,O,X,X,X,X
TISLZJO,O,O,X,X,O,X,X,O,O,X,X,X
TISLZOJ,O,O,X,X,O,X,X,X,O,O,X,X
TISLOJZ,O,O,O,X,X,X,X,O,X,X,X,X
TISLOZJ,O,X,X,X,O,X,X,X,O,X,X,X
TISJLZO,O,O,O,X,X,X,X,O,X,X,X,X
TISJLOZ,O,O,O,X,X,X,X,O,X,X,X,O
TISJZLO,O,O,O,X,X,X,X,X,O,X,X,X
TISJZOL,O,O,O,X,X,X,X,X,X,X,O,X
TISJOLZ,O,O,O,X,X,X,X,X,X,X,X,O
TISJOZL,X,O,O,X,X,X,X,X,X,X,O,X
TISZLJO,O,O,X,X,X,X,X,O,O,X,X,X
TISZLOJ,O,O,X,X,X,O,X,X,O,O,X,X
TISZJLO,O,O,X,X,X,X,X,X,O,X,X,X
TISZJOL,O,O,X,X,X,O,X,X,X,X,X,X
TISZOLJ,O,O,X,X,X,O,X,X,X,O,X,X
TISZOJL,O,O,X,X,X,O,X,X,X,O,X,X
TISOLJZ,O,O,O,X,X,X,X,O,X,X,X,X
TISOLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,O,X,X,O,X,X,X,X,O,X
TISOZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TISOZJL,X,X,X,X,X,O,X,X,X,O,X,X
TIZLJSO,O,O,O,X,O,X,O,X,O,X,X,X
TIZLJOS,O,O,O,O,O,X,O,X,O,X,X,X
TIZLSJO,O,O,X,X,O,X,O,X,O,X,X,X
TIZLSOJ,O,O,X,O,O,O,O,X,O,O,X,X
TIZLOJS,O,X,O,O,O,O,O,X,O,O,X,X
TIZLOSJ,O,X,X,O,O,O,O,X,O,O,X,X
TIZJLSO,O,O,O,X,X,X,O,X,O,X,X,X
TIZJLOS,O,O,O,O,X,X,O,X,O,X,X,X
TIZJSLO,O,O,O,X,X,X,X,X,O,X,X,X
TIZJSOL,O,O,O,X,X,O,X,X,X,X,X,X
TIZJOLS,X,O,O,O,X,O,O,X,X,X,X,X
TIZJOSL,X,O,O,O,X,O,X,X,X,X,X,X
TIZSLJO,O,O,X,X,X,X,O,X,O,X,X,X
TIZSLOJ,O,O,X,O,X,O,O,X,O,O,X,X
TIZSJLO,O,O,X,X,X,X,X,X,O,X,X,X
TIZSJOL,O,O,X,X,X,O,X,X,X,X,X,X
TIZSOLJ,O,O,X,O,X,O,O,X,X,O,X,X
TIZSOJL,O,O,X,O,X,O,X,X,X,O,X,X
TIZOLJS,O,X,O,O,O,O,O,X,X,O,X,X
TIZOLSJ,O,X,X,O,O,O,O,X,X,O,X,X
TIZOJLS,X,O,O,O,X,O,O,X,X,O,X,X
TIZOJSL,X,O,O,O,X,O,X,X,X,O,X,X
TIZOSLJ,O,O,X,O,X,O,O,X,X,O,X,X
TIZOSJL,O,O,X,O,X,O,X,X,X,O,X,X
TIOLJSZ,O,X,O,X,X,X,X,X,X,X,X,X
TIOLJZS,X,X,O,O,O,X,X,X,X,X,X,X
TIOLSJZ,O,X,O,X,X,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,O,X,O,X,X,X,X,X
TIOLZJS,X,X,O,O,O,X,O,X,X,X,X,X
TIOLZSJ,O,X,X,O,O,X,O,X,X,X,X,X
TIOJLSZ,X,O,O,X,X,X,X,X,X,X,X,X
TIOJLZS,X,X,O,O,O,X,X,X,X,X,X,X
TIOJSLZ,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,O,X,X,O,X,X,X,X,O,X
TIOJZLS,X,X,O,O,X,O,X,X,X,X,X,X
TIOJZSL,X,O,O,O,X,O,X,X,X,X,O,X
TIOSLJZ,O,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,X,X,X,O,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,O,X,X,O,X,X,X,X,O,X
TIOSZLJ,X,X,X,X,X,O,X,X,X,O,X,X
TIOSZJL,X,X,X,X,X,O,X,X,X,O,X,X
TIOZLJS,X,X,O,O,O,O,O,X,X,O,X,X
TIOZLSJ,X,X,X,O,O,O,O,X,X,O,X,X
TIOZJLS,X,X,O,O,X,O,O,X,X,O,X,X
TIOZJSL,X,X,O,O,X,O,X,X,X,O,X,X
TIOZSLJ,X,X,X,O,X,O,O,X,X,O,X,X
TIOZSJL,X,X,X,O,X,O,X,X,X,O,X,X
TLIJSZO,O,O,O,X,X,X,X,O,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,O,X,X,X,X
TLIJZSO,X,X,O,X,O,X,X,X,X,X,X,X
TLIJZOS,X,X,O,X,O,X,X,X,X,X,X,X
