sequence,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB0iBqrB/sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBidB?cjB1mB5nBzrB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFXcBxdB?UiBFjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeT+IvhFxgB0iB?igBlmBXsBGsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?FiB0mBusBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?0mBlnBGsBXsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxdBUhB?FiBXjB6rBTsB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFTeBigB?lmB3nB8rB+sB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Jex7IvhFldBcjB?igB3hBTnBWxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFTeBFhB?RnB6sBXnB0rB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8JeOAJvhFxcBTeB?FhB8mB3nBSxB,v115@zgB8HeB8HeB8AeA8EeF8CeG8CeB8Je5BJvhFcjBmgB?TiBigBXsBlsB
TILJSZO,O,O,O,X,X,X,X,O,X,X,X,X
TILJSOZ,O,X,O,X,X,X,X,X,X,O,X,X
TILJZSO,O,O,O,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,O,X,X,X,X,X,X,O,X,X
TILJOSZ,O,X,O,X,X,X,X,X,X,O,X,X
TILJOZS,O,X,O,X,X,X,X,X,X,O,X,X
TILSJZO,O,O,O,X,X,X,X,O,X,X,X,X
TILSJOZ,O,X,O,X,X,X,X,O,X,X,X,X
TILSZJO,O,O,O,X,X,X,X,O,X,X,X,X
TILSZOJ,O,O,O,X,X,X,X,O,X,X,X,X
TILSOJZ,O,X,O,X,X,X,X,O,X,X,X,X
TILSOZJ,O,X,X,X,X,X,X,O,X,X,X,X
TILZJSO,O,O,O,X,X,O,X,X,X,X,X,X
TILZJOS,O,O,O,X,X,O,X,X,X,X,X,X
TILZSJO,O,O,O,X,X,O,X,O,X,X,X,X
TILZSOJ,O,O,O,X,X,O,X,O,X,X,X,X
TILZOJS,O,O,O,O,X,O,X,X,X,X,X,X
TILZOSJ,X,O,O,O,X,O,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,X,X,X,O,X,X
TILOJZS,O,X,O,X,X,X,X,X,X,O,X,X
TILOSJZ,O,X,O,X,X,X,X,O,X,X,X,X
TILOSZJ,O,X,O,X,X,X,X,O,X,X,X,X
TILOZJS,O,X,O,O,X,O,X,X,X,X,X,X
