sequence,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBCeB?mgBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhF8hBfjB?6jBemBFlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jei7IvhFWiBxdB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeX8IvhFxdBCiB?TjBFlB8qBOqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jex7IvhFyhBGeB?XgBUjBFmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Jem8IvhFSjBxgB?UjBFlBXmBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFRcBCeB?3hBTjB1qBUqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?TjBUlBFmB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je/AJvhFRcBzdB?+jBlhBaqB8qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhFCdBxiB?UhBTjBFlB3qB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeeAJvhFSjBRhB?fmBlhBUjBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8JeSDJvhFVlBRhB?3hBUjBmlBTqB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je1AJvhF8hBzdB?+jBRlBKqBXrB,v115@zgB8HeB8HeA8EeB8BeB8CeG8BeF8Je2AJvhF8hBfjB?6jBRlBFmBTqB
TILJSZO,X,X,X,X,O,X,X,X,O,X,X,O,O,O,X,X
TILJSOZ,X,X,X,X,O,X,X,X,O,X,O,O,O,X,X,X
TILJZSO,X,X,O,X,O,X,O,X,O,O,X,O,O,O,X,X
TILJZOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TILJOSZ,X,X,X,X,O,X,X,X,O,X,O,O,X,X,X,X
TILJOZS,X,X,X,X,O,X,X,X,O,X,X,O,X,X,O,X
TILSJZO,X,X,X,X,X,X,O,O,O,X,X,O,X,O,X,X
TILSJOZ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,X
TILSZJO,X,X,X,X,X,X,O,O,O,O,X,O,X,O,X,X
TILSZOJ,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X
TILSOJZ,X,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TILSOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X
TILZJSO,X,X,O,X,O,X,O,X,O,O,X,O,X,O,X,X
TILZJOS,X,X,O,X,O,X,O,X,O,O,X,O,X,X,O,X
TILZSJO,X,X,O,X,X,X,O,X,O,O,X,X,X,O,X,X
TILZSOJ,X,X,O,X,X,X,O,X,O,X,X,X,X,O,X,X
TILZOJS,X,X,O,X,O,X,O,X,X,O,X,X,X,X,X,X
TILZOSJ,X,X,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TILOJSZ,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TILOJZS,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
TILOSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TILOZJS,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
