sequence,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFOiBXeBclBT?hBSoBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFXdB6jBclB2?mBziBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFidB+jBclBT?hB3iBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFxcBzhBGjBX?jBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jel7IvhFfjB6jBZmBu?rBUnBTqB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFzcBfjB6jBc?lBxmBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jex7IvhFTeBclBihBW?oBXiBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jem7IvhFSiBTeBclB3?hBxnBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Jez8IvhFGeB3gBUjBx?mBilBFrB,v115@zgB8HeC8GeB8HeB8DeH8AeE8Je07IvhFlcBXiBTjBC?jBxqBmqB
TILJSZO,O,O,X,X,O,X,X,X,X,X
TILJSOZ,O,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,X,O,X,O,O,X,X
TILJZOS,O,O,X,O,X,X,O,O,X,X
TILJOSZ,O,X,X,O,O,X,X,X,X,X
TILJOZS,O,X,X,O,X,X,O,O,X,X
TILSJZO,O,X,X,X,O,O,X,X,X,X
TILSJOZ,O,X,X,X,O,O,X,X,X,X
TILSZJO,O,X,X,X,O,O,X,O,O,X
TILSZOJ,O,X,X,X,X,O,X,O,O,X
TILSOJZ,O,X,X,X,O,O,X,X,X,X
TILSOZJ,O,X,X,X,O,O,X,O,O,X
TILZJSO,O,O,X,X,O,O,O,O,O,X
TILZJOS,O,O,X,O,X,O,O,O,O,X
TILZSJO,O,O,X,X,O,O,O,O,O,X
TILZSOJ,O,O,X,O,X,O,X,O,O,X
TILZOJS,O,O,X,O,X,O,O,O,O,X
TILZOSJ,O,O,X,O,X,O,X,O,O,X
TILOJSZ,O,O,X,O,O,X,X,X,X,X
TILOJZS,O,O,X,O,O,X,X,O,X,X
TILOSJZ,O,O,X,O,O,O,X,X,X,X
TILOSZJ,O,O,X,O,O,O,X,O,O,X
TILOZJS,O,O,X,O,O,O,X,O,O,X
TILOZSJ,O,O,X,O,O,O,X,O,O,X
TIJLSZO,O,O,X,X,O,X,X,X,X,X
TIJLSOZ,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,O,X,X,O,X,O,O,X,X
TIJLZOS,O,O,X,O,X,X,O,O,X,X
TIJLOSZ,O,X,X,O,O,X,X,X,X,X
TIJLOZS,O,X,X,O,X,X,O,O,X,X
TIJSLZO,X,O,O,X,O,O,X,X,X,X
TIJSLOZ,X,X,O,X,O,O,X,X,X,X
TIJSZLO,X,O,O,X,O,O,X,X,O,X
TIJSZOL,X,O,O,X,X,O,X,X,O,X
TIJSOLZ,X,O,O,X,O,O,X,X,X,X
TIJSOZL,X,O,O,X,X,O,X,X,O,X
TIJZLSO,O,O,O,X,O,O,O,O,O,X
TIJZLOS,O,O,O,O,X,O,O,O,O,X
TIJZSLO,O,O,O,X,O,O,O,O,O,X
TIJZSOL,X,O,O,X,X,O,O,O,O,X
TIJZOLS,O,O,O,O,X,O,O,O,O,X
TIJZOSL,O,O,O,O,X,O,O,O,O,X
TIJOLSZ,O,O,X,O,O,X,X,X,X,X
TIJOLZS,O,O,X,O,X,X,O,O,X,X
TIJOSLZ,X,O,O,X,O,O,X,X,X,X
TIJOSZL,X,O,O,O,X,O,X,X,O,X
TIJOZLS,O,O,O,O,X,O,O,O,O,X
TIJOZSL,O,O,O,O,X,O,O,O,O,X
TISLJZO,X,X,X,X,O,O,X,X,X,X
TISLJOZ,X,X,X,X,O,O,X,X,X,X
TISLZJO,X,X,X,X,O,O,X,O,O,X
TISLZOJ,X,X,X,X,X,O,X,O,O,O
TISLOJZ,X,X,X,X,O,O,X,X,X,X
TISLOZJ,X,X,X,X,O,O,X,O,O,O
TISJLZO,X,X,X,X,O,O,X,X,X,O
TISJLOZ,X,X,X,X,O,O,X,X,X,O
TISJZLO,X,X,X,X,O,O,X,X,O,O
TISJZOL,X,X,X,X,X,O,X,X,O,O
TISJOLZ,X,X,X,X,O,O,X,X,X,O
TISJOZL,X,X,X,X,X,O,X,X,O,O
