sequence,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFldBTgB?/mBZnB8nByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhFRdB2lB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?xrBOrBTqBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB3gB?FiBTmBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeqBJvhFmdBTgB?ZmB0iBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JecAJvhFmcBzdB?XhBRnByvBFsB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFzcBajB?VmBxrBcsB2vB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?ZmBWnBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFqhBmdB?ZmB0iBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeG8IvhFzdBcrB?3nBZnBiqBlqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFUdBajB?ZmBWnBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFzdB3hB?lnBmrB0qBiqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBxlB?lnBmrBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeF8IvhFzdB+mB?3nBZnBiqB0qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Jez7IvhF2lBRiB?FiB8nBfsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeaDJvhFTgBxhB?UiBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeyBJvhFzdBmlB?RnBFsBcqBXrB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je2FJvhFRhBziB?asBcrBlnB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8Je37IvhFajBxhB?UiBOrBFsBTqB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFejBTgB?/mBFiBcsByvB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeU9IvhFajBTgB?xrBOrBFsB3qB,v115@zgC8FeC8GeC8GeE8DeD8CeA8AeC8JeR8IvhFajB2lB?crBTnB3qBFsB
TILJSZO,X,X,O,X,X,X,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJSOZ,X,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJZSO,X,X,O,X,X,O,O,X,O,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJZOS,X,X,O,X,X,O,O,O,O,X,O,X,O,X,X,X,O,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,O,O,X,X,O,X,O,X,X,X,O,X,O,X,X,X
TILJOZS,X,X,O,X,X,O,O,O,X,X,O,X,O,X,X,X,O,X,X,X,X,X
TILSJZO,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSZOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,O,X,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,O,X,O,X,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TILZSOJ,O,X,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOJS,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TILOJZS,X,X,O,X,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,O,X,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,O,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
