sequence,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBciBTeBWsBFo?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBqiBTeB8mB+t?BlsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFUdBGeB6mB/oBTn?BVyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF8iB+jBlhB/sBCn?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFGdBlhB6oBXnB8s?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBFeBTiBcoBWs?BSyB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFXeBSoBUnBlmBTt?BGsB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFFdBXeB0hBSoBGs?BTtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cB+jBliBzmBCt?BUtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBCtBct?BGtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhFlhBcnBTjBCnBGt?BXtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF3cBliBzmBGtBct?BCtB,v115@0gD8FeC8GeD8FeD8EeG8MeZ/IvhF+jBlhB3iBzmBCt?BUtB
TIZLSJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZLOJS,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZLOSJ,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZJLSO,X,O,X,X,X,X,X,O,X,X,X,X,X
TIZJLOS,X,O,X,X,X,X,X,O,X,X,O,X,X
TIZJSLO,X,O,X,X,O,X,X,O,X,X,X,X,X
TIZJSOL,X,O,X,X,O,X,X,O,X,X,O,X,X
TIZJOLS,X,O,X,X,X,X,X,O,X,X,O,X,X
TIZJOSL,X,O,X,X,X,X,X,O,X,X,O,X,X
TIZSLJO,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSJLO,X,O,O,X,O,X,X,O,X,X,X,X,X
TIZSJOL,X,O,O,X,O,X,X,O,X,X,O,X,X
TIZSOLJ,X,X,O,X,O,X,X,O,X,X,X,X,X
TIZSOJL,X,X,O,O,O,X,X,O,X,X,X,X,X
TIZOLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
TIZOLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
TIZOJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
TIZOJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
TIZOSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
TIZOSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOLJSZ,X,X,O,X,X,X,X,O,X,X,X,X,O
TIOLJZS,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOLSJZ,X,X,O,O,X,X,X,O,X,X,X,X,X
TIOLSZJ,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOLZJS,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOLZSJ,X,X,O,X,X,X,O,O,X,O,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,O,X,X,X,X,X
TIOJLZS,X,X,X,O,X,X,X,O,X,X,X,X,X
TIOJSLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOJSZL,X,X,O,O,O,X,X,X,X,X,X,O,X
TIOJZLS,X,X,X,O,X,X,X,O,X,X,X,O,X
TIOJZSL,X,X,O,O,X,X,X,O,X,X,X,O,X
TIOSLJZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,X,X,X,O,X,X,X
TIOSJLZ,X,X,O,O,X,X,X,X,X,X,X,X,X
TIOSJZL,X,X,O,O,O,X,X,X,X,X,X,O,X
TIOSZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOSZJL,X,X,O,O,O,X,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,O,O,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,O,O,X,X,X,X,X
TIOZJLS,X,X,X,O,X,X,X,O,X,X,O,X,X
TIOZJSL,X,X,O,O,X,X,X,O,X,X,O,X,X
TIOZSLJ,X,X,O,X,X,X,X,O,X,X,X,X,X
TIOZSJL,X,X,O,O,X,X,X,O,X,X,X,X,X
TLIJSZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLIJSOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLIJZSO,O,X,O,X,X,O,X,X,X,X,X,X,O
TLIJZOS,O,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOSZ,O,X,O,X,X,O,X,X,O,X,X,X,O
TLIJOZS,O,X,O,X,X,O,X,X,O,X,X,X,X
TLISJZO,O,X,O,X,O,O,X,X,X,X,X,X,O
TLISJOZ,O,X,O,X,X,O,X,X,X,X,X,X,O
TLISZJO,O,X,O,X,O,O,X,X,X,X,X,X,X
TLISZOJ,O,X,O,X,O,O,X,X,X,X,X,X,X
