sequence,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFqhBmdB?5jB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFUdBajB?5jBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeqBJvhFmdB5jB?zgB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFajB5jB?zgBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeF8IvhFxdB+lB?3hBcnBTjBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeR8IvhF1iB6jB?+lBThB/sBUtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhFTdBejB?5jB0hB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeaBJvhFFdB5jB?+lBfnBznB8sB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhF2iB5jB?0hBziB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeyCJvhF5jBzgB?WnB8sB3qBFsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFChBTjB?xmB3lBGoBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhF+lB0hB?TjBFhBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je08IvhFxdBVmB?CjB/sBTtB+qB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhFFhBTjB?+lB0hBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JezAJvhFRiBUnB?FoB6oB3lBGsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFRiB3lB?UnBFoB6oBGsB
TILOZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJSLZO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJSOLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIJSOZL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJZLSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJZLOS,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIJZSLO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJZSOL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIJZOLS,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIJZOSL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TIJOLSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJOLZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TIJOSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJOZLS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJOZSL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TISLJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TISLOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TISLOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
