sequence,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFqhBmdB?5jB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFUdBajB?5jBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeqBJvhFmdB5jB?zgB0iB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFajB5jB?zgBWnB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeF8IvhFxdB+lB?3hBcnBTjBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeR8IvhF1iB6jB?+lBThB/sBUtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhFTdBejB?5jB0hB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeaBJvhFFdB5jB?+lBfnBznB8sB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeC8IvhF2iB5jB?0hBziB3lBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeyCJvhF5jBzgB?WnB8sB3qBFsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JeU9IvhFChBTjB?xmB3lBGoBlsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhF+lB0hB?TjBFhBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je08IvhFxdBVmB?CjB/sBTtB+qB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Je/CJvhFFhBTjB?+lB0hBxsBCtB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8JezAJvhFRiBUnB?FoB6oB3lBGsB,v115@zgC8GeC8GeC8GeB8BeB8DeG8AeB8Jez7IvhFRiB3lB?UnBFoB6oBGsB
IZJSOLT,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IZJOTLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZJOTSL,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZJOLTS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZJOLST,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IZJOSTL,X,O,X,X,O,O,X,X,X,X,X,O,X,X,X,X
IZJOSLT,X,O,X,O,X,O,X,O,X,O,X,O,X,X,X,X
IZSTLJO,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IZSTLOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTJLO,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZSTJOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IZSTOLJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSTOJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSLTJO,X,X,X,X,O,X,O,X,O,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X
IZSLJTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZSLJOT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSLOTJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSLOJT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IZSJTLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IZSJTOL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSJLTO,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZSJLOT,X,X,X,X,O,X,X,O,X,O,X,O,X,X,X,X
IZSJOTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSJOLT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZSOTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZSOLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZSOLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZSOJTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZSOJLT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IZOTLJS,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IZOTLSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOTJLS,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IZOTJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IZOTSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IZOTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOLTJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IZOLJTS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IZOLJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOLSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOJTLS,X,X,X,O,O,X,X,X,X,O,X,X,X,X,X,X
IZOJTSL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJLTS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IZOJLST,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IZOJSTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOJSLT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IZOSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IZOSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IZOSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IZOSJTL,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X
IZOSJLT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOTLJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOTLSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOTLZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTJLSZ,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOTJLZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTJSLZ,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOTJSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
IOTJZLS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
IOTJZSL,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
IOTSLJZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOTSLZJ,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X,X
IOTSJLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOTSJZL,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOTSZLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOTSZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOTZLJS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOTZLSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZJLS,O,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOTZJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOTZSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLTJSZ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLTJZS,X,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLTSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLTSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLTZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
IOLTZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLJTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJTZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLJSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLJZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJZST,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOLSTJZ,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLSTZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOLSJZT,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOLSZTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLSZJT,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,O,X,X,X,X,X,X,O,O,X,X,X,X,X
IOLZTSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOLZJTS,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZJST,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOLZSTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOLZSJT,O,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOJTLSZ,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IOJTLZS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTSLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOJTSZL,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJTZLS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJTZSL,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJLTSZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLTZS,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOJLSTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJLZTS,X,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLZST,X,X,O,O,X,X,X,O,X,X,X,O,X,X,X,X
IOJSTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOJSTZL,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOJSLTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOJSLZT,X,O,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOJSZTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJSZLT,X,O,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IOJZTLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJZTSL,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJZLTS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOJZLST,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOJZSTL,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOJZSLT,X,O,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOSTLJZ,X,X,X,O,X,X,X,X,X,X,X,X,O,O,X,X
IOSTLZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSTJLZ,X,X,X,O,X,X,X,O,X,X,X,X,X,O,X,X
IOSTJZL,X,X,X,O,X,X,X,X,X,X,X,O,X,O,X,X
IOSTZLJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSLTJZ,X,X,X,X,X,X,X,X,X,X,X,X,O,O,X,X
IOSLTZJ,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLJTZ,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X
IOSLJZT,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSLZTJ,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X
IOSLZJT,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,X,X,X,X,X,O,X,X,X,X,X,O,X,X
IOSJTZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O,X,X
IOSJLTZ,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X
IOSJZTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSJZLT,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
IOSZTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOSZLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOSZJTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOSZJLT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
IOZTLJS,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOZTLSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZTJLS,X,X,O,O,X,X,O,X,O,O,O,X,X,X,O,X
IOZTJSL,X,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O,X
IOZTSJL,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZLTJS,X,X,O,X,X,X,O,X,O,O,O,X,X,X,X,X
IOZLTSJ,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
IOZLJTS,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X
IOZLJST,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZLSTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZLSJT,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTLS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
IOZJTSL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJLTS,X,X,X,O,X,X,X,X,O,O,X,X,X,X,X,X
IOZJLST,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOZJSTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZJSLT,X,X,X,O,X,X,X,O,X,O,X,O,X,X,X,X
IOZSTLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSTJL,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOZSLTJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
IOZSLJT,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X
IOZSJTL,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOZSJLT,X,X,X,X,X,X,X,O,X,O,X,O,X,X,X,X
LTIJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJZSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LTIJZOS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTIJOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIJOZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LTISJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTISZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTISOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTISOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIZJSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LTIZJOS,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
LTIZSJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LTIZSOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIZOJS,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
LTIZOSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTIOJZS,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LTIOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTIOZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LTIOZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTJISZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJISOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIZSO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJIZOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJIOSZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJIOZS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJSIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJSOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJZISO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJZIOS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJZSIO,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJZSOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJZOIS,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJZOSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJOISZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOIZS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJOSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTJOZSI,X,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTSIJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIZOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTSIOZJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSJIZO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJIOZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZIO,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJZOI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOIZ,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSJOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTSZIJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJIO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZJOI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOIJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSZOJI,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTSOIJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTSOIZJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOJIZ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTSOJZI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTSOZIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTSOZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTZIJSO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZIJOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZISJO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,O
LTZISOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,O
LTZIOJS,O,X,O,O,X,X,O,X,O,X,X,X,X,X,O,X
LTZIOSJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X
LTZJISO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZJIOS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZJSIO,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZJSOI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZJOIS,O,O,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZJOSI,O,O,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZSIJO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZSIOJ,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LTZSJIO,O,X,O,X,O,X,O,X,O,X,X,X,X,X,X,X
LTZSJOI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZSOIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZSOJI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTZOIJS,O,X,O,O,O,X,O,X,O,X,X,X,X,X,O,X
LTZOISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
LTZOJIS,O,X,O,O,O,X,O,X,O,X,X,X,X,X,X,X
LTZOJSI,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
LTZOSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTZOSJI,O,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
LTOIJSZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOIJZS,X,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOISJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LTOISZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LTOIZJS,O,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X
LTOIZSJ,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LTOJISZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJIZS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOJZSI,X,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOSIJZ,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
LTOSIZJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSJIZ,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOSJZI,O,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X
LTOSZIJ,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOSZJI,O,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
LTOZIJS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,O,X
LTOZISJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,O,X
LTOZJIS,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOZJSI,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSIJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LTOZSJI,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LITJSZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJSOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJZSO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
LITJZOS,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LITJOSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITJOZS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
LITSJZO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSJOZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITSZJO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
LITSZOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LITSOJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LITSOZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LITZJSO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
LITZJOS,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
LITZSJO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
LITZSOJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LITZOJS,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
LITZOSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOJSZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LITOJZS,X,O,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LITOSJZ,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LITOSZJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOZJS,O,X,O,O,X,X,X,X,X,X,O,X,X,X,X,X
LITOZSJ,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
LIJTSZO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTSOZ,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
LIJTZSO,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
LIJTZOS,O,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X
LIJTOSZ,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X
