sequence,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBOrBzrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhF0cBxdB/mBT?gBlqBywB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeWAJvhFxdBlhBilB0?lBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFqgBxdBlhB/?qB0mB2wB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdBlgB/?qBmrBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBmlBf?sB0qBlrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFCcBxdBlhB/?qBmrBUrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBlhBy?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhFxdB0gBlhB2?qBzrBXrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeC7IvhF0cBxdB/qBF?mBzrBmqB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeG7IvhFxdBUgBihBf?sBlqBTrB,v115@zgA8IeA8FeE8DeF8EeF8DeC8Jez6IvhFxdBclBlhBK?rBuqBfsB,v115@zgA8IeA8FeE8DeF8EeF8DeC8JeX8IvhFxdBUgBTmBa?sBFlBWwB
TILJSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TILJSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TILJOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TILSJZO,O,X,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TILSJOZ,O,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TILSZJO,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
TILSZOJ,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TILSOJZ,O,X,O,X,O,X,X,X,X,O,X,X,O,X,X,X
TILSOZJ,O,O,O,X,O,X,X,O,X,O,X,X,O,O,X,X
TILZJSO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILZJOS,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TILZSJO,O,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TILZSOJ,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILZOJS,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X
TILZOSJ,O,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X
TILOJSZ,X,X,O,O,X,X,O,X,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,O,X,X,O,X,X,O,O,O,X,X,X,X
TILOSJZ,O,X,O,O,X,X,X,X,X,O,X,X,O,X,X,X
TILOSZJ,O,O,O,X,X,X,X,X,X,O,O,X,O,X,X,X
TILOZJS,O,X,X,O,X,X,O,X,X,O,O,X,X,X,X,X
TILOZSJ,O,X,X,X,X,X,X,X,X,O,O,X,O,X,X,X
TIJLSZO,X,X,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TIJLSOZ,X,X,O,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOSZ,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJLOZS,X,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TIJSLZO,O,X,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TIJSLOZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,O,O,X,O,X,O,X,X,X,O,X,X
TIJSZOL,O,X,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TIJSOLZ,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X
