sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
TSLJZOI,O,O,O,O,O,O,O,X,X,X
TSLJOIZ,O,O,O,O,X,X,O,X,X,X
TSLJOZI,O,O,O,O,X,X,O,X,X,X
TSLZIJO,O,X,O,O,O,O,O,X,X,X
TSLZIOJ,O,X,O,O,O,O,O,X,O,X
TSLZJIO,O,O,O,O,O,O,O,X,X,X
TSLZJOI,O,O,O,O,O,O,O,X,O,X
TSLZOIJ,O,O,O,O,O,O,O,X,O,X
TSLZOJI,O,O,O,O,O,O,O,X,O,X
TSLOIJZ,O,O,O,O,X,X,O,X,X,O
TSLOIZJ,O,O,O,O,X,O,O,X,X,X
TSLOJIZ,O,O,O,O,X,X,O,X,X,X
TSLOJZI,O,O,O,O,X,X,O,X,X,X
TSLOZIJ,O,O,O,O,X,O,O,X,O,X
TSLOZJI,O,O,O,O,X,O,O,X,O,X
TSJILZO,O,O,O,X,X,O,O,X,X,X
TSJILOZ,O,O,O,O,X,X,O,X,X,O
TSJIZLO,O,O,O,X,X,O,X,X,X,X
TSJIZOL,O,O,O,X,O,O,X,X,X,O
TSJIOLZ,O,O,O,O,X,X,O,X,X,O
TSJIOZL,O,O,O,X,X,X,X,X,X,O
TSJLIZO,O,O,O,X,O,O,O,X,X,X
TSJLIOZ,O,O,O,O,X,X,O,X,X,X
TSJLZIO,O,O,O,O,O,O,O,X,X,X
TSJLZOI,O,O,O,O,O,O,O,X,X,X
TSJLOIZ,O,O,O,O,X,X,O,X,X,X
TSJLOZI,O,O,O,O,X,X,O,X,X,X
TSJZILO,O,O,O,O,X,O,O,X,X,X
TSJZIOL,O,O,O,O,O,O,O,X,X,X
TSJZLIO,O,O,O,O,O,O,O,X,X,X
TSJZLOI,O,O,O,O,O,O,O,X,X,X
TSJZOIL,O,O,O,O,O,O,O,X,X,X
TSJZOLI,O,O,O,O,O,O,O,X,X,X
TSJOILZ,O,O,O,O,X,X,O,X,X,O
TSJOIZL,O,O,O,X,X,X,X,X,X,O
TSJOLIZ,O,O,O,O,X,X,O,X,X,X
TSJOLZI,O,O,O,O,X,X,O,X,X,X
TSJOZIL,O,O,O,O,X,X,O,X,X,X
TSJOZLI,O,O,O,O,X,X,O,X,X,X
TSZILJO,O,O,O,O,X,O,O,X,X,X
TSZILOJ,O,O,O,O,X,O,O,X,O,X
TSZIJLO,O,O,O,O,X,O,O,X,X,X
TSZIJOL,O,O,O,O,O,O,O,X,X,O
TSZIOLJ,O,O,O,O,X,O,O,X,O,X
TSZIOJL,O,O,O,O,O,O,O,X,O,O
TSZLIJO,O,O,O,O,O,O,O,X,X,X
TSZLIOJ,O,O,O,O,O,O,O,X,O,X
TSZLJIO,O,O,O,O,O,O,O,X,X,X
TSZLJOI,O,O,O,O,O,O,O,X,O,X
TSZLOIJ,O,O,O,O,O,O,O,X,O,X
TSZLOJI,O,O,O,O,O,O,O,X,O,X
TSZJILO,O,O,O,O,X,O,O,X,X,X
TSZJIOL,O,O,O,O,O,O,O,X,X,X
TSZJLIO,O,O,O,O,O,O,O,X,X,X
TSZJLOI,O,O,O,O,O,O,O,X,O,X
TSZJOIL,O,O,O,O,O,O,O,X,O,X
TSZJOLI,O,O,O,O,O,O,O,X,O,X
TSZOILJ,O,O,O,O,X,O,O,X,O,X
TSZOIJL,O,O,O,O,O,O,O,X,O,O
TSZOLIJ,O,O,O,O,O,O,O,X,O,X
TSZOLJI,O,O,O,O,O,O,O,X,O,X
TSZOJIL,O,O,O,O,O,O,O,X,O,X
TSZOJLI,O,O,O,O,O,O,O,X,O,X
TSOILJZ,O,O,O,O,X,X,O,X,X,O
TSOILZJ,O,O,O,O,X,O,O,X,X,X
TSOIJLZ,O,O,O,O,X,X,O,X,X,O
TSOIJZL,O,O,O,X,X,X,X,X,X,O
TSOIZLJ,O,O,O,X,X,O,O,X,X,X
TSOIZJL,O,O,O,X,X,O,O,X,X,O
TSOLIJZ,O,O,O,O,X,X,O,X,X,O
TSOLIZJ,O,O,O,O,X,O,O,X,X,X
TSOLJIZ,O,O,O,O,X,X,O,X,X,X
TSOLJZI,O,O,O,O,X,X,O,X,X,X
TSOLZIJ,O,O,O,O,X,O,O,X,O,X
TSOLZJI,O,O,O,O,X,O,O,X,O,X
TSOJILZ,O,O,O,O,X,X,O,X,X,O
TSOJIZL,O,O,O,X,X,X,X,X,X,O
TSOJLIZ,O,O,O,O,X,X,O,X,X,X
TSOJLZI,O,O,O,O,X,X,O,X,X,X
TSOJZIL,O,O,O,O,X,X,O,X,X,X
TSOJZLI,O,O,O,O,X,X,O,X,X,X
TSOZILJ,O,O,O,O,X,O,O,X,O,X
TSOZIJL,O,O,O,O,X,O,O,X,O,O
TSOZLIJ,O,O,O,O,X,O,O,X,O,X
TSOZLJI,O,O,O,O,X,O,O,X,O,X
TSOZJIL,O,O,O,O,X,O,O,X,O,X
TSOZJLI,O,O,O,O,X,O,O,X,O,X
TZILJSO,O,X,O,O,X,X,O,X,X,X
TZILJOS,O,X,O,O,X,X,O,X,X,X
TZILSJO,O,X,O,O,O,O,O,X,X,X
TZILSOJ,O,X,O,O,O,O,O,X,O,X
TZILOJS,O,X,X,X,X,O,O,X,X,X
TZILOSJ,O,X,O,O,X,X,O,X,O,X
TZIJLSO,O,O,O,O,X,X,O,X,X,X
TZIJLOS,O,O,O,O,X,X,O,X,X,X
TZIJSLO,O,O,O,O,X,O,O,X,X,X
TZIJSOL,O,O,O,O,X,O,O,X,X,X
TZIJOLS,O,O,O,O,X,X,O,X,X,X
TZIJOSL,X,O,O,O,X,X,O,X,X,X
TZISLJO,O,O,O,O,X,O,O,X,X,X
TZISLOJ,O,O,O,O,X,O,O,X,O,X
TZISJLO,O,O,O,O,X,O,O,X,X,X
TZISJOL,O,O,O,O,O,O,O,X,X,O
TZISOLJ,O,O,O,O,X,O,O,X,O,X
TZISOJL,O,O,O,O,O,O,O,X,O,O
TZIOLJS,O,X,X,X,X,O,X,X,X,X
TZIOLSJ,O,O,O,O,X,X,X,X,O,X
TZIOJLS,O,O,O,O,X,X,X,X,X,X
TZIOJSL,X,O,O,O,X,X,X,X,X,X
TZIOSLJ,O,O,O,O,X,O,X,X,O,X
TZIOSJL,O,O,O,O,X,O,X,X,O,X
TZLIJSO,O,X,O,O,X,X,O,X,X,X
TZLIJOS,O,X,O,O,X,X,O,X,X,X
TZLISJO,O,X,O,O,O,O,O,X,X,X
TZLISOJ,O,X,O,O,O,O,O,X,O,X
TZLIOJS,O,X,X,X,X,X,O,X,X,X
TZLIOSJ,O,X,O,O,X,X,O,X,O,X
TZLJISO,O,O,O,O,X,X,O,X,X,X
TZLJIOS,O,O,O,O,X,X,O,X,X,X
TZLJSIO,O,O,O,O,X,X,O,X,X,X
TZLJSOI,O,O,O,O,X,X,O,X,O,X
TZLJOIS,O,O,O,O,X,X,O,X,X,X
TZLJOSI,O,O,O,O,X,X,O,X,O,X
TZLSIJO,O,O,O,O,O,X,O,X,X,X
TZLSIOJ,O,O,O,O,O,X,O,X,O,X
TZLSJIO,O,O,O,O,O,X,O,X,X,X
TZLSJOI,O,O,O,O,O,X,O,X,O,X
TZLSOIJ,O,O,O,O,O,X,O,X,O,X
TZLSOJI,O,O,O,O,O,X,O,X,O,X
TZLOIJS,O,X,X,X,X,X,O,X,X,X
TZLOISJ,O,O,O,O,X,X,O,X,O,X
TZLOJIS,O,O,O,X,X,X,O,X,X,X
TZLOJSI,O,O,O,X,X,X,O,X,O,X
TZLOSIJ,O,O,O,O,X,X,O,X,O,X
TZLOSJI,O,O,O,O,X,X,O,X,O,X
TZJILSO,O,O,O,O,X,X,O,X,X,X
TZJILOS,O,O,O,O,X,X,O,X,X,X
TZJISLO,O,O,O,O,X,O,O,X,X,X
TZJISOL,O,O,O,O,X,O,O,X,X,X
TZJIOLS,O,O,O,O,X,X,O,X,X,X
TZJIOSL,X,O,O,O,X,X,O,X,X,X
TZJLISO,O,O,O,O,X,X,O,X,X,X
TZJLIOS,O,O,O,O,X,X,O,X,X,X
TZJLSIO,O,O,O,O,X,X,O,X,X,X
TZJLSOI,O,O,O,O,X,X,O,X,O,X
TZJLOIS,O,O,O,O,X,X,O,X,X,X
TZJLOSI,O,O,O,O,X,X,O,X,O,X
TZJSILO,O,O,O,O,X,X,O,X,X,X
TZJSIOL,O,O,O,O,X,X,O,X,X,X
TZJSLIO,O,O,O,O,X,X,O,X,X,X
TZJSLOI,O,O,O,O,X,X,O,X,O,X
TZJSOIL,O,O,O,O,X,X,O,X,O,X
TZJSOLI,O,O,O,O,X,X,O,X,O,X
TZJOILS,O,O,O,O,X,X,O,X,X,X
TZJOISL,X,O,O,O,X,X,O,X,X,X
TZJOLIS,O,O,O,O,X,X,O,X,X,X
TZJOLSI,O,O,O,O,X,X,O,X,O,X
TZJOSIL,O,O,O,O,X,X,O,X,O,X
TZJOSLI,O,O,O,O,X,X,O,X,O,X
TZSILJO,O,O,O,O,X,O,O,X,X,X
TZSILOJ,O,O,O,O,X,O,O,X,O,X
TZSIJLO,O,O,O,O,X,O,O,X,X,X
TZSIJOL,O,O,O,O,O,O,O,X,X,O
TZSIOLJ,O,O,O,O,X,O,O,X,O,X
TZSIOJL,O,O,O,O,O,O,O,X,O,O
TZSLIJO,O,O,O,O,O,O,O,X,X,X
TZSLIOJ,O,O,O,O,O,O,O,X,O,X
TZSLJIO,O,O,O,O,O,O,O,X,X,X
TZSLJOI,O,O,O,O,O,O,O,X,O,X
TZSLOIJ,O,O,O,O,O,O,O,X,O,X
TZSLOJI,O,O,O,O,O,O,O,X,O,X
TZSJILO,O,O,O,O,X,O,O,X,X,X
TZSJIOL,O,O,O,O,O,O,O,X,X,X
TZSJLIO,O,O,O,O,O,O,O,X,X,X
TZSJLOI,O,O,O,O,O,O,O,X,O,X
TZSJOIL,O,O,O,O,O,O,O,X,O,X
TZSJOLI,O,O,O,O,O,O,O,X,O,X
TZSOILJ,O,O,O,O,X,O,O,X,O,X
TZSOIJL,O,O,O,O,O,O,O,X,O,O
TZSOLIJ,O,O,O,O,O,O,O,X,O,X
TZSOLJI,O,O,O,O,O,O,O,X,O,X
TZSOJIL,O,O,O,O,O,O,O,X,O,X
TZSOJLI,O,O,O,O,O,O,O,X,O,X
TZOILJS,O,X,X,X,X,O,X,X,X,X
TZOILSJ,O,O,O,O,X,X,X,X,O,X
TZOIJLS,O,O,O,O,X,X,X,X,X,X
TZOIJSL,X,O,O,O,X,X,X,X,X,X
TZOISLJ,O,O,O,O,X,O,X,X,O,X
TZOISJL,O,O,O,O,X,O,X,X,O,X
TZOLIJS,O,X,X,X,X,X,O,X,X,X
TZOLISJ,O,O,O,O,X,X,O,X,O,X
TZOLJIS,O,O,O,X,X,X,O,X,X,X
TZOLJSI,O,O,O,X,X,X,O,X,O,X
TZOLSIJ,O,O,O,O,X,X,O,X,O,X
TZOLSJI,O,O,O,O,X,X,O,X,O,X
TZOJILS,O,O,O,O,X,X,O,X,X,X
TZOJISL,X,O,O,O,X,X,O,X,X,X
TZOJLIS,O,O,O,O,X,X,O,X,X,X
TZOJLSI,O,O,O,O,X,X,O,X,O,X
TZOJSIL,O,O,O,O,X,X,O,X,O,X
TZOJSLI,O,O,O,O,X,X,O,X,O,X
TZOSILJ,O,O,O,O,X,O,O,X,O,X
TZOSIJL,O,O,O,O,O,O,O,X,O,X
TZOSLIJ,O,O,O,O,O,O,O,X,O,X
TZOSLJI,O,O,O,O,O,O,O,X,O,X
TZOSJIL,O,O,O,O,O,O,O,X,O,X
TZOSJLI,O,O,O,O,O,O,O,X,O,X
TOILJSZ,X,X,X,X,X,X,X,O,X,X
TOILJZS,X,X,X,X,X,X,X,O,X,X
TOILSJZ,X,O,O,X,X,X,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X,X,X,X
TOILZJS,X,X,X,X,X,X,X,X,X,X
TOILZSJ,X,O,O,X,X,X,X,X,O,X
TOIJLSZ,X,O,O,X,X,X,X,O,X,X
TOIJLZS,X,O,O,X,X,X,X,O,X,X
TOIJSLZ,X,O,O,X,X,X,X,O,X,X
TOIJSZL,X,O,O,X,X,X,X,O,X,X
TOIJZLS,X,O,O,X,X,X,X,O,X,X
TOIJZSL,X,O,O,X,X,X,X,O,X,X
TOISLJZ,X,O,O,X,X,X,X,X,X,O
TOISLZJ,X,O,O,X,X,O,X,X,X,X
TOISJLZ,X,O,O,X,X,X,X,X,X,O
TOISJZL,X,O,O,X,X,X,X,X,X,O
TOISZLJ,X,O,O,X,X,O,X,X,X,X
TOISZJL,X,O,O,X,X,O,X,X,X,O
TOIZLJS,X,X,X,X,X,X,X,X,X,X
TOIZLSJ,X,O,O,X,X,X,X,X,O,X
TOIZJLS,X,O,O,X,X,X,X,X,X,X
TOIZJSL,X,O,O,X,X,X,X,X,X,X
TOIZSLJ,X,O,O,X,X,O,X,X,O,X
TOIZSJL,X,O,O,X,X,O,X,X,O,X
TOLIJSZ,O,X,X,X,X,X,O,O,X,X
TOLIJZS,O,X,X,X,X,X,X,O,X,X
TOLISJZ,O,O,O,X,X,X,O,X,X,X
TOLISZJ,O,O,O,X,X,X,O,X,X,X
TOLIZJS,O,X,X,X,X,X,X,X,X,X
TOLIZSJ,O,O,O,X,X,X,X,X,O,X
TOLJISZ,O,O,O,X,X,X,O,O,X,X
TOLJIZS,O,O,O,X,X,X,X,O,X,X
TOLJSIZ,O,O,O,X,X,X,O,X,X,X
TOLJSZI,O,O,O,X,X,X,O,X,X,X
TOLJZIS,O,O,O,X,X,X,X,X,X,X
TOLJZSI,O,O,O,X,X,X,X,X,O,X
TOLSIJZ,O,O,O,X,X,X,O,X,X,X
TOLSIZJ,O,O,O,X,X,X,O,X,X,X
TOLSJIZ,O,O,O,X,X,X,O,X,X,X
TOLSJZI,X,O,O,X,X,X,O,X,X,X
TOLSZIJ,O,O,O,X,X,X,O,X,O,X
TOLSZJI,O,O,O,X,X,X,O,X,O,X
TOLZIJS,O,X,X,X,X,X,O,X,X,X
TOLZISJ,O,O,O,X,X,X,O,X,O,X
TOLZJIS,O,O,O,X,X,X,O,X,X,X
TOLZJSI,O,O,O,X,X,X,O,X,O,X
TOLZSIJ,O,O,O,X,X,X,O,X,O,X
TOLZSJI,O,O,O,X,X,X,O,X,O,X
TOJILSZ,X,O,O,X,X,X,X,O,X,X
TOJILZS,X,O,O,X,X,X,X,O,X,X
TOJISLZ,X,O,O,X,X,X,X,O,X,X
TOJISZL,X,O,O,X,X,X,X,O,X,X
TOJIZLS,X,O,O,X,X,X,X,O,X,X
TOJIZSL,X,O,O,X,X,X,X,O,X,X
TOJLISZ,O,O,O,X,X,X,X,O,X,X
TOJLIZS,O,O,O,X,X,X,X,O,X,X
TOJLSIZ,O,O,O,X,X,X,X,X,X,X
TOJLSZI,O,O,O,X,X,X,X,X,X,X
TOJLZIS,O,O,O,X,X,X,X,X,X,X
TOJLZSI,O,O,O,X,X,X,X,X,O,X
TOJSILZ,O,O,O,X,X,X,X,X,X,X
TOJSIZL,O,O,O,X,X,X,X,X,X,X
TOJSLIZ,O,O,O,X,X,X,X,X,X,X
TOJSLZI,O,O,O,X,X,X,X,X,X,X
TOJSZIL,O,O,O,X,X,X,X,X,X,X
TOJSZLI,O,O,O,X,X,X,X,X,X,X
TOJZILS,O,O,O,X,X,X,X,X,X,X
TOJZISL,X,O,O,X,X,X,X,X,X,X
TOJZLIS,O,O,O,X,X,X,X,X,X,X
TOJZLSI,O,O,O,X,X,X,X,X,O,X
TOJZSIL,O,O,O,X,X,X,X,X,O,X
TOJZSLI,O,O,O,X,X,X,X,X,O,X
TOSILJZ,O,O,O,X,X,X,O,X,X,O
TOSILZJ,O,O,O,X,X,X,O,X,X,X
TOSIJLZ,O,O,O,X,X,X,O,X,X,O
TOSIJZL,O,O,O,X,X,X,X,X,X,O
TOSIZLJ,O,O,O,X,X,X,O,X,X,X
TOSIZJL,O,O,O,X,X,X,O,X,X,O
TOSLIJZ,O,O,O,X,X,X,O,X,X,O
TOSLIZJ,O,O,O,X,X,X,O,X,X,X
TOSLJIZ,O,O,O,X,X,X,O,X,X,X
TOSLJZI,O,O,O,X,X,X,O,X,X,X
TOSLZIJ,O,O,O,X,X,X,O,X,O,X
TOSLZJI,O,O,O,X,X,X,O,X,O,X
TOSJILZ,O,O,O,X,X,X,O,X,X,O
TOSJIZL,O,O,O,X,X,X,X,X,X,O
TOSJLIZ,O,O,O,X,X,X,O,X,X,X
TOSJLZI,O,O,O,X,X,X,O,X,X,X
TOSJZIL,O,O,O,X,X,X,O,X,X,X
TOSJZLI,O,O,O,X,X,X,O,X,X,X
TOSZILJ,O,O,O,X,X,X,O,X,O,X
TOSZIJL,O,O,O,X,X,X,O,X,O,O
TOSZLIJ,O,O,O,X,X,X,O,X,O,X
TOSZLJI,O,O,O,X,X,X,O,X,O,X
TOSZJIL,O,O,O,X,X,X,O,X,O,X
TOSZJLI,O,O,O,X,X,X,O,X,O,X
TOZILJS,O,X,X,X,X,X,X,X,X,X
TOZILSJ,O,O,O,X,X,X,X,X,O,X
TOZIJLS,O,O,O,X,X,X,X,X,X,X
TOZIJSL,X,O,O,X,X,X,X,X,X,X
TOZISLJ,O,O,O,X,X,O,X,X,O,X
TOZISJL,O,O,O,X,X,O,X,X,O,X
TOZLIJS,O,X,X,X,X,X,O,X,X,X
TOZLISJ,O,O,O,X,X,X,O,X,O,X
TOZLJIS,O,O,O,X,X,X,O,X,X,X
TOZLJSI,O,O,O,X,X,X,O,X,O,X
TOZLSIJ,O,O,O,X,X,X,O,X,O,X
TOZLSJI,O,O,O,X,X,X,O,X,O,X
TOZJILS,O,O,O,X,X,X,O,X,X,X
TOZJISL,X,O,O,X,X,X,O,X,X,X
TOZJLIS,O,O,O,X,X,X,O,X,X,X
TOZJLSI,O,O,O,X,X,X,O,X,O,X
TOZJSIL,O,O,O,X,X,X,O,X,O,X
TOZJSLI,O,O,O,X,X,X,O,X,O,X
TOZSILJ,O,O,O,X,X,X,O,X,O,X
TOZSIJL,O,O,O,X,X,X,O,X,O,X
TOZSLIJ,O,O,O,X,X,X,O,X,O,X
TOZSLJI,O,O,O,X,X,X,O,X,O,X
TOZSJIL,O,O,O,X,X,X,O,X,O,X
TOZSJLI,O,O,O,X,X,X,O,X,O,X
ITLJSZO,O,X,O,X,X,X,O,O,X,X
ITLJSOZ,O,X,O,X,X,X,O,O,X,X
ITLJZSO,O,X,O,X,X,X,O,O,X,X
ITLJZOS,O,X,O,X,X,X,X,O,X,X
ITLJOSZ,O,X,O,X,X,X,O,O,X,X
ITLJOZS,O,X,O,X,X,X,X,O,X,X
ITLSJZO,O,X,O,X,O,O,O,X,X,X
ITLSJOZ,O,X,O,X,X,X,O,X,X,O
ITLSZJO,O,X,O,X,O,O,O,X,X,X
ITLSZOJ,O,X,O,X,O,O,O,X,X,X
ITLSOJZ,O,X,O,X,X,X,O,X,X,O
ITLSOZJ,O,X,O,X,X,O,O,X,X,X
ITLZJSO,O,X,O,X,X,X,O,X,X,X
ITLZJOS,O,X,O,X,X,X,O,X,X,X
ITLZSJO,O,X,O,X,O,O,O,X,X,X
ITLZSOJ,O,X,O,X,O,O,O,X,O,X
ITLZOJS,O,X,X,X,X,O,O,X,X,X
ITLZOSJ,O,X,O,X,X,X,O,X,O,X
ITLOJSZ,O,X,X,X,X,X,O,O,X,X
ITLOJZS,O,X,X,X,X,X,X,O,X,X
ITLOSJZ,O,X,O,X,X,X,O,X,X,X
ITLOSZJ,O,X,O,X,X,X,O,X,X,X
ITLOZJS,O,X,X,X,X,X,X,X,X,X
ITLOZSJ,O,X,O,X,X,X,X,X,O,X
ITJLSZO,O,O,O,X,X,X,X,O,X,X
ITJLSOZ,O,O,O,X,X,X,X,O,X,X
ITJLZSO,O,O,O,X,X,X,X,O,X,X
ITJLZOS,O,O,O,X,X,X,X,O,X,X
ITJLOSZ,O,O,O,X,X,X,X,O,X,X
ITJLOZS,O,O,O,X,X,X,X,O,X,X
ITJSLZO,O,O,O,X,X,O,X,O,X,X
ITJSLOZ,O,O,O,X,X,X,X,O,X,O
ITJSZLO,O,O,O,X,X,O,X,O,X,X
ITJSZOL,O,O,O,X,X,O,X,O,X,O
ITJSOLZ,O,O,O,X,X,X,X,O,X,O
ITJSOZL,O,O,O,X,X,X,X,O,X,O
ITJZLSO,O,O,O,X,X,X,X,O,X,X
ITJZLOS,O,O,O,X,X,X,X,O,X,X
ITJZSLO,O,O,O,X,X,O,X,O,X,X
ITJZSOL,O,O,O,X,X,O,X,O,X,X
ITJZOLS,O,O,O,X,X,X,X,O,X,X
ITJZOSL,X,O,O,X,X,X,X,O,X,X
ITJOLSZ,X,O,O,X,X,X,X,O,X,X
ITJOLZS,X,O,O,X,X,X,X,O,X,X
ITJOSLZ,X,O,O,X,X,X,X,O,X,X
ITJOSZL,X,O,O,X,X,X,X,O,X,X
ITJOZLS,X,O,O,X,X,X,X,O,X,X
ITJOZSL,X,O,O,X,X,X,X,O,X,X
ITSLJZO,O,O,O,X,X,O,O,X,X,X
ITSLJOZ,O,O,O,X,X,X,O,X,X,O
ITSLZJO,O,X,O,X,X,O,O,X,X,X
ITSLZOJ,O,X,O,X,X,O,O,X,X,X
ITSLOJZ,O,O,O,X,X,X,O,X,X,O
ITSLOZJ,O,O,O,X,X,O,O,X,X,X
ITSJLZO,O,O,O,X,X,O,O,X,X,X
ITSJLOZ,O,O,O,X,X,X,O,X,X,O
ITSJZLO,O,O,O,X,X,O,X,X,X,X
ITSJZOL,O,X,O,X,O,O,X,X,X,O
ITSJOLZ,O,O,O,X,X,X,O,X,X,O
ITSJOZL,O,O,O,X,X,X,X,X,X,O
ITSZLJO,O,X,O,X,X,O,O,X,X,X
ITSZLOJ,O,X,O,X,X,O,O,X,X,X
ITSZJLO,O,X,O,X,X,O,O,X,X,X
ITSZJOL,O,X,O,X,O,O,O,X,X,O
ITSZOLJ,O,X,O,X,X,O,O,X,X,X
ITSZOJL,O,X,O,X,O,O,O,X,X,O
ITSOLJZ,O,O,O,X,X,X,O,X,X,O
ITSOLZJ,O,O,O,X,X,O,O,X,X,X
ITSOJLZ,O,O,O,X,X,X,O,X,X,O
ITSOJZL,O,O,O,X,X,X,X,X,X,O
ITSOZLJ,O,O,O,X,X,O,O,X,X,X
ITSOZJL,O,X,O,X,X,O,O,X,X,O
ITZLJSO,O,X,O,X,X,X,O,X,X,X
ITZLJOS,O,X,O,X,X,X,O,X,X,X
ITZLSJO,O,X,O,X,O,O,O,X,X,X
ITZLSOJ,O,X,O,X,O,O,O,X,O,X
ITZLOJS,O,X,X,X,X,O,O,X,X,X
ITZLOSJ,O,X,O,X,X,X,O,X,O,X
ITZJLSO,O,O,O,X,X,X,O,X,X,X
ITZJLOS,O,O,O,X,X,X,O,X,X,X
ITZJSLO,O,O,O,X,X,O,O,X,X,X
ITZJSOL,O,O,O,X,X,O,O,X,X,X
ITZJOLS,O,O,O,X,X,X,O,X,X,X
ITZJOSL,X,O,O,X,X,X,O,X,X,X
ITZSLJO,O,O,O,X,X,O,O,X,X,X
ITZSLOJ,O,O,O,X,X,O,O,X,O,X
ITZSJLO,O,O,O,X,X,O,O,X,X,X
ITZSJOL,O,O,O,X,O,O,O,X,X,O
ITZSOLJ,O,O,O,X,X,O,O,X,O,X
ITZSOJL,O,O,O,X,O,O,O,X,O,O
ITZOLJS,O,X,X,X,X,O,X,X,X,X
ITZOLSJ,O,O,O,X,X,X,X,X,O,X
ITZOJLS,O,O,O,X,X,X,X,X,X,X
ITZOJSL,X,O,O,X,X,X,X,X,X,X
ITZOSLJ,O,O,O,X,X,O,X,X,O,X
ITZOSJL,O,O,O,X,X,O,X,X,O,X
ITOLJSZ,X,X,X,X,X,X,X,O,X,X
ITOLJZS,X,X,X,X,X,X,X,O,X,X
ITOLSJZ,X,O,O,X,X,X,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X,X,X,X
ITOLZJS,X,X,X,X,X,X,X,X,X,X
ITOLZSJ,X,O,O,X,X,X,X,X,O,X
ITOJLSZ,X,O,O,X,X,X,X,O,X,X
ITOJLZS,X,O,O,X,X,X,X,O,X,X
ITOJSLZ,X,O,O,X,X,X,X,O,X,X
ITOJSZL,X,O,O,X,X,X,X,O,X,X
ITOJZLS,X,O,O,X,X,X,X,O,X,X
ITOJZSL,X,O,O,X,X,X,X,O,X,X
ITOSLJZ,X,O,O,X,X,X,X,X,X,O
ITOSLZJ,X,O,O,X,X,O,X,X,X,X
ITOSJLZ,X,O,O,X,X,X,X,X,X,O
ITOSJZL,X,O,O,X,X,X,X,X,X,O
ITOSZLJ,X,O,O,X,X,O,X,X,X,X
ITOSZJL,X,O,O,X,X,O,X,X,X,O
ITOZLJS,X,X,X,X,X,X,X,X,X,X
ITOZLSJ,X,O,O,X,X,X,X,X,O,X
ITOZJLS,X,O,O,X,X,X,X,X,X,X
ITOZJSL,X,O,O,X,X,X,X,X,X,X
ITOZSLJ,X,O,O,X,X,O,X,X,O,X
ITOZSJL,X,O,O,X,X,O,X,X,O,X
ILTJSZO,O,X,X,X,X,X,X,O,X,X
ILTJSOZ,O,X,X,X,X,X,X,O,X,X
ILTJZSO,O,X,X,X,X,X,X,O,X,X
ILTJZOS,O,X,X,X,X,X,X,O,X,X
ILTJOSZ,O,X,X,X,X,X,X,O,X,X
ILTJOZS,O,X,X,X,X,X,X,O,X,X
ILTSJZO,O,X,X,X,O,O,X,X,X,X
ILTSJOZ,O,X,X,X,X,X,X,X,X,X
ILTSZJO,O,X,X,X,O,O,X,X,X,X
ILTSZOJ,O,X,X,X,O,O,X,X,X,X
ILTSOJZ,O,X,X,X,X,X,X,X,X,X
ILTSOZJ,O,X,X,X,X,O,X,X,X,X
ILTZJSO,O,X,X,X,X,X,X,X,X,X
ILTZJOS,O,X,X,X,X,X,X,X,X,X
ILTZSJO,O,X,X,X,O,O,X,X,X,X
ILTZSOJ,O,X,X,X,O,O,X,X,O,X
ILTZOJS,O,X,X,X,X,O,X,X,X,X
ILTZOSJ,O,X,X,X,X,X,X,X,O,X
ILTOJSZ,O,X,X,X,X,X,X,O,X,X
ILTOJZS,O,X,X,X,X,X,X,O,X,X
ILTOSJZ,O,X,X,X,X,X,X,X,X,X
ILTOSZJ,O,X,X,X,X,X,X,X,X,X
ILTOZJS,O,X,X,X,X,X,X,X,X,X
ILTOZSJ,O,X,X,X,X,X,X,X,O,X
ILJTSZO,O,X,X,X,X,X,X,O,X,X
ILJTSOZ,O,X,X,X,X,X,X,O,X,X
ILJTZSO,O,X,X,X,X,X,X,O,X,X
ILJTZOS,O,X,X,X,X,X,X,O,X,X
ILJTOSZ,O,X,X,X,X,X,X,O,X,X
