sequence,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFRdBSjB?UgB3hBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhF6hBxdB?UgBTiBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBTeB?UgBCiBmnBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFxcBTeB?lhBfoBmlB8rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFuhBUgB?xiB/rBisBFtB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8Jez7IvhFCdBUgB?xiBOoB/rBFsB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeWBJvhFxcBTeB?UgBymBfoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeSAJvhFlcBTeB?xlBmnBcnB/rB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JefBJvhFxcBUgB?zhBCjBOoBlrB,v115@zgC8GeA8IeB8GeE8CeA8AeF8AeD8JeT+IvhFFgBfoB?RmBmmBUmBCsB
TIZOJSL,X,O,O,X,X,X,X,X,X,X
TIZOSLJ,O,O,O,X,X,O,X,X,O,X
TIZOSJL,O,O,O,X,X,O,X,X,O,X
TIOLJSZ,X,X,X,X,X,X,X,O,X,X
TIOLJZS,X,X,X,X,X,X,X,O,X,X
TIOLSJZ,X,O,O,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X,X,X
TIOLZSJ,X,O,O,X,X,X,X,X,O,X
TIOJLSZ,X,O,O,X,X,X,X,O,X,X
TIOJLZS,X,O,O,X,X,X,X,O,X,X
TIOJSLZ,X,O,O,X,X,X,X,O,X,X
TIOJSZL,X,O,O,X,X,X,X,O,X,X
TIOJZLS,X,O,O,X,X,X,X,O,X,X
TIOJZSL,X,O,O,X,X,X,X,O,X,X
TIOSLJZ,X,O,O,X,X,X,X,X,X,O
TIOSLZJ,X,O,O,X,X,O,X,X,X,X
TIOSJLZ,X,O,O,X,X,X,X,X,X,O
TIOSJZL,X,O,O,X,X,X,X,X,X,O
TIOSZLJ,X,O,O,X,X,O,X,X,X,X
TIOSZJL,X,O,O,X,X,O,X,X,X,O
TIOZLJS,X,X,X,X,X,X,X,X,X,X
TIOZLSJ,X,O,O,X,X,X,X,X,O,X
TIOZJLS,X,O,O,X,X,X,X,X,X,X
TIOZJSL,X,O,O,X,X,X,X,X,X,X
TIOZSLJ,X,O,O,X,X,O,X,X,O,X
TIOZSJL,X,O,O,X,X,O,X,X,O,X
TLIJSZO,O,X,O,X,X,X,O,O,X,X
TLIJSOZ,O,X,O,X,X,X,O,O,X,X
TLIJZSO,O,X,O,X,X,X,O,O,X,X
TLIJZOS,O,X,O,X,X,X,X,O,X,X
TLIJOSZ,O,X,O,X,X,X,O,O,X,X
TLIJOZS,O,X,O,X,X,X,X,O,X,X
TLISJZO,O,X,O,X,O,O,O,X,X,X
TLISJOZ,O,X,O,X,X,X,O,X,X,O
TLISZJO,O,X,O,X,O,O,O,X,X,X
TLISZOJ,O,X,O,X,O,O,O,X,X,X
TLISOJZ,O,X,O,X,X,X,O,X,X,O
TLISOZJ,O,X,O,X,X,O,O,X,X,X
TLIZJSO,O,X,O,X,X,X,O,X,X,X
TLIZJOS,O,X,O,X,X,X,O,X,X,X
TLIZSJO,O,X,O,X,O,O,O,X,X,X
TLIZSOJ,O,X,O,X,O,O,O,X,O,X
TLIZOJS,O,X,X,X,X,X,O,X,X,X
TLIZOSJ,O,X,O,X,X,X,O,X,O,X
TLIOJSZ,O,X,X,X,X,X,O,O,X,X
TLIOJZS,O,X,X,X,X,X,X,O,X,X
TLIOSJZ,O,X,O,X,X,X,O,X,X,X
TLIOSZJ,O,X,O,X,X,X,O,X,X,X
TLIOZJS,O,X,X,X,X,X,X,X,X,X
TLIOZSJ,O,X,O,X,X,X,X,X,O,X
TLJISZO,O,O,O,X,X,X,O,O,X,X
TLJISOZ,O,O,O,X,X,X,O,O,X,X
TLJIZSO,O,O,O,X,X,X,O,O,X,X
TLJIZOS,O,O,O,X,X,X,X,O,X,X
TLJIOSZ,O,O,O,X,X,X,O,O,X,X
TLJIOZS,O,O,O,X,X,X,X,O,X,X
TLJSIZO,O,O,O,X,X,X,O,X,X,X
TLJSIOZ,O,O,O,O,X,X,O,X,X,X
TLJSZIO,O,O,O,O,X,X,O,X,X,X
TLJSZOI,O,O,O,O,X,X,O,X,X,X
TLJSOIZ,O,O,O,O,X,X,O,X,X,X
TLJSOZI,O,O,O,O,X,X,O,X,X,X
TLJZISO,O,O,O,O,X,X,O,X,X,X
TLJZIOS,O,O,O,O,X,X,O,X,X,X
TLJZSIO,O,O,O,O,X,X,O,X,X,X
TLJZSOI,O,O,O,O,X,X,O,X,O,X
TLJZOIS,O,O,O,O,X,X,O,X,X,X
TLJZOSI,O,O,O,O,X,X,O,X,O,X
TLJOISZ,O,O,O,X,X,X,O,O,X,X
TLJOIZS,O,O,O,X,X,X,X,O,X,X
TLJOSIZ,O,O,O,X,X,X,O,X,X,X
TLJOSZI,O,O,O,X,X,X,O,X,X,X
TLJOZIS,O,O,O,X,X,X,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X,X,O,X
TLSIJZO,O,O,O,X,O,X,O,X,X,X
TLSIJOZ,O,O,O,X,X,X,O,X,X,O
TLSIZJO,O,X,O,X,O,X,O,X,X,X
TLSIZOJ,O,X,O,X,O,X,O,X,X,X
TLSIOJZ,O,O,O,O,X,X,O,X,X,O
TLSIOZJ,O,O,O,O,X,X,O,X,X,X
TLSJIZO,O,O,O,X,O,X,O,X,X,X
TLSJIOZ,O,O,O,O,X,X,O,X,X,X
TLSJZIO,O,O,O,O,O,X,O,X,X,X
TLSJZOI,O,O,O,O,O,X,O,X,X,X
TLSJOIZ,O,O,O,O,X,X,O,X,X,X
TLSJOZI,O,O,O,O,X,X,O,X,X,X
TLSZIJO,O,X,O,O,O,X,O,X,X,X
TLSZIOJ,O,X,O,O,O,X,O,X,O,X
TLSZJIO,O,O,O,O,O,X,O,X,X,X
TLSZJOI,O,O,O,O,O,X,O,X,O,X
TLSZOIJ,O,O,O,O,O,X,O,X,O,X
TLSZOJI,O,O,O,O,O,X,O,X,O,X
TLSOIJZ,O,O,O,O,X,X,O,X,X,O
TLSOIZJ,O,O,O,O,X,X,O,X,X,X
TLSOJIZ,O,O,O,O,X,X,O,X,X,X
