sequence,v115@EhC8FeF8DeG8AeF8JeO/IvhF6gB0cBxdBzfB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBCgB/mBTgBlqB,v115@EhC8FeF8DeG8AeF8JeK/IvhFzaB+gB0cBxdB/mBlqB,v115@EhC8FeF8DeG8AeF8JeO/IvhF0cBxdBflBlgBTmB6qB,v115@EhC8FeF8DeG8AeF8JeT6IvhF0bBxdBykBumBXhBlqB,v115@EhC8FeF8DeG8AeF8JeT6IvhFxdBlhBmkBUmB/lBCrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFCcBxdBTfBlhB/qBUrB,v115@EhC8FeF8DeG8AeF8Jem6IvhFxdBTfBclBXmBlmBCrB
TILJSZO,O,O,O,X,X,X,X,X
TILJSOZ,X,X,O,X,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X
TILJZOS,X,X,X,X,X,X,X,X
TILJOSZ,X,X,O,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,O,X
TILSZJO,O,O,O,X,X,X,X,X
TILSZOJ,O,X,X,X,X,X,X,X
TILSOJZ,O,X,O,X,X,X,O,X
TILSOZJ,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,X
TILOJSZ,O,X,O,X,X,X,O,X
TILOJZS,X,X,X,X,X,X,X,X
TILOSJZ,O,X,O,X,X,X,X,X
TILOSZJ,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,X,X,X,X,X
TILOZSJ,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,X,X,X,X,X
TIJLSOZ,X,X,O,X,X,X,X,X
TIJLZSO,X,X,X,X,X,X,X,X
TIJLZOS,X,X,X,X,X,X,X,X
TIJLOSZ,X,X,O,X,X,X,X,X
TIJLOZS,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,X,X,X,X
TIJSLOZ,X,X,O,X,X,X,X,X
TIJSZLO,O,O,O,X,X,X,X,X
TIJSZOL,O,X,X,X,X,X,X,X
TIJSOLZ,O,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X
TIJZLSO,X,X,X,X,X,X,X,X
TIJZLOS,X,X,X,X,X,X,X,X
TIJZSLO,X,X,X,X,X,X,X,X
TIJZSOL,X,X,X,X,X,X,X,X
TIJZOLS,X,X,X,X,X,X,X,X
TIJZOSL,X,X,X,X,X,X,X,X
TIJOLSZ,O,X,X,X,X,X,X,X
TIJOLZS,X,X,X,X,X,X,X,X
TIJOSLZ,O,X,X,X,X,X,X,X
TIJOSZL,O,X,X,X,X,X,X,X
TIJOZLS,X,X,X,X,X,X,X,X
TIJOZSL,X,X,X,X,X,X,X,X
TISLJZO,O,O,O,X,X,X,X,X
TISLJOZ,X,X,O,X,X,X,O,X
TISLZJO,O,O,O,X,X,X,X,X
TISLZOJ,O,X,X,X,X,X,X,X
TISLOJZ,O,X,O,X,X,X,O,X
TISLOZJ,O,X,X,X,X,X,X,X
TISJLZO,O,O,O,X,X,X,X,X
TISJLOZ,X,X,O,X,X,X,O,X
TISJZLO,O,O,O,X,X,X,X,X
TISJZOL,O,X,X,X,X,X,X,X
TISJOLZ,O,X,X,X,X,X,X,X
TISJOZL,O,X,X,X,X,X,X,X
TISZLJO,O,O,O,X,X,X,X,X
TISZLOJ,O,X,X,X,X,X,X,X
TISZJLO,O,O,O,X,X,X,X,X
TISZJOL,O,X,X,X,X,X,X,X
TISZOLJ,O,X,X,X,X,X,X,X
TISZOJL,O,X,X,X,X,X,X,X
TISOLJZ,O,X,X,X,X,X,O,X
TISOLZJ,O,X,X,X,X,X,X,X
TISOJLZ,O,X,X,X,X,X,O,X
TISOJZL,O,X,X,X,X,X,X,X
TISOZLJ,O,X,X,X,X,X,X,X
TISOZJL,O,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,X,X,X,X
TIZLJOS,X,X,X,X,X,X,X,X
TIZLSJO,X,X,X,X,X,X,X,X
TIZLSOJ,X,X,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,X,X
TIZLOSJ,X,X,X,X,X,X,X,X
TIZJLSO,X,X,X,X,X,X,X,X
TIZJLOS,X,X,X,X,X,X,X,X
TIZJSLO,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,X,O,X,X
TIZJOLS,X,X,X,X,X,X,X,X
TIZJOSL,X,X,X,X,X,O,X,X
TIZSLJO,X,X,X,X,X,X,O,X
TIZSLOJ,X,X,X,X,X,X,O,X
TIZSJLO,X,X,X,X,X,X,O,X
TIZSJOL,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,X,X,X,O,X
TIZSOJL,X,X,X,X,X,X,O,X
TIZOLJS,X,X,X,X,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X
TIZOJLS,X,X,X,X,X,X,X,X
TIZOJSL,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,X,X,X,O,X
TIZOSJL,X,X,X,X,X,X,O,X
TIOLJSZ,O,X,X,X,X,X,O,X
TIOLJZS,X,X,X,X,X,X,X,X
TIOLSJZ,O,X,X,X,X,X,X,X
TIOLSZJ,O,X,X,X,X,X,X,X
TIOLZJS,X,X,X,X,X,X,X,X
TIOLZSJ,X,X,X,X,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,X
TIOJLZS,X,X,X,X,X,X,X,X
TIOJSLZ,O,X,X,X,X,X,X,X
TIOJSZL,O,X,X,X,X,X,X,X
TIOJZLS,X,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,X,X,X,O,X
TIOSLZJ,O,X,X,X,X,X,X,X
TIOSJLZ,O,X,X,X,X,X,O,X
TIOSJZL,O,X,X,X,X,X,X,X
TIOSZLJ,O,X,X,X,X,X,X,X
TIOSZJL,O,X,X,X,X,X,X,X
TIOZLJS,X,X,X,X,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X
TIOZJLS,X,X,X,X,X,X,X,X
TIOZJSL,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,X,X,X,O,X
TIOZSJL,X,X,X,X,X,X,O,X
TLIJSZO,O,O,O,X,X,X,X,X
TLIJSOZ,X,X,O,X,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X
TLIJZOS,X,X,X,X,X,X,X,X
TLIJOSZ,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X
TLISJZO,O,O,O,X,X,X,X,X
TLISJOZ,X,X,O,X,X,X,O,X
TLISZJO,O,O,O,X,X,X,X,X
TLISZOJ,O,X,X,X,X,X,X,X
TLISOJZ,O,X,O,X,X,X,O,X
TLISOZJ,O,X,X,X,X,X,X,X
TLIZJSO,X,X,X,X,X,X,X,X
TLIZJOS,X,X,X,X,X,X,X,X
TLIZSJO,X,X,X,X,X,X,X,X
TLIZSOJ,X,X,X,X,X,X,X,X
TLIZOJS,X,X,X,X,X,X,X,X
TLIZOSJ,X,X,X,X,X,X,X,X
TLIOJSZ,O,X,O,X,X,X,O,X
TLIOJZS,X,X,X,X,X,X,X,X
TLIOSJZ,O,X,O,X,X,X,X,X
TLIOSZJ,O,X,X,X,X,X,X,X
TLIOZJS,X,X,X,X,X,X,X,X
TLIOZSJ,X,X,X,X,X,X,X,X
TLJISZO,O,O,O,X,X,X,X,X
TLJISOZ,X,X,O,X,X,X,X,X
TLJIZSO,X,X,X,X,X,X,X,X
TLJIZOS,X,X,X,X,O,X,X,X
TLJIOSZ,X,X,O,X,X,X,X,X
TLJIOZS,X,X,X,X,O,X,X,X
TLJSIZO,O,O,O,X,X,X,X,X
TLJSIOZ,X,X,O,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,X
TLJSZOI,X,O,O,X,X,X,X,X
TLJSOIZ,X,X,O,X,X,X,X,X
TLJSOZI,X,X,O,X,X,X,X,X
TLJZISO,X,X,X,X,X,X,X,X
TLJZIOS,X,X,X,X,O,X,X,X
TLJZSIO,X,X,X,X,X,X,X,X
TLJZSOI,X,X,X,X,X,X,X,X
TLJZOIS,X,X,X,X,O,X,X,X
TLJZOSI,X,X,X,X,O,X,X,X
TLJOISZ,X,X,O,X,X,X,X,X
TLJOIZS,X,X,X,X,O,X,X,X
TLJOSIZ,X,X,O,X,X,X,X,X
TLJOSZI,X,X,O,X,X,X,X,X
TLJOZIS,X,X,X,X,O,X,X,X
TLJOZSI,X,X,X,X,O,X,X,X
TLSIJZO,O,O,O,X,X,X,X,X
TLSIJOZ,X,X,O,X,X,X,O,X
TLSIZJO,O,O,O,X,X,X,X,X
TLSIZOJ,O,X,X,X,X,X,X,X
TLSIOJZ,O,X,O,X,X,X,O,X
TLSIOZJ,O,X,X,X,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X,X
TLSJIOZ,X,X,O,X,X,X,O,X
TLSJZIO,O,O,O,X,X,X,X,X
TLSJZOI,X,O,O,X,X,X,X,X
TLSJOIZ,X,X,O,X,X,X,X,X
TLSJOZI,X,X,O,X,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X,X
TLSZIOJ,O,X,X,X,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X,X
TLSZJOI,X,O,O,X,X,X,X,X
TLSZOIJ,O,X,X,X,X,X,X,X
TLSZOJI,O,X,X,X,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,O,X
TLSOIZJ,O,X,X,X,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,O,X
TLSOJZI,O,X,O,X,X,X,X,X
TLSOZIJ,O,X,X,X,X,X,X,X
TLSOZJI,O,X,X,X,X,X,X,X
TLZIJSO,X,X,X,X,X,X,X,X
TLZIJOS,X,X,X,X,X,X,X,X
TLZISJO,X,X,X,X,X,X,X,X
TLZISOJ,X,X,X,X,X,X,X,X
TLZIOJS,X,X,X,X,X,X,X,X
TLZIOSJ,X,X,X,X,X,X,X,X
TLZJISO,X,X,X,X,X,X,X,X
TLZJIOS,X,X,X,X,O,X,X,X
TLZJSIO,X,X,X,X,X,X,X,X
TLZJSOI,X,X,X,X,X,X,X,X
TLZJOIS,X,X,X,X,O,X,X,X
TLZJOSI,X,X,X,X,O,X,X,X
TLZSIJO,X,X,X,X,X,X,X,X
TLZSIOJ,X,X,X,X,X,X,X,X
TLZSJIO,X,X,X,X,X,X,X,X
TLZSJOI,X,X,X,X,X,X,X,X
TLZSOIJ,X,X,X,X,X,X,X,X
TLZSOJI,X,X,X,X,X,X,X,X
TLZOIJS,X,X,X,X,X,X,X,X
TLZOISJ,X,X,X,X,X,X,X,X
TLZOJIS,X,X,X,X,O,X,X,X
TLZOJSI,X,X,X,X,O,X,X,X
TLZOSIJ,X,X,X,X,X,X,X,X
TLZOSJI,X,X,X,X,X,X,X,X
TLOIJSZ,O,X,O,X,X,X,O,X
TLOIJZS,X,X,X,X,X,X,X,X
TLOISJZ,O,X,O,X,X,X,X,X
TLOISZJ,O,X,X,X,X,X,X,X
