sequence,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?XgBlhBcqBerB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?FlBXmBiqB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je08IvhFxdBCjB?FlBXmBmqBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBxhB?GiBFmB0qBiqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je/AJvhFRcBGeB?ThBliBUlByvB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBlgB?GiBaqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je07IvhFxcBTeB?VlBGiBiqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex8IvhFTeBGiB?UlBFmBKqBfrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBlhB?RlBOqBXmB0qB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex9IvhF0gBlhB?CjBXgBOrBTqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Je6CJvhFTeBRhB?UlBFmBOqBXrB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?lgB3hBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT7IvhFXhBxiB?lhBCjBmqBUqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8JeT+IvhFXgBZmB?CiBGiBcqBlqB,v115@zgB8HeB8HeA8EeA8AeD8CeG8CeE8Jex7IvhF6iBTeB?fmBlhBUlB2vB
TILJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILJOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TILSJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSJOZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TILSZJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSZOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSOJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
TILSOZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TILZJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TILZJOS,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TILZSJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TILZSOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TILZOSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TILOJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TILOSJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
TILOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TILOZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TILOZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIJLSZO,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJLOZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJSLZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJSZOL,X,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TIJSOLZ,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,X,O,X,O,X,X,O,X,X,X,X,X,O,X,X
TIJZLSO,O,X,X,X,O,X,X,O,X,X,X,X,X,X,X
TIJZLOS,O,X,X,X,O,X,O,O,X,X,X,X,X,X,X
TIJZSLO,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TIJZOLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJZOSL,O,X,X,X,O,X,O,X,X,X,X,X,O,X,X
TIJOLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIJOLZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIJOSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIJOSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIJOZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIJOZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TISLJZO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLJOZ,X,X,O,X,X,X,X,X,O,X,X,X,X,X,X
TISLZJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLZOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISLOJZ,O,X,O,O,X,X,X,X,O,X,X,X,X,O,X
TISLOZJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TISJLZO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJLOZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZLO,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJZOL,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TISJOLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISJOZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISZLJO,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZLOJ,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TISZJLO,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZJOL,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOLJ,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TISZOJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TISOLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISOJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIZLJSO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZLJOS,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X
TIZLSJO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZLSOJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZLOJS,O,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TIZLOSJ,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZJLSO,X,X,X,X,O,X,X,O,X,X,O,X,X,X,X
TIZJLOS,X,X,X,X,O,X,O,O,X,X,O,X,X,X,X
TIZJSLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZJSOL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZJOLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZJOSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIZSLOJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZSJLO,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSJOL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIZSOLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIZSOJL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIZOLJS,O,X,X,X,X,X,O,X,O,X,O,X,X,X,X
TIZOLSJ,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TIZOJLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIZOJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIZOSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIZOSJL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TIOLJSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOLJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TIOLSJZ,O,X,X,O,X,X,O,X,O,X,X,X,X,O,X
TIOLSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,O,X
TIOLZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TIOLZSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIOJLSZ,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIOJLZS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TIOJSLZ,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TIOJZLS,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
TIOJZSL,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOSLJZ,O,X,X,O,X,X,X,X,O,X,X,X,X,O,X
TIOSLZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TIOSJLZ,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSZJL,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOZLJS,O,X,X,X,X,X,O,X,O,O,O,X,X,X,X
TIOZLSJ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X
TIOZJLS,X,X,X,X,X,X,O,O,X,X,O,X,X,X,X
TIOZJSL,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TIOZSLJ,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X
TIOZSJL,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X
TLIJSZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLIJSOZ,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLIJZSO,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TLIJZOS,O,X,X,X,O,X,O,X,O,X,X,X,X,X,X
TLIJOSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIJOZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLISJZO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLISJOZ,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TLISZJO,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLISZOJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TLISOJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
TLISOZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TLIZJSO,X,X,X,X,O,X,O,X,X,X,O,X,X,X,X
TLIZJOS,X,X,X,X,O,X,O,X,O,X,O,X,X,X,X
TLIZSJO,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X
TLIZSOJ,X,X,O,X,O,X,O,X,X,X,O,X,X,X,X
TLIZOJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLIZOSJ,X,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLIOJSZ,O,X,X,X,X,O,O,X,O,X,X,X,X,X,X
TLIOJZS,O,X,X,X,O,X,O,X,O,O,X,X,X,X,X
TLIOSJZ,O,X,O,O,X,X,O,X,O,X,X,X,X,O,X
TLIOSZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O,X
TLIOZJS,O,X,X,X,O,X,O,X,O,O,O,X,X,X,X
