sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
IZTSJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZTSJOL,O,X,X,O,X,X,O,O,X,X,X,O,O,X,O,X
IZTSOLJ,O,X,O,O,X,X,O,O,X,X,X,X,O,X,X,X
IZTSOJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZTOLJS,X,X,X,O,X,X,O,X,X,X,O,X,O,X,O,X
IZTOLSJ,X,X,X,O,X,X,O,X,X,X,O,X,O,X,X,X
IZTOJLS,O,X,X,O,X,O,O,X,X,X,O,X,O,X,O,X
IZTOJSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
IZTOSLJ,O,X,X,O,X,X,O,O,X,X,O,X,O,X,X,X
IZTOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IZLTJSO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
IZLTJOS,O,X,X,X,X,O,O,O,O,X,O,X,X,X,O,X
IZLTSJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLTSOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZLTOJS,X,X,X,O,X,O,O,O,O,X,O,X,X,X,O,X
IZLTOSJ,X,X,X,O,X,O,O,O,X,X,O,X,X,X,X,X
IZLJTSO,O,X,X,X,X,O,X,O,O,X,O,X,X,X,X,X
IZLJTOS,O,X,X,X,X,O,X,X,O,X,O,X,X,X,O,X
IZLJSTO,O,X,X,O,X,O,X,O,O,X,O,X,X,X,X,X
IZLJSOT,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLJOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,X
IZLJOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,X
IZLSTJO,O,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X
IZLSTOJ,X,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLSJTO,O,X,X,O,X,O,X,O,O,X,X,X,X,X,X,X
IZLSJOT,O,X,X,O,X,O,X,O,O,X,X,X,O,X,X,X
IZLSOTJ,X,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
IZLSOJT,O,X,X,O,O,O,X,O,O,X,X,X,O,X,X,X
IZLOTJS,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X
IZLOTSJ,X,X,X,X,O,O,O,O,X,X,X,X,O,X,X,X
IZLOJTS,X,X,X,X,X,O,O,X,O,X,X,X,O,X,X,X
IZLOJST,X,X,X,X,X,O,O,O,O,X,X,X,O,X,X,X
IZLOSTJ,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
IZLOSJT,X,X,X,X,O,O,O,O,O,X,X,X,O,X,X,X
IZJTLSO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IZJTLOS,O,X,X,X,X,X,O,O,O,X,O,X,X,X,O,X
IZJTSLO,O,X,X,O,X,X,X,O,X,X,O,X,X,X,X,X
IZJTSOL,O,X,X,O,X,X,O,O,X,X,X,X,X,X,O,X
IZJTOLS,O,X,X,O,X,X,O,X,X,X,O,X,O,X,O,O
IZJTOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,O
IZJLTSO,O,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X
IZJLTOS,O,X,X,X,X,X,X,X,O,X,O,X,X,X,O,X
IZJLSTO,O,X,X,O,X,X,X,O,O,X,O,X,X,X,X,X
IZJLSOT,O,X,X,O,X,X,X,O,O,X,X,X,X,X,X,X
IZJLOTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
IZJLOST,O,X,X,X,X,X,O,O,O,X,X,X,O,X,X,O
IZJSTLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZJSTOL,O,X,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZJSLTO,O,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X
IZJSLOT,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X
IZJSOTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IZJSOLT,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O
IZJOTLS,O,X,X,X,X,X,O,X,X,X,X,X,O,X,O,O
IZJOTSL,O,X,X,X,X,X,O,O,X,X,X,O,X,X,O,O
IZJOLTS,O,X,X,X,X,X,O,X,O,X,O,X,O,X,X,O
IZJOLST,O,X,X,X,X,X,O,X,O,X,X,O,O,X,X,O
IZJOSTL,O,X,X,X,X,X,X,X,X,X,X,O,O,X,X,O
IZJOSLT,O,X,X,O,X,X,O,X,X,X,X,O,O,X,X,O
IZSTLJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSTLOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSTJLO,O,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X
IZSTJOL,O,X,X,O,X,O,O,X,X,O,X,O,O,X,O,X
IZSTOLJ,O,X,O,O,O,X,O,O,X,X,X,X,O,X,X,X
IZSTOJL,O,X,X,O,O,O,O,X,X,O,X,X,X,X,O,X
IZSLTJO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLTOJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSLJOT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZSLOTJ,X,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IZSLOJT,O,X,X,O,O,O,X,X,X,X,X,X,O,X,X,X
IZSJTLO,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
IZSJTOL,O,X,X,O,X,X,X,O,X,O,X,O,O,X,O,X
IZSJLTO,O,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
IZSJLOT,O,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X
IZSJOTL,O,X,X,X,O,X,X,X,X,X,X,O,O,X,X,X
IZSJOLT,O,X,X,O,O,X,O,X,X,X,X,O,O,X,X,X
IZSOTLJ,X,X,O,O,O,X,O,X,X,X,X,X,O,X,X,X
IZSOTJL,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZSOLTJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IZSOLJT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IZSOJTL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZSOJLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
IZOTLJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IZOTLSJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IZOTJLS,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IZOTJSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O
IZOTSLJ,O,X,X,O,O,X,O,O,X,X,X,X,O,X,X,O
IZOTSJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IZOLTJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IZOLTSJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IZOLJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IZOLJST,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IZOLSTJ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IZOLSJT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IZOJTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
IZOJTSL,O,X,X,X,X,X,O,O,X,O,X,X,X,X,O,O
IZOJLTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IZOJLST,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IZOJSTL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IZOJSLT,O,X,X,O,X,X,O,X,O,O,X,X,O,X,X,O
IZOSTLJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IZOSTJL,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IZOSLTJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IZOSLJT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IZOSJTL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IZOSJLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
IOTLJSZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLJZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTLSJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLSZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTLZJS,X,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTLZSJ,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTJLSZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJLZS,X,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTJSLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTJSZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTJZLS,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTJZSL,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X
IOTSLJZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSLZJ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJLZ,O,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOTSJZL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTSZLJ,O,X,O,O,O,X,X,X,X,X,X,X,X,X,X,X
IOTSZJL,O,X,X,O,O,X,X,X,X,X,X,X,X,X,O,X
IOTZLJS,X,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTZLSJ,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZJLS,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTZJSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
IOTZSLJ,O,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X
IOTZSJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOLTJSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOLTSJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTSZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLTZJS,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X
IOLTZSJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLJTSZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJTZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOLJSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOLJSZT,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,O
IOLJZTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLJZST,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLSTJZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSTZJ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSJZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOLSZTJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLSZJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOLZTJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOLZTSJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOLZJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLZJST,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOLZSTJ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOLZSJT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOJTLSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJTLZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOJTSLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJTSZL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,O,X
IOJTZLS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O
IOJTZSL,O,X,X,X,X,X,X,X,X,O,X,X,X,X,O,O
IOJLTSZ,O,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLTZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O
IOJLSTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJLSZT,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOJLZTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJLZST,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOJSTLZ,O,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOJSTZL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOJSLTZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IOJSLZT,X,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOJSZTL,O,X,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOJSZLT,O,X,X,X,O,X,X,X,O,O,X,X,X,X,X,O
IOJZTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
IOJZTSL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOJZLTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOJZLST,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOJZSTL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IOJZSLT,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOSTLJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTLZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTJZL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZLJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSTZJL,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTJZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLTZJ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLJZT,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSLZTJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSLZJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSJTLZ,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJTZL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSJLTZ,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X
IOSJLZT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSJZTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSJZLT,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSZTLJ,X,X,O,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZTJL,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOSZLTJ,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZLJT,X,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X
IOSZJTL,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X,X
IOSZJLT,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X
IOZTLJS,X,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IOZTLSJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOZTJLS,O,X,X,O,X,X,O,X,X,X,X,X,O,X,O,O
IOZTJSL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,O
IOZTSLJ,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,O
IOZTSJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
IOZLTJS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,X
IOZLTSJ,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X
IOZLJTS,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOZLJST,X,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOZLSTJ,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOZLSJT,X,X,X,X,O,X,O,X,O,X,X,X,O,X,X,X
IOZJTLS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,O,O
IOZJTSL,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,O
IOZJLTS,O,X,X,X,X,X,O,X,O,X,X,X,O,X,X,O
IOZJLST,O,X,X,X,X,X,O,X,O,O,X,X,O,X,X,O
IOZJSTL,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,O
IOZJSLT,O,X,X,O,X,X,O,X,O,O,X,X,O,X,X,O
IOZSTLJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOZSTJL,X,X,X,O,O,X,O,X,X,O,X,X,X,X,X,X
IOZSLTJ,X,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOZSLJT,O,X,X,O,O,X,O,X,X,X,X,X,O,X,X,X
IOZSJTL,O,X,X,X,O,X,X,X,X,O,X,X,O,X,X,X
IOZSJLT,O,X,X,O,O,X,O,X,X,O,X,X,O,X,X,X
LTIJSZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJSOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
LTIJZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X
LTIJOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTIJOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTISJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTISJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTISOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTISOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIZJSO,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
LTIZJOS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X
LTIZSJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTIZSOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTIZOJS,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,X
LTIZOSJ,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X
LTIOJSZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTIOJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
LTIOSJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTIOZJS,X,O,O,O,X,X,X,O,O,X,X,X,X,O,O,X
LTIOZSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
LTJISZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJISOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIZSO,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X
LTJIZOS,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X
LTJIOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LTJSIZO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJSIOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJSZIO,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJSZOI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTJSOIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
LTJSOZI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
LTJZISO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJZIOS,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJZSIO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJZSOI,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
LTJZOIS,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJZOSI,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJOISZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
LTJOIZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
LTJOSIZ,O,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X
LTJOSZI,O,O,X,X,X,X,X,O,X,X,X,X,X,O,X,X
LTJOZIS,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
LTJOZSI,X,O,X,X,X,X,X,O,O,X,O,X,X,O,X,X
LTSIJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
LTSIJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSIOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSIOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSJIZO,O,O,O,X,X,O,X,X,O,X,X,X,X,X,X,X
LTSJIOZ,O,O,O,X,X,O,X,O,O,X,X,X,X,X,X,X
LTSJZIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
LTSJZOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSJOIZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSJOZI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZIJO,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
LTSZIOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZJIO,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
LTSZJOI,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZOIJ,O,O,O,X,X,O,X,O,X,X,X,X,X,O,X,X
LTSZOJI,O,O,O,X,X,O,X,O,O,X,X,X,X,O,X,X
LTSOIJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
LTSOIZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTSOJIZ,O,O,O,X,O,O,X,O,O,X,X,X,X,X,X,X
LTSOJZI,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTSOZIJ,O,O,O,X,O,O,X,O,X,X,X,X,X,O,X,X
LTSOZJI,O,O,O,X,O,O,X,O,O,X,X,X,X,O,X,X
LTZIJSO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZIJOS,O,X,O,X,X,O,O,O,O,X,O,X,X,O,O,X
LTZISJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
LTZISOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
LTZIOJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
LTZIOSJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
LTZJISO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZJIOS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
LTZJSIO,O,X,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZJSOI,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
LTZJOIS,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
LTZJOSI,O,O,O,X,X,O,O,O,O,X,O,X,X,O,X,X
LTZSIJO,O,X,O,O,X,O,X,O,O,X,X,X,X,X,X,X
LTZSIOJ,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
LTZSJIO,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZSJOI,O,O,O,O,X,O,X,O,O,X,X,X,X,O,X,X
LTZSOIJ,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZSOJI,O,O,O,O,X,O,X,O,O,X,O,X,X,O,X,X
LTZOIJS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,O,X
LTZOISJ,X,O,O,O,X,O,O,O,X,X,O,X,X,O,X,X
LTZOJIS,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
LTZOJSI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
LTZOSIJ,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
LTZOSJI,X,O,O,O,X,O,O,O,O,X,O,X,X,O,X,X
LTOIJSZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
LTOIJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
LTOISJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOISZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
LTOIZJS,X,O,O,O,X,X,X,O,O,X,O,X,X,O,O,X
