sequence,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFCbBTcBeiBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFygBzcBOkBfqB0q?BlrB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFqfBmbBzcB0gB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFGbB/hBaiBzfBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFVhBaiBUgBfqBTr?BGqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFmcBKkBzfBFhBcq?B3rB,v115@6gC8GeC8GeC8FeF8AeG8JeZ/IvhFWgBicBzhBXgBUm?BFqB,v115@6gC8GeC8GeC8FeF8AeG8JeT6IvhF/gBRcBOmB8mBik?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jel6IvhFRcBKkBXgBmhBcq?BTrB,v115@6gC8GeC8GeC8FeF8AeG8JeR8IvhF/kBFgBmhBcqBTr?BipB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBckBTgB2mB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhFTfB/lBFhB8mBim?BmpB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBXhB8mBTkB2q?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jex6IvhF8gBzcB2kBlmB3k?BiqB,v115@6gC8GeC8GeC8FeF8AeG8JecAJvhF2hBTfBRmBikB3m?BFqB,v115@6gC8GeC8GeC8FeF8AeG8Jei6IvhFRcBFgB2mBTkBcq?B3rB
TISJOZL,O,O,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TISZLJO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZLOJ,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJLO,O,O,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TISZJOL,O,O,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TISZOLJ,O,O,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TISZOJL,O,O,O,O,O,X,O,X,X,X,X,X,X,X,O,X
TISOLJZ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISOLZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TISOJLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TISOJZL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TISOZLJ,O,O,O,O,O,X,X,X,X,X,X,X,X,X,X,X
TISOZJL,O,O,O,O,O,X,X,X,X,X,X,X,X,X,O,X
TIZLJSO,O,X,O,O,X,X,X,O,X,X,O,X,X,O,X,X
TIZLJOS,O,X,O,X,X,X,O,O,X,X,O,X,X,O,O,X
TIZLSJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZLSOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,O,X,X
TIZLOJS,X,X,O,O,X,X,O,O,X,X,O,X,X,O,O,X
TIZLOSJ,X,X,O,O,X,X,O,O,X,X,O,X,X,O,X,X
TIZJLSO,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJLOS,O,X,O,X,X,X,O,O,X,X,O,X,X,X,O,X
TIZJSLO,O,X,O,O,X,X,X,O,X,X,O,X,X,X,X,X
TIZJSOL,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZJOLS,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIZJOSL,O,X,X,O,X,X,O,O,X,X,O,X,X,X,O,X
TIZSLJO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSLOJ,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJLO,O,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIZSJOL,O,X,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TIZSOLJ,O,X,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TIZSOJL,O,X,O,O,X,X,O,X,X,X,X,X,X,X,O,X
TIZOLJS,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIZOLSJ,X,X,X,O,X,X,O,X,X,X,O,X,X,O,X,X
TIZOJLS,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIZOJSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TIZOSLJ,O,X,X,O,X,X,O,O,X,X,O,X,X,O,X,X
TIZOSJL,O,X,X,O,X,X,O,X,X,X,X,X,X,X,O,X
TIOLJSZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLJZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,O,X
TIOLSJZ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLSZJ,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOLZJS,X,O,O,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOLZSJ,X,O,O,O,O,X,O,X,X,X,O,X,X,X,X,X
TIOJLSZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJLZS,X,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOJSLZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOJSZL,O,O,X,O,O,X,X,X,X,X,O,X,X,X,O,X
TIOJZLS,O,O,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOJZSL,O,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X
TIOSLJZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSLZJ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJLZ,O,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X
TIOSJZL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIOSZLJ,O,O,O,O,O,X,X,X,X,X,O,X,X,X,X,X
TIOSZJL,O,O,X,O,O,X,X,X,X,X,X,X,X,X,O,X
TIOZLJS,X,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIOZLSJ,X,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X
TIOZJLS,O,X,X,O,X,X,O,X,X,X,O,X,X,O,O,X
TIOZJSL,O,X,X,O,X,X,O,X,X,X,O,X,X,X,O,X
TIOZSLJ,O,X,X,O,O,X,O,X,X,X,O,X,X,O,X,X
TIOZSJL,O,X,X,O,O,X,O,X,X,X,X,X,X,X,O,X
TLIJSZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJSOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJZSO,O,X,O,X,X,X,X,X,O,X,X,X,X,O,X,X
TLIJZOS,O,O,O,X,X,X,X,X,O,X,X,X,X,O,O,X
TLIJOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLIJOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLISJZO,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X,X
TLISJOZ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISZJO,O,X,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISZOJ,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TLISOJZ,O,O,O,X,O,O,X,O,X,X,X,X,X,X,X,X
TLISOZJ,O,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIZJSO,O,X,O,O,X,O,X,O,O,X,X,X,X,O,X,X
TLIZJOS,O,X,O,X,X,O,O,O,O,X,X,X,X,O,O,X
TLIZSJO,O,X,O,O,X,O,X,O,X,X,X,X,X,X,X,X
TLIZSOJ,O,X,O,O,X,O,X,O,X,X,X,X,X,O,X,X
TLIZOJS,X,O,O,O,X,O,O,O,O,X,X,X,X,O,O,X
TLIZOSJ,X,O,O,O,X,X,O,O,X,X,X,X,X,O,X,X
TLIOJSZ,X,O,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TLIOJZS,X,O,X,O,X,X,X,X,O,X,X,X,X,O,O,X
TLIOSJZ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOSZJ,X,O,O,X,O,X,X,O,X,X,X,X,X,X,X,X
TLIOZJS,X,O,O,O,X,X,X,O,O,X,X,X,X,O,O,X
TLIOZSJ,X,O,O,O,O,X,X,O,X,X,X,X,X,O,X,X
TLJISZO,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJISOZ,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIZSO,O,X,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TLJIZOS,O,O,O,X,X,X,X,X,O,X,O,X,X,O,X,X
TLJIOSZ,O,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X
TLJSIZO,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X
TLJSIOZ,O,O,O,X,X,X,X,O,O,X,X,X,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X,O,O,X,X,X,X,O,X,X
TLJSZOI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJSOIZ,O,O,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TLJSOZI,O,O,O,X,X,X,X,O,X,X,X,X,X,O,X,X
TLJZISO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJZIOS,O,O,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJZSIO,O,X,O,X,X,X,X,O,O,X,O,X,X,O,X,X
TLJZSOI,O,X,O,X,X,X,X,O,O,X,X,X,X,O,X,X
