sequence,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcB3fBGhBllBUq?BTrB,v115@6gC8FeD8FeE8EeF8DeD8Jem6IvhFRcBTfB3gBcmBFq?BSwB,v115@6gC8FeD8FeE8EeF8DeD8Je06IvhFlbB3cB2kBSqBTm?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhF/kBUgBFhB+rBim?BTqB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFKgBRcBFhB0kB+r?B3qB,v115@6gC8FeD8FeE8EeF8DeD8JeK/IvhFzaBRcBGhB/rBFq?B0qB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFuhBRgB0kBllBTr?B3qB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFTfB/lBFhB+rBim?BUqB,v115@6gC8FeD8FeE8EeF8DeD8Jex6IvhFuhBifBfqBllBTr?B8qB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhF/gBUcBumBlkByq?BxvB,v115@6gC8FeD8FeE8EeF8DeD8Jei6IvhFRcBFgB0kBGmB3q?BTrB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFxgB3hBlkBcqBml?BSwB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhF/kBThB0lBFlBSw?BmpB,v115@6gC8FeD8FeE8EeF8DeD8JeT6IvhFibBUhBxkBFqBXr?BurB,v115@6gC8FeD8FeE8EeF8DeD8JeR8IvhFTfB0gBFqBXrB6r?BmpB
TILJSZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJSOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJOSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TILJOZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILSJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
TILSJOZ,X,X,O,X,X,O,X,X,X,O,X,X,X,X,X
TILSZJO,X,O,O,X,X,O,X,X,X,O,X,X,X,O,O
TILSZOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,O,O
TILSOJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,O,O
TILZJSO,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZSJO,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TILZSOJ,X,O,X,X,X,O,X,X,X,O,X,X,X,X,X
TILZOJS,X,O,X,X,X,X,X,X,X,X,X,O,X,X,X
TILZOSJ,X,O,X,X,X,O,X,X,X,O,X,O,X,X,X
TILOJSZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TILOJZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOSJZ,X,O,O,X,X,O,X,X,X,O,X,O,X,X,X
TILOSZJ,X,X,O,X,X,O,X,X,X,O,X,O,O,O,X
TILOZJS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TILOZSJ,X,O,O,X,X,O,X,X,X,O,X,O,O,X,X
TIJLSZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJLSOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJLZSO,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLZOS,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,X,X,O,X,O,O,X,X,X,O,X,X,X,X,O
TIJSLOZ,X,X,O,X,O,O,X,X,X,O,X,X,X,X,X
TIJSZLO,X,X,O,X,O,O,X,X,X,X,X,X,X,O,X
TIJSZOL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIJSOLZ,X,X,X,X,O,O,X,X,X,O,X,X,X,X,X
TIJSOZL,X,X,O,X,O,X,X,X,X,O,X,X,X,O,X
TIJZLSO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZLOS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSLO,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZSOL,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOLS,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TIJZOSL,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJOLSZ,X,O,O,X,X,X,X,X,X,O,X,O,X,X,X
TIJOLZS,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X
TIJOSLZ,X,O,O,X,O,X,X,X,X,O,X,O,X,X,X
TIJOSZL,X,X,O,X,O,X,X,X,X,O,X,O,X,O,X
TIJOZLS,X,O,O,X,O,X,X,X,X,X,X,O,X,X,X
TIJOZSL,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X
TISLJZO,X,X,O,X,X,O,X,X,X,O,X,X,X,X,O
