sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
TSOZIJL,X,O,X,O,X,X,O,X,X
TSOZLIJ,X,O,X,O,X,X,O,X,X
TSOZLJI,X,O,X,O,X,X,X,X,X
TSOZJIL,X,O,O,X,O,X,O,X,X
TSOZJLI,X,O,O,O,O,X,X,X,X
TZILJSO,O,X,X,O,X,X,X,X,X
TZILJOS,O,X,X,O,X,X,X,X,X
TZILSJO,O,X,X,O,X,X,X,X,X
TZILSOJ,O,O,X,O,X,X,O,X,X
TZILOJS,O,X,X,O,X,X,X,X,X
TZILOSJ,O,O,X,O,X,X,O,X,X
TZIJLSO,X,O,X,O,X,X,X,X,X
TZIJLOS,X,O,X,O,X,X,X,X,X
TZIJSLO,X,O,X,O,X,X,X,X,X
TZIJSOL,X,O,X,O,X,X,O,X,X
TZIJOLS,X,O,X,O,X,X,X,X,X
TZIJOSL,X,O,X,O,X,X,O,X,X
TZISLJO,X,X,X,O,X,X,X,X,X
TZISLOJ,X,O,X,O,X,X,O,X,X
TZISJLO,X,O,X,O,X,X,X,X,X
TZISJOL,X,O,X,O,X,X,O,X,X
TZISOLJ,X,O,X,O,X,X,O,X,X
TZISOJL,X,O,X,O,X,X,O,X,X
TZIOLJS,O,X,X,O,X,X,X,X,X
TZIOLSJ,O,O,X,O,X,X,O,X,X
TZIOJLS,X,O,X,O,X,X,X,X,X
TZIOJSL,X,O,X,O,X,X,O,X,X
TZIOSLJ,X,O,X,O,X,X,O,X,X
TZIOSJL,X,O,X,O,X,X,O,X,X
TZLIJSO,O,O,X,O,X,X,X,X,X
TZLIJOS,O,O,X,O,X,X,X,X,X
TZLISJO,O,O,X,O,X,X,X,X,X
TZLISOJ,O,O,X,O,X,X,O,X,X
TZLIOJS,O,O,X,O,X,X,X,X,X
TZLIOSJ,O,O,X,O,X,X,O,X,X
TZLJISO,O,O,X,O,X,X,X,X,X
TZLJIOS,O,O,X,O,X,X,X,X,X
TZLJSIO,O,O,X,X,X,X,X,X,X
TZLJSOI,O,O,X,O,X,X,X,X,X
TZLJOIS,O,O,X,O,X,X,X,X,X
TZLJOSI,O,O,X,O,X,X,X,X,X
TZLSIJO,O,O,X,O,X,X,X,X,X
TZLSIOJ,O,O,X,O,X,X,O,X,X
TZLSJIO,O,O,X,X,X,X,X,X,X
TZLSJOI,O,O,X,O,X,X,X,X,X
TZLSOIJ,O,O,X,O,X,X,O,X,X
TZLSOJI,O,O,X,O,X,X,X,X,X
TZLOIJS,O,O,X,O,X,X,X,X,X
TZLOISJ,O,O,X,O,X,X,O,X,X
TZLOJIS,O,O,X,O,X,X,X,X,X
TZLOJSI,O,O,X,O,X,X,X,X,X
TZLOSIJ,O,O,X,O,X,X,O,X,X
TZLOSJI,O,O,X,O,X,X,X,X,X
TZJILSO,X,O,O,O,O,X,X,X,X
TZJILOS,X,O,O,O,O,X,X,X,X
TZJISLO,X,O,O,O,O,X,X,O,X
TZJISOL,X,O,O,O,O,X,O,O,X
TZJIOLS,X,O,O,O,O,X,X,X,X
TZJIOSL,X,O,O,O,O,X,O,O,X
TZJLISO,X,O,O,O,O,X,X,X,X
TZJLIOS,X,O,O,O,O,X,X,X,X
TZJLSIO,X,O,O,X,O,X,X,O,X
TZJLSOI,X,O,O,O,O,X,X,O,X
TZJLOIS,X,O,O,O,O,X,X,X,X
TZJLOSI,X,O,O,O,O,X,X,O,X
TZJSILO,X,O,O,X,O,X,X,O,X
TZJSIOL,X,O,O,X,O,X,O,O,X
TZJSLIO,X,O,O,X,O,X,X,O,X
TZJSLOI,X,O,O,O,O,X,X,O,X
TZJSOIL,X,O,O,X,O,X,O,O,X
TZJSOLI,X,O,O,O,O,X,X,O,X
TZJOILS,X,O,O,O,O,X,X,X,X
TZJOISL,X,O,O,O,O,X,O,O,X
TZJOLIS,X,O,O,O,O,X,X,X,X
TZJOLSI,X,O,O,O,O,X,X,O,X
TZJOSIL,X,O,O,X,O,X,O,O,X
TZJOSLI,X,O,O,O,O,X,X,O,X
TZSILJO,X,X,X,O,X,X,X,X,X
TZSILOJ,X,O,X,O,X,X,O,X,X
TZSIJLO,X,O,X,O,X,X,X,X,X
TZSIJOL,X,O,X,O,X,X,O,X,X
TZSIOLJ,X,O,X,O,X,X,O,X,X
TZSIOJL,X,O,X,O,X,X,O,X,X
TZSLIJO,X,X,X,O,X,X,X,X,X
TZSLIOJ,X,O,X,O,X,X,O,X,X
TZSLJIO,X,O,X,X,X,X,X,X,X
TZSLJOI,X,O,X,O,X,X,X,X,X
TZSLOIJ,X,O,X,O,X,X,O,X,X
TZSLOJI,X,O,X,O,X,X,X,X,X
TZSJILO,X,O,O,X,O,X,X,X,X
TZSJIOL,X,O,O,X,O,X,O,X,X
TZSJLIO,X,O,O,X,O,X,X,X,X
TZSJLOI,X,O,O,O,O,X,X,X,X
TZSJOIL,X,O,O,X,O,X,O,X,X
TZSJOLI,X,O,O,O,O,X,X,X,X
TZSOILJ,X,O,X,O,X,X,O,X,X
TZSOIJL,X,O,X,O,X,X,O,X,X
TZSOLIJ,X,O,X,O,X,X,O,X,X
TZSOLJI,X,O,X,O,X,X,X,X,X
TZSOJIL,X,O,O,X,O,X,O,X,X
TZSOJLI,X,O,O,O,O,X,X,X,X
TZOILJS,O,X,X,O,X,X,X,X,X
TZOILSJ,O,O,X,O,X,X,O,X,X
TZOIJLS,X,O,X,O,X,X,X,X,X
TZOIJSL,X,O,X,O,X,X,O,X,X
TZOISLJ,X,O,X,O,X,X,O,X,X
TZOISJL,X,O,X,O,X,X,O,X,X
TZOLIJS,O,O,X,O,X,X,X,X,X
TZOLISJ,O,O,X,O,X,X,O,X,X
TZOLJIS,O,O,X,O,X,X,X,X,X
TZOLJSI,O,O,X,O,X,X,X,X,X
TZOLSIJ,O,O,X,O,X,X,O,X,X
TZOLSJI,O,O,X,O,X,X,X,X,X
TZOJILS,X,O,O,O,O,X,X,X,X
TZOJISL,X,O,O,O,O,X,O,O,X
TZOJLIS,X,O,O,O,O,X,X,X,X
TZOJLSI,X,O,O,O,O,X,X,O,X
TZOJSIL,X,O,O,X,O,X,O,O,X
TZOJSLI,X,O,O,O,O,X,X,O,X
TZOSILJ,X,O,X,O,X,X,O,X,X
TZOSIJL,X,O,X,O,X,X,O,X,X
TZOSLIJ,X,O,X,O,X,X,O,X,X
TZOSLJI,X,O,X,O,X,X,X,X,X
TZOSJIL,X,O,O,X,O,X,O,X,X
TZOSJLI,X,O,O,O,O,X,X,X,X
TOILJSZ,X,O,O,O,X,X,X,X,X
TOILJZS,X,O,O,O,X,X,X,X,X
TOILSJZ,X,O,O,O,X,X,X,X,X
TOILSZJ,O,O,X,O,X,X,X,X,X
TOILZJS,O,O,X,O,X,X,X,X,X
TOILZSJ,O,O,X,O,X,X,O,X,X
TOIJLSZ,X,O,O,O,O,X,X,X,X
TOIJLZS,X,O,O,O,X,X,X,X,X
TOIJSLZ,X,O,O,O,O,X,X,X,X
TOIJSZL,X,O,O,O,O,X,X,X,X
TOIJZLS,X,O,O,O,O,X,X,X,X
TOIJZSL,X,O,O,O,O,X,O,O,X
TOISLJZ,X,X,X,O,X,X,X,X,X
TOISLZJ,X,X,X,O,X,X,X,X,X
TOISJLZ,X,O,O,O,O,X,X,X,X
TOISJZL,X,O,O,O,O,X,X,X,X
TOISZLJ,X,O,X,O,X,X,O,X,X
TOISZJL,X,O,X,O,X,X,O,X,X
TOIZLJS,O,X,X,O,X,X,X,X,X
TOIZLSJ,O,O,X,O,X,X,O,X,X
TOIZJLS,X,O,X,O,X,X,X,X,X
TOIZJSL,X,O,X,O,X,X,O,X,X
TOIZSLJ,X,O,X,O,X,X,O,X,X
TOIZSJL,X,O,X,O,X,X,O,X,X
TOLIJSZ,X,O,O,O,X,X,X,X,X
TOLIJZS,X,O,O,O,X,X,X,X,X
TOLISJZ,X,O,O,O,X,X,X,X,X
TOLISZJ,O,O,X,O,X,X,X,X,X
TOLIZJS,O,O,X,O,X,X,X,X,X
TOLIZSJ,O,O,X,O,X,X,O,X,X
TOLJISZ,X,O,O,O,O,O,X,X,X
TOLJIZS,X,O,O,O,X,X,X,X,O
TOLJSIZ,X,O,O,O,O,O,X,X,X
TOLJSZI,O,O,O,O,O,O,X,X,O
TOLJZIS,O,O,O,O,O,O,X,X,O
TOLJZSI,O,O,O,O,O,O,X,O,O
TOLSIJZ,X,O,O,O,X,X,X,X,X
TOLSIZJ,O,O,X,O,X,X,X,X,X
TOLSJIZ,X,O,O,O,O,O,X,X,X
TOLSJZI,O,O,O,O,O,O,X,X,X
TOLSZIJ,O,O,X,O,X,X,O,X,X
TOLSZJI,O,O,O,O,X,X,X,X,X
TOLZIJS,O,O,X,O,X,X,X,X,X
TOLZISJ,O,O,X,O,X,X,O,X,X
TOLZJIS,O,O,O,O,X,X,X,X,X
TOLZJSI,O,O,O,O,X,X,X,X,X
TOLZSIJ,O,O,X,O,X,X,O,X,X
TOLZSJI,O,O,O,O,X,X,X,X,X
TOJILSZ,X,O,O,O,O,O,X,X,X
TOJILZS,X,O,O,O,X,X,X,X,O
TOJISLZ,X,O,O,O,O,X,X,X,X
TOJISZL,X,O,O,O,O,O,X,X,O
TOJIZLS,X,O,O,O,O,O,X,X,O
TOJIZSL,X,O,O,O,O,O,O,O,O
TOJLISZ,X,O,O,O,O,O,X,X,X
TOJLIZS,X,O,O,O,X,X,X,X,O
TOJLSIZ,X,O,O,O,O,O,X,X,X
TOJLSZI,X,O,O,O,O,O,X,X,O
TOJLZIS,X,O,O,O,O,O,X,X,O
TOJLZSI,X,O,O,O,O,O,X,O,O
TOJSILZ,X,O,O,O,O,X,X,X,X
TOJSIZL,X,O,O,O,O,O,X,X,O
TOJSLIZ,X,O,O,O,O,X,X,X,X
TOJSLZI,X,O,O,O,O,X,X,X,O
TOJSZIL,X,O,O,X,O,O,O,O,O
TOJSZLI,X,O,O,O,O,O,X,O,O
TOJZILS,X,O,O,O,O,O,X,X,O
TOJZISL,X,O,O,O,O,O,O,O,O
TOJZLIS,X,O,O,O,O,O,X,X,O
TOJZLSI,X,O,O,O,O,O,X,O,O
TOJZSIL,X,O,O,X,O,O,O,O,O
TOJZSLI,X,O,O,O,O,O,X,O,O
TOSILJZ,X,X,X,O,X,X,X,X,X
TOSILZJ,X,X,X,O,X,X,X,X,X
TOSIJLZ,X,O,O,O,O,X,X,X,X
TOSIJZL,X,O,O,O,O,X,X,X,X
TOSIZLJ,X,O,X,O,X,X,O,X,X
TOSIZJL,X,O,X,O,X,X,O,X,X
TOSLIJZ,X,O,X,O,X,X,X,X,X
TOSLIZJ,X,O,X,O,X,X,X,X,X
TOSLJIZ,X,O,X,O,O,X,X,X,X
TOSLJZI,X,O,X,O,O,X,X,X,X
TOSLZIJ,X,O,X,O,X,X,O,X,X
TOSLZJI,X,O,X,O,X,X,X,X,X
TOSJILZ,X,O,O,O,O,X,X,X,X
TOSJIZL,X,O,O,O,O,O,X,X,X
TOSJLIZ,X,O,O,O,O,X,X,X,X
TOSJLZI,X,O,X,O,O,X,X,X,X
TOSJZIL,X,O,O,X,O,O,O,O,X
TOSJZLI,X,O,O,O,O,O,X,O,X
TOSZILJ,X,O,X,O,X,X,O,X,X
TOSZIJL,X,O,X,O,X,X,O,X,X
TOSZLIJ,X,O,X,O,X,X,O,X,X
TOSZLJI,X,O,X,O,X,X,X,X,X
TOSZJIL,X,O,O,X,O,X,O,X,X
TOSZJLI,X,O,O,O,O,X,X,X,X
TOZILJS,O,X,X,O,X,X,X,X,X
TOZILSJ,O,O,X,O,X,X,O,X,X
TOZIJLS,X,O,X,O,X,X,X,X,X
TOZIJSL,X,O,X,O,X,X,O,X,X
TOZISLJ,X,O,X,O,X,X,O,X,X
TOZISJL,X,O,X,O,X,X,O,X,X
TOZLIJS,O,O,X,O,X,X,X,X,X
TOZLISJ,O,O,X,O,X,X,O,X,X
TOZLJIS,O,O,X,O,X,X,X,X,X
TOZLJSI,O,O,X,O,X,X,X,X,X
TOZLSIJ,O,O,X,O,X,X,O,X,X
TOZLSJI,O,O,X,O,X,X,X,X,X
TOZJILS,X,O,O,O,O,X,X,X,X
TOZJISL,X,O,O,O,O,X,O,O,X
TOZJLIS,X,O,O,O,O,X,X,X,X
TOZJLSI,X,O,O,O,O,X,X,O,X
TOZJSIL,X,O,O,X,O,X,O,O,X
TOZJSLI,X,O,O,O,O,X,X,O,X
TOZSILJ,X,O,X,O,X,X,O,X,X
TOZSIJL,X,O,X,O,X,X,O,X,X
TOZSLIJ,X,O,X,O,X,X,O,X,X
TOZSLJI,X,O,X,O,X,X,X,X,X
TOZSJIL,X,O,O,X,O,X,O,X,X
TOZSJLI,X,O,O,O,O,X,X,X,X
ITLJSZO,X,O,O,O,X,X,X,X,X
ITLJSOZ,X,O,O,O,X,X,X,X,X
ITLJZSO,X,O,O,O,X,X,X,X,X
ITLJZOS,X,O,O,O,X,X,X,X,X
ITLJOSZ,X,O,O,O,X,X,X,X,X
ITLJOZS,X,O,O,O,X,X,X,X,X
ITLSJZO,X,O,O,O,X,X,X,X,X
ITLSJOZ,X,O,O,O,X,X,X,X,X
ITLSZJO,O,O,X,O,X,X,X,X,X
ITLSZOJ,O,O,X,O,X,X,X,X,X
ITLSOJZ,X,O,O,O,X,X,X,X,X
ITLSOZJ,O,O,X,O,X,X,X,X,X
ITLZJSO,O,O,X,O,X,X,X,X,X
ITLZJOS,O,O,X,O,X,X,X,X,X
ITLZSJO,O,O,X,O,X,X,X,X,X
ITLZSOJ,O,O,X,O,X,X,O,X,X
ITLZOJS,O,O,X,O,X,X,X,X,X
ITLZOSJ,O,O,X,O,X,X,O,X,X
ITLOJSZ,X,O,O,O,X,X,X,X,X
ITLOJZS,X,O,O,O,X,X,X,X,X
ITLOSJZ,X,O,O,O,X,X,X,X,X
ITLOSZJ,O,O,X,O,X,X,X,X,X
ITLOZJS,O,O,X,O,X,X,X,X,X
ITLOZSJ,O,O,X,O,X,X,O,X,X
ITJLSZO,X,O,O,O,X,X,X,X,X
ITJLSOZ,X,O,O,O,O,X,X,X,X
ITJLZSO,X,O,O,O,X,X,X,X,X
ITJLZOS,X,O,O,O,X,X,X,X,X
ITJLOSZ,X,O,O,O,O,X,X,X,X
ITJLOZS,X,O,O,O,X,X,X,X,X
ITJSLZO,X,O,O,O,X,X,X,X,X
ITJSLOZ,X,O,O,O,O,X,X,X,X
ITJSZLO,X,O,O,O,O,X,X,X,X
ITJSZOL,X,O,O,O,O,X,X,X,X
ITJSOLZ,X,O,O,O,O,X,X,X,X
ITJSOZL,X,O,O,O,O,X,X,X,X
ITJZLSO,X,O,O,O,O,X,X,X,X
ITJZLOS,X,O,O,O,O,X,X,X,X
ITJZSLO,X,O,O,O,O,X,X,O,X
ITJZSOL,X,O,O,O,O,X,O,O,X
ITJZOLS,X,O,O,O,O,X,X,X,X
ITJZOSL,X,O,O,O,O,X,O,O,X
ITJOLSZ,X,O,O,O,O,X,X,X,X
ITJOLZS,X,O,O,O,X,X,X,X,X
ITJOSLZ,X,O,O,O,O,X,X,X,X
ITJOSZL,X,O,O,O,O,X,X,X,X
ITJOZLS,X,O,O,O,O,X,X,X,X
ITJOZSL,X,O,O,O,O,X,O,O,X
ITSLJZO,X,X,X,O,X,X,X,X,X
ITSLJOZ,X,X,X,O,X,X,X,X,X
ITSLZJO,X,X,X,O,X,X,X,X,X
ITSLZOJ,X,X,X,O,X,X,X,X,X
ITSLOJZ,X,X,X,O,X,X,X,X,X
ITSLOZJ,X,X,X,O,X,X,X,X,X
ITSJLZO,X,X,X,O,X,X,X,X,X
ITSJLOZ,X,O,O,O,O,X,X,X,X
ITSJZLO,X,O,O,O,O,X,X,X,X
ITSJZOL,X,O,O,O,O,X,X,X,X
ITSJOLZ,X,O,O,O,O,X,X,X,X
ITSJOZL,X,O,O,O,O,X,X,X,X
ITSZLJO,X,X,X,O,X,X,X,X,X
ITSZLOJ,X,O,X,O,X,X,O,X,X
ITSZJLO,X,O,X,O,X,X,X,X,X
ITSZJOL,X,O,X,O,X,X,O,X,X
ITSZOLJ,X,O,X,O,X,X,O,X,X
ITSZOJL,X,O,X,O,X,X,O,X,X
ITSOLJZ,X,X,X,O,X,X,X,X,X
ITSOLZJ,X,X,X,O,X,X,X,X,X
ITSOJLZ,X,O,O,O,O,X,X,X,X
ITSOJZL,X,O,O,O,O,X,X,X,X
ITSOZLJ,X,O,X,O,X,X,O,X,X
ITSOZJL,X,O,X,O,X,X,O,X,X
ITZLJSO,O,X,X,O,X,X,X,X,X
ITZLJOS,O,X,X,O,X,X,X,X,X
ITZLSJO,O,X,X,O,X,X,X,X,X
ITZLSOJ,O,O,X,O,X,X,O,X,X
ITZLOJS,O,X,X,O,X,X,X,X,X
ITZLOSJ,O,O,X,O,X,X,O,X,X
ITZJLSO,X,O,X,O,X,X,X,X,X
ITZJLOS,X,O,X,O,X,X,X,X,X
ITZJSLO,X,O,X,O,X,X,X,X,X
ITZJSOL,X,O,X,O,X,X,O,X,X
ITZJOLS,X,O,X,O,X,X,X,X,X
ITZJOSL,X,O,X,O,X,X,O,X,X
ITZSLJO,X,X,X,O,X,X,X,X,X
ITZSLOJ,X,O,X,O,X,X,O,X,X
ITZSJLO,X,O,X,O,X,X,X,X,X
ITZSJOL,X,O,X,O,X,X,O,X,X
ITZSOLJ,X,O,X,O,X,X,O,X,X
ITZSOJL,X,O,X,O,X,X,O,X,X
ITZOLJS,O,X,X,O,X,X,X,X,X
ITZOLSJ,O,O,X,O,X,X,O,X,X
ITZOJLS,X,O,X,O,X,X,X,X,X
ITZOJSL,X,O,X,O,X,X,O,X,X
ITZOSLJ,X,O,X,O,X,X,O,X,X
ITZOSJL,X,O,X,O,X,X,O,X,X
ITOLJSZ,X,O,O,O,X,X,X,X,X
ITOLJZS,X,O,O,O,X,X,X,X,X
ITOLSJZ,X,O,O,O,X,X,X,X,X
ITOLSZJ,O,O,X,O,X,X,X,X,X
ITOLZJS,O,O,X,O,X,X,X,X,X
ITOLZSJ,O,O,X,O,X,X,O,X,X
ITOJLSZ,X,O,O,O,O,X,X,X,X
ITOJLZS,X,O,O,O,X,X,X,X,X
ITOJSLZ,X,O,O,O,O,X,X,X,X
ITOJSZL,X,O,O,O,O,X,X,X,X
ITOJZLS,X,O,O,O,O,X,X,X,X
ITOJZSL,X,O,O,O,O,X,O,O,X
ITOSLJZ,X,X,X,O,X,X,X,X,X
ITOSLZJ,X,X,X,O,X,X,X,X,X
ITOSJLZ,X,O,O,O,O,X,X,X,X
ITOSJZL,X,O,O,O,O,X,X,X,X
ITOSZLJ,X,O,X,O,X,X,O,X,X
ITOSZJL,X,O,X,O,X,X,O,X,X
ITOZLJS,O,X,X,O,X,X,X,X,X
ITOZLSJ,O,O,X,O,X,X,O,X,X
ITOZJLS,X,O,X,O,X,X,X,X,X
ITOZJSL,X,O,X,O,X,X,O,X,X
ITOZSLJ,X,O,X,O,X,X,O,X,X
ITOZSJL,X,O,X,O,X,X,O,X,X
ILTJSZO,X,O,O,O,X,X,X,X,X
ILTJSOZ,X,O,O,O,X,X,X,X,X
ILTJZSO,X,O,O,O,X,X,X,X,X
ILTJZOS,X,O,O,O,X,X,X,X,X
ILTJOSZ,X,O,O,O,X,X,X,X,X
ILTJOZS,X,O,O,O,X,X,X,X,X
ILTSJZO,X,O,O,O,X,X,X,X,X
ILTSJOZ,X,O,O,O,X,X,X,X,X
ILTSZJO,O,O,X,O,X,X,X,X,X
ILTSZOJ,O,O,X,O,X,X,X,X,X
ILTSOJZ,X,O,O,O,X,X,X,X,X
ILTSOZJ,O,O,X,O,X,X,X,X,X
ILTZJSO,O,O,X,O,X,X,X,X,X
ILTZJOS,O,O,X,O,X,X,X,X,X
ILTZSJO,O,O,X,O,X,X,X,X,X
ILTZSOJ,O,O,X,O,X,X,O,X,X
ILTZOJS,O,O,X,O,X,X,X,X,X
ILTZOSJ,O,O,X,O,X,X,O,X,X
ILTOJSZ,X,O,O,O,X,X,X,X,X
ILTOJZS,X,O,O,O,X,X,X,X,X
ILTOSJZ,X,O,O,O,X,X,X,X,X
ILTOSZJ,O,O,X,O,X,X,X,X,X
ILTOZJS,O,O,X,O,X,X,X,X,X
ILTOZSJ,O,O,X,O,X,X,O,X,X
ILJTSZO,X,X,O,X,X,X,X,X,X
ILJTSOZ,X,X,O,X,X,O,X,X,X
ILJTZSO,X,X,O,X,X,X,X,X,O
ILJTZOS,X,X,O,X,X,X,X,X,O
ILJTOSZ,X,X,O,X,X,O,X,X,X
ILJTOZS,X,X,O,X,X,X,X,X,O
ILJSTZO,X,X,O,X,X,X,X,X,X
ILJSTOZ,X,X,O,X,X,O,X,X,X
ILJSZTO,O,X,O,X,X,O,X,X,X
ILJSZOT,O,X,O,X,X,O,X,X,X
ILJSOTZ,X,X,O,X,X,O,X,X,X
ILJSOZT,O,X,O,X,X,O,X,X,X
ILJZTSO,O,X,O,X,X,O,X,X,O
ILJZTOS,O,X,O,X,X,O,X,X,O
ILJZSTO,O,X,O,X,X,O,X,X,X
ILJZSOT,O,X,O,X,X,O,X,X,X
ILJZOTS,O,X,O,X,X,O,X,X,O
ILJZOST,O,X,O,X,X,O,X,X,X
ILJOTSZ,X,X,O,X,X,O,X,X,X
ILJOTZS,X,X,O,X,X,X,X,X,O
ILJOSTZ,X,X,O,X,X,O,X,X,X
ILJOSZT,O,X,O,X,X,O,X,X,X
ILJOZTS,O,X,O,X,X,O,X,X,O
ILJOZST,O,X,O,X,X,O,X,X,X
ILSTJZO,X,O,O,O,X,X,X,X,X
ILSTJOZ,X,O,O,O,X,X,X,X,X
ILSTZJO,O,O,X,O,X,X,X,X,X
ILSTZOJ,O,O,X,O,X,X,X,X,X
ILSTOJZ,X,O,O,O,X,X,X,X,X
ILSTOZJ,O,O,X,O,X,X,X,X,X
ILSJTZO,X,X,O,X,X,X,X,X,X
ILSJTOZ,X,X,O,X,X,O,X,X,X
ILSJZTO,O,X,O,X,X,O,X,X,X
ILSJZOT,O,X,O,X,X,O,X,X,X
ILSJOTZ,X,X,O,X,X,O,X,X,X
ILSJOZT,O,X,O,X,X,O,X,X,X
ILSZTJO,O,O,X,X,X,X,X,X,X
ILSZTOJ,O,O,X,X,X,X,X,X,X
ILSZJTO,O,X,O,X,X,X,X,X,X
ILSZJOT,O,O,O,X,X,X,X,X,X
ILSZOTJ,O,O,X,X,X,X,X,X,X
ILSZOJT,O,O,O,X,X,X,X,X,X
ILSOTJZ,X,O,O,O,X,X,X,X,X
ILSOTZJ,O,O,X,O,X,X,X,X,X
ILSOJTZ,X,X,O,X,X,O,X,X,X
ILSOJZT,O,X,O,X,X,O,X,X,X
ILSOZTJ,O,O,X,X,X,X,X,X,X
ILSOZJT,O,O,O,X,X,X,X,X,X
ILZTJSO,O,O,X,X,X,X,X,X,X
ILZTJOS,O,O,X,X,X,X,X,X,X
ILZTSJO,O,O,X,X,X,X,X,X,X
ILZTSOJ,O,O,X,X,X,X,O,X,X
ILZTOJS,O,O,X,X,X,X,X,X,X
ILZTOSJ,O,O,X,X,X,X,O,X,X
ILZJTSO,O,X,O,X,X,X,X,X,X
ILZJTOS,O,X,O,X,X,X,X,X,X
ILZJSTO,O,X,O,X,X,X,X,X,X
ILZJSOT,O,O,O,X,X,X,X,X,X
ILZJOTS,O,X,O,X,X,X,X,X,X
ILZJOST,O,O,O,X,X,X,X,X,X
ILZSTJO,O,O,X,X,X,X,X,X,X
ILZSTOJ,O,O,X,X,X,X,O,X,X
ILZSJTO,O,X,O,X,X,X,X,X,X
ILZSJOT,O,O,O,X,X,X,X,X,X
ILZSOTJ,O,O,X,X,X,X,O,X,X
ILZSOJT,O,O,O,X,X,X,X,X,X
ILZOTJS,O,O,X,X,X,X,X,X,X
ILZOTSJ,O,O,X,X,X,X,O,X,X
ILZOJTS,O,X,O,X,X,X,X,X,X
ILZOJST,O,O,O,X,X,X,X,X,X
ILZOSTJ,O,O,X,X,X,X,O,X,X
ILZOSJT,O,O,O,X,X,X,X,X,X
ILOTJSZ,X,O,O,O,X,X,X,X,X
ILOTJZS,X,O,O,O,X,X,X,X,X
ILOTSJZ,X,O,O,O,X,X,X,X,X
ILOTSZJ,O,O,X,O,X,X,X,X,X
ILOTZJS,O,O,X,O,X,X,X,X,X
ILOTZSJ,O,O,X,O,X,X,O,X,X
ILOJTSZ,X,X,O,X,X,O,X,X,X
ILOJTZS,X,X,O,X,X,X,X,X,O
ILOJSTZ,X,X,O,X,X,O,X,X,X
ILOJSZT,O,X,O,X,X,O,X,X,X
ILOJZTS,O,X,O,X,X,O,X,X,O
ILOJZST,O,X,O,X,X,O,X,X,X
ILOSTJZ,X,O,O,O,X,X,X,X,X
ILOSTZJ,O,O,X,O,X,X,X,X,X
ILOSJTZ,X,X,O,X,X,O,X,X,X
ILOSJZT,O,X,O,X,X,O,X,X,X
ILOSZTJ,O,O,X,X,X,X,X,X,X
ILOSZJT,O,O,O,X,X,X,X,X,X
ILOZTJS,O,O,X,X,X,X,X,X,X
ILOZTSJ,O,O,X,X,X,X,O,X,X
ILOZJTS,O,X,O,X,X,X,X,X,X
ILOZJST,O,O,O,X,X,X,X,X,X
ILOZSTJ,O,O,X,X,X,X,O,X,X
ILOZSJT,O,O,O,X,X,X,X,X,X
IJTLSZO,X,X,O,O,X,X,X,X,X
IJTLSOZ,X,X,O,O,O,O,X,X,X
IJTLZSO,X,X,O,O,X,X,X,X,O
IJTLZOS,X,X,O,O,X,X,X,X,O
IJTLOSZ,X,X,O,O,O,O,X,X,X
IJTLOZS,X,X,O,O,X,X,X,X,O
IJTSLZO,X,X,O,O,X,X,X,X,X
IJTSLOZ,X,X,O,O,O,X,X,X,X
IJTSZLO,X,X,O,O,O,X,X,X,O
IJTSZOL,X,X,O,O,O,X,X,X,O
IJTSOLZ,X,X,O,O,O,X,X,X,X
IJTSOZL,X,X,O,O,O,O,X,X,O
IJTZLSO,X,X,O,O,O,O,X,X,O
IJTZLOS,X,X,O,O,O,O,X,X,O
IJTZSLO,X,X,O,O,O,O,X,O,O
IJTZSOL,X,X,O,O,O,O,O,O,O
IJTZOLS,X,X,O,O,O,O,X,X,O
IJTZOSL,X,X,O,O,O,O,O,O,O
IJTOLSZ,X,X,O,O,O,O,X,X,X
IJTOLZS,X,X,O,O,X,X,X,X,O
IJTOSLZ,X,X,O,O,O,X,X,X,X
IJTOSZL,X,X,O,O,O,O,X,X,O
IJTOZLS,X,X,O,O,O,O,X,X,O
IJTOZSL,X,X,O,O,O,O,O,O,O
IJLTSZO,X,X,O,X,X,X,X,X,X
IJLTSOZ,X,X,O,X,O,O,X,X,X
IJLTZSO,X,X,O,X,X,X,X,X,O
IJLTZOS,X,X,O,X,X,X,X,X,O
IJLTOSZ,X,X,O,X,O,O,X,X,X
