sequence,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB5jB?FiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?UiBGjB6rBVyB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBldB?5jBUiBeoB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcB0dB?6jBxmBVtBurB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?8nB+oBlmBCsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFXcBxdB?FiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhF5jBFhB?XiB8nB6rBmsB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxdBFhB?XiB8nB+oB6rB,v115@1gB8HeA8GeD8FeE8AeA8CeE8AeD8JeT6IvhFxcBFhB?0iB6oBurBXtB
TIOJLSZ,X,O,O,O,O,X,X,X,X
TIOJLZS,X,O,O,O,X,X,X,X,X
TIOJSLZ,X,O,O,O,O,X,X,X,X
TIOJSZL,X,O,O,O,O,X,X,X,X
TIOJZLS,X,O,O,O,O,X,X,X,X
TIOJZSL,X,O,O,O,O,X,O,O,X
TIOSLJZ,X,X,X,O,X,X,X,X,X
TIOSLZJ,X,X,X,O,X,X,X,X,X
TIOSJLZ,X,O,O,O,O,X,X,X,X
TIOSJZL,X,O,O,O,O,X,X,X,X
TIOSZLJ,X,O,X,O,X,X,O,X,X
TIOSZJL,X,O,X,O,X,X,O,X,X
TIOZLJS,O,X,X,O,X,X,X,X,X
TIOZLSJ,O,O,X,O,X,X,O,X,X
TIOZJLS,X,O,X,O,X,X,X,X,X
TIOZJSL,X,O,X,O,X,X,O,X,X
TIOZSLJ,X,O,X,O,X,X,O,X,X
TIOZSJL,X,O,X,O,X,X,O,X,X
TLIJSZO,X,O,O,O,X,X,X,X,X
TLIJSOZ,X,O,O,O,X,X,X,X,X
TLIJZSO,X,O,O,O,X,X,X,X,X
TLIJZOS,X,O,O,O,X,X,X,X,X
TLIJOSZ,X,O,O,O,X,X,X,X,X
TLIJOZS,X,O,O,O,X,X,X,X,X
TLISJZO,X,O,O,O,X,X,X,X,X
TLISJOZ,X,O,O,O,X,X,X,X,X
TLISZJO,O,O,X,O,X,X,X,X,X
TLISZOJ,O,O,X,O,X,X,X,X,X
TLISOJZ,X,O,O,O,X,X,X,X,X
TLISOZJ,O,O,X,O,X,X,X,X,X
TLIZJSO,O,O,X,O,X,X,X,X,X
TLIZJOS,O,O,X,O,X,X,X,X,X
TLIZSJO,O,O,X,O,X,X,X,X,X
TLIZSOJ,O,O,X,O,X,X,O,X,X
TLIZOJS,O,O,X,O,X,X,X,X,X
TLIZOSJ,O,O,X,O,X,X,O,X,X
TLIOJSZ,X,O,O,O,X,X,X,X,X
TLIOJZS,X,O,O,O,X,X,X,X,X
TLIOSJZ,X,O,O,O,X,X,X,X,X
TLIOSZJ,O,O,X,O,X,X,X,X,X
TLIOZJS,O,O,X,O,X,X,X,X,X
TLIOZSJ,O,O,X,O,X,X,O,X,X
TLJISZO,X,O,O,O,X,X,X,X,X
TLJISOZ,X,O,O,O,O,O,X,X,X
TLJIZSO,X,O,O,O,X,X,X,X,O
TLJIZOS,X,O,O,O,X,X,X,X,O
TLJIOSZ,X,O,O,O,O,O,X,X,X
TLJIOZS,X,O,O,O,X,X,X,X,O
TLJSIZO,X,O,O,O,X,X,X,X,X
TLJSIOZ,X,O,O,O,O,O,X,X,X
TLJSZIO,O,O,O,X,O,O,X,X,O
TLJSZOI,O,O,O,O,O,O,X,X,O
TLJSOIZ,X,O,O,O,O,O,X,X,X
TLJSOZI,O,O,O,O,O,O,X,X,O
TLJZISO,O,O,O,O,O,O,X,X,O
TLJZIOS,O,O,O,O,O,O,X,X,O
TLJZSIO,O,O,O,X,O,O,X,O,O
TLJZSOI,O,O,O,O,O,O,X,O,O
TLJZOIS,O,O,O,O,O,O,X,X,O
TLJZOSI,O,O,O,O,O,O,X,O,O
TLJOISZ,X,O,O,O,O,O,X,X,X
TLJOIZS,X,O,O,O,X,X,X,X,O
TLJOSIZ,X,O,O,O,O,O,X,X,X
TLJOSZI,O,O,O,O,O,O,X,X,O
TLJOZIS,O,O,O,O,O,O,X,X,O
TLJOZSI,O,O,O,O,O,O,X,O,O
TLSIJZO,X,O,O,O,X,X,X,X,X
TLSIJOZ,X,O,O,O,X,X,X,X,X
TLSIZJO,O,O,X,O,X,X,X,X,X
TLSIZOJ,O,O,X,O,X,X,X,X,X
TLSIOJZ,X,O,O,O,X,X,X,X,X
TLSIOZJ,O,O,X,O,X,X,X,X,X
TLSJIZO,X,O,O,O,X,X,X,X,X
TLSJIOZ,X,O,O,O,O,O,X,X,X
TLSJZIO,O,O,O,X,O,O,X,X,X
TLSJZOI,O,O,O,O,O,O,X,X,X
TLSJOIZ,X,O,O,O,O,O,X,X,X
TLSJOZI,O,O,O,O,O,O,X,X,X
TLSZIJO,O,O,X,O,X,X,X,X,X
TLSZIOJ,O,O,X,O,X,X,O,X,X
TLSZJIO,O,O,O,X,X,X,X,X,X
TLSZJOI,O,O,O,O,X,X,X,X,X
TLSZOIJ,O,O,X,O,X,X,O,X,X
TLSZOJI,O,O,O,O,X,X,X,X,X
TLSOIJZ,X,O,O,O,X,X,X,X,X
TLSOIZJ,O,O,X,O,X,X,X,X,X
TLSOJIZ,X,O,O,O,O,O,X,X,X
TLSOJZI,O,O,O,O,O,O,X,X,X
TLSOZIJ,O,O,X,O,X,X,O,X,X
TLSOZJI,O,O,O,O,X,X,X,X,X
TLZIJSO,O,O,X,O,X,X,X,X,X
TLZIJOS,O,O,X,O,X,X,X,X,X
TLZISJO,O,O,X,O,X,X,X,X,X
TLZISOJ,O,O,X,O,X,X,O,X,X
TLZIOJS,O,O,X,O,X,X,X,X,X
TLZIOSJ,O,O,X,O,X,X,O,X,X
TLZJISO,O,O,O,O,X,X,X,X,X
TLZJIOS,O,O,O,O,X,X,X,X,X
TLZJSIO,O,O,O,X,X,X,X,X,X
TLZJSOI,O,O,O,O,X,X,X,X,X
TLZJOIS,O,O,O,O,X,X,X,X,X
TLZJOSI,O,O,O,O,X,X,X,X,X
TLZSIJO,O,O,X,O,X,X,X,X,X
TLZSIOJ,O,O,X,O,X,X,O,X,X
TLZSJIO,O,O,O,X,X,X,X,X,X
TLZSJOI,O,O,O,O,X,X,X,X,X
TLZSOIJ,O,O,X,O,X,X,O,X,X
TLZSOJI,O,O,O,O,X,X,X,X,X
TLZOIJS,O,O,X,O,X,X,X,X,X
TLZOISJ,O,O,X,O,X,X,O,X,X
TLZOJIS,O,O,O,O,X,X,X,X,X
TLZOJSI,O,O,O,O,X,X,X,X,X
TLZOSIJ,O,O,X,O,X,X,O,X,X
TLZOSJI,O,O,O,O,X,X,X,X,X
TLOIJSZ,X,O,O,O,X,X,X,X,X
TLOIJZS,X,O,O,O,X,X,X,X,X
TLOISJZ,X,O,O,O,X,X,X,X,X
TLOISZJ,O,O,X,O,X,X,X,X,X
TLOIZJS,O,O,X,O,X,X,X,X,X
TLOIZSJ,O,O,X,O,X,X,O,X,X
TLOJISZ,X,O,O,O,O,O,X,X,X
TLOJIZS,X,O,O,O,X,X,X,X,O
TLOJSIZ,X,O,O,O,O,O,X,X,X
TLOJSZI,O,O,O,O,O,O,X,X,O
TLOJZIS,O,O,O,O,O,O,X,X,O
TLOJZSI,O,O,O,O,O,O,X,O,O
TLOSIJZ,X,O,O,O,X,X,X,X,X
TLOSIZJ,O,O,X,O,X,X,X,X,X
TLOSJIZ,X,O,O,O,O,O,X,X,X
TLOSJZI,O,O,O,O,O,O,X,X,X
TLOSZIJ,O,O,X,O,X,X,O,X,X
TLOSZJI,O,O,O,O,X,X,X,X,X
TLOZIJS,O,O,X,O,X,X,X,X,X
TLOZISJ,O,O,X,O,X,X,O,X,X
TLOZJIS,O,O,O,O,X,X,X,X,X
TLOZJSI,O,O,O,O,X,X,X,X,X
TLOZSIJ,O,O,X,O,X,X,O,X,X
TLOZSJI,O,O,O,O,X,X,X,X,X
TJILSZO,X,O,O,O,X,X,X,X,X
TJILSOZ,X,O,O,O,O,O,X,X,X
TJILZSO,X,O,O,O,X,X,X,X,O
TJILZOS,X,O,O,O,X,X,X,X,O
TJILOSZ,X,O,O,O,O,O,X,X,X
TJILOZS,X,O,O,O,X,X,X,X,O
TJISLZO,X,O,O,O,X,X,X,X,X
TJISLOZ,X,O,O,O,O,X,X,X,X
TJISZLO,X,O,O,O,O,X,X,X,O
TJISZOL,X,O,O,O,O,X,X,X,O
TJISOLZ,X,O,O,O,O,X,X,X,X
TJISOZL,X,O,O,O,O,O,X,X,O
TJIZLSO,X,O,O,O,O,O,X,X,O
TJIZLOS,X,O,O,O,O,O,X,X,O
TJIZSLO,X,O,O,O,O,O,X,O,O
TJIZSOL,X,O,O,O,O,O,O,O,O
