sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
IZLOJST,X,X,X,X,X,X,O,X,X,X,X,O,O,O
IZLOSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZLOSJT,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IZJTLSO,X,O,O,O,X,X,O,O,O,X,X,X,O,X
IZJTLOS,X,O,O,O,X,X,O,X,O,X,X,X,O,X
IZJTSLO,X,O,O,O,X,O,O,O,O,O,X,X,O,X
IZJTSOL,X,O,O,O,X,O,O,O,X,X,X,X,X,X
IZJTOLS,X,O,O,O,X,X,O,X,X,X,X,X,O,X
IZJTOSL,X,O,O,O,X,O,O,X,X,X,X,X,X,X
IZJLTSO,X,O,O,O,X,X,O,X,X,X,X,O,O,X
IZJLTOS,X,O,O,O,X,X,O,X,X,X,X,O,O,X
IZJLSTO,X,O,O,O,X,O,X,O,X,X,X,O,O,X
IZJLSOT,X,O,O,O,X,O,O,O,X,X,X,O,O,X
IZJLOTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
IZJLOST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
IZJSTLO,X,O,X,O,X,O,X,O,X,X,X,X,X,X
IZJSTOL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
IZJSLTO,X,O,O,O,X,O,X,O,X,X,X,X,O,X
IZJSLOT,X,O,O,O,X,O,O,O,X,X,X,X,O,X
IZJSOTL,X,O,X,O,X,O,X,O,X,X,X,X,X,O
IZJSOLT,X,O,O,O,X,O,O,O,X,X,X,X,X,O
IZJOTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZJOTSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZJOLTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
IZJOLST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
IZJOSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZJOSLT,X,X,O,X,X,O,O,X,X,O,X,X,X,O
IZSTLJO,O,X,X,O,X,O,X,O,O,X,X,X,X,X
IZSTLOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,O
IZSTJLO,O,O,X,O,X,O,X,O,O,X,X,X,X,X
IZSTJOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSTOLJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
IZSTOJL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSLTJO,O,X,X,O,X,O,X,O,X,X,X,X,X,X
IZSLTOJ,O,X,X,O,X,O,X,X,X,X,X,X,X,O
IZSLJTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
IZSLJOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
IZSLOTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSLOJT,O,O,X,X,X,O,X,O,X,X,X,X,X,O
IZSJTLO,O,O,X,O,X,O,X,O,X,X,X,X,X,X
IZSJTOL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSJLTO,X,O,X,O,X,O,X,O,X,X,X,X,O,X
IZSJLOT,O,O,X,O,X,O,O,O,X,X,X,X,O,X
IZSJOTL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSJOLT,O,O,X,O,X,O,O,O,X,X,X,X,X,O
IZSOTLJ,O,X,X,O,X,X,X,X,X,X,X,X,X,O
IZSOTJL,O,O,X,O,X,X,X,X,X,X,X,X,X,O
IZSOLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZSOLJT,O,O,X,X,X,O,X,X,X,X,X,X,X,O
IZSOJTL,O,O,X,O,X,O,X,O,X,X,X,X,X,O
IZSOJLT,O,O,X,O,X,O,O,O,X,X,X,X,X,O
IZOTLJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOTLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
IZOTJLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
IZOTJSL,X,X,O,X,X,X,O,X,X,O,X,X,X,X
IZOTSLJ,X,X,O,X,X,O,X,X,X,O,X,X,X,O
IZOTSJL,X,X,O,X,X,O,O,X,X,O,X,X,X,O
IZOLTJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IZOLTSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IZOLJTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
IZOLJST,X,X,O,X,X,X,O,X,X,X,X,O,O,O
IZOLSTJ,O,X,X,X,X,X,X,X,X,X,X,O,X,O
IZOLSJT,O,X,X,X,X,X,X,X,X,O,X,O,X,O
IZOJTLS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
IZOJTSL,X,O,O,X,X,O,O,X,X,X,X,X,X,X
IZOJLTS,X,O,O,X,X,X,O,X,X,X,X,O,O,X
IZOJLST,X,X,O,X,X,O,O,X,X,X,X,O,O,O
IZOJSTL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOJSLT,X,X,O,X,X,O,O,X,X,O,X,X,X,O
IZOSTLJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSTJL,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSLTJ,O,X,X,X,X,X,X,X,X,X,X,X,X,O
IZOSLJT,O,X,X,X,X,O,X,X,X,O,X,X,X,O
IZOSJTL,O,X,X,X,X,O,X,X,X,X,X,X,X,O
IZOSJLT,O,X,X,X,X,O,O,X,X,O,X,X,X,O
IOTLJSZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTLJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTLSJZ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTLSZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTLZJS,X,X,O,X,X,X,X,O,X,X,X,O,X,X
IOTLZSJ,X,X,O,X,X,X,X,O,X,X,X,O,X,O
IOTJLSZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTJLZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
IOTJSLZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
IOTJSZL,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOTJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
IOTJZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOTSLJZ,X,X,X,X,X,X,X,O,O,O,X,X,X,O
IOTSLZJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTSJLZ,X,X,X,X,X,X,X,O,O,O,X,X,X,O
IOTSJZL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTSZLJ,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTSZJL,X,X,X,X,X,X,X,O,X,O,X,X,X,O
IOTZLJS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTZLSJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOTZJLS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOTZJSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X
IOTZSLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IOTZSJL,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOLTJSZ,X,X,X,X,X,X,X,X,X,O,X,X,X,X
IOLTJZS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
IOLTSJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLTSZJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O
IOLTZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLTZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOLJTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOLJTZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJSTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLJSZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O
IOLJZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOLJZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOLSTJZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLSTZJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOLSJTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOLSJZT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOLSZTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOLSZJT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOLZTJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOLZTSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOLZJTS,X,O,O,X,X,X,X,X,X,X,X,O,X,X
IOLZJST,X,X,O,X,X,X,X,O,X,X,X,O,X,O
IOLZSTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOLZSJT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOJTLSZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOJTLZS,X,O,X,X,X,X,X,X,O,X,X,O,X,X
IOJTSLZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X
IOJTSZL,X,O,X,X,X,X,X,X,X,O,X,X,X,X
IOJTZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJTZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
IOJLTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
IOJLTZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJLSTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJLSZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O
IOJLZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
IOJLZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
IOJSTLZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJSTZL,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOJSLTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOJSLZT,X,O,X,X,X,X,X,X,X,O,O,O,X,O
IOJSZTL,X,O,X,X,X,X,X,X,X,X,O,X,X,O
IOJSZLT,X,O,X,X,X,X,X,X,X,O,O,X,X,O
IOJZTLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
IOJZTSL,X,O,X,X,X,X,O,X,X,X,O,X,X,X
IOJZLTS,X,O,X,X,X,X,O,X,X,X,X,O,X,X
IOJZLST,X,X,X,X,X,X,O,X,X,X,X,O,X,O
IOJZSTL,X,X,X,X,X,X,X,X,X,X,O,X,X,O
IOJZSLT,X,X,X,X,X,X,O,X,X,O,O,X,X,O
IOSTLJZ,X,O,X,X,O,X,X,O,O,O,X,X,X,O
IOSTLZJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSTJLZ,X,O,X,X,O,X,X,O,O,O,X,X,X,O
IOSTJZL,X,O,X,X,X,X,X,O,X,O,O,X,X,O
IOSTZLJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSTZJL,O,O,X,X,X,X,X,O,X,O,X,X,X,O
IOSLTJZ,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IOSLTZJ,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOSLJTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOSLJZT,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IOSLZTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOSLZJT,O,O,X,X,X,X,X,O,X,O,X,O,X,O
IOSJTLZ,X,O,X,X,O,X,X,O,X,O,X,X,X,O
IOSJTZL,X,O,X,X,X,X,X,O,X,X,O,X,X,O
IOSJLTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
IOSJLZT,O,O,X,X,X,X,X,O,X,O,O,O,X,O
IOSJZTL,O,O,X,X,X,X,X,O,X,X,O,X,X,O
IOSJZLT,O,O,X,X,X,X,X,O,X,O,O,X,X,O
IOSZTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZTJL,O,O,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOSZLJT,O,O,X,X,X,X,X,O,X,O,X,X,X,O
IOSZJTL,O,O,X,X,X,X,X,O,X,X,O,X,X,O
IOSZJLT,O,O,X,X,X,X,X,O,X,O,O,X,X,O
IOZTLJS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOZTLSJ,X,X,O,X,X,X,X,O,X,X,X,X,X,O
IOZTJLS,X,X,O,X,X,X,O,O,X,X,X,X,X,X
IOZTJSL,X,X,O,X,X,X,O,O,X,O,X,X,X,X
IOZTSLJ,X,X,O,X,X,X,X,O,X,O,X,X,X,O
IOZTSJL,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOZLTJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
IOZLTSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
IOZLJTS,X,O,O,X,X,X,O,X,X,X,X,O,X,X
IOZLJST,X,X,O,X,X,X,O,O,X,X,X,O,X,O
IOZLSTJ,O,X,X,X,X,X,X,O,X,X,X,O,X,O
IOZLSJT,O,X,X,X,X,X,X,O,X,O,X,O,X,O
IOZJTLS,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IOZJTSL,X,O,O,X,X,X,O,O,X,X,X,X,X,X
IOZJLTS,X,O,O,X,X,X,O,X,X,X,X,O,X,X
IOZJLST,X,X,O,X,X,X,O,O,X,X,X,O,X,O
IOZJSTL,X,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZJSLT,X,X,O,X,X,X,O,O,X,O,X,X,X,O
IOZSTLJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSTJL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLTJ,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSLJT,O,X,X,X,X,X,X,O,X,O,X,X,X,O
IOZSJTL,O,X,X,X,X,X,X,O,X,X,X,X,X,O
IOZSJLT,O,X,X,X,X,X,O,O,X,O,X,X,X,O
LTIJSZO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTIJSOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
LTIJZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTIJZOS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTIJOSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTIJOZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTISJZO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
LTISJOZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTISZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
LTISZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTISOJZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
LTISOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTIZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
LTIZJOS,X,X,O,X,X,X,X,X,O,X,X,O,X,X
LTIZSJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIZSOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LTIZOJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LTIZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTIOJSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTIOJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTIOSJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTIOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
LTIOZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTIOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTJISZO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTJISOZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
LTJIZSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJIOSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTJIOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJSIZO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
LTJSIOZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
LTJSZIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
LTJSZOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
LTJSOIZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
LTJSOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJZISO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
LTJZIOS,X,O,O,X,X,X,O,X,O,X,X,X,O,X
LTJZSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
LTJZSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTJZOIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTJZOSI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
LTJOISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTJOIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTJOSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJOSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTJOZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTJOZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTSIJZO,X,X,X,O,O,O,X,O,O,O,X,X,X,X
LTSIJOZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X
LTSIZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
LTSIZOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSIOJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTSIOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSJIZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
LTSJIOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTSJZIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
LTSJZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
LTSJOIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTSJOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTSZIJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
LTSZIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSZJIO,O,X,O,O,O,O,X,O,O,O,X,X,X,X
LTSZJOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSZOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTSZOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
LTSOIJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTSOIZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
LTSOJIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
LTSOJZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
LTSOZIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,X
LTSOZJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
LTZIJSO,X,X,O,X,X,X,O,O,O,X,X,O,O,X
LTZIJOS,X,X,O,X,X,X,O,X,O,X,X,O,O,X
LTZISJO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
LTZISOJ,O,X,X,X,X,O,X,O,X,X,X,O,X,X
LTZIOJS,X,X,X,X,X,X,O,X,X,X,X,O,O,X
LTZIOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LTZJISO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
LTZJIOS,X,O,O,X,X,X,O,X,O,X,X,X,O,X
LTZJSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
LTZJSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
LTZJOIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTZJOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
LTZSIJO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
LTZSIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
LTZSJIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
LTZSJOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
LTZSOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
LTZSOJI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
LTZOIJS,X,X,O,X,X,X,O,X,X,X,X,O,O,X
LTZOISJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTZOJIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
LTZOJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
LTZOSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
LTZOSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LTOIJSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
LTOIJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LTOISJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
LTOISZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
LTOIZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LTOIZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTOJISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
LTOJIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LTOJSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTOJSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
LTOJZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTOJZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
LTOSIJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O
LTOSIZJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
LTOSJIZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O
LTOSJZI,O,O,X,O,O,X,X,X,X,O,X,X,X,X
LTOSZIJ,O,X,O,O,X,X,X,O,X,O,X,X,X,O
LTOSZJI,O,X,O,O,O,X,X,O,X,O,X,X,X,X
LTOZIJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X
LTOZISJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LTOZJIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
LTOZJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
LTOZSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
LTOZSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
LITJSZO,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITJSOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITJZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LITJZOS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LITJOSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITJOZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LITSJZO,X,X,X,X,X,X,X,O,O,O,X,X,X,X
LITSJOZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITSZJO,O,X,X,X,X,X,X,O,O,O,X,X,X,X
LITSZOJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITSOJZ,X,X,X,X,X,X,X,X,O,O,X,X,X,X
LITSOZJ,O,X,X,X,X,X,X,O,X,X,X,X,X,X
LITZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
LITZJOS,X,X,O,X,X,X,X,X,O,X,X,O,X,X
LITZSJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LITZSOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X
LITZOJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
LITZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LITOJSZ,X,X,X,X,X,X,X,X,O,X,X,X,X,X
LITOJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
LITOSJZ,X,X,X,X,X,X,X,X,X,O,X,X,X,O
LITOSZJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
LITOZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
LITOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
LIJTSZO,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LIJTSOZ,X,O,X,X,X,X,X,X,O,O,X,X,X,X
LIJTZSO,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJTZOS,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJTOSZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
LIJTOZS,X,O,X,X,X,X,X,X,O,X,X,O,X,X
LIJSTZO,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJSTOZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJSZTO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJSZOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJSOTZ,X,O,X,X,O,X,X,X,X,X,X,X,X,X
LIJSOZT,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZTSO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZTOS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZSTO,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZSOT,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZOTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJZOST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LIJOTSZ,X,O,X,X,X,X,X,X,X,X,X,X,X,X
LIJOTZS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJOSTZ,X,O,X,X,O,X,X,X,X,O,X,X,X,O
LIJOSZT,X,O,X,X,X,X,X,X,X,O,X,O,X,O
LIJOZTS,X,O,X,X,X,X,X,X,X,X,X,O,X,X
LIJOZST,X,X,X,X,X,X,X,X,X,X,X,O,X,O
LISTJZO,X,X,X,X,O,X,X,O,O,X,X,X,X,X
LISTJOZ,X,X,X,X,O,X,X,X,O,X,X,X,X,X
