sequence,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBF?nB8sBmsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFxcB6jBXhBl?iBUnBetB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFWiBxdBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBSiBTeB2?mBFoB0sB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBRdBCiB/?sBFoBctB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jex7IvhF6iBTeB0gBl?hB/sBOtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhFehBCdBxiBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBGeBihBU?jBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFSjBxgB0gBF?nBXoBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jem8IvhFfjB6jBxgB0?gBFnBzsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je/AJvhFRcBThBliB2?sBctBCtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8JeT7IvhF2hBXeBcoBR?mBqsBFsB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Je2AJvhFCdBxiBzgBU?nBFoBXtB,v115@zgB8HeB8HeC8GeF8CeH8BeA8Jei7IvhFFdBzgBfnB5?nBcoBOtB
TISOJLZ,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TISOJZL,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TISOZLJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISOZJL,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZLJSO,X,X,O,X,X,X,O,O,O,X,X,X,O,X
TIZLJOS,X,X,O,X,X,X,O,X,O,X,X,X,O,X
TIZLSJO,X,X,X,X,X,O,O,O,X,X,X,X,O,X
TIZLSOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TIZLOJS,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TIZLOSJ,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TIZJLSO,X,X,O,X,X,X,O,O,O,X,X,X,O,X
TIZJLOS,X,X,O,X,X,X,O,X,O,X,X,X,O,X
TIZJSLO,X,X,O,X,X,O,O,O,O,O,X,X,O,X
TIZJSOL,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TIZJOLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZJOSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZSLJO,X,X,X,X,X,O,O,O,O,O,X,X,O,X
TIZSLOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZSJLO,X,X,X,X,X,O,O,O,O,O,X,X,O,X
TIZSJOL,X,X,X,X,X,O,O,O,X,X,X,X,X,O
TIZSOLJ,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TIZSOJL,X,X,X,X,X,O,O,O,X,X,X,X,X,O
TIZOLJS,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZOLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIZOJLS,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TIZOJSL,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIZOSLJ,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TIZOSJL,X,X,O,X,X,O,O,X,X,X,X,X,X,O
TIOLJSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOLJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLSJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOLSZJ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOLZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOLZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIOJLSZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOJLZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOJSLZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOJSZL,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJZLS,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOJZSL,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOSLJZ,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIOSLZJ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOSJLZ,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIOSJZL,X,X,X,O,X,O,X,X,X,O,X,X,X,O
TIOSZLJ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOSZJL,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TIOZLJS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZLSJ,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOZJLS,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOZJSL,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOZSLJ,X,X,O,X,X,X,X,X,X,O,X,X,X,O
TIOZSJL,X,X,O,X,X,X,O,X,X,O,X,X,X,O
TLIJSZO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLIJSOZ,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TLIJZSO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLIJZOS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLIJOSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIJOZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLISJZO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TLISJOZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLISZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TLISZOJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLISOJZ,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TLISOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLIZJSO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
TLIZJOS,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TLIZSJO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIZSOJ,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TLIZOJS,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TLIZOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLIOJSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLIOJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLIOSJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLIOSZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLIOZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLIOZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLJISZO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLJISOZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TLJIZSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJIOSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLJIOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJSIZO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TLJSIOZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TLJSZIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
TLJSZOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
TLJSOIZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TLJSOZI,O,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJZISO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
TLJZIOS,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TLJZSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TLJZSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLJZOIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLJZOSI,X,O,X,O,X,X,O,O,X,X,X,X,X,X
TLJOISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLJOIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLJOSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJOSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLJOZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLJOZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLSIJZO,X,X,X,O,O,O,X,O,O,O,X,X,X,X
TLSIJOZ,X,X,X,O,O,O,X,X,O,O,X,X,X,X
TLSIZJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TLSIZOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSIOJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLSIOZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSJIZO,X,O,X,O,O,O,X,O,O,O,X,X,X,X
TLSJIOZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLSJZIO,O,O,X,O,O,O,X,O,O,O,X,X,X,X
TLSJZOI,O,O,X,O,O,O,X,O,X,X,X,X,X,X
TLSJOIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLSJOZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLSZIJO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TLSZIOJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSZJIO,O,X,O,O,O,O,X,O,O,O,X,X,X,X
TLSZJOI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSZOIJ,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLSZOJI,O,X,X,O,O,O,X,O,X,X,X,X,X,X
TLSOIJZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLSOIZJ,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TLSOJIZ,X,O,X,O,O,O,X,X,O,O,X,X,X,X
TLSOJZI,O,O,X,O,O,O,X,X,X,X,X,X,X,X
TLSOZIJ,O,X,O,O,X,O,X,O,X,X,X,X,X,X
TLSOZJI,O,X,O,O,O,O,X,O,X,X,X,X,X,X
TLZIJSO,X,X,O,X,X,X,O,O,O,X,X,O,O,X
TLZIJOS,X,X,O,X,X,X,O,X,O,X,X,O,O,X
TLZISJO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
TLZISOJ,O,X,X,X,X,O,X,O,X,X,X,O,X,X
TLZIOJS,X,X,X,X,X,X,O,X,X,X,X,O,O,X
TLZIOSJ,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TLZJISO,X,O,O,X,X,X,O,O,O,X,X,X,O,X
TLZJIOS,X,O,O,X,X,X,O,X,O,X,X,X,O,X
TLZJSIO,O,O,O,O,X,X,O,O,X,X,X,X,O,X
TLZJSOI,O,O,X,O,X,X,O,O,X,X,X,X,X,X
TLZJOIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLZJOSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TLZSIJO,O,X,X,X,X,O,O,O,X,X,X,O,O,X
TLZSIOJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLZSJIO,O,X,O,O,X,O,O,O,X,X,X,X,O,X
TLZSJOI,O,X,X,O,X,O,O,O,X,X,X,X,X,X
TLZSOIJ,O,X,X,O,X,O,X,O,X,X,X,O,X,X
TLZSOJI,O,X,X,O,X,O,X,O,X,X,X,X,X,X
TLZOIJS,X,X,O,X,X,X,O,X,X,X,X,O,O,X
TLZOISJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLZOJIS,X,O,O,X,X,X,O,X,X,X,X,X,O,X
TLZOJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TLZOSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TLZOSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TLOIJSZ,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TLOIJZS,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TLOISJZ,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLOISZJ,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TLOIZJS,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TLOIZSJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLOJISZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TLOJIZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLOJSIZ,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJSZI,X,O,X,O,O,X,X,X,X,X,X,X,X,X
TLOJZIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOJZSI,X,O,O,O,X,X,O,X,X,X,X,X,X,X
TLOSIJZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O
TLOSIZJ,O,X,X,O,X,X,X,O,X,O,X,X,X,O
TLOSJIZ,X,O,X,O,O,X,X,X,X,O,X,X,X,O
TLOSJZI,O,O,X,O,O,X,X,X,X,O,X,X,X,X
TLOSZIJ,O,X,O,O,X,X,X,O,X,O,X,X,X,O
TLOSZJI,O,X,O,O,O,X,X,O,X,O,X,X,X,X
TLOZIJS,X,X,O,X,X,X,O,X,X,X,X,O,X,X
TLOZISJ,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TLOZJIS,X,O,O,X,X,X,O,X,X,X,X,X,X,X
TLOZJSI,X,O,O,O,X,X,O,O,X,X,X,X,X,X
TLOZSIJ,O,X,O,O,X,X,X,O,X,X,X,O,X,O
TLOZSJI,O,X,O,O,X,X,X,O,X,X,X,X,X,X
TJILSZO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJILSOZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJILZSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJILZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJILOSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJILOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJISLZO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TJISLOZ,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TJISZLO,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TJISZOL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJISOLZ,X,O,X,O,X,O,X,X,O,O,X,X,X,X
TJISOZL,X,O,X,O,X,O,X,X,X,X,X,X,X,X
TJIZLSO,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TJIZLOS,X,O,X,X,X,X,O,X,O,X,X,X,O,X
TJIZSLO,X,O,X,X,X,X,O,X,O,O,X,X,O,X
TJIZSOL,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIZOLS,X,O,X,X,X,X,O,X,X,X,X,X,O,X
TJIZOSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJIOLSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJIOLZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJIOSLZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJIOSZL,X,O,X,O,X,X,X,X,X,X,X,X,X,X
TJIOZLS,X,O,X,X,X,X,O,X,X,X,X,X,X,X
TJIOZSL,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TJLISZO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJLISOZ,X,O,X,O,X,X,X,X,O,O,X,X,X,X
TJLIZSO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLIZOS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLIOSZ,X,O,X,O,X,X,X,X,O,X,X,X,X,X
TJLIOZS,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TJLSIZO,X,O,X,O,O,X,X,O,O,O,X,X,X,X
TJLSIOZ,X,O,X,O,O,X,X,X,O,O,X,X,X,X
TJLSZIO,O,O,X,O,O,X,X,O,O,O,X,X,X,X
TJLSZOI,O,O,X,O,O,X,X,O,X,X,X,X,X,X
