sequence,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhFzbBuhB3fBllBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFXbBlcBUhBClBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFTbB/hBqkBllBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8JeO/IvhFlbB3cBzfBCmBUq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBuhB0kBllB3q?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Je06IvhFlbBuhB/kBylBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8Jei6IvhF3cBGgBUhBlkBTq?BxwB,v115@6gC8FeD8FeE8CeH8FeB8JeT6IvhFibBGhBlkB3lBUs?BxvB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhFTfB/lBFhBUqBWx?BirB,v115@6gC8FeD8FeE8CeH8FeB8Jex6IvhF/kBUgBFhBTqBWx?BirB
TILJSZO,O,O,O,O,O,O,O,X,X,X
TILJSOZ,O,O,O,O,X,O,O,X,X,X
TILJZSO,X,O,O,O,O,O,O,X,X,X
TILJZOS,X,O,O,O,O,X,X,X,X,X
TILJOSZ,O,O,O,O,X,O,O,X,X,X
TILJOZS,X,O,O,X,O,X,X,X,X,X
TILSJZO,O,O,O,O,O,O,O,O,X,X
TILSJOZ,O,O,O,O,X,O,O,O,X,X
TILSZJO,O,O,O,O,O,O,O,O,X,X
TILSZOJ,O,O,O,X,O,O,X,O,X,X
TILSOJZ,O,O,O,O,X,O,O,O,X,X
TILSOZJ,O,X,O,X,X,O,X,O,X,X
TILZJSO,X,O,O,O,O,O,O,X,X,X
TILZJOS,X,O,O,X,O,X,X,X,X,X
TILZSJO,X,O,O,O,O,O,O,X,X,X
TILZSOJ,X,O,O,X,O,O,X,X,X,X
TILZOJS,X,O,O,X,O,X,X,X,X,X
TILZOSJ,X,O,O,X,O,X,X,X,X,X
TILOJSZ,O,O,O,O,X,O,O,X,X,X
TILOJZS,X,O,O,X,O,X,X,X,X,X
TILOSJZ,O,O,O,O,X,O,O,O,X,X
TILOSZJ,O,O,O,X,X,O,X,O,X,X
TILOZJS,X,O,O,X,O,X,X,X,X,X
TILOZSJ,X,O,O,X,O,X,X,X,X,X
TIJLSZO,O,O,O,O,O,O,O,O,X,X
TIJLSOZ,O,O,O,O,X,O,O,O,X,X
TIJLZSO,X,O,O,O,O,O,O,X,X,X
TIJLZOS,X,O,O,O,O,X,X,X,X,X
TIJLOSZ,O,O,O,O,X,O,O,X,X,X
TIJLOZS,X,O,O,X,O,X,X,X,X,X
TIJSLZO,O,O,O,O,O,O,O,O,X,X
TIJSLOZ,O,O,O,O,X,O,O,O,X,X
TIJSZLO,O,O,X,O,O,O,O,O,X,X
TIJSZOL,O,O,X,O,O,O,X,O,X,X
TIJSOLZ,O,O,O,O,X,O,O,O,X,X
TIJSOZL,O,O,X,O,X,O,X,O,X,X
TIJZLSO,O,O,X,O,O,X,O,X,X,X
TIJZLOS,O,O,X,O,O,X,X,X,X,X
TIJZSLO,O,O,X,O,O,X,O,X,X,X
TIJZSOL,O,O,X,O,O,X,X,X,X,X
TIJZOLS,O,O,X,O,O,X,X,X,X,X
TIJZOSL,O,O,X,O,O,X,X,X,X,X
TIJOLSZ,O,O,O,X,X,O,O,X,X,X
TIJOLZS,X,O,O,X,O,O,X,X,X,X
TIJOSLZ,O,O,O,X,X,O,O,O,X,X
TIJOSZL,O,O,X,X,X,O,X,O,X,X
TIJOZLS,X,O,X,X,O,X,X,X,X,X
TIJOZSL,O,O,X,X,O,X,X,X,X,X
TISLJZO,O,O,O,O,O,O,O,O,X,X
TISLJOZ,O,O,O,O,X,O,O,O,X,X
TISLZJO,O,O,O,O,O,O,O,O,X,X
TISLZOJ,O,X,O,O,O,O,X,O,X,X
TISLOJZ,O,O,O,O,X,O,O,O,X,X
TISLOZJ,O,X,O,X,X,O,X,O,X,X
TISJLZO,O,O,O,O,O,O,O,O,X,X
TISJLOZ,O,O,O,O,X,O,O,O,X,X
TISJZLO,O,O,X,O,O,O,O,O,X,X
TISJZOL,O,O,X,O,O,O,X,O,X,X
