sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TJLSIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJLSZIO,O,O,X,O,X,O,X,X,X,X,O,X
TJLSZOI,X,O,X,X,X,O,X,X,X,X,X,X
TJLSOIZ,X,O,X,O,X,X,X,X,X,X,X,X
TJLSOZI,X,O,X,X,X,X,X,X,X,X,X,X
TJLZISO,O,X,X,O,X,O,X,X,X,X,X,X
TJLZIOS,O,X,X,O,X,O,X,X,X,X,X,X
TJLZSIO,O,X,X,O,X,O,X,X,X,X,O,X
TJLZSOI,X,X,X,X,X,O,X,X,X,X,X,X
TJLZOIS,O,X,X,X,X,O,X,X,X,X,X,X
TJLZOSI,X,X,X,X,X,O,X,X,X,X,X,X
TJLOISZ,O,O,X,O,X,O,X,X,X,X,X,X
TJLOIZS,O,O,X,O,X,O,X,X,X,X,X,X
TJLOSIZ,X,O,X,O,X,O,X,X,X,X,X,X
TJLOSZI,X,O,X,X,X,O,X,X,X,X,X,X
TJLOZIS,O,O,X,X,X,O,X,X,X,X,X,X
TJLOZSI,X,O,X,X,X,O,X,X,X,X,X,X
TJSILZO,O,O,X,O,X,X,X,X,X,X,X,X
TJSILOZ,O,X,X,O,X,X,X,X,X,X,X,X
TJSIZLO,O,O,X,O,X,X,X,X,X,X,O,X
TJSIZOL,O,O,X,X,X,X,X,X,X,X,O,X
TJSIOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSIOZL,O,O,X,X,X,X,X,X,X,X,X,X
TJSLIZO,O,O,X,O,X,O,X,X,X,X,X,X
TJSLIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TJSLZIO,O,O,X,O,X,O,X,X,X,X,O,X
TJSLZOI,X,O,X,X,X,O,X,X,X,X,X,X
TJSLOIZ,X,O,X,O,X,X,X,X,X,X,X,X
TJSLOZI,X,O,X,X,X,X,X,X,X,X,X,X
TJSZILO,O,O,X,O,X,X,X,X,X,X,O,X
TJSZIOL,O,O,X,X,X,X,X,X,X,X,O,X
TJSZLIO,O,X,X,O,X,O,X,X,X,X,O,X
TJSZLOI,X,X,X,X,X,O,X,X,X,X,X,X
TJSZOIL,X,O,X,X,X,X,X,X,X,X,O,X
TJSZOLI,X,O,X,X,X,O,X,X,X,X,X,X
TJSOILZ,X,O,X,O,X,X,X,X,X,X,X,X
TJSOIZL,X,O,X,X,X,X,X,X,X,X,X,X
TJSOLIZ,X,O,X,O,X,O,X,X,X,X,X,X
TJSOLZI,X,O,X,X,X,O,X,X,X,X,X,X
TJSOZIL,X,O,X,X,X,X,X,X,X,X,O,X
TJSOZLI,X,O,X,X,X,O,X,X,X,X,X,X
TJZILSO,O,X,X,O,X,O,X,O,X,X,X,X
TJZILOS,O,X,X,O,X,O,X,O,X,O,X,X
TJZISLO,O,X,X,O,X,X,X,X,X,O,O,X
TJZISOL,O,X,X,X,X,X,X,X,X,O,O,X
TJZIOLS,O,X,X,X,X,O,O,X,X,O,X,X
TJZIOSL,O,X,X,X,X,X,O,X,X,O,X,X
TJZLISO,O,X,X,O,X,O,X,O,X,X,X,X
TJZLIOS,O,X,X,O,X,O,X,O,X,O,X,X
TJZLSIO,O,X,X,O,X,O,X,O,X,O,O,X
TJZLSOI,X,X,X,X,X,O,X,O,X,O,X,X
TJZLOIS,O,X,X,X,X,O,O,O,X,O,X,X
TJZLOSI,X,X,X,X,X,O,O,O,X,O,X,X
TJZSILO,O,X,X,O,X,X,X,X,X,O,O,X
TJZSIOL,O,X,X,X,X,X,X,X,X,O,O,X
TJZSLIO,O,X,X,O,X,O,X,X,X,O,O,X
TJZSLOI,X,X,X,X,X,O,X,X,X,O,X,X
TJZSOIL,X,X,X,X,X,X,O,X,X,O,O,X
TJZSOLI,X,X,X,X,X,O,O,X,X,O,X,X
TJZOILS,O,X,X,X,X,O,O,X,X,O,X,X
TJZOISL,O,X,X,X,X,X,O,X,X,O,X,X
TJZOLIS,O,X,X,X,X,O,O,X,X,O,X,X
TJZOLSI,X,X,X,X,X,O,O,X,X,O,X,X
TJZOSIL,X,X,X,X,X,X,O,X,X,O,O,X
TJZOSLI,X,X,X,X,X,O,O,X,X,O,X,X
TJOILSZ,O,O,X,O,X,O,X,X,X,X,X,X
TJOILZS,O,O,X,O,X,O,X,X,X,X,X,X
TJOISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TJOISZL,O,O,X,X,X,X,X,X,X,X,X,X
TJOIZLS,O,O,X,X,X,O,X,X,X,X,X,X
TJOIZSL,O,O,X,X,X,X,X,X,X,X,X,X
TJOLISZ,O,O,X,O,X,O,X,X,X,X,X,X
TJOLIZS,O,O,X,O,X,O,X,X,X,X,X,X
TJOLSIZ,X,O,X,O,X,O,X,X,X,X,X,X
TJOLSZI,X,O,X,X,X,O,X,X,X,X,X,X
TJOLZIS,O,O,X,X,X,O,X,X,X,X,X,X
TJOLZSI,X,O,X,X,X,O,X,X,X,X,X,X
TJOSILZ,X,O,X,O,X,X,X,X,X,X,X,X
TJOSIZL,X,O,X,X,X,X,X,X,X,X,X,X
TJOSLIZ,X,O,X,O,X,O,X,X,X,X,X,X
TJOSLZI,X,O,X,X,X,O,X,X,X,X,X,X
TJOSZIL,X,O,X,X,X,X,O,X,X,X,O,X
TJOSZLI,X,O,X,X,X,O,O,X,X,X,X,X
TJOZILS,O,O,X,X,X,O,O,X,X,X,X,X
TJOZISL,O,O,X,X,X,X,O,X,X,X,X,X
TJOZLIS,O,O,X,X,X,O,O,X,X,X,X,X
TJOZLSI,X,O,X,X,X,O,O,X,X,X,X,X
TJOZSIL,X,O,X,X,X,X,O,X,X,X,O,X
TJOZSLI,X,O,X,X,X,O,O,X,X,X,X,X
TSILJZO,O,X,X,X,X,X,X,X,X,X,X,X
TSILJOZ,O,X,X,X,X,X,X,X,X,X,X,X
TSILZJO,O,X,X,X,X,X,X,X,X,X,X,X
TSILZOJ,O,O,X,X,X,X,X,X,X,X,X,X
TSILOJZ,O,X,X,X,X,X,X,X,X,X,X,X
TSILOZJ,O,X,X,X,X,X,X,X,X,X,X,X
TSIJLZO,O,O,X,O,X,X,X,X,X,X,X,X
TSIJLOZ,O,X,X,O,X,X,X,X,X,X,X,X
TSIJZLO,O,O,X,O,X,X,X,X,X,X,O,X
TSIJZOL,O,O,X,X,X,X,X,X,X,X,O,X
TSIJOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSIJOZL,O,O,X,X,X,X,X,X,X,X,X,X
TSIZLJO,O,X,X,X,X,X,X,X,X,X,O,X
TSIZLOJ,O,O,X,X,X,X,X,X,X,X,O,X
TSIZJLO,O,X,X,X,X,X,X,X,X,X,O,X
TSIZJOL,O,O,X,X,X,X,X,X,X,X,O,X
TSIZOLJ,O,O,X,X,X,X,X,X,X,X,O,X
TSIZOJL,O,O,X,X,X,X,X,X,X,X,O,X
TSIOLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TSIOLZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TSIOJZL,O,O,X,X,X,X,X,X,X,X,X,X
TSIOZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TSIOZJL,O,O,X,X,X,X,X,X,X,X,X,X
TSLIJZO,O,O,X,O,X,X,X,X,X,X,X,X
TSLIJOZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLIZJO,O,O,X,O,X,O,X,X,X,X,X,X
TSLIZOJ,O,O,X,X,X,O,X,X,X,X,X,X
TSLIOJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLIOZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLJIZO,O,O,X,O,X,X,X,X,X,X,X,X
TSLJIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLJZIO,O,O,O,O,O,X,X,X,X,X,O,X
TSLJZOI,O,O,O,X,O,X,X,X,X,X,X,X
TSLJOIZ,O,O,X,O,X,X,X,X,X,X,X,X
TSLJOZI,O,O,X,X,X,X,X,X,X,X,X,X
TSLZIJO,O,O,O,X,O,O,X,X,X,X,O,X
TSLZIOJ,O,O,O,X,O,O,X,X,X,X,O,X
TSLZJIO,O,O,O,X,O,O,X,X,X,X,O,X
TSLZJOI,X,O,O,X,O,O,X,X,X,X,X,X
TSLZOIJ,O,O,O,X,O,O,X,X,X,X,X,X
TSLZOJI,O,O,O,X,O,O,X,X,X,X,X,X
TSLOIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOIZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOJZI,O,O,X,X,X,X,X,X,X,X,X,X
TSLOZIJ,O,O,X,X,X,X,X,X,X,X,X,X
TSLOZJI,O,O,X,X,X,X,X,X,X,X,X,X
TSJILZO,O,O,X,O,X,X,X,X,X,X,X,X
TSJILOZ,O,X,X,O,X,X,X,X,X,X,X,X
TSJIZLO,O,O,X,O,X,X,X,X,X,X,O,X
TSJIZOL,O,O,X,X,X,X,X,X,X,X,O,X
TSJIOLZ,O,O,X,O,X,X,X,X,X,X,X,X
TSJIOZL,O,O,X,X,X,X,X,X,X,X,X,X
TSJLIZO,O,O,X,O,X,O,X,X,X,X,X,X
TSJLIOZ,O,O,X,O,X,X,X,X,X,X,X,X
TSJLZIO,O,O,X,O,X,O,X,X,X,X,O,X
TSJLZOI,O,O,X,X,X,O,X,X,X,X,X,X
TSJLOIZ,O,O,X,O,X,X,X,X,X,X,X,X
TSJLOZI,O,O,X,X,X,X,X,X,X,X,X,X
TSJZILO,O,O,X,O,X,X,X,X,X,X,O,X
TSJZIOL,O,O,X,X,X,X,X,X,X,X,O,X
TSJZLIO,O,X,X,O,X,O,X,X,X,X,O,X
TSJZLOI,O,X,X,X,X,O,X,X,X,X,X,X
TSJZOIL,O,O,X,X,X,X,X,X,X,X,O,X
TSJZOLI,O,O,X,X,X,O,X,X,X,X,X,X
TSJOILZ,O,O,X,O,X,X,X,X,X,X,X,X
TSJOIZL,O,O,X,X,X,X,X,X,X,X,X,X
TSJOLIZ,O,O,X,O,X,O,X,X,X,X,X,X
TSJOLZI,O,O,X,X,X,O,X,X,X,X,X,X
TSJOZIL,O,O,X,X,X,X,X,X,X,X,O,X
TSJOZLI,O,O,X,X,X,O,X,X,X,X,X,X
TSZILJO,O,X,O,X,O,X,X,X,X,X,O,X
TSZILOJ,O,O,O,X,O,X,X,X,X,X,O,X
TSZIJLO,O,X,O,X,O,X,X,X,X,X,O,X
TSZIJOL,O,O,X,X,O,X,X,X,X,X,O,X
TSZIOLJ,O,O,O,X,X,X,X,X,X,X,O,X
TSZIOJL,O,O,X,X,O,X,X,X,X,X,O,X
TSZLIJO,O,X,O,X,O,O,X,X,X,X,O,X
TSZLIOJ,O,X,O,X,O,O,X,X,X,X,O,X
TSZLJIO,O,X,O,X,O,O,X,X,X,X,O,X
TSZLJOI,X,X,O,X,O,O,X,X,X,X,X,X
TSZLOIJ,O,X,O,X,O,O,X,X,X,X,X,X
TSZLOJI,O,X,O,X,O,O,X,X,X,X,X,X
TSZJILO,O,O,O,X,O,X,X,X,X,X,O,X
TSZJIOL,O,O,X,X,O,X,X,X,X,X,O,X
TSZJLIO,O,X,O,X,O,O,X,X,X,X,O,X
TSZJLOI,X,X,O,X,X,O,X,X,X,X,X,X
TSZJOIL,X,O,X,X,O,X,X,X,X,X,O,X
TSZJOLI,X,O,X,X,X,O,X,X,X,X,X,X
TSZOILJ,O,O,O,X,X,X,X,X,X,X,O,X
TSZOIJL,O,O,X,X,O,X,X,X,X,X,O,X
TSZOLIJ,O,O,O,X,X,O,X,X,X,X,X,X
TSZOLJI,O,O,O,X,X,O,X,X,X,X,X,X
TSZOJIL,O,O,X,X,O,X,X,X,X,X,O,X
TSZOJLI,O,O,X,X,X,X,X,X,X,X,X,X
TSOILJZ,O,X,X,X,X,X,X,X,X,X,X,X
TSOILZJ,O,O,X,X,X,X,X,X,X,X,X,X
TSOIJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TSOIJZL,O,O,X,X,X,X,X,X,X,X,X,X
TSOIZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TSOIZJL,O,O,X,X,X,X,X,X,X,X,X,X
TSOLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLIZJ,O,O,X,X,X,O,X,X,X,X,X,X
TSOLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOLJZI,O,O,X,X,X,X,X,X,X,X,X,X
TSOLZIJ,O,O,X,X,X,O,X,X,X,X,X,X
TSOLZJI,O,O,X,X,X,O,X,X,X,X,X,X
TSOJILZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOJIZL,O,O,X,X,X,X,X,X,X,X,X,X
TSOJLIZ,O,O,X,X,X,X,X,X,X,X,X,X
TSOJLZI,O,O,X,X,X,X,X,X,X,X,X,X
TSOJZIL,O,O,X,X,X,X,X,X,X,X,O,X
TSOJZLI,O,O,X,X,X,X,X,X,X,X,X,X
TSOZILJ,O,O,X,X,X,X,X,X,X,X,O,X
TSOZIJL,O,O,X,X,X,X,X,X,X,X,O,X
TSOZLIJ,O,O,X,X,X,O,X,X,X,X,X,X
TSOZLJI,O,O,X,X,X,O,X,X,X,X,X,X
TSOZJIL,O,O,X,X,X,X,X,X,X,X,O,X
TSOZJLI,O,O,X,X,X,X,X,X,X,X,X,X
TZILJSO,X,X,O,X,X,O,X,O,X,X,X,X
TZILJOS,X,X,O,X,X,O,X,O,X,O,X,X
TZILSJO,X,X,O,X,X,O,X,X,O,X,X,X
TZILSOJ,X,X,O,X,X,O,X,X,O,X,X,X
TZILOJS,X,X,X,X,X,O,X,O,X,O,X,O
TZILOSJ,X,X,X,X,X,O,X,X,X,X,X,O
TZIJLSO,X,X,X,O,O,O,X,O,X,X,X,X
TZIJLOS,X,X,X,O,X,O,X,O,X,O,X,X
TZIJSLO,X,X,X,O,O,X,X,X,X,O,O,X
TZIJSOL,X,X,X,X,O,X,X,X,X,O,O,X
TZIJOLS,X,X,X,X,O,O,O,X,X,O,X,X
TZIJOSL,X,X,X,X,O,X,O,X,X,O,X,X
TZISLJO,X,X,O,X,O,X,X,X,X,X,O,X
TZISLOJ,X,X,O,X,X,X,X,X,X,X,O,X
TZISJLO,X,X,O,X,O,X,X,X,X,X,O,X
TZISJOL,X,X,X,X,O,X,X,X,X,O,O,X
TZISOLJ,X,X,O,X,X,X,X,X,X,X,O,X
TZISOJL,X,X,X,X,O,X,X,X,X,O,O,X
TZIOLJS,X,X,X,X,X,O,X,X,X,O,X,O
TZIOLSJ,X,X,X,X,X,O,X,X,X,X,X,O
TZIOJLS,X,X,X,X,O,X,X,X,X,O,X,X
TZIOJSL,X,X,X,X,O,X,X,X,X,O,X,X
TZIOSLJ,X,X,X,X,O,X,X,X,X,X,X,O
TZIOSJL,X,X,X,X,O,X,X,X,X,O,X,O
TZLIJSO,X,X,O,O,O,O,X,O,X,X,X,X
TZLIJOS,X,X,O,O,O,O,X,O,X,O,X,X
TZLISJO,X,X,O,O,O,O,X,X,O,X,X,X
TZLISOJ,X,X,O,X,O,O,X,X,O,X,X,X
TZLIOJS,X,X,X,O,O,O,X,O,X,O,X,O
TZLIOSJ,X,X,X,X,O,O,X,X,X,X,X,O
TZLJISO,X,X,O,O,O,O,X,O,X,X,X,X
TZLJIOS,X,X,O,O,O,O,X,O,X,O,X,X
TZLJSIO,X,X,O,O,O,O,X,O,O,O,O,X
TZLJSOI,X,X,O,X,O,O,X,O,O,O,X,X
TZLJOIS,X,X,O,X,O,O,O,O,X,O,X,O
TZLJOSI,X,X,O,X,O,O,O,O,X,O,X,O
TZLSIJO,X,X,O,X,O,O,X,X,O,X,O,X
TZLSIOJ,X,X,O,X,O,O,X,X,O,X,O,X
TZLSJIO,X,X,O,X,O,O,X,X,O,X,O,X
TZLSJOI,X,X,O,X,O,O,X,X,O,X,X,X
TZLSOIJ,X,X,O,X,O,O,X,X,O,X,X,O
TZLSOJI,X,X,O,X,O,O,X,X,O,X,X,O
TZLOIJS,X,X,X,X,O,O,X,O,X,O,X,O
TZLOISJ,X,X,X,X,O,O,X,X,X,X,X,O
TZLOJIS,X,X,O,X,O,O,X,O,X,O,X,O
TZLOJSI,X,X,O,X,O,O,X,O,X,O,X,O
TZLOSIJ,X,X,O,X,O,O,X,X,O,X,X,O
TZLOSJI,X,X,O,X,O,O,X,X,O,X,X,O
TZJILSO,X,X,X,O,O,O,X,O,X,X,X,X
TZJILOS,X,X,X,O,X,O,X,O,X,O,X,X
TZJISLO,X,X,X,O,O,X,X,X,X,O,O,X
TZJISOL,X,X,X,X,O,X,X,X,X,O,O,X
TZJIOLS,X,X,X,X,O,O,O,X,X,O,X,X
TZJIOSL,X,X,X,X,O,X,O,X,X,O,X,X
TZJLISO,X,X,O,O,O,O,X,O,X,X,X,X
TZJLIOS,X,X,O,O,X,O,X,O,X,O,X,X
TZJLSIO,X,X,O,O,O,O,X,O,O,O,O,X
TZJLSOI,X,X,O,X,X,O,X,O,O,O,X,X
TZJLOIS,X,X,O,X,O,O,O,O,X,O,X,O
TZJLOSI,X,X,O,X,O,O,O,O,X,O,X,O
TZJSILO,X,X,O,O,O,X,X,X,X,O,O,X
TZJSIOL,X,X,X,X,O,X,X,X,X,O,O,X
TZJSLIO,X,X,O,O,O,O,X,X,X,O,O,X
TZJSLOI,X,X,O,X,X,O,X,X,X,O,X,X
TZJSOIL,X,X,X,X,O,X,O,X,X,O,O,X
TZJSOLI,X,X,X,X,O,O,O,X,X,O,X,X
TZJOILS,X,X,X,X,O,O,O,X,X,O,X,X
TZJOISL,X,X,X,X,O,X,O,X,X,O,X,X
TZJOLIS,X,X,X,X,O,O,O,X,X,O,X,O
TZJOLSI,X,X,X,X,O,O,O,X,X,O,X,O
TZJOSIL,X,X,X,X,O,X,O,X,X,O,O,O
TZJOSLI,X,X,X,X,O,O,O,X,X,O,X,O
TZSILJO,X,X,O,X,O,X,X,X,X,X,O,X
TZSILOJ,X,X,O,X,O,X,X,X,X,X,O,X
TZSIJLO,X,X,O,X,O,X,X,X,X,X,O,X
TZSIJOL,X,X,X,X,O,X,X,X,X,O,O,X
TZSIOLJ,X,X,O,X,X,X,X,X,X,X,O,X
TZSIOJL,X,X,X,X,O,X,X,X,X,O,O,X
TZSLIJO,X,X,O,X,O,O,X,X,O,X,O,X
TZSLIOJ,X,X,O,X,O,O,X,X,O,X,O,X
TZSLJIO,X,X,O,X,O,O,X,X,O,X,O,X
TZSLJOI,X,X,O,X,O,O,X,X,O,X,X,X
TZSLOIJ,X,X,O,X,O,O,X,X,O,X,X,O
TZSLOJI,X,X,O,X,O,O,X,X,O,X,X,O
TZSJILO,X,X,O,X,O,X,X,X,X,O,O,X
TZSJIOL,X,X,X,X,O,X,X,X,X,O,O,X
TZSJLIO,X,X,O,X,O,O,X,X,X,O,O,X
TZSJLOI,X,X,O,X,X,O,X,X,X,O,X,X
TZSJOIL,X,X,X,X,O,X,O,X,X,O,O,X
TZSJOLI,X,X,X,X,O,O,O,X,X,O,X,X
TZSOILJ,X,X,O,X,O,X,X,X,X,X,O,O
TZSOIJL,X,X,X,X,O,X,X,X,X,O,O,O
TZSOLIJ,X,X,O,X,O,O,X,X,X,X,X,O
TZSOLJI,X,X,O,X,O,O,X,X,X,X,X,O
TZSOJIL,X,X,X,X,O,X,X,X,X,O,O,O
TZSOJLI,X,X,X,X,O,X,X,X,X,O,X,O
TZOILJS,X,X,X,X,X,O,X,X,X,O,X,O
TZOILSJ,X,X,X,X,X,O,X,X,X,X,X,O
TZOIJLS,X,X,X,X,O,X,X,X,X,O,X,X
TZOIJSL,X,X,X,X,O,X,X,X,X,O,X,X
TZOISLJ,X,X,X,X,O,X,X,X,X,X,X,O
TZOISJL,X,X,X,X,O,X,X,X,X,O,X,O
TZOLIJS,X,X,X,X,O,O,X,X,X,O,X,O
TZOLISJ,X,X,X,X,O,O,X,X,X,X,X,O
TZOLJIS,X,X,O,X,O,O,X,X,X,O,X,O
TZOLJSI,X,X,O,X,O,O,X,X,X,O,X,O
TZOLSIJ,X,X,O,X,O,O,X,X,O,X,X,O
TZOLSJI,X,X,O,X,O,O,X,X,O,X,X,O
TZOJILS,X,X,X,X,O,O,O,X,X,O,X,X
TZOJISL,X,X,X,X,O,X,O,X,X,O,X,X
TZOJLIS,X,X,X,X,O,O,O,X,X,O,X,O
TZOJLSI,X,X,X,X,O,O,O,X,X,O,X,O
TZOJSIL,X,X,X,X,O,X,O,X,X,O,O,O
TZOJSLI,X,X,X,X,O,O,O,X,X,O,X,O
TZOSILJ,X,X,O,X,O,X,X,X,X,X,O,O
TZOSIJL,X,X,X,X,O,X,O,X,X,O,O,O
TZOSLIJ,X,X,O,X,O,O,X,X,X,X,X,O
TZOSLJI,X,X,O,X,O,O,X,X,X,X,X,O
TZOSJIL,X,X,X,X,O,X,O,X,X,O,O,O
TZOSJLI,X,X,X,X,O,X,O,X,X,O,X,O
TOILJSZ,O,O,X,X,X,X,X,X,X,X,X,X
TOILJZS,O,O,X,X,X,O,X,X,X,X,X,X
TOILSJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOILSZJ,O,O,X,X,X,O,X,X,X,X,X,X
TOILZJS,X,O,X,X,X,O,X,X,X,X,X,X
TOILZSJ,O,O,X,X,X,O,X,X,X,X,X,X
TOIJLSZ,O,X,X,O,X,X,X,X,X,X,X,X
TOIJLZS,O,X,X,O,X,X,X,X,X,X,X,X
TOIJSLZ,O,X,X,O,X,X,X,X,X,X,X,X
TOIJSZL,O,O,X,X,X,X,X,X,X,X,X,X
TOIJZLS,O,X,X,X,X,X,X,X,X,X,X,X
TOIJZSL,O,O,X,X,X,X,X,X,X,X,X,X
TOISLJZ,O,X,X,X,X,X,X,X,X,X,X,X
TOISLZJ,O,O,X,X,X,X,X,X,X,X,X,X
TOISJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TOISJZL,O,O,X,X,X,X,X,X,X,X,X,X
TOISZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TOISZJL,O,O,X,X,X,X,X,X,X,X,X,X
TOIZLJS,X,O,X,X,X,O,X,X,X,X,X,X
TOIZLSJ,O,O,X,X,X,O,X,X,X,X,X,X
TOIZJLS,O,X,X,X,X,X,X,X,X,X,X,X
TOIZJSL,O,O,X,X,X,X,X,X,X,X,X,X
TOIZSLJ,O,O,X,X,X,X,X,X,X,X,X,X
TOIZSJL,O,O,X,X,X,X,X,X,X,X,X,X
TOLIJSZ,O,O,X,O,X,O,X,X,X,X,X,X
TOLIJZS,O,O,X,O,X,O,X,X,X,X,X,X
TOLISJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLISZJ,O,O,X,X,X,O,X,X,X,X,X,X
TOLIZJS,X,O,X,O,X,O,X,X,X,X,X,X
TOLIZSJ,O,O,X,X,X,O,X,X,X,X,X,X
TOLJISZ,O,O,X,O,X,O,X,X,X,X,X,X
TOLJIZS,O,O,X,O,X,O,X,X,X,X,X,X
TOLJSIZ,O,O,X,O,X,O,X,X,X,X,X,X
TOLJSZI,O,O,X,X,O,O,X,X,X,X,X,X
TOLJZIS,O,O,X,X,O,O,X,X,X,X,X,X
TOLJZSI,O,O,X,X,O,O,X,X,X,X,X,X
TOLSIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLSIZJ,O,O,X,X,X,O,X,X,X,X,X,X
TOLSJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOLSJZI,O,O,X,X,O,X,X,X,X,X,X,X
TOLSZIJ,O,O,X,X,O,O,X,X,X,X,X,X
TOLSZJI,O,O,X,X,O,O,X,X,X,X,X,X
TOLZIJS,X,O,X,X,O,O,X,X,X,X,X,X
TOLZISJ,O,O,X,X,O,O,X,X,X,X,X,X
TOLZJIS,X,X,X,X,O,O,X,X,X,X,X,X
TOLZJSI,X,O,X,X,O,O,X,X,X,X,X,X
TOLZSIJ,X,O,X,X,O,O,X,X,X,X,X,X
TOLZSJI,X,O,X,X,O,O,X,X,X,X,X,X
TOJILSZ,O,O,X,O,X,O,X,X,X,X,X,X
TOJILZS,O,O,X,O,X,O,X,X,X,X,X,X
TOJISLZ,O,O,X,O,X,X,X,X,X,X,X,X
TOJISZL,O,O,X,X,X,X,X,X,X,X,X,X
TOJIZLS,O,O,X,X,X,O,X,X,X,X,X,X
TOJIZSL,O,O,X,X,X,X,X,X,X,X,X,X
TOJLISZ,O,O,X,O,X,O,X,X,X,X,X,X
TOJLIZS,O,O,X,O,X,O,X,X,X,X,X,X
TOJLSIZ,O,O,X,O,X,O,X,X,X,X,X,X
TOJLSZI,O,O,X,X,X,O,X,X,X,X,X,X
TOJLZIS,O,O,X,X,X,O,X,X,X,X,X,X
TOJLZSI,O,O,X,X,X,O,X,X,X,X,X,X
TOJSILZ,O,O,X,O,X,X,X,X,X,X,X,X
TOJSIZL,O,O,X,X,X,X,X,X,X,X,X,X
TOJSLIZ,O,O,X,O,X,O,X,X,X,X,X,X
TOJSLZI,O,O,X,X,X,O,X,X,X,X,X,X
TOJSZIL,O,O,X,X,X,X,O,X,X,X,O,X
TOJSZLI,O,O,X,X,X,O,O,X,X,X,X,X
TOJZILS,O,O,X,X,X,O,O,X,X,X,X,X
TOJZISL,O,O,X,X,X,X,O,X,X,X,X,X
TOJZLIS,O,O,X,X,X,O,O,X,X,X,X,X
TOJZLSI,O,O,X,X,X,O,O,X,X,X,X,X
TOJZSIL,O,O,X,X,X,X,O,X,X,X,O,X
TOJZSLI,O,O,X,X,X,O,O,X,X,X,X,X
TOSILJZ,O,X,X,X,X,X,X,X,X,X,X,X
TOSILZJ,O,O,X,X,X,X,X,X,X,X,X,X
TOSIJLZ,O,X,X,X,X,X,X,X,X,X,X,X
TOSIJZL,O,O,X,X,X,X,X,X,X,X,X,X
TOSIZLJ,O,O,X,X,X,X,X,X,X,X,X,X
TOSIZJL,O,O,X,X,X,X,X,X,X,X,X,X
TOSLIJZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLIZJ,O,O,X,X,X,O,X,X,X,X,X,X
TOSLJIZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSLJZI,O,O,X,X,O,X,X,X,X,X,X,X
TOSLZIJ,O,O,X,X,O,O,X,X,X,X,X,X
TOSLZJI,O,O,X,X,O,O,X,X,X,X,X,X
TOSJILZ,O,O,X,X,X,X,X,X,X,X,X,X
TOSJIZL,O,O,X,X,X,X,X,X,X,X,X,X
