sequence,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeF8IvhFxdBTgB?UiBaoBOrBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JeU8IvhFFdBXeB?TgBxmBysB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?2nBFmBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8Je37IvhFUdBFeB?mlBRnBisBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?mhBFmBznBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdBlhB?aoBXhBTnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?FmBesBznBirB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?eoBarBFnBXsB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxdB3iB?FmBysBmrBTrB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBxdB?FmBmnB3nBywB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFTcBFeB?foBRmBKnB2wB,v115@zgC8GeB8GeC8GeE8AeA8CeE8CeC8JecAJvhFxcBXeB?anBFmBznB2wB
TILOSZJ,O,O,X,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,X,X,X,X,X,X
TILOZSJ,O,O,X,X,X,O,X,X,X,X,X,X
TIJLSZO,O,X,X,O,X,O,X,X,X,X,X,X
TIJLSOZ,O,X,X,O,X,X,X,X,X,X,X,X
TIJLZSO,O,X,X,O,X,O,X,X,X,X,X,X
TIJLZOS,O,X,X,O,X,O,X,X,X,X,X,X
TIJLOSZ,O,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,O,X,X,X,X,X,X
TIJSLZO,O,X,X,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,X,X,O,X,X,X,X,X,X,X,X
TIJSZLO,O,X,X,O,X,X,X,X,X,X,O,X
TIJSZOL,O,O,X,X,X,X,X,X,X,X,O,X
TIJSOLZ,O,X,X,O,X,X,X,X,X,X,X,X
TIJSOZL,O,X,X,X,X,X,X,X,X,X,X,X
TIJZLSO,O,X,X,O,X,O,X,O,X,X,X,X
TIJZLOS,O,X,X,O,X,O,X,O,X,O,X,X
TIJZSLO,O,X,X,O,X,X,X,X,X,X,O,X
TIJZSOL,O,O,X,X,X,X,X,X,X,O,O,X
TIJZOLS,O,X,X,X,X,O,X,X,X,O,X,X
TIJZOSL,O,X,X,X,X,X,X,X,X,O,X,X
