sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TZLJSOI,O,O,O,X,O,O,X
TZLJOIS,O,O,O,X,X,X,O
TZLJOSI,O,O,O,X,X,X,X
TZLSIJO,O,O,O,X,O,O,X
TZLSIOJ,O,O,O,X,O,O,X
TZLSJIO,O,O,O,X,O,O,X
TZLSJOI,O,O,O,X,O,O,X
TZLSOIJ,O,O,O,X,O,O,X
TZLSOJI,O,O,O,X,O,O,X
TZLOIJS,O,O,O,X,X,X,O
TZLOISJ,O,O,O,X,X,X,X
TZLOJIS,O,O,O,X,X,X,O
TZLOJSI,O,O,O,X,X,X,X
TZLOSIJ,O,O,O,X,X,X,X
TZLOSJI,O,O,O,X,X,X,X
TZJILSO,O,O,O,X,O,O,X
TZJILOS,X,O,O,X,X,X,O
TZJISLO,O,O,O,X,O,O,X
TZJISOL,O,O,O,X,O,O,O
TZJIOLS,X,O,O,O,X,X,O
TZJIOSL,O,O,O,O,O,O,O
TZJLISO,O,O,O,X,O,O,X
TZJLIOS,X,O,O,X,X,X,O
TZJLSIO,O,O,O,X,O,O,X
TZJLSOI,O,O,O,X,O,O,X
TZJLOIS,X,O,O,X,X,X,O
TZJLOSI,X,O,O,X,X,X,X
TZJSILO,O,O,O,X,O,O,X
TZJSIOL,O,O,O,X,O,O,O
TZJSLIO,O,O,O,X,O,O,X
TZJSLOI,O,O,O,X,O,O,X
TZJSOIL,O,O,O,X,O,O,O
TZJSOLI,O,O,O,X,O,O,X
TZJOILS,X,O,O,O,X,X,O
TZJOISL,O,O,O,O,O,O,O
TZJOLIS,X,O,O,O,X,X,O
TZJOLSI,X,O,O,O,X,X,X
TZJOSIL,O,O,O,O,O,O,O
TZJOSLI,O,O,O,O,O,O,X
TZSILJO,O,O,O,X,O,O,X
TZSILOJ,O,O,O,X,O,O,X
TZSIJLO,O,O,O,X,O,O,X
TZSIJOL,O,O,O,X,O,O,O
TZSIOLJ,O,O,O,X,O,O,X
TZSIOJL,O,O,O,X,O,O,O
TZSLIJO,O,O,O,X,O,O,X
TZSLIOJ,O,O,O,X,O,O,X
TZSLJIO,O,O,O,X,O,O,X
TZSLJOI,O,O,O,X,O,O,X
TZSLOIJ,O,O,O,X,O,O,X
TZSLOJI,O,O,O,X,O,O,X
TZSJILO,O,O,O,X,O,O,X
TZSJIOL,O,O,O,X,O,O,O
TZSJLIO,O,O,O,X,O,O,X
TZSJLOI,O,O,O,X,O,O,X
TZSJOIL,O,O,O,X,O,O,O
TZSJOLI,O,O,O,X,O,O,X
TZSOILJ,O,O,O,X,O,O,X
TZSOIJL,O,O,O,X,O,O,O
TZSOLIJ,O,O,O,X,O,O,X
TZSOLJI,O,O,O,X,O,O,X
TZSOJIL,O,O,O,X,O,O,O
TZSOJLI,O,O,O,X,O,O,X
TZOILJS,X,O,O,O,X,X,O
TZOILSJ,X,O,O,O,X,X,X
TZOIJLS,X,O,O,O,X,X,O
TZOIJSL,O,O,O,O,O,O,O
TZOISLJ,O,O,O,O,O,O,X
TZOISJL,O,O,O,O,O,O,O
TZOLIJS,X,O,O,O,X,X,O
TZOLISJ,X,O,O,O,X,X,X
TZOLJIS,X,O,O,O,X,X,O
TZOLJSI,X,O,O,O,X,X,X
TZOLSIJ,X,O,O,O,X,X,X
TZOLSJI,X,O,O,O,X,X,X
TZOJILS,X,O,O,O,X,X,O
TZOJISL,O,O,O,O,O,O,O
TZOJLIS,X,O,O,O,X,X,O
TZOJLSI,X,O,O,O,X,X,X
TZOJSIL,O,O,O,O,O,O,O
TZOJSLI,O,O,O,O,O,O,X
TZOSILJ,O,O,O,O,O,O,X
TZOSIJL,O,O,O,O,O,O,O
TZOSLIJ,O,O,O,O,O,O,X
TZOSLJI,O,O,O,O,O,O,X
TZOSJIL,O,O,O,O,O,O,O
TZOSJLI,O,O,O,O,O,O,X
TOILJSZ,X,O,O,X,X,X,X
TOILJZS,X,O,O,X,X,X,X
TOILSJZ,X,O,O,X,X,X,X
TOILSZJ,X,O,O,X,X,X,X
TOILZJS,X,O,O,X,X,X,X
TOILZSJ,X,O,O,X,X,X,X
TOIJLSZ,X,O,X,X,X,X,X
TOIJLZS,X,O,O,X,X,X,X
TOIJSLZ,X,O,X,X,X,X,X
TOIJSZL,X,O,O,O,X,X,X
TOIJZLS,X,O,O,O,X,X,O
TOIJZSL,X,O,O,O,O,O,O
TOISLJZ,X,O,X,X,X,X,X
TOISLZJ,X,O,X,X,X,X,X
TOISJLZ,X,O,X,X,X,X,X
TOISJZL,X,O,O,O,X,X,X
TOISZLJ,X,O,O,O,X,X,X
TOISZJL,X,O,O,O,X,X,X
TOIZLJS,X,O,O,O,X,X,O
TOIZLSJ,X,O,O,O,X,X,X
TOIZJLS,X,O,O,O,X,X,O
TOIZJSL,X,O,O,O,O,O,O
TOIZSLJ,X,O,O,O,O,O,X
TOIZSJL,X,O,O,O,O,O,O
TOLIJSZ,X,O,O,X,X,X,X
TOLIJZS,X,O,O,X,X,X,X
TOLISJZ,X,O,O,X,X,X,X
TOLISZJ,X,O,O,X,X,X,X
TOLIZJS,X,O,O,X,X,X,X
TOLIZSJ,X,O,O,X,X,X,X
TOLJISZ,X,O,O,X,X,X,X
TOLJIZS,X,O,O,X,X,X,X
TOLJSIZ,X,O,O,X,X,X,X
TOLJSZI,X,O,O,X,X,X,X
TOLJZIS,X,O,O,X,X,X,X
TOLJZSI,X,O,O,X,X,X,X
TOLSIJZ,X,O,O,X,X,X,X
TOLSIZJ,X,O,O,X,X,X,X
TOLSJIZ,X,O,O,X,X,X,X
TOLSJZI,X,O,O,X,X,X,X
TOLSZIJ,X,O,O,X,X,X,X
TOLSZJI,X,O,O,X,X,X,X
TOLZIJS,X,O,O,X,X,X,X
TOLZISJ,X,O,O,X,X,X,X
TOLZJIS,X,O,O,X,X,X,X
TOLZJSI,X,O,O,X,X,X,X
TOLZSIJ,X,O,O,X,X,X,X
TOLZSJI,X,O,O,X,X,X,X
TOJILSZ,X,O,X,X,X,X,X
TOJILZS,X,O,O,X,X,X,X
TOJISLZ,X,O,X,X,X,X,X
TOJISZL,X,O,O,O,X,X,X
TOJIZLS,X,O,O,O,X,X,O
TOJIZSL,X,O,O,O,O,O,O
TOJLISZ,X,O,X,X,X,X,X
TOJLIZS,X,O,O,X,X,X,X
TOJLSIZ,X,O,X,X,X,X,X
TOJLSZI,X,O,X,X,X,X,X
TOJLZIS,X,O,O,X,X,X,X
TOJLZSI,X,O,O,X,X,X,X
TOJSILZ,X,O,X,X,X,X,X
TOJSIZL,X,O,O,O,X,X,X
TOJSLIZ,X,O,X,X,X,X,X
TOJSLZI,X,O,X,X,X,X,X
TOJSZIL,X,O,O,O,X,X,X
TOJSZLI,X,O,O,O,X,X,X
TOJZILS,X,O,O,O,X,X,O
TOJZISL,X,O,O,O,O,O,O
TOJZLIS,X,O,O,O,X,X,O
TOJZLSI,X,O,O,O,X,X,X
TOJZSIL,X,O,O,O,O,O,O
TOJZSLI,X,O,O,O,O,O,X
TOSILJZ,X,O,X,X,X,X,X
TOSILZJ,X,O,X,X,X,X,X
TOSIJLZ,X,O,X,X,X,X,X
TOSIJZL,X,O,O,O,X,X,X
TOSIZLJ,X,O,O,O,X,X,X
TOSIZJL,X,O,O,O,X,X,X
TOSLIJZ,X,O,X,X,X,X,X
TOSLIZJ,X,O,X,X,X,X,X
TOSLJIZ,X,O,X,X,X,X,X
TOSLJZI,X,O,X,X,X,X,X
TOSLZIJ,X,O,X,X,X,X,X
TOSLZJI,X,O,X,X,X,X,X
TOSJILZ,X,O,X,X,X,X,X
TOSJIZL,X,O,O,O,X,X,X
TOSJLIZ,X,O,X,X,X,X,X
TOSJLZI,X,O,X,X,X,X,X
TOSJZIL,X,O,O,O,X,X,X
TOSJZLI,X,O,O,O,X,X,X
TOSZILJ,X,O,O,O,X,X,X
TOSZIJL,X,O,O,O,X,X,X
TOSZLIJ,X,O,O,O,X,X,X
TOSZLJI,X,O,O,O,X,X,X
TOSZJIL,X,O,O,O,X,X,X
TOSZJLI,X,O,O,O,X,X,X
TOZILJS,X,O,O,O,X,X,O
TOZILSJ,X,O,O,O,X,X,X
TOZIJLS,X,O,O,O,X,X,O
TOZIJSL,X,O,O,O,O,O,O
TOZISLJ,X,O,O,O,O,O,X
TOZISJL,X,O,O,O,O,O,O
TOZLIJS,X,O,O,O,X,X,O
TOZLISJ,X,O,O,O,X,X,X
TOZLJIS,X,O,O,O,X,X,O
TOZLJSI,X,O,O,O,X,X,X
TOZLSIJ,X,O,O,O,X,X,X
TOZLSJI,X,O,O,O,X,X,X
TOZJILS,X,O,O,O,X,X,O
TOZJISL,X,O,O,O,O,O,O
TOZJLIS,X,O,O,O,X,X,O
TOZJLSI,X,O,O,O,X,X,X
TOZJSIL,X,O,O,O,O,O,O
TOZJSLI,X,O,O,O,O,O,X
TOZSILJ,X,O,O,O,O,O,X
TOZSIJL,X,O,O,O,O,O,O
TOZSLIJ,X,O,O,O,O,O,X
TOZSLJI,X,O,O,O,O,O,X
TOZSJIL,X,O,O,O,O,O,O
TOZSJLI,X,O,O,O,O,O,X
ITLJSZO,O,O,O,X,X,X,X
ITLJSOZ,O,X,O,X,X,X,X
ITLJZSO,O,O,O,X,O,O,X
ITLJZOS,O,O,O,X,X,X,O
ITLJOSZ,X,O,O,X,X,X,X
ITLJOZS,O,O,O,X,X,X,X
ITLSJZO,O,O,O,X,X,X,X
ITLSJOZ,O,X,O,X,X,X,X
ITLSZJO,O,O,O,X,X,X,X
ITLSZOJ,O,O,O,X,X,X,X
ITLSOJZ,O,X,O,X,X,X,X
ITLSOZJ,O,X,O,X,X,X,X
ITLZJSO,O,O,O,X,O,O,X
ITLZJOS,O,O,O,X,X,X,O
ITLZSJO,O,O,O,X,O,O,X
ITLZSOJ,O,O,O,X,O,O,X
ITLZOJS,O,O,O,X,X,X,O
ITLZOSJ,O,O,O,X,X,X,X
ITLOJSZ,X,O,O,X,X,X,X
ITLOJZS,O,O,O,X,X,X,X
ITLOSJZ,X,O,O,X,X,X,X
ITLOSZJ,X,O,O,X,X,X,X
ITLOZJS,O,O,O,X,X,X,X
ITLOZSJ,O,O,O,X,X,X,X
ITJLSZO,O,O,O,X,X,X,X
ITJLSOZ,O,X,O,X,X,X,X
ITJLZSO,O,O,O,X,O,O,X
ITJLZOS,O,O,O,X,X,X,O
ITJLOSZ,X,O,O,X,X,X,X
ITJLOZS,O,O,O,X,X,X,X
ITJSLZO,O,O,X,X,X,X,X
ITJSLOZ,O,X,X,X,X,X,X
ITJSZLO,O,O,X,X,O,O,X
ITJSZOL,O,O,X,X,O,O,O
ITJSOLZ,O,O,X,X,X,X,X
ITJSOZL,O,O,X,O,O,X,X
ITJZLSO,O,O,O,X,O,O,X
ITJZLOS,X,O,O,X,X,X,O
ITJZSLO,O,O,O,X,O,O,X
ITJZSOL,O,O,O,X,O,O,O
ITJZOLS,X,O,O,O,X,X,O
ITJZOSL,O,O,O,O,O,O,O
ITJOLSZ,X,O,X,X,X,X,X
ITJOLZS,X,O,O,X,X,X,X
ITJOSLZ,X,O,X,X,X,X,X
ITJOSZL,X,O,O,O,X,X,X
ITJOZLS,X,O,O,O,X,X,O
ITJOZSL,X,O,O,O,O,O,O
ITSLJZO,O,O,X,X,X,X,X
ITSLJOZ,O,X,X,X,X,X,X
ITSLZJO,O,O,X,X,X,X,X
ITSLZOJ,O,O,X,X,X,X,X
ITSLOJZ,O,X,X,X,X,X,X
ITSLOZJ,O,X,X,X,X,X,X
ITSJLZO,O,O,X,X,X,X,X
ITSJLOZ,O,X,X,X,X,X,X
ITSJZLO,O,O,X,X,O,O,X
ITSJZOL,O,O,X,X,O,O,O
ITSJOLZ,O,O,X,X,X,X,X
ITSJOZL,O,O,X,O,O,X,X
ITSZLJO,O,O,X,X,O,O,X
ITSZLOJ,O,O,X,X,O,O,X
ITSZJLO,O,O,X,X,O,O,X
ITSZJOL,O,O,X,X,O,O,O
ITSZOLJ,O,O,X,X,O,O,X
ITSZOJL,O,O,X,X,O,O,O
ITSOLJZ,O,O,X,X,X,X,X
ITSOLZJ,O,O,X,X,X,X,X
ITSOJLZ,O,O,X,X,X,X,X
ITSOJZL,O,O,X,O,O,X,X
ITSOZLJ,O,O,X,O,O,X,X
ITSOZJL,O,O,X,O,O,X,X
ITZLJSO,O,O,O,X,O,O,X
ITZLJOS,O,O,O,X,X,X,O
ITZLSJO,O,O,O,X,O,O,X
ITZLSOJ,O,O,O,X,O,O,X
ITZLOJS,O,O,O,X,X,X,O
ITZLOSJ,O,O,O,X,X,X,X
ITZJLSO,O,O,O,X,O,O,X
ITZJLOS,X,O,O,X,X,X,O
ITZJSLO,O,O,O,X,O,O,X
ITZJSOL,O,O,O,X,O,O,O
ITZJOLS,X,O,O,O,X,X,O
ITZJOSL,O,O,O,O,O,O,O
ITZSLJO,O,O,O,X,O,O,X
ITZSLOJ,O,O,O,X,O,O,X
ITZSJLO,O,O,O,X,O,O,X
ITZSJOL,O,O,O,X,O,O,O
ITZSOLJ,O,O,O,X,O,O,X
ITZSOJL,O,O,O,X,O,O,O
ITZOLJS,X,O,O,O,X,X,O
ITZOLSJ,X,O,O,O,X,X,X
ITZOJLS,X,O,O,O,X,X,O
ITZOJSL,O,O,O,O,O,O,O
ITZOSLJ,O,O,O,O,O,O,X
ITZOSJL,O,O,O,O,O,O,O
ITOLJSZ,X,O,O,X,X,X,X
ITOLJZS,X,O,O,X,X,X,X
ITOLSJZ,X,O,O,X,X,X,X
ITOLSZJ,X,O,O,X,X,X,X
ITOLZJS,X,O,O,X,X,X,X
ITOLZSJ,X,O,O,X,X,X,X
ITOJLSZ,X,O,X,X,X,X,X
ITOJLZS,X,O,O,X,X,X,X
ITOJSLZ,X,O,X,X,X,X,X
ITOJSZL,X,O,O,O,X,X,X
ITOJZLS,X,O,O,O,X,X,O
ITOJZSL,X,O,O,O,O,O,O
ITOSLJZ,X,O,X,X,X,X,X
ITOSLZJ,X,O,X,X,X,X,X
ITOSJLZ,X,O,X,X,X,X,X
ITOSJZL,X,O,O,O,X,X,X
ITOSZLJ,X,O,O,O,X,X,X
ITOSZJL,X,O,O,O,X,X,X
ITOZLJS,X,O,O,O,X,X,O
ITOZLSJ,X,O,O,O,X,X,X
ITOZJLS,X,O,O,O,X,X,O
ITOZJSL,X,O,O,O,O,O,O
ITOZSLJ,X,O,O,O,O,O,X
ITOZSJL,X,O,O,O,O,O,O
ILTJSZO,O,O,O,X,X,X,X
ILTJSOZ,O,X,O,X,X,X,X
ILTJZSO,O,O,O,X,O,O,X
ILTJZOS,O,O,O,X,X,X,O
ILTJOSZ,X,O,O,X,X,X,X
ILTJOZS,O,O,O,X,X,X,X
ILTSJZO,O,O,O,X,X,X,X
ILTSJOZ,O,X,O,X,X,X,X
ILTSZJO,O,O,O,X,X,X,X
ILTSZOJ,O,O,O,X,X,X,X
ILTSOJZ,O,X,O,X,X,X,X
ILTSOZJ,O,X,O,X,X,X,X
ILTZJSO,O,O,O,X,O,O,X
ILTZJOS,O,O,O,X,X,X,O
ILTZSJO,O,O,O,X,O,O,X
ILTZSOJ,O,O,O,X,O,O,X
ILTZOJS,O,O,O,X,X,X,O
ILTZOSJ,O,O,O,X,X,X,X
ILTOJSZ,X,O,O,X,X,X,X
ILTOJZS,O,O,O,X,X,X,X
ILTOSJZ,X,O,O,X,X,X,X
ILTOSZJ,X,O,O,X,X,X,X
ILTOZJS,O,O,O,X,X,X,X
ILTOZSJ,O,O,O,X,X,X,X
ILJTSZO,O,O,O,X,X,X,X
ILJTSOZ,O,X,O,X,X,X,X
ILJTZSO,O,O,O,X,O,O,X
ILJTZOS,O,O,O,X,X,X,O
ILJTOSZ,X,O,O,X,X,X,X
ILJTOZS,O,O,O,X,X,X,X
ILJSTZO,O,X,O,X,X,X,X
ILJSTOZ,O,X,O,X,X,X,X
ILJSZTO,O,X,O,X,O,X,X
ILJSZOT,O,X,O,X,O,X,X
ILJSOTZ,O,X,O,X,X,X,X
ILJSOZT,O,X,O,O,O,X,X
ILJZTSO,O,X,O,X,O,O,X
ILJZTOS,O,X,O,X,X,X,O
ILJZSTO,O,X,O,X,O,O,X
ILJZSOT,O,X,O,X,O,O,X
ILJZOTS,O,X,O,O,X,X,O
ILJZOST,O,X,O,O,X,X,X
ILJOTSZ,X,O,O,X,X,X,X
ILJOTZS,O,O,O,X,X,X,X
ILJOSTZ,O,O,O,X,X,X,X
ILJOSZT,O,X,O,O,X,X,X
ILJOZTS,O,O,O,O,X,X,O
ILJOZST,O,X,O,O,X,X,X
ILSTJZO,O,X,O,X,X,X,X
ILSTJOZ,O,X,O,X,X,X,X
ILSTZJO,O,X,O,X,X,X,X
ILSTZOJ,O,X,O,X,X,X,X
ILSTOJZ,O,X,O,X,X,X,X
ILSTOZJ,O,X,O,X,X,X,X
ILSJTZO,O,X,O,X,X,X,X
ILSJTOZ,O,X,O,X,X,X,X
ILSJZTO,O,X,O,X,O,X,X
ILSJZOT,O,X,O,X,O,X,X
ILSJOTZ,O,X,O,X,X,X,X
ILSJOZT,O,X,O,O,O,X,X
ILSZTJO,O,X,O,X,O,X,X
ILSZTOJ,O,X,O,X,O,X,X
ILSZJTO,O,X,O,X,O,X,X
ILSZJOT,O,X,O,X,O,X,X
ILSZOTJ,O,X,O,X,O,X,X
ILSZOJT,O,X,O,X,O,X,X
ILSOTJZ,O,X,O,X,X,X,X
ILSOTZJ,O,X,O,X,X,X,X
ILSOJTZ,O,X,O,X,X,X,X
ILSOJZT,O,X,O,O,O,X,X
ILSOZTJ,O,X,O,O,O,X,X
ILSOZJT,O,X,O,O,O,X,X
ILZTJSO,O,X,O,X,O,O,X
ILZTJOS,O,X,O,X,X,X,O
ILZTSJO,O,X,O,X,O,O,X
ILZTSOJ,O,X,O,X,O,O,X
ILZTOJS,O,X,O,X,X,X,O
ILZTOSJ,O,X,O,X,X,X,X
ILZJTSO,O,X,O,X,O,O,X
ILZJTOS,O,X,O,X,X,X,O
ILZJSTO,O,X,O,X,O,O,X
ILZJSOT,O,X,O,X,O,O,X
ILZJOTS,O,X,O,O,X,X,O
ILZJOST,O,X,O,O,X,X,X
ILZSTJO,O,X,O,X,O,O,X
ILZSTOJ,O,X,O,X,O,O,X
ILZSJTO,O,X,O,X,O,O,X
ILZSJOT,O,X,O,X,O,O,X
ILZSOTJ,O,X,O,X,O,O,X
ILZSOJT,O,X,O,X,O,O,X
ILZOTJS,O,X,O,O,X,X,O
ILZOTSJ,O,X,O,O,X,X,X
ILZOJTS,O,X,O,O,X,X,O
ILZOJST,O,X,O,O,X,X,X
ILZOSTJ,O,X,O,O,X,X,X
ILZOSJT,O,X,O,O,X,X,X
ILOTJSZ,X,O,O,X,X,X,X
ILOTJZS,O,O,O,X,X,X,X
ILOTSJZ,X,O,O,X,X,X,X
ILOTSZJ,X,O,O,X,X,X,X
ILOTZJS,O,O,O,X,X,X,X
ILOTZSJ,O,O,O,X,X,X,X
ILOJTSZ,X,O,O,X,X,X,X
ILOJTZS,O,O,O,X,X,X,X
ILOJSTZ,O,O,O,X,X,X,X
ILOJSZT,O,X,O,O,X,X,X
ILOJZTS,O,O,O,O,X,X,O
ILOJZST,O,X,O,O,X,X,X
ILOSTJZ,O,O,O,X,X,X,X
ILOSTZJ,O,O,O,X,X,X,X
ILOSJTZ,O,O,O,X,X,X,X
ILOSJZT,O,X,O,O,X,X,X
ILOSZTJ,O,X,O,O,X,X,X
ILOSZJT,O,X,O,O,X,X,X
ILOZTJS,O,O,O,O,X,X,O
ILOZTSJ,O,O,O,O,X,X,X
ILOZJTS,O,O,O,O,X,X,O
ILOZJST,O,X,O,O,X,X,X
ILOZSTJ,O,X,O,O,X,X,X
ILOZSJT,O,X,O,O,X,X,X
IJTLSZO,O,O,O,X,X,X,X
IJTLSOZ,O,X,O,X,X,X,X
IJTLZSO,O,O,O,X,O,O,X
IJTLZOS,O,O,O,X,X,X,O
IJTLOSZ,X,O,O,X,X,X,X
IJTLOZS,O,O,O,X,X,X,X
IJTSLZO,O,O,X,X,X,X,X
IJTSLOZ,O,X,X,X,X,X,X
IJTSZLO,O,O,X,X,O,O,X
IJTSZOL,O,O,X,X,O,O,O
IJTSOLZ,O,O,X,X,X,X,X
IJTSOZL,O,O,X,O,O,X,X
IJTZLSO,O,O,O,X,O,O,X
IJTZLOS,X,O,O,X,X,X,O
IJTZSLO,O,O,O,X,O,O,X
IJTZSOL,O,O,O,X,O,O,O
IJTZOLS,X,O,O,O,X,X,O
IJTZOSL,O,O,O,O,O,O,O
IJTOLSZ,X,O,X,X,X,X,X
IJTOLZS,X,O,O,X,X,X,X
IJTOSLZ,X,O,X,X,X,X,X
IJTOSZL,X,O,O,O,X,X,X
IJTOZLS,X,O,O,O,X,X,O
IJTOZSL,X,O,O,O,O,O,O
IJLTSZO,O,O,O,X,X,X,X
IJLTSOZ,O,X,O,X,X,X,X
IJLTZSO,O,O,O,X,O,O,X
IJLTZOS,O,O,O,X,X,X,O
IJLTOSZ,X,O,O,X,X,X,X
IJLTOZS,O,O,O,X,X,X,X
IJLSTZO,O,X,O,X,X,X,X
IJLSTOZ,O,X,O,X,X,X,X
IJLSZTO,O,X,O,X,O,X,X
IJLSZOT,O,X,O,X,O,X,X
IJLSOTZ,O,X,O,X,X,X,X
IJLSOZT,O,X,O,O,O,X,X
IJLZTSO,O,X,O,X,O,O,X
IJLZTOS,O,X,O,X,X,X,O
IJLZSTO,O,X,O,X,O,O,X
IJLZSOT,O,X,O,X,O,O,X
IJLZOTS,O,X,O,O,X,X,O
IJLZOST,O,X,O,O,X,X,X
IJLOTSZ,X,O,O,X,X,X,X
IJLOTZS,O,O,O,X,X,X,X
IJLOSTZ,O,O,O,X,X,X,X
IJLOSZT,O,X,O,O,X,X,X
IJLOZTS,O,O,O,O,X,X,O
IJLOZST,O,X,O,O,X,X,X
IJSTLZO,O,O,X,X,X,X,X
IJSTLOZ,O,X,X,X,X,X,X
IJSTZLO,O,O,X,X,O,O,X
IJSTZOL,O,O,X,X,O,O,O
IJSTOLZ,O,O,X,X,X,X,X
IJSTOZL,O,O,X,O,O,X,X
IJSLTZO,O,X,O,X,X,X,X
IJSLTOZ,O,X,O,X,X,X,X
IJSLZTO,O,X,O,X,O,X,X
IJSLZOT,O,X,O,X,O,X,X
IJSLOTZ,O,X,O,X,X,X,X
IJSLOZT,O,X,O,O,O,X,X
IJSZTLO,O,X,O,X,O,O,X
IJSZTOL,O,X,O,X,O,O,O
IJSZLTO,O,X,O,X,O,O,X
IJSZLOT,O,X,O,X,O,O,X
IJSZOTL,O,X,O,O,O,O,O
IJSZOLT,O,X,O,O,O,O,X
IJSOTLZ,O,O,X,X,X,X,X
IJSOTZL,O,O,O,O,O,X,X
IJSOLTZ,O,O,X,X,X,X,X
IJSOLZT,O,X,X,O,O,X,X
IJSOZTL,O,X,O,O,O,X,O
IJSOZLT,O,X,O,O,O,X,X
IJZTLSO,O,O,O,X,O,O,X
IJZTLOS,X,O,O,X,X,X,O
IJZTSLO,O,O,O,X,O,O,X
IJZTSOL,O,O,O,X,O,O,O
IJZTOLS,X,O,O,O,X,X,O
IJZTOSL,O,O,O,O,O,O,O
IJZLTSO,O,X,O,X,O,O,X
IJZLTOS,O,X,O,X,X,X,O
IJZLSTO,O,X,O,X,O,O,X
IJZLSOT,O,X,O,X,O,O,X
IJZLOTS,O,X,O,O,X,X,O
IJZLOST,O,X,O,O,X,X,X
IJZSTLO,O,X,O,X,O,O,X
IJZSTOL,O,X,O,X,O,O,O
IJZSLTO,O,X,O,X,O,O,X
IJZSLOT,O,X,O,X,O,O,X
IJZSOTL,O,X,O,O,O,O,O
IJZSOLT,O,X,O,O,O,O,X
IJZOTLS,X,O,O,O,X,X,O
IJZOTSL,O,O,O,O,O,O,O
IJZOLTS,X,O,O,O,X,X,O
IJZOLST,X,X,O,O,X,X,X
IJZOSTL,O,X,O,O,O,O,O
IJZOSLT,O,X,O,O,O,O,X
IJOTLSZ,X,O,X,X,X,X,X
IJOTLZS,X,O,O,X,X,X,X
IJOTSLZ,X,O,X,X,X,X,X
IJOTSZL,X,O,O,O,X,X,X
IJOTZLS,X,O,O,O,X,X,O
IJOTZSL,X,O,O,O,O,O,O
IJOLTSZ,X,O,O,X,X,X,X
IJOLTZS,O,O,O,X,X,X,X
IJOLSTZ,O,O,O,X,X,X,X
IJOLSZT,O,X,O,O,X,X,X
IJOLZTS,O,O,O,O,X,X,O
IJOLZST,O,X,O,O,X,X,X
IJOSTLZ,O,O,X,X,X,X,X
IJOSTZL,O,O,O,O,O,X,X
IJOSLTZ,O,O,X,X,X,X,X
IJOSLZT,O,X,X,O,O,X,X
IJOSZTL,O,X,O,O,O,X,O
IJOSZLT,O,X,O,O,O,X,X
IJOZTLS,X,O,O,O,X,X,O
IJOZTSL,O,O,O,O,O,O,O
IJOZLTS,X,O,O,O,X,X,O
IJOZLST,X,X,O,O,X,X,X
IJOZSTL,O,X,O,O,O,O,O
IJOZSLT,O,X,O,O,O,O,X
ISTLJZO,O,O,X,X,X,X,X
ISTLJOZ,O,X,X,X,X,X,X
ISTLZJO,O,O,X,X,X,X,X
ISTLZOJ,O,O,X,X,X,X,X
ISTLOJZ,O,X,X,X,X,X,X
ISTLOZJ,O,X,X,X,X,X,X
ISTJLZO,O,O,X,X,X,X,X
ISTJLOZ,O,X,X,X,X,X,X
ISTJZLO,O,O,X,X,O,O,X
ISTJZOL,O,O,X,X,O,O,O
ISTJOLZ,O,O,X,X,X,X,X
ISTJOZL,O,O,X,O,O,X,X
ISTZLJO,O,O,X,X,O,O,X
ISTZLOJ,O,O,X,X,O,O,X
ISTZJLO,O,O,X,X,O,O,X
ISTZJOL,O,O,X,X,O,O,O
ISTZOLJ,O,O,X,X,O,O,X
ISTZOJL,O,O,X,X,O,O,O
ISTOLJZ,O,O,X,X,X,X,X
ISTOLZJ,O,O,X,X,X,X,X
ISTOJLZ,O,O,X,X,X,X,X
ISTOJZL,O,O,X,O,O,X,X
ISTOZLJ,O,O,X,O,O,X,X
ISTOZJL,O,O,X,O,O,X,X
ISLTJZO,O,X,O,X,X,X,X
ISLTJOZ,O,X,O,X,X,X,X
ISLTZJO,O,X,O,X,X,X,X
ISLTZOJ,O,X,O,X,X,X,X
ISLTOJZ,O,X,O,X,X,X,X
ISLTOZJ,O,X,O,X,X,X,X
ISLJTZO,O,X,O,X,X,X,X
ISLJTOZ,O,X,O,X,X,X,X
ISLJZTO,O,X,O,X,O,X,X
ISLJZOT,O,X,O,X,O,X,X
ISLJOTZ,O,X,O,X,X,X,X
ISLJOZT,O,X,O,O,O,X,X
ISLZTJO,O,X,O,X,O,X,X
ISLZTOJ,O,X,O,X,O,X,X
ISLZJTO,O,X,O,X,O,X,X
ISLZJOT,O,X,O,X,O,X,X
ISLZOTJ,O,X,O,X,O,X,X
ISLZOJT,O,X,O,X,O,X,X
ISLOTJZ,O,X,O,X,X,X,X
ISLOTZJ,O,X,O,X,X,X,X
ISLOJTZ,O,X,O,X,X,X,X
