sequence,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBTjB6?rBcsBXtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBCjB8?rBToB1xB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBFiBXjB6?rBctBTsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulB3hBlnBc?tBzrBCtB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBTjBlmBc?sBXtBCsB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBfoB6oBl?mB0sBzrB,v115@+gB8HeB8HeB8AeA8FeD8DeA8JeZEJvhFulBlmBcsBT?oBCsBXtB
TLISZJO,O,O,O,X,X,X,X
TLISZOJ,O,O,O,X,X,X,X
TLISOJZ,O,X,O,X,X,X,X
TLISOZJ,O,X,O,X,X,X,X
TLIZJSO,O,O,O,X,O,O,X
TLIZJOS,O,O,O,X,X,X,O
TLIZSJO,O,O,O,X,O,O,X
TLIZSOJ,O,O,O,X,O,O,X
TLIZOJS,O,O,O,X,X,X,O
TLIZOSJ,O,O,O,X,X,X,X
TLIOJSZ,X,O,O,X,X,X,X
TLIOJZS,O,O,O,X,X,X,X
TLIOSJZ,X,O,O,X,X,X,X
TLIOSZJ,X,O,O,X,X,X,X
TLIOZJS,O,O,O,X,X,X,X
TLIOZSJ,O,O,O,X,X,X,X
TLJISZO,O,O,O,X,X,X,X
TLJISOZ,O,X,O,X,X,X,X
TLJIZSO,O,O,O,X,O,O,X
TLJIZOS,O,O,O,X,X,X,O
TLJIOSZ,X,O,O,X,X,X,X
TLJIOZS,O,O,O,X,X,X,X
TLJSIZO,O,O,O,X,X,X,X
TLJSIOZ,O,X,O,X,X,X,X
TLJSZIO,O,O,O,X,X,X,X
TLJSZOI,O,O,O,X,X,X,X
TLJSOIZ,O,X,O,X,X,X,X
TLJSOZI,O,X,O,X,X,X,X
TLJZISO,O,O,O,X,O,O,X
TLJZIOS,O,O,O,X,X,X,O
TLJZSIO,O,O,O,X,O,O,X
TLJZSOI,O,O,O,X,O,O,X
TLJZOIS,O,O,O,X,X,X,O
TLJZOSI,O,O,O,X,X,X,X
TLJOISZ,X,O,O,X,X,X,X
TLJOIZS,O,O,O,X,X,X,X
TLJOSIZ,X,O,O,X,X,X,X
TLJOSZI,X,O,O,X,X,X,X
TLJOZIS,O,O,O,X,X,X,X
TLJOZSI,O,O,O,X,X,X,X
TLSIJZO,O,O,O,X,X,X,X
TLSIJOZ,O,X,O,X,X,X,X
TLSIZJO,O,O,O,X,X,X,X
TLSIZOJ,O,O,O,X,X,X,X
TLSIOJZ,O,X,O,X,X,X,X
TLSIOZJ,O,X,O,X,X,X,X
TLSJIZO,O,O,O,X,X,X,X
TLSJIOZ,O,X,O,X,X,X,X
TLSJZIO,O,O,O,X,X,X,X
TLSJZOI,O,O,O,X,X,X,X
TLSJOIZ,O,X,O,X,X,X,X
TLSJOZI,O,X,O,X,X,X,X
TLSZIJO,O,O,O,X,X,X,X
TLSZIOJ,O,O,O,X,X,X,X
TLSZJIO,O,O,O,X,X,X,X
TLSZJOI,O,O,O,X,X,X,X
TLSZOIJ,O,O,O,X,X,X,X
TLSZOJI,O,O,O,X,X,X,X
TLSOIJZ,O,X,O,X,X,X,X
TLSOIZJ,O,X,O,X,X,X,X
TLSOJIZ,O,X,O,X,X,X,X
TLSOJZI,O,X,O,X,X,X,X
TLSOZIJ,O,X,O,X,X,X,X
TLSOZJI,O,X,O,X,X,X,X
TLZIJSO,O,O,O,X,O,O,X
TLZIJOS,O,O,O,X,X,X,O
TLZISJO,O,O,O,X,O,O,X
TLZISOJ,O,O,O,X,O,O,X
TLZIOJS,O,O,O,X,X,X,O
TLZIOSJ,O,O,O,X,X,X,X
TLZJISO,O,O,O,X,O,O,X
TLZJIOS,O,O,O,X,X,X,O
TLZJSIO,O,O,O,X,O,O,X
TLZJSOI,O,O,O,X,O,O,X
TLZJOIS,O,O,O,X,X,X,O
TLZJOSI,O,O,O,X,X,X,X
TLZSIJO,O,O,O,X,O,O,X
TLZSIOJ,O,O,O,X,O,O,X
TLZSJIO,O,O,O,X,O,O,X
TLZSJOI,O,O,O,X,O,O,X
TLZSOIJ,O,O,O,X,O,O,X
TLZSOJI,O,O,O,X,O,O,X
TLZOIJS,O,O,O,X,X,X,O
TLZOISJ,O,O,O,X,X,X,X
TLZOJIS,O,O,O,X,X,X,O
TLZOJSI,O,O,O,X,X,X,X
TLZOSIJ,O,O,O,X,X,X,X
TLZOSJI,O,O,O,X,X,X,X
TLOIJSZ,X,O,O,X,X,X,X
TLOIJZS,O,O,O,X,X,X,X
TLOISJZ,X,O,O,X,X,X,X
TLOISZJ,X,O,O,X,X,X,X
TLOIZJS,O,O,O,X,X,X,X
TLOIZSJ,O,O,O,X,X,X,X
TLOJISZ,X,O,O,X,X,X,X
TLOJIZS,O,O,O,X,X,X,X
TLOJSIZ,X,O,O,X,X,X,X
TLOJSZI,X,O,O,X,X,X,X
TLOJZIS,O,O,O,X,X,X,X
TLOJZSI,O,O,O,X,X,X,X
TLOSIJZ,X,O,O,X,X,X,X
TLOSIZJ,X,O,O,X,X,X,X
TLOSJIZ,X,O,O,X,X,X,X
TLOSJZI,X,O,O,X,X,X,X
TLOSZIJ,X,O,O,X,X,X,X
TLOSZJI,X,O,O,X,X,X,X
