sequence,v115@8gA8IeB8DeC8AeB8DeG8AeG8Jei6IvhFUcBRdBzfBf?mBmiBFqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8Je//IvhFRbBUdBajBT?gBOmBFqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8Jei6IvhFUcBRdBFgBm?iBfqBzqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8Jex6IvhFVhBUdBajBm?fBfqBzqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8JeT6IvhFibBRdBFhBm?iBfqB0qB,v115@8gA8IeB8DeC8AeB8DeG8AeG8JeT6IvhFlbBRdB8kBX?hBmiBiqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8JeT6IvhFxbBViBajBm?gBfqB0qB,v115@8gA8IeB8DeC8AeB8DeG8AeG8JeT6IvhFRdB8kBmiB3?lBFmBiqB,v115@8gA8IeB8DeC8AeB8DeG8AeG8JeT6IvhFUdBajBxgBf?qBmqBlqB
TILJSZO,O,O,X,X,X,X,X,X,X
TILJSOZ,O,O,X,X,O,X,O,X,X
TILJZSO,O,O,X,O,X,X,X,X,X
TILJZOS,O,O,X,O,O,X,X,X,X
TILJOSZ,O,O,X,X,O,X,O,X,X
TILJOZS,O,O,X,X,O,X,X,X,X
TILSJZO,O,O,X,O,X,X,X,X,X
TILSJOZ,O,O,X,O,O,X,O,X,X
TILSZJO,O,O,X,O,X,X,O,X,X
TILSZOJ,O,O,X,O,O,X,O,X,X
TILSOJZ,X,O,X,X,O,X,O,X,X
TILSOZJ,X,O,X,O,O,X,O,X,X
TILZJSO,X,X,X,O,X,X,X,X,X
TILZJOS,X,X,X,O,X,X,X,X,X
TILZSJO,X,O,X,O,O,X,X,X,X
TILZSOJ,X,O,X,O,O,X,O,X,X
TILZOJS,X,X,X,O,O,X,X,X,X
TILZOSJ,X,O,X,O,X,X,O,X,O
TILOJSZ,O,O,X,X,O,X,O,X,X
TILOJZS,O,O,X,O,O,X,X,X,X
TILOSJZ,O,O,X,O,O,X,O,X,X
TILOSZJ,O,O,X,O,X,X,O,X,X
TILOZJS,X,X,X,O,O,X,X,X,X
TILOZSJ,X,O,X,O,X,X,O,X,O
TIJLSZO,O,O,X,X,O,X,X,X,X
TIJLSOZ,O,O,X,X,O,X,O,X,X
TIJLZSO,O,O,X,O,O,X,X,X,X
TIJLZOS,O,O,X,O,O,X,X,X,X
TIJLOSZ,O,O,X,X,O,X,O,X,X
TIJLOZS,O,O,X,X,O,X,X,X,X
TIJSLZO,O,O,X,X,O,X,X,X,X
TIJSLOZ,O,O,X,X,O,X,O,X,X
TIJSZLO,O,O,X,X,O,X,X,X,X
TIJSZOL,O,O,X,X,O,X,X,X,X
TIJSOLZ,O,O,X,X,O,X,O,X,X
TIJSOZL,O,O,X,X,O,X,X,X,X
TIJZLSO,O,O,X,O,O,X,X,X,X
TIJZLOS,O,O,X,O,O,X,X,X,X
TIJZSLO,O,O,X,X,O,X,X,X,X
TIJZSOL,O,O,X,X,O,X,X,X,X
TIJZOLS,O,O,X,X,O,X,X,X,X
TIJZOSL,O,O,X,X,O,X,X,X,X
TIJOLSZ,O,O,X,X,O,X,O,X,X
TIJOLZS,O,O,X,X,O,X,X,X,X
TIJOSLZ,O,O,X,X,O,X,X,X,X
TIJOSZL,O,O,X,X,O,X,X,X,X
TIJOZLS,O,O,X,X,O,X,X,X,X
TIJOZSL,O,O,X,X,O,X,X,X,X
TISLJZO,O,O,X,O,O,X,X,X,X
TISLJOZ,O,O,X,O,O,X,O,X,X
TISLZJO,O,O,X,O,X,X,O,X,X
TISLZOJ,O,O,X,O,O,X,O,X,X
TISLOJZ,X,O,X,X,O,X,O,X,X
TISLOZJ,X,O,X,O,O,X,O,X,X
TISJLZO,O,O,X,O,O,X,X,X,X
TISJLOZ,O,O,X,O,O,X,O,X,X
TISJZLO,O,O,X,O,O,X,X,X,X
TISJZOL,O,O,X,O,O,X,X,X,X
TISJOLZ,O,O,X,O,O,X,O,X,X
TISJOZL,O,O,X,O,O,X,X,X,X
TISZLJO,O,O,X,O,O,X,O,X,X
TISZLOJ,O,O,X,O,O,X,O,X,X
TISZJLO,O,O,X,O,O,X,O,X,X
TISZJOL,O,X,X,O,O,X,O,X,X
TISZOLJ,O,O,X,O,O,X,O,X,X
TISZOJL,O,O,X,X,O,X,O,X,X
