sequence,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBZhBUdBf?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBXiBllBU?qBirBGrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBSqBz?mBmlBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBcmBO?nBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFZhBUdBfnBT?gBFqBSwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcB3gBCiBe?rB8rBFqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUdBFhBzmBR?qBWwBiqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhF+gBFiBUqBR?rB/rBirB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBFiBSqBT?mBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeaBJvhFUdBFgBfnBW?rBzkBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFugBxhB3hBV?qB8rByvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhFUhBFiBSqBm?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG7IvhFicBFiBXlBR?rBTrBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeG8IvhFFgB8lBXiBz?kByrBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeC7IvhF8gBelBFiBX?mBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je3AJvhFFiB0mBzkBG?lBimBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefAJvhF0bBlcBOnBS?qBTmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiBTgBU?qBRrB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeGAJvhFxhBamBzhBV?qB3rBUqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFFiBxlBamBf?qBzmBWwB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JefBJvhFUgBFiBSrBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeWAJvhFKhBFiB0lBX?lBzmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeSAJvhF/mBFiB0lBz?kBmmBxvB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU7IvhFRcB2mB6qBf?qBFnBTrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Jez6IvhFRcBFiBGqBi?rBcqB/rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je+AJvhFKhBFiBzkBR?rBUqB3rB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mBUrB3qB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeyAJvhFFiBxlBfqBz?mBUrBGqB,v115@zgA8FeD8GeD8EeD8FeE8DeD8Je2AJvhFFiBxlBqkBz?mB3qBUrB,v115@zgA8FeD8GeD8EeD8FeE8DeD8JeU8IvhFFgBOnBCmBz?kB3mBxvB
TILJSZO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TILJSOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TILJZSO,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,O,O,O,X,O,X,X,X,X,X,X,X,X,O
TILJZOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,O
TILJOSZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,O,X,X,X,X,X,X,O,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,O,O,X,X,X,X,X,X,X,O,X,X,X,O
TILSJZO,X,X,X,X,X,X,X,X,O,O,X,O,X,X,O,X,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILSJOZ,X,X,X,X,X,X,X,X,X,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZJO,X,X,X,X,X,X,X,X,O,X,X,O,X,O,X,X,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILZJSO,X,X,X,X,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X
TILZJOS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,O,X,X,X,X
TILZSJO,X,X,X,X,X,X,X,O,O,X,O,O,X,O,X,X,X,O,X,X,O,O,O,X,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X,X,O,O,X,O,O,X,X,X,O,X,X,X,X,O,X,O,X,X,X,X,X,X,X
TILZOJS,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZOSJ,X,X,X,X,X,X,X,O,X,X,O,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJSZ,X,X,O,X,X,X,X,X,O,O,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOJZS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X
TILOSJZ,X,X,O,X,X,X,X,X,O,X,O,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,O,X,X,X,X,X,O,X,X,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOZJS,X,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILOZSJ,X,X,O,X,X,X,X,X,O,X,O,O,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,X
