sequence,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFmdB5jB9nB0?mBKtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFeiBfjB6jBc?sB5mBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBXiB8nB5?oBOtBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBzdB6rBc?sBOtB5oB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdBejB5jBX?iBzrBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFCdB8mBziB5?oBOtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5jBziBurBf?nBUtBisB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hB0dB6jB2?nBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhF0dB9mBSoBx?sBesBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeT9IvhFOjBUhB5oBd?sBftB6rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFXeBSoBUnB5?mBTtBOsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzdB5jBUiBu?mBKtBXsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF5hBKiBGeBU?jBXsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFqhBxdBXjB+?tB0nBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBTjBasB5?mBGoBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF+jBRiB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jB3iBq?rBUnBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFajB5jBTiBf?sBUtBurB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF/iBcjBasB+?tB5mBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFRdB+jBUiBq?rB3nBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF0dBSoBurBx?sBfsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF6jBXiB8nB5?mBOsBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBqiBTeB+?tBRsB0rB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFcjBxmB+tBN?nBqrBzsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFGeBUjBxmBC?sBTtBdsB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB3iBqrBx?sBctBGtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhFzcB+jB3iBq?rBxsBUtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LeX8IvhFdiBCeBGoBR?sB0rBTtB,v115@zgD8FeC8GeD8FeE8EeE8BeA8LedBJvhF3dBWnB6tBR?sBctBzrB,v115@zgD8FeC8GeD8FeE8EeE8BeA8Le+DJvhFUhBRiB3iB6?rBNsBTtB
TILJSZO,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
TILJSOZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJZSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,O,X,O,X,X,X,X,O,X,X,O,X
TILJZOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILJOSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILJOZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILSJZO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,O,X,O,X,X,X,X,X,X,X,O,X
TILSJOZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X
TILSZJO,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSZOJ,O,X,X,X,X,O,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILSOJZ,O,X,X,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILSOZJ,X,X,X,X,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILZJSO,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,O,X
TILZJOS,O,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X
TILZSJO,O,X,O,X,X,X,X,X,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZSOJ,O,X,O,X,X,X,X,X,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TILZOSJ,O,X,O,X,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X
TILOJSZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,O,O,X,X,X,O,X,X,X,X,X,X,X,X,X
TILOJZS,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,O,X,X,X,O,X,X,X,X,X,X,X,X,O,X
TILOSJZ,O,X,X,X,X,X,X,X,O,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,X,O,X,X,X,X,O,X,X,X,X,X
