sequence,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBUiBaoB5oBWs?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFChBTiBeoB5oB0m?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFzgBqmBmiB5oB0n?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBUiBaoB5oBWs?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFRhBcnBTjBSrBGt?B3qB,v115@9gB8HeA8IeB8HeB8BeE8KeXAJvhFdmBqmBmiB5oB0n?BTqB,v115@9gB8HeA8IeB8HeB8BeE8KedFJvhFqmBmiB5oBzlB0n?B3qB
TILJSZO,O,X,O,O,X,O,X
TILJSOZ,O,X,O,O,X,X,X
TILJZSO,O,O,O,O,O,O,O
TILJZOS,O,O,O,O,O,O,O
TILJOSZ,O,X,X,O,X,X,X
TILJOZS,O,O,X,O,O,X,O
TILSJZO,O,X,O,O,X,O,X
TILSJOZ,O,X,O,O,X,X,X
TILSZJO,O,X,O,O,O,O,O
TILSZOJ,O,X,O,X,X,O,O
TILSOJZ,O,X,O,O,X,X,X
TILSOZJ,O,X,O,X,X,O,O
TILZJSO,O,O,O,O,O,O,O
TILZJOS,O,O,O,O,O,O,O
TILZSJO,X,O,O,O,O,O,O
TILZSOJ,X,X,O,X,X,O,O
TILZOJS,X,O,O,X,O,O,O
TILZOSJ,X,X,O,X,X,O,O
TILOJSZ,O,X,X,O,X,O,X
TILOJZS,O,X,X,O,X,O,O
TILOSJZ,X,X,O,O,X,O,X
TILOSZJ,X,X,O,O,X,O,O
TILOZJS,X,X,O,O,O,O,O
TILOZSJ,X,X,O,O,X,O,O
TIJLSZO,O,X,O,O,X,O,X
TIJLSOZ,O,X,O,O,X,X,X
TIJLZSO,O,O,O,O,O,O,O
TIJLZOS,O,O,O,O,O,O,O
TIJLOSZ,O,X,X,O,X,X,X
TIJLOZS,O,O,X,O,O,X,O
TIJSLZO,O,O,X,O,X,O,X
TIJSLOZ,O,O,X,O,X,X,X
TIJSZLO,O,O,X,O,X,X,X
TIJSZOL,O,O,X,O,X,X,X
TIJSOLZ,O,O,X,O,X,X,X
TIJSOZL,O,O,X,O,X,X,X
