sequence,v115@zgA8IeB8HeB8FeF8CeI8BeB8JeR7IvhF3cBGeBTgBl?iBimBUsB,v115@zgA8IeB8HeB8FeF8CeI8BeB8JeR7IvhFzcBGeBigB3?iBFmBUsB,v115@zgA8IeB8HeB8FeF8CeI8BeB8JeaAJvhFzbBGeBRiBF?mBXnBUsB,v115@zgA8IeB8HeB8FeF8CeI8BeB8JeF7IvhFxcBTeB3gBG?iBimBUsB
ILTJSOZ,O,O,O,O
ILTJZSO,O,O,X,X
ILTJZOS,X,O,O,O
ILTJOSZ,O,O,O,O
ILTJOZS,O,O,O,O
ILTSJZO,O,O,O,X
ILTSJOZ,O,O,O,X
ILTSZJO,O,O,O,X
ILTSZOJ,X,O,O,X
ILTSOJZ,O,O,O,X
ILTSOZJ,O,O,O,X
ILTZJSO,O,O,X,X
ILTZJOS,X,O,O,X
ILTZSJO,O,O,X,X
ILTZSOJ,X,O,X,X
ILTZOJS,X,O,O,X
ILTZOSJ,X,O,X,X
ILTOJSZ,O,O,O,O
ILTOJZS,O,O,O,O
ILTOSJZ,O,O,O,X
ILTOSZJ,O,O,O,X
ILTOZJS,O,O,O,X
ILTOZSJ,O,O,X,X
ILJTSZO,O,O,O,O
ILJTSOZ,O,O,O,O
ILJTZSO,O,O,X,X
ILJTZOS,X,O,O,O
ILJTOSZ,O,O,O,O
ILJTOZS,X,O,O,O
ILJSTZO,O,O,O,O
ILJSTOZ,O,O,O,O
ILJSZTO,O,O,O,O
ILJSZOT,O,O,X,O
ILJSOTZ,O,O,O,O
ILJSOZT,O,O,X,O
ILJZTSO,O,O,X,X
ILJZTOS,O,O,O,O
ILJZSTO,O,O,O,O
ILJZSOT,O,O,X,O
ILJZOTS,O,X,X,O
ILJZOST,O,O,X,O
ILJOTSZ,O,O,O,O
ILJOTZS,O,O,O,O
ILJOSTZ,O,O,O,O
ILJOSZT,O,O,X,O
ILJOZTS,O,X,X,O
ILJOZST,O,O,X,O
ILSTJZO,O,O,O,O
ILSTJOZ,O,O,O,O
ILSTZJO,O,O,O,X
ILSTZOJ,X,O,O,O
ILSTOJZ,O,O,O,O
ILSTOZJ,O,O,O,O
ILSJTZO,O,O,O,O
ILSJTOZ,O,O,O,O
ILSJZTO,O,O,O,O
ILSJZOT,O,O,X,O
ILSJOTZ,O,O,O,O
ILSJOZT,O,O,X,O
ILSZTJO,O,O,O,X
ILSZTOJ,X,O,O,O
ILSZJTO,O,O,O,X
ILSZJOT,O,O,X,X
ILSZOTJ,X,O,X,O
ILSZOJT,X,O,X,X
ILSOTJZ,O,O,O,O
ILSOTZJ,O,X,O,O
ILSOJTZ,O,O,O,O
ILSOJZT,O,O,X,O
ILSOZTJ,O,X,X,O
ILSOZJT,O,O,X,X
ILZTJSO,O,O,X,X
ILZTJOS,O,O,O,X
ILZTSJO,O,O,X,X
ILZTSOJ,O,O,X,X
ILZTOJS,O,O,O,X
ILZTOSJ,O,O,X,X
ILZJTSO,O,O,X,X
ILZJTOS,O,O,O,X
ILZJSTO,O,O,O,X
ILZJSOT,O,O,X,X
ILZJOTS,O,X,X,X
ILZJOST,O,O,X,X
ILZSTJO,O,O,O,X
ILZSTOJ,O,O,O,X
ILZSJTO,O,O,O,X
ILZSJOT,O,O,X,X
ILZSOTJ,O,O,X,X
ILZSOJT,O,O,X,X
ILZOTJS,O,X,X,X
ILZOTSJ,O,X,X,X
ILZOJTS,O,X,X,X
ILZOJST,O,O,X,X
ILZOSTJ,O,O,X,X
ILZOSJT,O,O,X,X
ILOTJSZ,O,O,O,O
ILOTJZS,O,O,O,O
ILOTSJZ,O,O,O,X
ILOTSZJ,O,O,X,X
ILOTZJS,O,O,O,X
ILOTZSJ,O,O,X,X
ILOJTSZ,O,O,O,O
ILOJTZS,O,O,O,O
ILOJSTZ,O,O,O,O
ILOJSZT,O,O,X,O
ILOJZTS,O,X,X,O
ILOJZST,O,O,X,O
ILOSTJZ,O,O,O,O
ILOSTZJ,O,X,O,O
ILOSJTZ,O,O,O,O
ILOSJZT,O,O,X,O
ILOSZTJ,O,X,X,O
ILOSZJT,O,O,X,X
ILOZTJS,O,X,X,X
ILOZTSJ,O,X,X,X
ILOZJTS,O,X,X,X
ILOZJST,O,O,X,X
ILOZSTJ,O,O,X,X
ILOZSJT,O,O,X,X
IJTLSZO,O,O,O,O
IJTLSOZ,O,O,O,O
IJTLZSO,O,O,X,X
IJTLZOS,X,O,O,O
IJTLOSZ,O,O,O,O
IJTLOZS,O,O,O,O
IJTSLZO,O,O,O,X
IJTSLOZ,O,O,O,O
IJTSZLO,X,O,O,X
IJTSZOL,O,O,O,O
IJTSOLZ,O,O,O,O
IJTSOZL,O,O,O,O
IJTZLSO,O,O,X,X
IJTZLOS,O,O,O,X
IJTZSLO,O,O,X,X
IJTZSOL,O,O,X,X
IJTZOLS,O,O,O,O
IJTZOSL,O,O,X,O
IJTOLSZ,O,O,O,O
IJTOLZS,O,O,O,O
IJTOSLZ,O,O,O,O
IJTOSZL,O,O,X,O
IJTOZLS,O,O,O,O
IJTOZSL,O,O,X,O
IJLTSZO,O,O,O,O
IJLTSOZ,O,O,O,O
IJLTZSO,O,O,X,X
IJLTZOS,X,O,O,O
IJLTOSZ,O,O,O,O
IJLTOZS,X,O,O,O
IJLSTZO,O,O,O,O
IJLSTOZ,O,O,O,O
IJLSZTO,O,O,O,O
IJLSZOT,O,O,X,O
IJLSOTZ,O,O,O,O
IJLSOZT,O,O,X,O
IJLZTSO,O,O,X,X
IJLZTOS,O,O,O,O
IJLZSTO,O,O,O,O
IJLZSOT,O,O,X,O
IJLZOTS,O,X,X,O
IJLZOST,O,O,X,O
IJLOTSZ,O,O,O,O
IJLOTZS,O,O,O,O
IJLOSTZ,O,O,O,O
IJLOSZT,O,O,X,O
IJLOZTS,O,X,X,O
IJLOZST,O,O,X,O
IJSTLZO,O,O,O,X
IJSTLOZ,O,O,O,O
IJSTZLO,X,O,O,X
IJSTZOL,O,O,O,O
IJSTOLZ,O,O,O,O
IJSTOZL,O,O,O,O
IJSLTZO,O,O,O,O
IJSLTOZ,O,O,O,O
IJSLZTO,O,O,O,O
IJSLZOT,O,O,X,O
IJSLOTZ,O,O,O,O
IJSLOZT,O,O,X,O
IJSZTLO,O,O,O,X
IJSZTOL,O,O,O,O
IJSZLTO,O,O,O,X
IJSZLOT,O,O,X,X
IJSZOTL,O,O,X,O
IJSZOLT,O,O,X,X
IJSOTLZ,O,O,O,O
IJSOTZL,O,O,O,O
IJSOLTZ,O,O,O,O
IJSOLZT,O,O,X,O
IJSOZTL,O,O,X,O
IJSOZLT,O,O,X,X
IJZTLSO,O,O,X,X
IJZTLOS,O,O,O,X
IJZTSLO,O,O,X,X
IJZTSOL,O,O,X,X
IJZTOLS,O,O,O,O
IJZTOSL,O,O,X,O
IJZLTSO,O,O,X,X
IJZLTOS,O,O,O,O
IJZLSTO,O,O,O,O
IJZLSOT,O,O,X,O
IJZLOTS,O,X,X,O
IJZLOST,O,O,X,O
IJZSTLO,O,O,O,X
IJZSTOL,O,O,O,O
IJZSLTO,O,O,O,X
IJZSLOT,O,O,X,X
IJZSOTL,O,O,X,O
IJZSOLT,O,O,X,X
IJZOTLS,O,O,X,O
IJZOTSL,O,O,X,O
IJZOLTS,O,X,X,O
IJZOLST,O,O,X,O
IJZOSTL,O,O,X,O
IJZOSLT,O,O,X,X
IJOTLSZ,O,O,O,O
IJOTLZS,O,O,O,O
IJOTSLZ,O,O,O,O
IJOTSZL,O,O,X,O
IJOTZLS,O,O,O,O
IJOTZSL,O,O,X,O
IJOLTSZ,O,O,O,O
IJOLTZS,O,O,O,O
IJOLSTZ,O,O,O,O
IJOLSZT,O,O,X,O
IJOLZTS,O,X,X,O
IJOLZST,O,O,X,O
IJOSTLZ,O,O,O,O
IJOSTZL,O,O,O,O
IJOSLTZ,O,O,O,O
IJOSLZT,O,O,X,O
IJOSZTL,O,O,X,O
IJOSZLT,O,O,X,X
IJOZTLS,O,O,X,O
IJOZTSL,O,O,X,O
IJOZLTS,O,X,X,O
IJOZLST,O,O,X,O
IJOZSTL,O,O,X,O
IJOZSLT,O,O,X,X
ISTLJZO,O,O,O,O
ISTLJOZ,O,O,O,O
ISTLZJO,O,O,O,X
ISTLZOJ,X,O,O,O
ISTLOJZ,O,O,O,O
ISTLOZJ,X,O,O,O
ISTJLZO,O,O,O,X
ISTJLOZ,O,O,O,O
ISTJZLO,X,O,O,X
ISTJZOL,O,O,O,O
ISTJOLZ,O,O,O,O
ISTJOZL,O,O,O,O
ISTZLJO,X,O,O,O
ISTZLOJ,X,O,O,O
ISTZJLO,X,O,O,O
ISTZJOL,O,O,O,O
ISTZOLJ,X,O,O,O
ISTZOJL,X,O,O,O
ISTOLJZ,X,O,O,O
ISTOLZJ,X,O,O,O
ISTOJLZ,O,O,O,O
ISTOJZL,O,O,O,O
ISTOZLJ,X,X,O,O
ISTOZJL,X,O,O,O
ISLTJZO,O,O,O,O
ISLTJOZ,O,O,O,O
ISLTZJO,O,O,O,X
ISLTZOJ,X,O,O,O
ISLTOJZ,O,O,O,O
ISLTOZJ,X,O,O,O
ISLJTZO,O,O,O,O
ISLJTOZ,O,O,O,O
ISLJZTO,O,O,O,O
ISLJZOT,O,O,X,O
ISLJOTZ,O,O,O,O
ISLJOZT,O,O,X,O
ISLZTJO,O,O,O,X
ISLZTOJ,X,O,O,O
ISLZJTO,O,O,O,X
ISLZJOT,O,O,X,X
ISLZOTJ,X,O,X,O
ISLZOJT,X,O,X,X
ISLOTJZ,O,O,O,O
ISLOTZJ,X,X,O,O
ISLOJTZ,O,O,O,O
ISLOJZT,O,O,X,O
ISLOZTJ,X,X,X,O
ISLOZJT,X,O,X,X
ISJTLZO,O,O,O,X
ISJTLOZ,O,O,O,O
ISJTZLO,X,O,O,X
ISJTZOL,O,O,O,O
ISJTOLZ,O,O,O,O
ISJTOZL,O,O,O,O
ISJLTZO,O,O,O,X
ISJLTOZ,O,O,O,O
ISJLZTO,O,O,O,X
ISJLZOT,O,O,X,X
ISJLOTZ,O,O,O,O
ISJLOZT,O,O,X,X
ISJZTLO,O,O,O,X
ISJZTOL,O,O,O,O
ISJZLTO,O,O,O,X
ISJZLOT,O,O,X,X
ISJZOTL,O,O,X,O
ISJZOLT,O,O,X,X
ISJOTLZ,O,O,O,O
ISJOTZL,O,O,O,O
ISJOLTZ,O,O,O,O
ISJOLZT,O,O,X,X
ISJOZTL,O,O,X,O
ISJOZLT,O,O,X,X
ISZTLJO,O,O,O,O
ISZTLOJ,X,O,O,O
ISZTJLO,O,O,O,O
ISZTJOL,O,O,O,O
ISZTOLJ,X,O,O,O
ISZTOJL,O,O,O,O
ISZLTJO,O,O,O,O
ISZLTOJ,O,O,O,O
ISZLJTO,O,O,O,O
ISZLJOT,O,O,X,O
ISZLOTJ,O,O,X,O
ISZLOJT,O,O,X,O
ISZJTLO,O,O,O,O
ISZJTOL,O,O,O,O
ISZJLTO,O,O,O,O
ISZJLOT,O,O,X,O
ISZJOTL,O,O,X,O
ISZJOLT,O,O,X,O
ISZOTLJ,O,O,X,O
ISZOTJL,O,O,X,O
ISZOLTJ,O,O,X,O
ISZOLJT,O,O,X,O
ISZOJTL,O,O,X,O
ISZOJLT,O,O,X,O
ISOTLJZ,O,O,O,O
ISOTLZJ,X,O,O,O
ISOTJLZ,O,O,O,O
ISOTJZL,O,O,O,O
ISOTZLJ,X,X,O,O
ISOTZJL,O,O,O,O
ISOLTJZ,O,O,O,O
ISOLTZJ,O,X,O,O
ISOLJTZ,O,O,O,O
ISOLJZT,O,O,X,O
ISOLZTJ,O,X,X,O
ISOLZJT,O,O,X,X
ISOJTLZ,O,O,O,O
ISOJTZL,O,O,O,O
ISOJLTZ,O,O,O,O
ISOJLZT,O,O,X,X
ISOJZTL,O,O,X,O
ISOJZLT,O,O,X,X
ISOZTLJ,O,X,X,O
ISOZTJL,O,X,X,O
ISOZLTJ,O,X,X,O
ISOZLJT,O,X,X,O
ISOZJTL,O,O,X,O
ISOZJLT,O,O,X,O
IZTLJSO,O,O,X,O
IZTLJOS,O,O,O,O
IZTLSJO,O,O,X,X
IZTLSOJ,O,O,X,X
IZTLOJS,O,O,O,O
IZTLOSJ,O,O,X,X
IZTJLSO,O,O,X,X
IZTJLOS,O,O,O,O
IZTJSLO,O,O,X,X
IZTJSOL,O,O,X,O
IZTJOLS,O,O,O,O
IZTJOSL,O,O,X,O
IZTSLJO,O,O,X,O
IZTSLOJ,X,O,X,O
IZTSJLO,O,O,X,O
IZTSJOL,O,O,X,O
IZTSOLJ,O,O,X,O
IZTSOJL,O,O,X,O
IZTOLJS,O,O,O,O
IZTOLSJ,O,O,X,X
IZTOJLS,O,O,O,O
IZTOJSL,O,O,X,O
IZTOSLJ,O,O,X,O
IZTOSJL,O,O,X,O
IZLTJSO,O,O,X,O
IZLTJOS,O,O,O,O
IZLTSJO,O,O,X,X
IZLTSOJ,O,O,X,X
IZLTOJS,O,O,O,O
IZLTOSJ,O,O,X,X
IZLJTSO,O,O,X,O
IZLJTOS,O,O,O,O
IZLJSTO,O,O,O,O
IZLJSOT,O,O,X,O
IZLJOTS,O,X,X,O
IZLJOST,O,O,X,O
IZLSTJO,O,O,O,O
IZLSTOJ,O,O,O,O
IZLSJTO,O,O,O,O
IZLSJOT,O,O,X,O
IZLSOTJ,O,O,X,O
IZLSOJT,O,O,X,O
IZLOTJS,O,X,X,O
IZLOTSJ,O,X,X,X
IZLOJTS,O,X,X,O
IZLOJST,O,O,X,O
IZLOSTJ,O,O,X,O
IZLOSJT,O,O,X,O
IZJTLSO,O,O,X,X
IZJTLOS,O,O,O,O
IZJTSLO,O,O,X,O
IZJTSOL,O,O,X,O
IZJTOLS,O,O,O,O
IZJTOSL,O,O,X,O
IZJLTSO,O,O,X,O
IZJLTOS,O,O,O,O
IZJLSTO,O,O,O,O
IZJLSOT,O,O,X,O
IZJLOTS,O,X,X,O
IZJLOST,O,O,X,O
IZJSTLO,O,O,O,O
IZJSTOL,O,O,O,O
IZJSLTO,O,O,O,O
IZJSLOT,O,O,X,O
IZJSOTL,O,O,X,O
IZJSOLT,O,O,X,O
IZJOTLS,O,O,X,O
IZJOTSL,O,O,X,O
IZJOLTS,O,X,X,O
IZJOLST,O,O,X,O
IZJOSTL,O,O,X,O
IZJOSLT,O,O,X,O
IZSTLJO,O,O,O,O
IZSTLOJ,X,O,O,O
IZSTJLO,O,O,O,O
IZSTJOL,O,O,O,O
IZSTOLJ,X,O,O,O
IZSTOJL,O,O,O,O
IZSLTJO,O,O,O,O
IZSLTOJ,O,O,O,O
IZSLJTO,O,O,O,O
IZSLJOT,O,O,X,O
IZSLOTJ,O,O,X,O
IZSLOJT,O,O,X,O
IZSJTLO,O,O,O,O
IZSJTOL,O,O,O,O
IZSJLTO,O,O,O,O
IZSJLOT,O,O,X,O
IZSJOTL,O,O,X,O
IZSJOLT,O,O,X,O
IZSOTLJ,O,O,X,O
IZSOTJL,O,O,X,O
IZSOLTJ,O,O,X,O
IZSOLJT,O,O,X,O
IZSOJTL,O,O,X,O
IZSOJLT,O,O,X,O
IZOTLJS,O,O,X,O
IZOTLSJ,O,O,X,X
IZOTJLS,O,O,X,O
IZOTJSL,O,O,X,O
IZOTSLJ,O,O,X,O
IZOTSJL,O,O,X,O
IZOLTJS,O,X,X,O
IZOLTSJ,O,X,X,X
IZOLJTS,O,X,X,O
IZOLJST,O,O,X,O
IZOLSTJ,O,O,X,O
IZOLSJT,O,O,X,O
IZOJTLS,O,O,X,O
IZOJTSL,O,O,X,O
IZOJLTS,O,X,X,O
IZOJLST,O,O,X,O
IZOJSTL,O,O,X,O
IZOJSLT,O,O,X,O
IZOSTLJ,O,O,X,O
IZOSTJL,O,O,X,O
IZOSLTJ,O,O,X,O
IZOSLJT,O,O,X,O
IZOSJTL,O,O,X,O
IZOSJLT,O,O,X,O
IOTLJSZ,O,O,O,O
IOTLJZS,O,O,O,O
IOTLSJZ,O,O,O,X
IOTLSZJ,O,O,X,X
IOTLZJS,O,O,O,X
IOTLZSJ,O,O,X,X
IOTJLSZ,O,O,O,O
IOTJLZS,O,O,O,O
IOTJSLZ,O,O,O,O
IOTJSZL,O,O,X,O
IOTJZLS,O,O,O,O
IOTJZSL,O,O,X,O
IOTSLJZ,O,O,O,O
IOTSLZJ,X,O,X,O
IOTSJLZ,O,O,O,O
IOTSJZL,O,O,X,O
IOTSZLJ,X,X,X,O
IOTSZJL,O,O,X,O
IOTZLJS,O,O,O,O
IOTZLSJ,O,O,X,X
IOTZJLS,O,O,O,O
IOTZJSL,O,O,X,O
IOTZSLJ,O,O,X,O
IOTZSJL,O,O,X,O
IOLTJSZ,O,O,O,O
IOLTJZS,O,O,O,O
IOLTSJZ,O,O,O,X
IOLTSZJ,O,O,X,X
IOLTZJS,O,O,O,X
IOLTZSJ,O,O,X,X
IOLJTSZ,O,O,O,O
IOLJTZS,O,O,O,O
IOLJSTZ,O,O,O,O
IOLJSZT,O,O,X,O
IOLJZTS,O,X,X,O
IOLJZST,O,O,X,O
IOLSTJZ,O,O,O,O
IOLSTZJ,O,X,O,O
IOLSJTZ,O,O,O,O
IOLSJZT,O,O,X,O
IOLSZTJ,O,X,X,O
IOLSZJT,O,O,X,X
IOLZTJS,O,X,X,X
IOLZTSJ,O,X,X,X
IOLZJTS,O,X,X,X
IOLZJST,O,O,X,X
IOLZSTJ,O,O,X,X
IOLZSJT,O,O,X,X
IOJTLSZ,O,O,O,O
IOJTLZS,O,O,O,O
IOJTSLZ,O,O,O,O
IOJTSZL,O,O,X,O
IOJTZLS,O,O,O,O
IOJTZSL,O,O,X,O
IOJLTSZ,O,O,O,O
IOJLTZS,O,O,O,O
IOJLSTZ,O,O,O,O
IOJLSZT,O,O,X,O
IOJLZTS,O,X,X,O
IOJLZST,O,O,X,O
IOJSTLZ,O,O,O,O
IOJSTZL,O,O,O,O
IOJSLTZ,O,O,O,O
IOJSLZT,O,O,X,O
IOJSZTL,O,O,X,O
IOJSZLT,O,O,X,X
IOJZTLS,O,O,X,O
IOJZTSL,O,O,X,O
IOJZLTS,O,X,X,O
IOJZLST,O,O,X,O
IOJZSTL,O,O,X,O
IOJZSLT,O,O,X,X
IOSTLJZ,O,O,O,O
IOSTLZJ,X,O,O,O
IOSTJLZ,O,O,O,O
IOSTJZL,O,O,O,O
IOSTZLJ,X,X,O,O
IOSTZJL,O,O,O,O
IOSLTJZ,O,O,O,O
IOSLTZJ,O,X,O,O
IOSLJTZ,O,O,O,O
IOSLJZT,O,O,X,O
IOSLZTJ,O,X,X,O
IOSLZJT,O,O,X,X
IOSJTLZ,O,O,O,O
IOSJTZL,O,O,O,O
IOSJLTZ,O,O,O,O
IOSJLZT,O,O,X,X
IOSJZTL,O,O,X,O
IOSJZLT,O,O,X,X
IOSZTLJ,O,X,X,O
IOSZTJL,O,X,X,O
IOSZLTJ,O,X,X,O
IOSZLJT,O,X,X,O
IOSZJTL,O,O,X,O
IOSZJLT,O,O,X,O
IOZTLJS,O,O,X,O
IOZTLSJ,O,O,X,X
IOZTJLS,O,O,X,O
IOZTJSL,O,O,X,O
IOZTSLJ,O,O,X,O
IOZTSJL,O,O,X,O
IOZLTJS,O,X,X,O
IOZLTSJ,O,X,X,X
IOZLJTS,O,X,X,O
IOZLJST,O,O,X,O
IOZLSTJ,O,O,X,O
IOZLSJT,O,O,X,O
IOZJTLS,O,O,X,O
IOZJTSL,O,O,X,O
IOZJLTS,O,X,X,O
IOZJLST,O,O,X,O
IOZJSTL,O,O,X,O
IOZJSLT,O,O,X,O
IOZSTLJ,O,O,X,O
IOZSTJL,O,O,X,O
IOZSLTJ,O,O,X,O
IOZSLJT,O,O,X,O
IOZSJTL,O,O,X,O
IOZSJLT,O,O,X,O
LTIJSZO,O,O,O,X
LTIJSOZ,O,O,O,O
LTIJZSO,O,O,X,X
LTIJZOS,X,O,O,O
LTIJOSZ,O,O,O,O
LTIJOZS,O,O,O,O
LTISJZO,O,O,O,X
LTISJOZ,O,O,O,X
LTISZJO,O,O,O,X
LTISZOJ,X,O,O,X
LTISOJZ,O,O,O,X
LTISOZJ,O,O,O,X
LTIZJSO,O,O,X,X
LTIZJOS,X,O,O,X
LTIZSJO,O,O,X,X
LTIZSOJ,X,O,X,X
LTIZOJS,X,O,O,X
LTIZOSJ,X,O,X,X
LTIOJSZ,O,O,O,O
LTIOJZS,O,O,O,O
LTIOSJZ,O,O,O,X
LTIOSZJ,O,O,O,X
LTIOZJS,O,O,O,X
LTIOZSJ,O,O,X,X
LTJISZO,O,O,O,O
LTJISOZ,O,O,O,O
LTJIZSO,O,O,X,X
LTJIZOS,X,O,O,O
LTJIOSZ,O,O,O,O
LTJIOZS,O,O,O,O
LTJSIZO,O,O,O,O
LTJSIOZ,O,O,O,O
LTJSZIO,O,O,O,O
LTJSZOI,O,O,O,O
LTJSOIZ,O,O,O,O
LTJSOZI,O,O,O,O
LTJZISO,O,O,X,X
LTJZIOS,X,O,O,O
LTJZSIO,O,O,O,X
LTJZSOI,O,O,O,X
LTJZOIS,O,O,O,O
LTJZOSI,O,O,O,X
LTJOISZ,O,O,O,O
LTJOIZS,O,O,O,O
LTJOSIZ,O,O,O,O
LTJOSZI,O,O,O,O
LTJOZIS,O,O,O,O
LTJOZSI,O,O,O,X
LTSIJZO,O,O,O,O
LTSIJOZ,O,O,O,O
LTSIZJO,O,O,O,X
LTSIZOJ,X,O,O,O
LTSIOJZ,O,O,O,O
LTSIOZJ,O,O,O,O
LTSJIZO,O,O,O,O
LTSJIOZ,O,O,O,O
LTSJZIO,O,O,O,O
LTSJZOI,O,O,O,O
LTSJOIZ,O,O,O,O
LTSJOZI,O,O,O,O
LTSZIJO,O,O,O,O
LTSZIOJ,X,O,O,O
LTSZJIO,O,O,O,O
LTSZJOI,O,O,O,O
LTSZOIJ,O,O,O,O
LTSZOJI,O,O,O,O
LTSOIJZ,O,O,O,O
LTSOIZJ,O,O,O,O
LTSOJIZ,O,O,O,O
LTSOJZI,O,O,O,O
LTSOZIJ,O,O,O,O
LTSOZJI,O,O,O,O
LTZIJSO,O,O,X,O
LTZIJOS,X,O,O,O
LTZISJO,O,O,X,X
LTZISOJ,X,O,X,X
LTZIOJS,X,O,O,O
LTZIOSJ,X,O,X,X
LTZJISO,O,O,X,O
LTZJIOS,X,O,O,O
LTZJSIO,O,O,O,O
LTZJSOI,O,O,O,O
LTZJOIS,O,O,O,O
LTZJOSI,O,O,O,O
LTZSIJO,O,O,O,O
LTZSIOJ,X,O,O,O
LTZSJIO,O,O,O,O
LTZSJOI,O,O,O,O
LTZSOIJ,O,O,O,O
LTZSOJI,O,O,O,O
LTZOIJS,O,O,O,O
LTZOISJ,O,O,X,X
LTZOJIS,O,O,O,O
LTZOJSI,O,O,O,O
LTZOSIJ,O,O,O,O
LTZOSJI,O,O,O,O
LTOIJSZ,O,O,O,O
LTOIJZS,O,O,O,O
LTOISJZ,O,O,O,X
LTOISZJ,O,O,O,X
LTOIZJS,O,O,O,X
LTOIZSJ,O,O,X,X
LTOJISZ,O,O,O,O
LTOJIZS,O,O,O,O
LTOJSIZ,O,O,O,O
LTOJSZI,O,O,O,O
LTOJZIS,O,O,O,O
LTOJZSI,O,O,O,X
LTOSIJZ,O,O,O,O
LTOSIZJ,O,O,O,O
LTOSJIZ,O,O,O,O
LTOSJZI,O,O,O,O
LTOSZIJ,O,O,O,O
LTOSZJI,O,O,O,O
LTOZIJS,O,O,O,O
LTOZISJ,O,O,X,X
LTOZJIS,O,O,O,O
LTOZJSI,O,O,O,O
LTOZSIJ,O,O,O,O
LTOZSJI,O,O,O,O
LITJSZO,O,O,O,X
LITJSOZ,O,O,O,O
LITJZSO,O,O,X,X
LITJZOS,X,O,O,O
LITJOSZ,O,O,O,O
LITJOZS,O,O,O,O
LITSJZO,O,O,O,X
LITSJOZ,O,O,O,X
LITSZJO,O,O,O,X
LITSZOJ,X,O,O,X
LITSOJZ,O,O,O,X
LITSOZJ,O,O,O,X
LITZJSO,O,O,X,X
LITZJOS,X,O,O,X
LITZSJO,O,O,X,X
LITZSOJ,X,O,X,X
LITZOJS,X,O,O,X
LITZOSJ,X,O,X,X
LITOJSZ,O,O,O,O
LITOJZS,O,O,O,O
LITOSJZ,O,O,O,X
LITOSZJ,O,O,O,X
LITOZJS,O,O,O,X
LITOZSJ,O,O,X,X
LIJTSZO,O,O,O,O
LIJTSOZ,O,O,O,O
LIJTZSO,O,O,X,X
LIJTZOS,X,O,O,O
LIJTOSZ,O,O,O,O
LIJTOZS,X,O,O,O
LIJSTZO,O,O,O,O
LIJSTOZ,O,O,O,O
LIJSZTO,O,O,O,O
LIJSZOT,O,O,X,O
LIJSOTZ,O,O,O,O
LIJSOZT,O,O,X,O
LIJZTSO,O,O,X,X
LIJZTOS,O,O,O,O
LIJZSTO,O,O,O,O
LIJZSOT,O,O,X,O
LIJZOTS,O,X,X,O
LIJZOST,O,O,X,O
LIJOTSZ,O,O,O,O
LIJOTZS,O,O,O,O
LIJOSTZ,O,O,O,O
LIJOSZT,O,O,X,O
LIJOZTS,O,X,X,O
LIJOZST,O,O,X,O
LISTJZO,O,O,O,O
LISTJOZ,O,O,O,O
LISTZJO,O,O,O,X
LISTZOJ,X,O,O,O
LISTOJZ,O,O,O,O
LISTOZJ,O,O,O,O
LISJTZO,O,O,O,O
LISJTOZ,O,O,O,O
LISJZTO,O,O,O,O
LISJZOT,O,O,X,O
LISJOTZ,O,O,O,O
LISJOZT,O,O,X,O
LISZTJO,O,O,O,X
LISZTOJ,X,O,O,O
LISZJTO,O,O,O,X
LISZJOT,O,O,X,X
LISZOTJ,X,O,X,O
LISZOJT,X,O,X,X
LISOTJZ,O,O,O,O
LISOTZJ,O,X,O,O
LISOJTZ,O,O,O,O
LISOJZT,O,O,X,O
LISOZTJ,O,X,X,O
LISOZJT,O,O,X,X
LIZTJSO,O,O,X,X
LIZTJOS,O,O,O,X
LIZTSJO,O,O,X,X
LIZTSOJ,O,O,X,X
LIZTOJS,O,O,O,X
LIZTOSJ,O,O,X,X
LIZJTSO,O,O,X,X
LIZJTOS,O,O,O,X
LIZJSTO,O,O,O,X
LIZJSOT,O,O,X,X
LIZJOTS,O,X,X,X
LIZJOST,O,O,X,X
LIZSTJO,O,O,O,X
LIZSTOJ,O,O,O,X
LIZSJTO,O,O,O,X
LIZSJOT,O,O,X,X
LIZSOTJ,O,O,X,X
LIZSOJT,O,O,X,X
LIZOTJS,O,X,X,X
LIZOTSJ,O,X,X,X
LIZOJTS,O,X,X,X
LIZOJST,O,O,X,X
LIZOSTJ,O,O,X,X
LIZOSJT,O,O,X,X
LIOTJSZ,O,O,O,O
LIOTJZS,O,O,O,O
LIOTSJZ,O,O,O,X
LIOTSZJ,O,O,X,X
LIOTZJS,O,O,O,X
LIOTZSJ,O,O,X,X
LIOJTSZ,O,O,O,O
LIOJTZS,O,O,O,O
LIOJSTZ,O,O,O,O
LIOJSZT,O,O,X,O
LIOJZTS,O,X,X,O
LIOJZST,O,O,X,O
LIOSTJZ,O,O,O,O
LIOSTZJ,O,X,O,O
LIOSJTZ,O,O,O,O
LIOSJZT,O,O,X,O
LIOSZTJ,O,X,X,O
LIOSZJT,O,O,X,X
LIOZTJS,O,X,X,X
LIOZTSJ,O,X,X,X
LIOZJTS,O,X,X,X
LIOZJST,O,O,X,X
LIOZSTJ,O,O,X,X
LIOZSJT,O,O,X,X
LJTISZO,O,O,O,O
LJTISOZ,O,O,O,O
LJTIZSO,O,O,X,X
LJTIZOS,X,O,O,O
LJTIOSZ,O,O,O,O
LJTIOZS,O,O,O,O
LJTSIZO,O,O,O,O
LJTSIOZ,O,O,O,O
LJTSZIO,O,O,O,O
LJTSZOI,O,O,O,O
