sequence,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhF6hBmdB?5jBXgBdmB0qB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jei6IvhFtgBmdB?5jBzfBcmBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8JeT6IvhFegBtgB?xdBcmB6oBXrB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jem6IvhF9hBxdB?0fBfmB6oBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Je//IvhFUbB9hB?xdB6oBmlBzqB,v115@DhB8BeA8EeC8AeD8AeD8AeC8BeE8Jey/IvhF9hBmdB?5jBfmB0kBzqB
TILJSZO,O,X,O,O,O,O
TILJSOZ,O,X,O,X,O,O
TILJZSO,O,X,O,O,O,O
TILJZOS,O,O,O,O,X,X
TILJOSZ,O,O,O,X,O,O
TILJOZS,O,O,O,X,X,X
TILSJZO,O,X,O,O,O,O
TILSJOZ,O,X,O,X,O,O
TILSZJO,O,X,O,O,O,O
TILSZOJ,O,X,X,O,O,X
TILSOJZ,O,X,X,X,O,O
TILSOZJ,O,X,X,O,O,X
TILZJSO,O,X,O,O,O,O
TILZJOS,O,O,O,O,X,X
TILZSJO,O,X,O,O,O,O
TILZSOJ,O,X,X,O,O,X
TILZOJS,O,O,O,O,X,X
TILZOSJ,O,O,X,O,X,X
TILOJSZ,O,O,O,X,O,O
TILOJZS,O,O,O,X,X,X
TILOSJZ,O,O,X,X,O,O
TILOSZJ,O,O,X,O,O,X
TILOZJS,O,O,O,O,X,X
TILOZSJ,O,O,X,O,X,X
TIJLSZO,O,X,O,X,O,O
TIJLSOZ,O,X,O,X,O,O
TIJLZSO,O,X,O,X,O,O
TIJLZOS,O,O,O,X,X,X
TIJLOSZ,O,O,O,X,O,O
TIJLOZS,O,O,O,X,X,X
TIJSLZO,O,X,X,X,O,O
TIJSLOZ,O,X,X,X,O,O
TIJSZLO,O,X,X,X,O,O
TIJSZOL,O,O,X,X,X,X
TIJSOLZ,O,O,X,X,X,O
TIJSOZL,O,O,X,X,X,X
TIJZLSO,O,X,O,X,X,O
TIJZLOS,O,O,O,X,X,X
TIJZSLO,O,X,X,X,X,O
TIJZSOL,O,O,X,X,X,X
TIJZOLS,O,O,O,X,X,X
TIJZOSL,X,O,X,X,X,X
TIJOLSZ,O,O,O,X,X,O
TIJOLZS,O,O,O,X,X,X
TIJOSLZ,O,O,X,X,X,O
TIJOSZL,O,O,X,X,X,X
TIJOZLS,O,O,O,X,X,X
TIJOZSL,X,O,X,X,X,X
TISLJZO,O,X,X,O,O,O
TISLJOZ,O,X,X,X,O,O
TISLZJO,O,X,X,O,O,O
TISLZOJ,O,X,X,O,O,X
TISLOJZ,O,X,X,X,O,O
TISLOZJ,O,X,X,O,O,X
TISJLZO,O,X,X,X,O,O
TISJLOZ,O,X,X,X,O,O
TISJZLO,O,X,X,X,O,O
TISJZOL,O,O,X,X,X,X
TISJOLZ,O,O,X,X,X,O
TISJOZL,O,O,X,X,X,X
TISZLJO,O,X,X,O,O,O
TISZLOJ,O,X,X,O,O,X
TISZJLO,O,X,X,O,X,O
TISZJOL,O,O,X,X,X,X
TISZOLJ,O,O,X,X,X,X
TISZOJL,O,O,X,X,X,X
TISOLJZ,O,O,X,X,X,O
TISOLZJ,O,O,X,X,X,X
TISOJLZ,O,O,X,X,X,O
TISOJZL,O,O,X,X,X,X
TISOZLJ,O,O,X,X,X,X
TISOZJL,O,O,X,X,X,X
TIZLJSO,O,X,O,O,X,O
TIZLJOS,O,O,O,O,X,X
TIZLSJO,O,X,O,O,X,O
TIZLSOJ,O,X,X,O,X,X
TIZLOJS,O,O,O,O,X,X
TIZLOSJ,O,O,X,O,X,X
TIZJLSO,O,X,O,O,X,O
TIZJLOS,O,O,O,O,X,X
TIZJSLO,O,X,X,O,X,O
TIZJSOL,O,O,X,X,X,X
TIZJOLS,O,O,O,X,X,X
TIZJOSL,X,O,X,X,X,X
TIZSLJO,O,X,X,O,X,O
TIZSLOJ,O,X,X,O,X,X
TIZSJLO,O,X,X,O,X,O
TIZSJOL,O,O,X,X,X,X
TIZSOLJ,O,O,X,X,X,X
TIZSOJL,O,O,X,X,X,X
TIZOLJS,O,O,X,X,X,X
TIZOLSJ,O,O,X,X,X,X
TIZOJLS,O,O,X,X,X,X
TIZOJSL,X,O,X,X,X,X
TIZOSLJ,X,O,X,X,X,X
TIZOSJL,X,O,X,X,X,X
TIOLJSZ,O,O,X,X,X,O
TIOLJZS,O,O,X,X,X,X
TIOLSJZ,O,O,X,X,X,O
TIOLSZJ,O,O,X,X,X,X
TIOLZJS,O,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,X
TIOJLSZ,O,O,X,X,X,O
TIOJLZS,O,O,X,X,X,X
TIOJSLZ,O,O,X,X,X,O
TIOJSZL,O,O,X,X,X,X
TIOJZLS,O,O,X,X,X,X
TIOJZSL,X,O,X,X,X,X
TIOSLJZ,O,O,X,X,X,O
TIOSLZJ,O,O,X,X,X,X
TIOSJLZ,O,O,X,X,X,O
TIOSJZL,O,O,X,X,X,X
TIOSZLJ,O,O,X,X,X,X
TIOSZJL,O,O,X,X,X,X
TIOZLJS,O,O,X,X,X,X
TIOZLSJ,O,O,X,X,X,X
TIOZJLS,O,O,X,X,X,X
TIOZJSL,X,O,X,X,X,X
TIOZSLJ,X,O,X,X,X,X
TIOZSJL,X,O,X,X,X,X
TLIJSZO,O,X,O,O,O,O
TLIJSOZ,O,X,O,X,O,O
TLIJZSO,O,X,O,O,O,O
TLIJZOS,O,O,O,O,X,X
TLIJOSZ,O,O,O,X,O,O
TLIJOZS,O,O,O,X,X,X
TLISJZO,O,X,O,O,O,O
TLISJOZ,O,X,O,X,O,O
TLISZJO,O,X,O,O,O,O
TLISZOJ,O,X,X,O,O,X
TLISOJZ,O,X,X,X,O,O
TLISOZJ,O,X,X,O,O,X
TLIZJSO,O,X,O,O,O,O
TLIZJOS,O,O,O,O,X,X
TLIZSJO,O,X,O,O,O,O
TLIZSOJ,O,X,X,O,O,X
TLIZOJS,O,O,O,O,X,X
TLIZOSJ,O,O,X,O,X,X
TLIOJSZ,O,O,O,X,O,O
TLIOJZS,O,O,O,X,X,X
TLIOSJZ,O,O,X,X,O,O
TLIOSZJ,O,O,X,O,O,X
TLIOZJS,O,O,O,O,X,X
TLIOZSJ,O,O,X,O,X,X
TLJISZO,O,X,O,O,O,O
TLJISOZ,O,X,O,X,O,O
TLJIZSO,O,X,O,O,O,O
TLJIZOS,O,O,O,O,X,X
TLJIOSZ,O,O,O,X,O,O
TLJIOZS,O,O,O,X,X,X
TLJSIZO,O,X,O,O,O,O
TLJSIOZ,O,X,O,X,O,O
TLJSZIO,O,X,O,O,O,O
TLJSZOI,O,X,O,O,O,X
TLJSOIZ,O,X,O,X,O,O
TLJSOZI,O,X,O,X,O,X
TLJZISO,O,X,O,O,O,O
TLJZIOS,O,O,O,O,X,X
TLJZSIO,O,X,O,O,O,O
TLJZSOI,O,X,O,O,O,X
TLJZOIS,O,O,O,O,X,X
TLJZOSI,O,O,O,O,X,X
TLJOISZ,O,O,O,X,O,O
TLJOIZS,O,O,O,X,X,X
TLJOSIZ,O,O,O,X,O,O
TLJOSZI,O,O,O,X,O,X
TLJOZIS,O,O,O,X,X,X
TLJOZSI,O,O,O,X,X,X
TLSIJZO,O,X,O,O,O,O
TLSIJOZ,O,X,O,X,O,O
TLSIZJO,O,X,O,O,O,O
TLSIZOJ,O,X,X,O,O,X
TLSIOJZ,O,X,X,X,O,O
TLSIOZJ,O,X,X,O,O,X
TLSJIZO,O,X,O,O,O,O
TLSJIOZ,O,X,O,X,O,O
TLSJZIO,O,X,O,O,O,O
TLSJZOI,O,X,O,O,O,X
TLSJOIZ,O,X,O,X,O,O
TLSJOZI,O,X,O,X,O,X
TLSZIJO,O,X,O,O,O,O
TLSZIOJ,O,X,X,O,O,X
TLSZJIO,O,X,O,O,O,O
TLSZJOI,O,X,O,O,O,X
TLSZOIJ,O,X,X,O,O,X
TLSZOJI,O,X,X,O,O,X
TLSOIJZ,O,X,X,X,O,O
TLSOIZJ,O,X,X,O,O,X
TLSOJIZ,O,X,X,X,O,O
TLSOJZI,O,X,X,X,O,X
TLSOZIJ,O,X,X,O,O,X
TLSOZJI,O,X,X,O,O,X
TLZIJSO,O,X,O,O,O,O
TLZIJOS,O,O,O,O,X,X
TLZISJO,O,X,O,O,O,O
TLZISOJ,O,X,X,O,O,X
TLZIOJS,O,O,O,O,X,X
TLZIOSJ,O,O,X,O,X,X
TLZJISO,O,X,O,O,O,O
TLZJIOS,O,O,O,O,X,X
TLZJSIO,O,X,O,O,O,O
TLZJSOI,O,X,O,O,O,X
TLZJOIS,O,O,O,O,X,X
TLZJOSI,O,O,O,O,X,X
TLZSIJO,O,X,O,O,O,O
TLZSIOJ,O,X,X,O,O,X
TLZSJIO,O,X,O,O,O,O
TLZSJOI,O,X,O,O,O,X
TLZSOIJ,O,X,X,O,O,X
TLZSOJI,O,X,X,O,O,X
TLZOIJS,O,O,O,O,X,X
TLZOISJ,O,O,X,O,X,X
TLZOJIS,O,O,O,O,X,X
TLZOJSI,O,O,O,O,X,X
TLZOSIJ,O,O,X,O,X,X
TLZOSJI,O,O,X,O,X,X
TLOIJSZ,O,O,O,X,O,O
TLOIJZS,O,O,O,X,X,X
TLOISJZ,O,O,X,X,O,O
TLOISZJ,O,O,X,O,O,X
TLOIZJS,O,O,O,O,X,X
TLOIZSJ,O,O,X,O,X,X
TLOJISZ,O,O,O,X,O,O
TLOJIZS,O,O,O,X,X,X
TLOJSIZ,O,O,O,X,O,O
TLOJSZI,O,O,O,X,O,X
TLOJZIS,O,O,O,X,X,X
TLOJZSI,O,O,O,X,X,X
TLOSIJZ,O,O,X,X,O,O
TLOSIZJ,O,O,X,O,O,X
TLOSJIZ,O,O,X,X,O,O
TLOSJZI,O,O,X,X,O,X
TLOSZIJ,O,O,X,O,O,X
TLOSZJI,O,O,X,O,O,X
TLOZIJS,O,O,O,O,X,X
TLOZISJ,O,O,X,O,X,X
TLOZJIS,O,O,O,O,X,X
TLOZJSI,O,O,O,O,X,X
TLOZSIJ,O,O,X,O,X,X
TLOZSJI,O,O,X,O,X,X
TJILSZO,O,X,O,X,O,O
TJILSOZ,O,X,O,X,O,O
TJILZSO,O,X,O,X,O,O
TJILZOS,O,O,O,X,X,X
TJILOSZ,O,O,O,X,O,O
TJILOZS,O,O,O,X,X,X
TJISLZO,O,X,X,X,O,O
TJISLOZ,O,X,X,X,O,O
TJISZLO,O,X,X,X,O,O
TJISZOL,O,O,X,X,X,X
TJISOLZ,O,O,X,X,X,O
TJISOZL,O,O,X,X,X,X
TJIZLSO,O,X,O,X,X,O
TJIZLOS,O,O,O,X,X,X
TJIZSLO,O,X,X,X,X,O
TJIZSOL,O,O,X,X,X,X
TJIZOLS,O,O,O,X,X,X
TJIZOSL,X,O,X,X,X,X
TJIOLSZ,O,O,O,X,X,O
TJIOLZS,O,O,O,X,X,X
TJIOSLZ,O,O,X,X,X,O
TJIOSZL,O,O,X,X,X,X
TJIOZLS,O,O,O,X,X,X
TJIOZSL,X,O,X,X,X,X
TJLISZO,O,X,O,O,O,O
TJLISOZ,O,X,O,X,O,O
TJLIZSO,O,X,O,O,O,O
TJLIZOS,O,O,O,O,X,X
TJLIOSZ,O,O,O,X,O,O
TJLIOZS,O,O,O,X,X,X
TJLSIZO,O,X,O,O,O,O
TJLSIOZ,O,X,O,X,O,O
TJLSZIO,O,X,O,O,O,O
TJLSZOI,O,X,O,O,O,X
TJLSOIZ,O,X,O,X,O,O
TJLSOZI,O,X,O,X,O,X
TJLZISO,O,X,O,O,O,O
TJLZIOS,O,O,O,O,X,X
TJLZSIO,O,X,O,O,O,O
TJLZSOI,O,X,O,O,O,X
TJLZOIS,O,O,O,O,X,X
TJLZOSI,O,O,O,O,X,X
TJLOISZ,O,O,O,X,O,O
TJLOIZS,O,O,O,X,X,X
TJLOSIZ,O,O,O,X,O,O
TJLOSZI,O,O,O,X,O,X
TJLOZIS,O,O,O,X,X,X
TJLOZSI,O,O,O,X,X,X
TJSILZO,O,X,X,X,O,O
TJSILOZ,O,X,X,X,O,O
TJSIZLO,O,X,X,X,O,O
TJSIZOL,O,O,X,X,X,X
TJSIOLZ,O,O,X,X,X,O
TJSIOZL,O,O,X,X,X,X
TJSLIZO,O,X,O,O,O,O
TJSLIOZ,O,X,O,X,O,O
TJSLZIO,O,X,O,O,O,O
TJSLZOI,O,X,O,O,O,X
TJSLOIZ,O,X,O,X,O,O
TJSLOZI,O,X,O,X,O,X
TJSZILO,O,X,X,O,O,O
TJSZIOL,O,O,X,X,X,X
TJSZLIO,O,X,O,O,O,O
TJSZLOI,O,X,O,O,O,X
TJSZOIL,O,O,X,X,X,X
TJSZOLI,O,O,O,O,O,X
TJSOILZ,O,O,X,X,X,O
TJSOIZL,O,O,X,X,X,X
TJSOLIZ,O,O,O,X,O,O
TJSOLZI,O,O,O,X,O,X
TJSOZIL,O,O,X,X,X,X
TJSOZLI,O,O,O,X,O,X
TJZILSO,O,X,O,O,X,O
TJZILOS,O,O,O,O,X,X
TJZISLO,O,X,X,O,X,O
TJZISOL,O,O,X,X,X,X
TJZIOLS,O,O,O,X,X,X
TJZIOSL,X,O,X,X,X,X
TJZLISO,O,X,O,O,O,O
TJZLIOS,O,O,O,O,X,X
TJZLSIO,O,X,O,O,O,O
TJZLSOI,O,X,O,O,O,X
TJZLOIS,O,O,O,O,X,X
TJZLOSI,O,O,O,O,X,X
TJZSILO,O,X,X,O,O,O
TJZSIOL,O,O,X,X,X,X
TJZSLIO,O,X,O,O,O,O
TJZSLOI,O,X,O,O,O,X
TJZSOIL,O,O,X,X,X,X
TJZSOLI,O,O,O,O,O,X
TJZOILS,O,O,O,X,X,X
TJZOISL,X,O,X,X,X,X
TJZOLIS,O,O,O,O,X,X
TJZOLSI,O,O,O,O,X,X
TJZOSIL,X,O,X,X,X,X
TJZOSLI,X,O,O,O,X,X
TJOILSZ,O,O,O,X,X,O
TJOILZS,O,O,O,X,X,X
TJOISLZ,O,O,X,X,X,O
TJOISZL,O,O,X,X,X,X
TJOIZLS,O,O,O,X,X,X
TJOIZSL,X,O,X,X,X,X
TJOLISZ,O,O,O,X,O,O
TJOLIZS,O,O,O,X,X,X
TJOLSIZ,O,O,O,X,O,O
TJOLSZI,O,O,O,X,O,X
TJOLZIS,O,O,O,X,X,X
TJOLZSI,O,O,O,X,X,X
TJOSILZ,O,O,X,X,X,O
TJOSIZL,O,O,X,X,X,X
TJOSLIZ,O,O,O,X,O,O
