sequence,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBzcBX?gBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBzcBy?lBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFCbBehBXgBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFufB3bBylBz?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFlcBTfB/lBU?hBKnBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeO/IvhFVgBRcBThBK?nB3kBcqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFqfBTbBmcBX?hBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFlbBuhB8lBK?nBzkBfqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFSgBmcBXhBz?fBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeZ/IvhFWgBylBzhBf?qBlqBUsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Je37IvhFTfBmhBxlBi?kBUnBFqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBXhBKnBl?hBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jex6IvhFXcBmfB1mBT?kBcqBKsB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JecAJvhFTfBlhBXhBK?nBxpBmpB,v115@6gC8GeC8GeC8DeB8BeD8AeG8JeRAJvhFzhBlkB3lBO?kBUnBiqB,v115@6gC8GeC8GeC8DeB8BeD8AeG8Jez8IvhFRgBlkB3lBU?nBOkBiqB
TILJSZO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILJSOZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILJZOS,O,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILJOSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TILJOZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TILSJOZ,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TILSZJO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TILSZOJ,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TILSOJZ,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TILSOZJ,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TILZJSO,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TILZJOS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILZSJO,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZSOJ,X,O,X,O,X,X,O,X,X,X,X,X,X,X,X,X
TILZOJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TILZOSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TILOJSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TILOJZS,X,O,X,O,X,X,X,O,X,X,X,X,X,X,X,X
TILOSJZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TILOSZJ,X,O,O,O,X,X,O,X,X,X,X,O,X,X,X,X
TILOZJS,X,O,X,O,X,X,X,O,X,X,X,X,X,O,X,X
TILOZSJ,X,O,X,O,X,X,O,X,X,X,X,X,X,O,X,X
TIJLSZO,O,O,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLZSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLZOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJLOSZ,X,O,O,O,X,X,O,X,X,X,O,X,X,X,X,X
TIJLOZS,X,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,O,X,X,O,X,O,X,X,X,X,X,X,X
TIJSLOZ,O,O,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIJSZLO,O,X,O,X,X,X,O,X,O,X,X,X,X,X,X,X
TIJSZOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJSOLZ,O,X,O,O,X,X,O,X,O,X,O,X,X,X,X,X
TIJSOZL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZLSO,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZLOS,O,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSLO,O,X,O,X,X,X,X,X,X,X,X,X,X,X,X,X
TIJZSOL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
TIJZOLS,O,X,X,O,X,X,X,X,X,X,X,X,X,O,X,X
TIJZOSL,O,X,O,X,X,X,X,X,X,X,O,X,X,X,X,X
