sequence,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzaBXdBUhBClBGm?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFfhBxcBUgBumBTk?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jei6IvhFFcBXdBckBelB5l?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhFxcBlgBumBikB8q?BXqB,v115@7gB8GeC8FeD8FeG8AeF8JeO/IvhF8fBFcBXdB5lByu?BTrB,v115@7gB8GeC8FeD8FeG8AeF8JeT6IvhF0bBxcBVlB3hB2p?BCrB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhFXdBOkB8kBzgB6m?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBukB3hBUgBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Jex6IvhF8gBmfB3hBTkBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhFzbBUgB3hBukBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8JeZ/IvhF3bBWlBlhB8qBzp?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Je//IvhFRbBTgBlhB2pB8q?BCsB,v115@7gB8GeC8FeD8FeG8AeF8Jez7IvhF3hBxkBOkB8kBCn?BlqB,v115@7gB8GeC8FeD8FeG8AeF8Je37IvhFlhBxkB8qBTpBmp?BCsB
TILJSZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILJSOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TILJZSO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILJZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TILJOSZ,O,X,X,X,X,O,X,X,X,X,X,X,X,X
TILJOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TILSJZO,O,X,O,X,O,O,X,X,X,X,X,X,X,X
TILSJOZ,O,X,X,X,X,O,X,O,X,X,X,X,X,X
TILSZJO,O,O,X,X,O,O,X,X,X,X,X,X,O,X
TILSZOJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TILSOJZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TILSOZJ,O,O,X,X,O,O,X,X,X,O,X,X,O,X
TILZJSO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TILZJOS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZSJO,O,X,X,X,O,O,X,X,X,X,O,X,X,X
TILZSOJ,O,X,X,X,O,O,X,X,X,O,X,X,X,X
TILZOJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILZOSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOJSZ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOJZS,O,X,X,O,O,O,X,X,X,X,X,X,X,X
TILOSJZ,O,O,X,X,O,X,X,X,X,X,X,X,X,X
TILOSZJ,O,O,X,X,O,O,X,X,X,X,X,X,X,X
TILOZJS,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TILOZSJ,O,X,X,X,O,O,X,X,X,X,X,X,X,X
TIJLSZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJLSOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJLZSO,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJLZOS,O,X,O,O,O,O,X,X,X,X,X,X,X,X
TIJLOSZ,O,O,X,X,X,O,X,X,X,X,X,X,X,X
TIJLOZS,O,X,X,O,X,O,X,X,X,X,X,X,X,X
TIJSLZO,O,O,O,X,O,O,X,X,X,X,X,X,X,X
TIJSLOZ,O,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSZLO,O,O,O,X,X,O,X,X,X,X,X,X,O,X
TIJSZOL,X,O,O,X,X,O,X,O,O,O,X,O,O,X
TIJSOLZ,X,O,X,X,X,O,X,O,X,X,X,X,X,X
TIJSOZL,X,O,O,X,X,O,X,O,X,O,X,X,O,X
TIJZLSO,O,O,O,O,X,X,X,X,X,X,O,X,X,X
TIJZLOS,O,X,O,O,X,O,X,X,X,X,X,X,X,X
