sequence,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgB8mBziBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBRdB?cjB6mBTiBlsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhF3cBGeB?CgBliBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bB1hB?xdBCjBzmB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFGdBTeB?CgBlhBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFFdBTeB?CgB0hBfoBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF1gBxcB?TeBCiBXnB8sB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8JeR7IvhFTeBCgB?foBUnBlmBGsB,v115@zgA8IeA8IeA8AeC8DeF8DeH8AeB8Jeu/IvhF3bBTeB?xhBCnB8sBFsB
TILJSZO,O,O,X,O,O,X,X,X,X
TILJSOZ,O,O,X,O,O,X,X,X,X
TILJZSO,O,O,X,X,O,X,X,X,X
TILJZOS,O,O,X,X,O,X,O,X,X
TILJOSZ,O,O,X,X,O,X,X,X,X
TILJOZS,O,O,X,X,O,X,O,X,X
TILSJZO,O,O,X,O,O,X,X,X,X
TILSJOZ,O,O,X,O,O,X,X,X,X
TILSZJO,O,O,X,X,O,X,X,X,X
TILSZOJ,O,O,X,X,O,X,X,X,X
TILSOJZ,O,O,X,X,O,X,X,X,X
TILSOZJ,O,O,X,X,O,X,X,X,X
TILZJSO,O,O,X,X,O,X,X,X,X
TILZJOS,O,O,X,X,O,X,O,X,X
TILZSJO,O,O,X,X,O,X,X,X,X
TILZSOJ,O,O,X,X,O,X,X,X,X
TILZOJS,O,O,X,X,O,X,O,X,X
TILZOSJ,O,O,X,X,O,X,X,X,X
TILOJSZ,O,O,X,X,O,X,X,X,X
TILOJZS,O,O,X,X,O,X,O,X,X
TILOSJZ,O,O,X,X,O,X,X,X,X
TILOSZJ,O,O,X,X,O,X,X,X,X
TILOZJS,O,O,X,X,O,X,X,X,X
TILOZSJ,O,O,X,X,O,X,X,X,X
TIJLSZO,O,O,X,O,X,X,X,X,X
TIJLSOZ,O,O,X,O,O,X,X,X,X
TIJLZSO,O,O,X,X,X,X,X,X,X
TIJLZOS,O,O,X,X,O,X,O,X,X
TIJLOSZ,O,O,X,X,O,X,X,X,X
TIJLOZS,O,O,X,X,O,X,O,X,X
TIJSLZO,X,X,X,O,X,X,X,X,X
TIJSLOZ,X,X,X,O,X,X,X,X,X
TIJSZLO,X,O,X,O,O,X,X,X,X
TIJSZOL,X,O,X,O,O,X,O,X,X
TIJSOLZ,X,X,X,O,O,X,X,X,X
TIJSOZL,X,O,X,O,X,X,O,X,O
TIJZLSO,O,O,X,O,X,X,X,X,X
TIJZLOS,O,O,X,O,O,X,O,X,X
TIJZSLO,O,O,X,O,X,X,O,X,X
TIJZSOL,O,O,X,O,O,X,O,X,X
TIJZOLS,X,O,X,X,O,X,O,X,X
TIJZOSL,X,O,X,O,O,X,O,X,X
TIJOLSZ,O,O,X,O,O,X,X,X,X
TIJOLZS,O,O,X,X,O,X,O,X,X
TIJOSLZ,X,X,X,O,O,X,X,X,X
TIJOSZL,X,O,X,O,X,X,O,X,O
TIJOZLS,O,O,X,O,O,X,O,X,X
TIJOZSL,O,O,X,O,X,X,O,X,X
TISLJZO,X,X,X,O,O,X,X,X,X
TISLJOZ,X,X,X,O,X,X,X,X,X
TISLZJO,X,X,X,X,O,X,X,X,X
TISLZOJ,X,X,X,X,O,X,X,X,X
TISLOJZ,X,X,X,X,X,X,X,X,X
TISLOZJ,X,X,X,X,O,X,X,X,X
TISJLZO,X,X,X,O,X,X,X,X,X
TISJLOZ,X,X,X,O,X,X,X,X,X
TISJZLO,X,O,X,O,O,X,X,X,X
TISJZOL,X,O,X,O,O,X,O,X,X
TISJOLZ,X,X,X,O,O,X,X,X,X
TISJOZL,X,O,X,O,X,X,O,X,O
TISZLJO,X,O,X,O,O,X,X,X,X
TISZLOJ,X,X,X,O,O,X,X,X,X
TISZJLO,X,O,X,O,O,X,X,X,X
TISZJOL,X,O,X,O,O,X,O,X,X
TISZOLJ,X,O,X,X,O,X,X,X,X
TISZOJL,X,O,X,O,O,X,O,X,X
TISOLJZ,X,X,X,O,X,X,X,X,X
TISOLZJ,X,X,X,X,X,X,X,X,X
TISOJLZ,X,X,X,O,O,X,X,X,X
TISOJZL,X,O,X,O,X,X,O,X,O
TISOZLJ,X,O,X,O,O,X,X,X,X
TISOZJL,X,O,X,O,O,X,X,X,X
TIZLJSO,O,O,X,O,O,X,X,X,X
TIZLJOS,O,O,X,O,O,X,O,X,X
TIZLSJO,O,O,X,O,O,X,X,X,X
TIZLSOJ,O,O,X,O,O,X,X,X,X
TIZLOJS,O,O,X,O,O,X,O,X,X
TIZLOSJ,O,O,X,O,O,X,X,X,X
TIZJLSO,O,O,X,O,O,X,X,X,X
TIZJLOS,O,O,X,O,O,X,O,X,X
TIZJSLO,O,O,X,O,X,X,O,X,X
TIZJSOL,O,O,X,O,O,X,O,X,X
TIZJOLS,X,O,X,X,O,X,O,X,X
TIZJOSL,X,O,X,O,O,X,O,X,X
TIZSLJO,O,O,X,O,O,X,O,X,X
TIZSLOJ,O,X,X,O,O,X,O,X,X
TIZSJLO,O,O,X,O,O,X,O,X,X
TIZSJOL,O,O,X,O,O,X,O,X,X
TIZSOLJ,O,O,X,X,O,X,O,X,X
TIZSOJL,O,O,X,O,O,X,O,X,X
TIZOLJS,O,O,X,X,O,X,O,X,X
TIZOLSJ,O,O,X,X,O,X,X,X,X
TIZOJLS,O,O,X,X,O,X,O,X,X
TIZOJSL,O,O,X,O,O,X,O,X,X
TIZOSLJ,O,O,X,X,X,X,O,X,X
TIZOSJL,O,O,X,O,O,X,O,X,X
TIOLJSZ,O,O,X,O,O,X,X,X,X
TIOLJZS,O,O,X,X,O,X,O,X,X
TIOLSJZ,O,O,X,O,O,X,X,X,X
TIOLSZJ,O,O,X,X,X,X,X,X,X
TIOLZJS,O,O,X,X,O,X,X,X,X
TIOLZSJ,O,O,X,X,X,X,X,X,X
TIOJLSZ,O,O,X,O,O,X,X,X,X
TIOJLZS,O,O,X,X,O,X,O,X,X
TIOJSLZ,X,X,X,O,O,X,X,X,X
TIOJSZL,X,O,X,O,X,X,O,X,O
