sequence,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdB0hBfqBll?BCqB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhFxbBTdBFgB0hBqp?B3qB,v115@7gB8HeB8GeD8CeG8BeG8Jex6IvhFygBGdBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhF2gBRcBciBSmBlk?BXqB,v115@7gB8HeB8GeD8CeG8BeG8JeR7IvhFqhBTdBmgBlkBcq?B/pB,v115@7gB8HeB8GeD8CeG8BeG8JeT6IvhFOgBxcBFhBXiB6p?BcqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFqhBTdBxfBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jei6IvhFRcBciB3fBGhBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8Je2/IvhFCcBxhBXiB0kBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeO/IvhF8fBCcBxhBXiBll?BzpB,v115@7gB8HeB8GeD8CeG8BeG8JeR8IvhFciBFgBThBSqB/p?BmpB,v115@7gB8HeB8GeD8CeG8BeG8Je06IvhFShBTdB/kBeqBRr?BlqB,v115@7gB8HeB8GeD8CeG8BeG8Jem7IvhFSiBxfBzhBlkB3l?B0pB,v115@7gB8HeB8GeD8CeG8BeG8Jel7IvhFGdB/kBZlB8lBzm?B6pB
TILJSZO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILJSOZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILJZSO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILJZOS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILJOSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILJOZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILSJZO,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TILSJOZ,X,X,X,X,X,X,O,X,O,X,X,X,O,X
TILSZJO,X,X,X,X,X,X,O,X,O,O,X,X,O,X
TILSZOJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILSOJZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TILSOZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILZJSO,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZJOS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZSJO,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZSOJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILZOJS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TILZOSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,X
TILOJSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TILOJZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TILOSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TILOZJS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TILOZSJ,X,X,X,O,X,X,X,X,X,X,X,X,X,X
TIJLSZO,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJLSOZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJLZSO,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIJLZOS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIJLOSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJLOZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJSLZO,X,X,O,X,X,X,X,O,O,X,X,O,X,X
TIJSLOZ,X,X,O,X,X,X,X,X,O,X,X,O,X,X
TIJSZLO,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJSZOL,O,X,X,X,X,X,X,O,X,X,X,O,X,X
TIJSOLZ,X,X,X,X,X,X,X,X,X,X,X,O,X,X
TIJSOZL,X,X,X,X,X,X,X,X,X,X,X,O,X,O
TIJZLSO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TIJZLOS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIJZSLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TIJZSOL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJZOLS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIJZOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,X
TIJOLSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIJOLZS,X,X,X,O,X,X,X,X,O,X,X,X,X,X
TIJOSLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIJOSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIJOZLS,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIJOZSL,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TISLJZO,X,X,O,X,X,X,O,O,O,X,X,X,O,X
TISLJOZ,X,X,O,X,X,X,O,X,O,X,X,X,O,X
TISLZJO,X,X,O,X,X,O,O,O,O,O,X,X,O,X
TISLZOJ,X,X,O,X,X,O,O,O,X,X,X,X,X,X
TISLOJZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TISLOZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISJLZO,X,X,O,X,X,X,O,O,O,X,X,X,O,X
TISJLOZ,X,X,O,X,X,X,O,X,O,X,X,X,O,X
TISJZLO,X,X,X,X,X,O,O,O,X,X,X,X,O,X
TISJZOL,X,X,X,X,X,O,X,O,X,X,X,X,X,X
TISJOLZ,X,X,X,X,X,X,O,X,X,X,X,X,O,X
TISJOZL,X,X,X,X,X,X,X,X,X,X,X,X,X,O
TISZLJO,X,X,X,X,X,O,O,O,O,O,X,X,O,X
TISZLOJ,X,X,X,X,X,O,O,O,X,X,X,X,X,O
TISZJLO,X,X,X,X,X,O,O,O,O,O,X,X,O,X
TISZJOL,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TISZOLJ,X,X,X,X,X,O,O,O,X,X,X,X,X,O
TISZOJL,X,X,X,X,X,O,X,X,X,X,X,X,X,O
TISOLJZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TISOLZJ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TISOJLZ,X,X,O,X,X,X,O,X,X,X,X,X,O,X
TISOJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TISOZLJ,X,X,O,X,X,O,O,X,X,X,X,X,X,O
TISOZJL,X,X,O,X,X,O,X,X,X,X,X,X,X,O
TIZLJSO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TIZLJOS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIZLSJO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TIZLSOJ,X,X,X,O,X,O,X,O,X,X,X,X,X,O
TIZLOJS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIZLOSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TIZJLSO,X,X,X,O,X,O,X,O,O,O,X,X,X,X
TIZJLOS,X,X,X,O,X,O,X,X,O,O,X,X,X,X
TIZJSLO,O,X,X,X,X,O,X,O,O,O,X,X,X,X
TIZJSOL,O,X,X,O,X,O,X,O,X,X,X,X,X,O
TIZJOLS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIZJOSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZSLJO,X,X,X,X,X,O,X,O,O,O,X,X,X,X
TIZSLOJ,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZSJLO,X,X,X,X,X,O,X,O,O,O,X,X,X,X
TIZSJOL,X,X,X,O,X,O,X,O,X,X,X,X,X,O
TIZSOLJ,X,X,X,X,X,O,X,O,X,X,X,X,X,O
TIZSOJL,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TIZOLJS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIZOLSJ,X,X,X,O,X,O,X,X,X,X,X,X,X,O
TIZOJLS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIZOJSL,O,X,X,O,X,X,X,O,X,X,X,X,X,O
TIZOSLJ,X,X,X,X,X,X,X,O,X,X,X,X,X,O
TIZOSJL,X,X,X,O,X,X,X,X,X,X,X,X,X,O
TIOLJSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOLJZS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOLSJZ,X,X,X,X,X,X,O,X,X,X,X,X,X,X
TIOLSZJ,X,X,X,X,X,X,O,X,X,O,X,X,X,X
TIOLZJS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOLZSJ,X,X,X,O,X,X,X,X,X,O,X,X,X,X
TIOJLSZ,X,X,X,X,X,X,X,X,O,X,X,O,X,X
TIOJLZS,X,X,X,O,X,X,X,X,O,O,X,X,X,X
TIOJSLZ,X,X,O,X,X,X,X,X,X,X,X,O,X,X
TIOJSZL,X,X,O,X,X,X,X,X,X,X,X,O,X,O
TIOJZLS,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOJZSL,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOSLJZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSLZJ,X,X,O,X,X,X,O,X,X,O,X,X,X,X
TIOSJLZ,X,X,O,X,X,X,O,X,X,X,X,X,X,X
TIOSJZL,X,X,O,X,X,X,X,X,X,X,X,X,X,O
TIOSZLJ,X,X,O,X,X,X,O,X,X,O,X,X,X,O
TIOSZJL,X,X,O,X,X,X,X,X,X,O,X,X,X,O
TIOZLJS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIOZLSJ,X,X,X,O,X,O,X,X,X,O,X,X,X,O
TIOZJLS,X,X,X,O,X,O,X,X,O,O,X,X,X,O
TIOZJSL,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TIOZSLJ,X,X,X,X,X,X,X,X,X,O,X,X,X,O
TIOZSJL,X,X,X,O,X,X,X,X,X,O,X,X,X,O
TLIJSZO,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIJSOZ,X,O,X,X,X,X,X,X,O,X,X,X,X,X
TLIJZSO,X,O,X,O,X,X,X,X,O,O,X,X,X,X
