sequence,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeO/IvhF6gBxcBXeBz?fBUiBlqB,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeO/IvhF6gB0cBxdBz?fB3iBlqB,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeK/IvhFzaB+gBxcBX?eBUiBlqB,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeK/IvhFzaB+gB0cBx?dB3iBlqB,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeO/IvhF0cBxdBCgB3?iBTgBlqB,v115@BhA8DeA8DeB8BeD8CeH8AeF8JeO/IvhFxcBXeBCgBU?iBTgBlqB
TILJSZO,O,X,X,X,X,X
TILJSOZ,O,X,O,X,X,X
TILJZSO,X,O,X,X,X,X
TILJZOS,X,O,X,O,X,X
TILJOSZ,X,X,O,X,X,X
TILJOZS,X,X,X,O,X,X
TILSJZO,O,X,X,X,X,X
TILSJOZ,O,X,O,X,X,X
TILSZJO,X,X,X,X,X,X
TILSZOJ,X,X,X,X,X,X
TILSOJZ,O,X,X,X,X,X
TILSOZJ,X,X,X,X,X,X
TILZJSO,X,O,X,X,X,X
TILZJOS,X,O,X,O,X,X
TILZSJO,X,X,X,X,X,X
TILZSOJ,X,X,X,X,X,X
TILZOJS,X,O,X,X,X,X
TILZOSJ,X,X,X,X,X,X
TILOJSZ,O,X,X,X,X,X
TILOJZS,X,O,X,O,X,X
TILOSJZ,O,X,X,X,X,X
TILOSZJ,X,X,X,X,X,X
TILOZJS,X,O,X,X,X,X
TILOZSJ,X,X,X,X,X,X
TIJLSZO,O,X,X,X,X,X
TIJLSOZ,O,X,O,X,X,X
TIJLZSO,X,O,X,X,X,X
TIJLZOS,X,O,X,O,X,X
TIJLOSZ,X,X,O,X,X,X
TIJLOZS,X,X,X,O,X,X
TIJSLZO,O,X,X,X,X,X
TIJSLOZ,O,X,O,X,X,X
TIJSZLO,X,X,X,X,X,X
TIJSZOL,X,X,X,X,X,X
