sequence,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFmgBzhBfoB6oB0l?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBamBzhBGjBUo?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBUiBGjBzlBfs?BVyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBemBUiBFjBfs?BSyB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhF/lBUhBFiB6oBzn?BmrB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBymBGjBUoBXm?BFsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFigBFiB8nB+oBzl?BfsB,v115@+gA8IeA8IeB8HeE8AeC8JeZEJvhFTgBmhBSoBXmBUo?BFsB
TILJSZO,X,X,O,O,O,X,O,O
TILJSOZ,X,X,O,O,O,X,X,O
TILJZSO,X,X,O,O,O,O,O,O
TILJZOS,X,X,O,O,X,O,O,X
TILJOSZ,X,X,O,O,O,X,O,O
TILJOZS,X,X,O,O,X,O,O,X
TILSJZO,O,O,O,O,O,X,O,O
TILSJOZ,O,O,O,O,O,X,X,O
TILSZJO,O,O,O,O,O,O,X,O
TILSZOJ,O,O,O,O,O,O,X,O
TILSOJZ,O,O,O,O,O,X,X,O
TILSOZJ,O,O,O,O,O,O,X,O
TILZJSO,O,O,O,O,X,O,X,O
TILZJOS,O,O,O,O,X,O,X,X
TILZSJO,O,O,O,O,X,O,X,O
TILZSOJ,O,O,O,O,X,O,X,O
TILZOJS,O,O,O,O,X,O,X,X
TILZOSJ,O,O,O,O,X,O,X,X
TILOJSZ,X,X,O,O,O,X,O,O
TILOJZS,X,X,O,O,O,O,O,X
TILOSJZ,O,O,O,O,O,X,O,O
TILOSZJ,O,O,O,O,O,O,X,O
TILOZJS,O,O,O,O,O,O,X,X
TILOZSJ,O,O,O,O,O,O,X,X
TIJLSZO,X,X,O,O,O,X,O,O
TIJLSOZ,X,X,O,O,O,X,X,O
TIJLZSO,X,X,O,O,O,O,O,O
TIJLZOS,X,X,O,O,X,O,O,X
TIJLOSZ,X,X,O,O,O,X,O,O
TIJLOZS,X,X,O,O,O,O,O,X
TIJSLZO,O,O,O,O,O,X,O,O
TIJSLOZ,O,O,O,O,O,X,X,O
TIJSZLO,O,O,O,O,O,X,O,O
TIJSZOL,O,O,O,O,O,X,O,O
TIJSOLZ,O,O,O,O,O,X,O,O
TIJSOZL,O,O,O,O,O,X,O,O
TIJZLSO,O,O,O,X,O,O,O,O
TIJZLOS,O,O,O,X,X,O,O,X
TIJZSLO,O,O,O,X,O,O,O,O
TIJZSOL,O,O,O,X,O,O,O,O
TIJZOLS,O,O,O,X,O,O,O,X
TIJZOSL,O,O,O,X,O,O,O,X
TIJOLSZ,X,X,O,O,O,X,O,O
TIJOLZS,X,X,O,O,O,O,O,X
TIJOSLZ,O,O,O,O,O,X,O,O
TIJOSZL,O,O,O,O,O,X,O,O
TIJOZLS,O,O,O,X,O,O,O,X
TIJOZSL,O,O,O,X,O,O,O,X
TISLJZO,O,O,O,O,O,X,O,O
TISLJOZ,O,O,O,O,O,X,X,O
TISLZJO,O,O,O,O,O,O,X,O
TISLZOJ,O,O,O,O,O,O,X,O
TISLOJZ,O,O,O,O,O,X,X,O
TISLOZJ,O,O,O,O,O,O,X,O
TISJLZO,O,O,O,O,O,X,O,O
TISJLOZ,O,O,O,O,O,X,X,O
TISJZLO,O,O,O,O,O,X,O,O
TISJZOL,O,O,O,O,O,X,O,O
TISJOLZ,O,O,O,O,O,X,O,O
TISJOZL,O,O,O,O,O,X,O,O
TISZLJO,O,O,O,O,O,O,X,O
TISZLOJ,O,O,O,O,O,O,X,O
TISZJLO,O,O,O,O,O,O,X,O
TISZJOL,O,O,O,O,O,O,X,O
TISZOLJ,O,O,O,X,O,O,X,O
TISZOJL,O,O,O,O,O,O,X,O
TISOLJZ,O,O,O,O,O,X,O,O
TISOLZJ,O,O,O,O,O,O,X,O
TISOJLZ,O,O,O,O,O,X,O,O
TISOJZL,O,O,O,O,O,X,O,O
TISOZLJ,O,O,O,X,O,O,X,O
TISOZJL,O,O,O,X,O,O,X,O
TIZLJSO,O,O,O,X,X,O,X,O
TIZLJOS,O,O,O,X,X,O,X,X
TIZLSJO,O,O,O,X,X,O,X,O
TIZLSOJ,O,O,O,X,X,O,X,O
TIZLOJS,O,O,O,X,X,O,X,X
TIZLOSJ,O,O,O,X,X,O,X,X
TIZJLSO,O,O,O,X,X,O,X,O
TIZJLOS,O,O,O,X,X,O,X,X
TIZJSLO,O,O,O,X,X,O,X,O
TIZJSOL,O,O,O,X,X,O,X,O
TIZJOLS,O,O,O,X,X,O,X,X
TIZJOSL,O,O,O,X,X,O,X,X
TIZSLJO,O,O,O,X,X,O,X,O
TIZSLOJ,O,O,O,X,X,O,X,O
TIZSJLO,O,O,O,X,X,O,X,O
TIZSJOL,O,O,O,X,X,O,X,O
TIZSOLJ,O,O,O,X,X,O,X,O
TIZSOJL,O,O,O,X,X,O,X,O
TIZOLJS,O,O,O,X,X,O,X,X
TIZOLSJ,O,O,O,X,X,O,X,X
TIZOJLS,O,O,O,X,X,O,X,X
TIZOJSL,O,O,O,X,X,O,X,X
TIZOSLJ,O,O,O,X,X,O,X,X
TIZOSJL,O,O,O,X,X,O,X,X
TIOLJSZ,X,X,O,O,O,X,O,O
TIOLJZS,X,X,O,O,O,O,O,X
TIOLSJZ,O,O,O,O,O,X,O,O
TIOLSZJ,O,O,O,O,O,O,X,O
